"","SECCION","ESC1","ESC2","ESC3","POB_TOT","EDON","DIS_ANT","DIS_NUEVA","URBANO","RURAL","MIXTO","prop_urban","prop_rural","prop_mixto","prop_urban_n","prop_rural_n","prop_mixto_n"
"1",1,4,4,4,864,3,9,4,1,0,0,0.7,0.05,0.25,0.349,0.465,0.186
"2",2,4,4,4,769,3,9,4,0,0,1,0.7,0.05,0.25,0.349,0.465,0.186
"3",3,2,4,4,2154,3,9,4,1,0,0,0.7,0.05,0.25,0.349,0.465,0.186
"4",4,2,4,4,713,3,9,4,1,0,0,0.7,0.05,0.25,0.349,0.465,0.186
"5",5,2,4,4,1292,3,9,4,1,0,0,0.7,0.05,0.25,0.349,0.465,0.186
"6",6,4,4,4,1046,3,9,4,1,0,0,0.7,0.05,0.25,0.349,0.465,0.186
"7",7,4,4,4,1254,3,9,4,1,0,0,0.7,0.05,0.25,0.349,0.465,0.186
"8",8,2,4,4,625,3,9,4,1,0,0,0.7,0.05,0.25,0.349,0.465,0.186
"9",9,2,4,4,427,3,9,4,1,0,0,0.7,0.05,0.25,0.349,0.465,0.186
"10",10,2,4,4,1829,3,9,4,1,0,0,0.7,0.05,0.25,0.349,0.465,0.186
"11",11,2,2,2,628,3,9,2,1,0,0,0.7,0.05,0.25,0.69,0.138,0.172
"12",12,2,2,2,396,3,9,2,1,0,0,0.7,0.05,0.25,0.69,0.138,0.172
"13",13,4,2,2,1409,3,9,2,0,0,1,0.7,0.05,0.25,0.69,0.138,0.172
"14",14,2,2,2,711,3,9,2,0,0,1,0.7,0.05,0.25,0.69,0.138,0.172
"15",15,2,2,2,722,3,9,2,1,0,0,0.7,0.05,0.25,0.69,0.138,0.172
"16",16,2,2,2,1481,3,9,2,1,0,0,0.7,0.05,0.25,0.69,0.138,0.172
"17",17,2,2,2,612,3,9,2,1,0,0,0.7,0.05,0.25,0.69,0.138,0.172
"18",18,2,4,4,1331,3,10,4,1,0,0,0.789,0.211,0,0.349,0.465,0.186
"19",19,2,4,4,1148,3,10,4,1,0,0,0.789,0.211,0,0.349,0.465,0.186
"20",20,2,2,2,1667,3,10,2,1,0,0,0.789,0.211,0,0.69,0.138,0.172
"21",21,2,2,2,1435,3,10,2,1,0,0,0.789,0.211,0,0.69,0.138,0.172
"22",22,2,2,2,2188,3,10,2,1,0,0,0.789,0.211,0,0.69,0.138,0.172
