"seccion","munn","edo","edon","disloc2018","disloc2012","pobtot","esc1","esc3","urbana","rural","mixta","SQ","dsi_pob","prop_urbana","prop_rural","prop_mixta","SQ_","dsi_sec"
1,1,"cps",7,18,16,5562,5,24,0,0,1,16,0.305,0.149,0.603,0.248,16,0.292
7,2,"cps",7,3,3,3339,1,16,1,0,0,3,0.456,0.354,0.477,0.169,3,0.455
35,4,"cps",7,20,7,4060,19,23,0,0,1,20,0.49,0.133,0.796,0.071,20,0.472
44,5,"cps",7,11,12,3226,23,11,1,0,0,11,0.418,0.261,0.648,0.091,11,0.416
54,6,"cps",7,17,17,2716,9,18,0,0,1,17,0.646,0.06,0.761,0.179,17,0.657
68,7,"cps",7,20,4,2233,19,23,1,0,0,20,0.49,0.289,0.4,0.311,20,0.472
72,8,"cps",7,23,23,2123,9,7,1,0,0,23,0.532,0.219,0.518,0.263,23,0.515
88,9,"cps",7,15,15,1760,11,6,1,0,0,15,0.395,0.328,0.552,0.121,15,0.426
130,12,"cps",7,2,14,6772,10,9,1,0,0,1,0.223,0.262,0.544,0.194,1,0.208
144,13,"cps",7,11,10,3384,23,11,1,0,0,11,0.418,0.227,0.773,0,11,0.416
163,15,"cps",7,24,24,2650,12,19,1,0,0,24,0.735,0.299,0.623,0.078,24,0.7
186,16,"cps",7,9,9,1464,20,20,0,0,1,9,1,0.143,0.771,0.086,9,1
234,18,"cps",7,12,13,1431,4,12,1,0,0,12,0.552,0.232,0.681,0.087,12,0.53
239,19,"cps",7,6,6,6070,6,8,1,0,0,6,0.673,0.376,0.532,0.092,6,0.629
331,22,"cps",7,21,22,849,23,10,1,0,0,22,0.368,0.1,0.87,0.03,22,0.341
375,24,"cps",7,20,21,2613,19,23,0,0,1,20,0.49,0.164,0.787,0.049,20,0.472
602,41,"cps",7,10,20,4179,6,17,0,0,1,6,0.2,0.175,0.789,0.035,6,0.237
662,47,"cps",7,11,11,2832,23,11,0,0,1,11,0.418,0.25,0.531,0.219,11,0.416
1082,75,"cps",7,8,8,2825,22,4,1,0,0,8,0.562,0.228,0.772,0,8,0.537
1113,77,"cps",7,5,5,4271,24,1,1,0,0,5,0.829,0.645,0.29,0.065,5,0.823
1265,90,"cps",7,19,18,2574,12,14,1,0,0,18,0.562,0.627,0.366,0.007,18,0.5
1602,102,"cps",7,1,1,11313,15,13,1,0,0,1,0.313,0.98,0,0.02,1,0.249
1930,102,"cps",7,1,2,1802,15,13,1,0,0,1,0.313,1,0,0,1,0.249
1976,90,"cps",7,19,19,879,2,14,1,0,0,18,0.562,1,0,0,18,0.5
