"seccion","munn","edo","edon","disloc2018","disloc2015","pobtot","esc1","esc3","urbana","rural","mixta","SQ","dsi_pob","prop_urbana","prop_rural","prop_mixta","SQ_","dsi_sec"
1,1,"nl",19,20,20,1144,3,1,0,0,1,20,0.657,0.585,0.146,0.268,20,0.78
3,2,"nl",19,21,22,767,1,2,0,0,1,21,0.474,0.47,0.318,0.212,21,0.705
20,4,"nl",19,26,24,7095,2,4,1,0,0,26,0.581,0.407,0.481,0.111,26,0.694
39,5,"nl",19,21,21,16,1,2,1,0,0,21,0.474,0.343,0.313,0.343,21,0.705
63,6,"nl",19,5,16,3790,10,12,0,0,1,16,0.245,0.924,0,0.076,16,0.213
151,7,"nl",19,26,26,2174,4,4,0,0,1,26,0.581,0.108,0.775,0.117,26,0.694
172,9,"nl",19,23,23,2417,25,5,0,0,1,22,0.188,0.563,0.352,0.085,22,0.228
356,19,"nl",19,18,18,2003,23,25,1,0,0,18,0.827,1,0,0,18,0.875
430,21,"nl",19,25,17,4598,13,15,1,0,0,17,0.412,0.961,0.019,0.019,17,0.456
526,26,"nl",19,12,15,284,5,7,1,0,0,12,0.637,1,0,0,12,0.505
580,26,"nl",19,12,12,526,5,7,1,0,0,12,0.637,1,0,0,12,0.505
604,26,"nl",19,14,14,6041,8,10,1,0,0,14,0.445,1,0,0,14,0.354
697,26,"nl",19,15,13,1708,6,8,1,0,0,15,0.285,1,0,0,15,0.361
822,30,"nl",19,24,25,1477,4,3,0,0,1,24,0.327,0.443,0.443,0.115,24,0.31
975,40,"nl",19,11,3,1117,19,19,1,0,0,11,0.111,1,0,0,11,0.169
988,40,"nl",19,4,5,1519,20,20,1,0,0,4,0.463,1,0,0,4,0.44
1014,40,"nl",19,4,4,1476,20,20,1,0,0,4,0.463,1,0,0,4,0.44
1131,40,"nl",19,6,6,137,18,18,1,0,0,6,0.361,1,0,0,6,0.335
1263,40,"nl",19,6,7,295,18,18,1,0,0,6,0.361,1,0,0,6,0.335
1349,40,"nl",19,6,8,750,18,18,1,0,0,6,0.361,1,0,0,6,0.335
1432,40,"nl",19,1,1,2276,16,16,1,0,0,1,0.543,1,0,0,1,0.442
1470,40,"nl",19,2,2,2853,22,22,1,0,0,2,0.406,1,0,0,2,0.376
1766,47,"nl",19,10,11,1594,14,23,1,0,0,11,0.48,1,0,0,11,0.466
1852,47,"nl",19,10,10,2171,14,23,1,0,0,11,0.48,1,0,0,11,0.466
1925,47,"nl",19,9,9,1833,15,24,1,0,0,9,0.81,1,0,0,9,0.796
1999,48,"nl",19,19,19,8475,24,26,1,0,0,19,0.851,0.931,0.028,0.042,19,0.847
