"seccion","munn","edon","disloc2018","disloc2012","pobtot","esc1","esc3","urbana","rural","mixta","pan","pri","prd","SQ","dsi_pob","prop_urbana","prop_rural","prop_mixta","prop_bastion_pan","prop_bastion_pri","prop_bastion_prd","SQ_","dsi_sec"
141,6,17,7,14,2472,12,12,1,0,0,0,0,0,14,0.593,0.935,0.022,0.043,0,0,1,14,0.53
142,6,17,7,14,4136,12,12,1,0,0,0,0,0,14,0.593,0.935,0.022,0.043,0,0,1,14,0.53
143,6,17,7,15,1885,12,12,1,0,0,0,0,0,14,0.593,0.911,0.044,0.044,0,0.375,0.625,14,0.53
144,6,17,7,15,3439,12,12,1,0,0,0,0,0,14,0.593,0.911,0.044,0.044,0,0.375,0.625,14,0.53
145,6,17,7,15,2221,12,12,1,0,0,0,0,0,14,0.593,0.911,0.044,0.044,0,0.375,0.625,14,0.53
146,6,17,7,15,1895,12,12,1,0,0,0,0,0,14,0.593,0.911,0.044,0.044,0,0.375,0.625,14,0.53
147,6,17,7,15,231,12,12,1,0,0,0,0,0,14,0.593,0.911,0.044,0.044,0,0.375,0.625,14,0.53
148,6,17,7,15,1057,12,12,1,0,0,0,0,0,14,0.593,0.911,0.044,0.044,0,0.375,0.625,14,0.53
149,6,17,7,15,1284,12,12,1,0,0,0,0,0,14,0.593,0.911,0.044,0.044,0,0.375,0.625,14,0.53
150,6,17,7,15,1935,11,11,1,0,0,0,0,1,17,0.69,0.911,0.044,0.044,0,0.375,0.625,17,0.614
151,6,17,7,15,2665,11,11,1,0,0,0,0,0,17,0.69,0.911,0.044,0.044,0,0.375,0.625,17,0.614
152,6,17,7,15,1377,11,11,1,0,0,0,0,0,17,0.69,0.911,0.044,0.044,0,0.375,0.625,17,0.614
153,6,17,7,15,3059,11,11,1,0,0,0,0,0,17,0.69,0.911,0.044,0.044,0,0.375,0.625,17,0.614
154,6,17,7,15,2096,12,11,1,0,0,0,0,0,17,0.69,0.911,0.044,0.044,0,0.375,0.625,17,0.614
155,6,17,7,15,1672,12,12,1,0,0,0,0,0,14,0.593,0.911,0.044,0.044,0,0.375,0.625,14,0.53
