"seccion","munn","edo","edon","disloc2018","disloc2010","pobtot","esc1","esc3cg","esc3jge","esc3trib","urbana","rural","mixta","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","SQ","dsi_pob","prop_urbana","prop_rural","prop_mixta","SQ_","dsi_sec"
580,26,"nl",19,12,12,526,5,7,1,0,0,5,1,1,0,0,5,1,5,1,0,0.842,0.158,5,1,5,1,0,0.842,0.158,5,1,5,1,0,0.842,0.158,5,1,16,0.112,0,0.842,0.158,16,0.098
604,26,"nl",19,14,14,6041,8,10,1,0,0,8,1,1,0,0,8,1,8,1,0,0.872,0.128,8,1,8,1,0,0.872,0.128,8,1,8,1,0,0.872,0.128,8,1,16,0.112,0,0.872,0.128,16,0.098
697,26,"nl",19,15,13,1708,6,8,1,0,0,6,1,1,0,0,6,1,6,1,0,0.877,0.123,6,1,6,1,0,0.877,0.123,6,1,6,1,0,0.877,0.123,6,1,16,0.112,0,0.877,0.123,16,0.098
822,30,"nl",19,24,25,1477,4,3,0,0,1,2,0.38,0.443,0.443,0.115,2,0.512,2,0.38,0.043,0.813,0.144,2,0.512,2,0.38,0.043,0.813,0.144,2,0.512,2,0.38,0.043,0.813,0.144,2,0.512,NA,0,0.043,0.813,0.144,NA,0
975,40,"nl",19,11,3,1117,19,19,1,0,0,19,0.983,1,0,0,19,0.974,19,0.983,0,0.955,0.045,19,0.974,19,0.983,0,0.955,0.045,19,0.974,19,0.983,0,0.955,0.045,19,0.974,16,0.112,0,0.955,0.045,16,0.098
988,40,"nl",19,4,5,1519,20,20,1,0,0,20,0.997,1,0,0,20,0.994,20,0.997,0,0.951,0.049,20,0.994,20,0.997,0,0.951,0.049,20,0.994,20,0.997,0,0.951,0.049,20,0.994,16,0.112,0,0.951,0.049,16,0.098
1014,40,"nl",19,4,4,1476,20,20,1,0,0,20,0.997,1,0,0,20,0.994,20,0.997,0,0.953,0.047,20,0.994,20,0.997,0,0.953,0.047,20,0.994,20,0.997,0,0.953,0.047,20,0.994,16,0.112,0,0.953,0.047,16,0.098
1131,40,"nl",19,6,6,137,18,18,1,0,0,18,0.96,1,0,0,18,0.969,18,0.96,0,0.95,0.05,18,0.969,18,0.96,0,0.95,0.05,18,0.969,18,0.96,0,0.95,0.05,18,0.969,16,0.112,0,0.95,0.05,16,0.098
1263,40,"nl",19,6,7,295,18,18,1,0,0,18,0.96,1,0,0,18,0.969,18,0.96,0,0.949,0.051,18,0.969,18,0.96,0,0.949,0.051,18,0.969,18,0.96,0,0.949,0.051,18,0.969,16,0.112,0,0.949,0.051,16,0.098
1349,40,"nl",19,6,8,750,18,18,1,0,0,18,0.96,1,0,0,18,0.969,18,0.96,0,0.945,0.055,18,0.969,18,0.96,0,0.945,0.055,18,0.969,18,0.96,0,0.945,0.055,18,0.969,16,0.112,0,0.945,0.055,16,0.098
1432,40,"nl",19,1,1,2276,16,16,1,0,0,16,1,1,0,0,16,1,16,1,0,0.95,0.05,16,1,16,1,0,0.95,0.05,16,1,16,1,0,0.95,0.05,16,1,16,0.112,0,0.95,0.05,16,0.098
1470,40,"nl",19,2,2,2853,22,22,1,0,0,22,1,1,0,0,22,1,22,1,0,0.955,0.045,22,1,22,1,0,0.955,0.045,22,1,22,1,0,0.955,0.045,22,1,16,0.112,0,0.955,0.045,16,0.098
1766,47,"nl",19,10,11,1594,14,23,1,0,0,14,0.987,1,0,0,14,0.989,14,0.987,0,0.941,0.059,14,0.989,14,0.987,0,0.941,0.059,14,0.989,14,0.987,0,0.941,0.059,14,0.989,16,0.112,0,0.941,0.059,16,0.098
1852,47,"nl",19,10,10,2171,14,23,1,0,0,14,0.987,1,0,0,14,0.989,14,0.987,0,0.94,0.06,14,0.989,14,0.987,0,0.94,0.06,14,0.989,14,0.987,0,0.94,0.06,14,0.989,16,0.112,0,0.94,0.06,16,0.098
1925,47,"nl",19,9,9,1833,15,24,1,0,0,15,0.968,1,0,0,15,0.947,15,0.968,0,0.939,0.061,15,0.947,15,0.968,0,0.939,0.061,15,0.947,15,0.968,0,0.939,0.061,15,0.947,16,0.112,0,0.939,0.061,16,0.098
1999,48,"nl",19,19,19,8475,24,26,1,0,0,24,1,0.931,0.028,0.042,24,1,24,1,0.002,0.958,0.04,24,1,24,1,0.002,0.958,0.04,24,1,24,1,0.002,0.958,0.04,24,1,16,0.112,0.002,0.958,0.04,16,0.098
