"","SECCION","ESC1","ESC2","ESC3","POB_TOT","EDON","DIS_ANT","DIS_NUEVA","URBANO","RURAL","MIXTO","prop_urban","prop_rural","prop_mixto","prop_urban_n","prop_rural_n","prop_mixto_n","SQ","dsiSQ_E1_sec","SQ_","dsiSQ_E1_pob"
"1",186,20,20,20,1464,7,9,9,0,0,1,0.143,0.771,0.086,0.143,0.771,0.086,9,1,9,1
"12",456,17,17,2,3068,7,7,4,1,0,0,0.133,0.796,0.071,0.186,0.797,0.017,7,0.313,7,0.301
"83",1082,22,22,4,2825,7,8,8,1,0,0,0.228,0.772,0,0.174,0.826,0,8,0.537,8,0.562
"161",144,23,23,11,3384,7,10,11,1,0,0,0.227,0.773,0,0.221,0.623,0.156,22,0.169,22,0.176
"180",331,23,23,10,849,7,22,21,1,0,0,0.1,0.87,0.03,0.123,0.852,0.025,22,0.169,22,0.176
"185",381,4,4,11,3063,7,12,11,1,0,0,0.261,0.648,0.091,0.221,0.623,0.156,12,0.655,12,0.601
"206",502,4,4,11,4005,7,13,11,0,1,0,0.232,0.681,0.087,0.221,0.623,0.156,12,0.655,12,0.601
"222",662,23,23,11,2832,7,11,11,0,0,1,0.25,0.531,0.219,0.221,0.623,0.156,22,0.169,22,0.176
"268",1178,18,18,2,731,7,21,4,1,0,0,0.164,0.787,0.049,0.186,0.797,0.017,21,0.579,21,0.505
"318",718,7,7,23,3372,7,20,20,1,0,0,0.175,0.789,0.035,0.135,0.757,0.108,20,0.452,20,0.513
"456",130,10,10,9,6772,7,14,2,1,0,0,0.262,0.544,0.194,0.671,0.257,0.071,14,0.278,14,0.383
"628",68,19,19,23,2233,7,4,20,1,0,0,0.289,0.4,0.311,0.135,0.757,0.108,7,0.455,7,0.434
"687",1113,24,24,1,4271,7,5,5,1,0,0,0.645,0.29,0.065,0.745,0.235,0.02,5,0.823,5,0.829
"780",7,1,1,16,3339,7,3,3,1,0,0,0.354,0.477,0.169,0.367,0.418,0.215,3,0.6,3,0.605
"843",1070,8,8,8,1599,7,6,6,1,0,0,0.376,0.532,0.092,0.488,0.45,0.062,23,0.34,23,0.349
"870",1637,15,15,9,2972,7,1,2,1,0,0,0.984,0,0.016,0.671,0.257,0.071,1,0.213,1,NA
"924",1,5,5,24,5562,7,16,18,0,0,1,0.149,0.603,0.248,0.135,0.646,0.219,17,0.325,17,0.346
"944",88,11,11,6,1760,7,15,15,1,0,0,0.328,0.552,0.121,0.4,0.435,0.165,15,1,15,1
"1089",116,9,9,18,1273,7,17,17,1,0,0,0.06,0.761,0.179,0.068,0.75,0.182,17,0.527,17,0.502
"1390",1930,15,15,13,1802,7,2,1,1,0,0,1,0,0,1,0,0,1,0.213,1,NA
"1471",72,9,9,7,2123,7,23,23,1,0,0,0.219,0.518,0.263,0.081,0.663,0.256,17,0.527,17,0.502
"1663",163,12,12,19,2650,7,24,24,1,0,0,0.299,0.623,0.078,0.218,0.718,0.064,18,0.545,18,NA
"1800",1344,3,3,19,1890,7,18,24,0,1,0,0.625,0.36,0.015,0.218,0.718,0.064,16,0.62,16,NA
"1982",1976,2,2,14,879,7,19,19,1,0,0,1,0,0,0.991,0.009,0,24,0.341,24,0.338
