"seccion","munn","edo","edon","disloc2016","disloc2013","pobtot","esc1","esc3","urbana","rural","mixta","SQ","dsi_pob","prop_urbana","prop_rural","prop_mixta","SQ_","dsi_sec"
1,1,"cua",8,11,1,732,1,1,0,0,1,10,0.634,0.599,0.293,0.109,10,0.534
17,2,"cua",8,11,10,3914,1,1,1,0,0,10,0.634,0.444,0.474,0.083,10,0.534
38,3,"cua",8,20,22,1133,3,2,0,0,1,12,0.853,0.599,0.305,0.096,12,0.734
82,6,"cua",8,13,11,637,5,4,1,0,0,14,0.461,0.295,0.538,0.167,14,0.386
102,7,"cua",8,22,21,1583,6,6,0,0,1,21,0.848,0.113,0.84,0.047,21,0.757
127,9,"cua",8,13,14,241,5,4,1,0,0,14,0.461,0.11,0.766,0.124,14,0.386
175,11,"cua",8,20,12,458,3,2,0,0,1,12,0.853,0.471,0.297,0.232,12,0.734
271,17,"cua",8,14,13,1489,7,7,1,0,0,13,1,0.707,0.259,0.034,13,1
402,19,"cua",8,18,19,924,10,10,1,0,0,19,0.248,1,0,0,19,0.271
437,19,"cua",8,16,18,791,11,11,1,0,0,19,0.358,1,0,0,19,0.424
538,19,"cua",8,18,16,4027,10,10,1,0,0,19,0.248,0.869,0.098,0.033,19,0.271
608,19,"cua",8,12,15,19342,9,9,1,0,0,15,0.633,0.839,0.125,0.036,15,0.596
621,19,"cua",8,12,17,4564,9,9,1,0,0,15,0.633,0.979,0.011,0.011,15,0.596
921,21,"cua",8,19,20,943,8,8,1,0,0,20,1,0.836,0.082,0.082,20,1
1424,37,"cua",8,2,2,7094,16,16,0,0,1,6,0.374,0.995,0,0.005,6,0.264
1445,37,"cua",8,4,3,305,22,21,1,0,0,3,0.326,1,0,0,3,0.399
1562,37,"cua",8,2,6,7702,16,16,0,0,1,6,0.374,0.965,0.018,0.018,6,0.264
1683,37,"cua",8,5,4,9966,19,20,1,0,0,3,0.245,1,0,0,3,0.161
1737,37,"cua",8,5,9,618,19,20,1,0,0,3,0.245,0.991,0.009,0,3,0.161
1753,37,"cua",8,5,7,916,19,20,1,0,0,3,0.245,1,0,0,3,0.161
1989,37,"cua",8,4,5,456,22,21,1,0,0,3,0.326,1,0,0,3,0.399
2732,37,"cua",8,9,8,969,18,17,1,0,0,4,0.205,1,0,0,4,0.322
