"seccion","munn","edon","disloc2017","disloc2015","pobtot","esc1","esc3","urbana","rural","mixta","pan","pri","prd","SQ","dsi_pob","prop_urbana","prop_rural","prop_mixta","prop_bastion_pan","prop_bastion_pri","prop_bastion_prd","SQ_","dsi_sec"
51,11,31,1,8,3135,5,1,1,0,0,0,1,0,8,0.98,0.559,0.22,0.22,0.074,0.926,0,8,0.967
52,11,31,1,8,900,5,1,1,0,0,0,0,0,8,0.98,0.559,0.22,0.22,0.074,0.926,0,8,0.967
53,11,31,1,8,1543,5,1,1,0,0,0,0,0,8,0.98,0.559,0.22,0.22,0.074,0.926,0,8,0.967
54,12,31,5,15,538,6,5,0,0,1,0,0,0,15,0.211,0.374,0.336,0.29,0.138,0.862,0,15,0.237
55,12,31,5,15,1028,6,5,1,0,0,1,0,0,15,0.211,0.374,0.336,0.29,0.138,0.862,0,15,0.237
56,12,31,5,15,972,6,5,1,0,0,0,0,0,15,0.211,0.374,0.336,0.29,0.138,0.862,0,15,0.237
57,12,31,5,15,759,6,5,1,0,0,0,0,0,15,0.211,0.374,0.336,0.29,0.138,0.862,0,15,0.237
58,12,31,5,15,401,6,5,0,1,0,0,1,0,15,0.211,0.374,0.336,0.29,0.138,0.862,0,15,0.237
59,13,31,4,9,2209,3,4,1,0,0,0,1,0,9,0.935,0.652,0.169,0.18,0.067,0.933,0,9,0.933
60,13,31,4,9,1568,3,4,0,0,1,0,0,0,9,0.935,0.652,0.169,0.18,0.067,0.933,0,9,0.933
61,13,31,4,9,2319,3,4,1,0,0,0,0,0,9,0.935,0.652,0.169,0.18,0.067,0.933,0,9,0.933
62,13,31,4,9,1319,3,4,1,0,0,0,1,0,9,0.935,0.652,0.169,0.18,0.067,0.933,0,9,0.933
63,13,31,4,9,139,3,4,0,1,0,0,1,0,9,0.935,0.652,0.169,0.18,0.067,0.933,0,9,0.933
64,13,31,4,9,1591,3,4,0,1,0,0,0,0,9,0.935,0.652,0.169,0.18,0.067,0.933,0,9,0.933
65,14,31,8,15,1314,9,8,1,0,0,0,1,0,11,0.772,0.374,0.336,0.29,0.138,0.862,0,11,0.675
66,14,31,8,15,198,9,8,0,1,0,0,0,0,11,0.772,0.374,0.336,0.29,0.138,0.862,0,11,0.675
67,15,31,7,14,1480,8,7,1,0,0,0,1,0,15,0.299,0.481,0.228,0.291,0.105,0.895,0,15,0.315
68,15,31,7,14,2602,8,7,0,0,1,0,0,0,15,0.299,0.481,0.228,0.291,0.105,0.895,0,15,0.315
69,15,31,7,14,886,8,7,0,1,0,0,0,0,15,0.299,0.481,0.228,0.291,0.105,0.895,0,15,0.315
70,16,31,3,12,2821,9,3,0,0,1,0,1,0,12,0.95,0.5,0.25,0.25,0.147,0.853,0,12,0.961
71,17,31,7,15,1703,9,7,0,0,1,0,1,0,15,0.299,0.374,0.336,0.29,0.138,0.862,0,15,0.315
72,17,31,7,15,1124,9,7,0,1,0,0,0,0,15,0.299,0.374,0.336,0.29,0.138,0.862,0,15,0.315
73,17,31,7,15,867,9,7,0,1,0,0,0,0,15,0.299,0.374,0.336,0.29,0.138,0.862,0,15,0.315
74,17,31,7,15,789,9,7,0,1,0,0,0,0,15,0.299,0.374,0.336,0.29,0.138,0.862,0,15,0.315
75,18,31,9,12,652,8,9,1,0,0,0,1,0,13,0.928,0.5,0.25,0.25,0.147,0.853,0,13,0.899
76,18,31,9,13,1498,8,9,1,0,0,0,0,0,13,0.928,0.516,0.219,0.266,0,1,0,13,0.899
77,18,31,9,13,885,8,9,0,1,0,0,0,0,13,0.928,0.516,0.219,0.266,0,1,0,13,0.899
78,19,31,8,11,4761,1,8,1,0,0,0,0,0,11,0.772,0.469,0.25,0.281,0.065,0.935,0,11,0.675
79,19,31,8,11,2999,1,8,1,0,0,1,0,0,11,0.772,0.469,0.25,0.281,0.065,0.935,0,11,0.675
80,19,31,8,11,2562,1,8,1,0,0,0,0,0,11,0.772,0.469,0.25,0.281,0.065,0.935,0,11,0.675
