"","SECCION","ESC1","ESC2","ESC3","POB_TOT","EDON","DIS_ANT","DIS_NUEVA","URBANO","RURAL","MIXTO","prop_urban","prop_rural","prop_mixto","prop_urban_n","prop_rural_n","prop_mixto_n","SQ","dsiSQ_E1_sec","SQ_","dsiSQ_E1_pob"
"1",1,15,15,11,5884,6,1,6,1,0,0,0.8,0,0.2,0.429,0.179,0.393,6,0.581,6,0.481
"3",3,16,16,12,1916,6,2,2,1,0,0,1,0,0,1,0,0,2,0.593,2,0.493
"49",49,16,16,12,295,6,5,2,1,0,0,0.552,0.207,0.241,1,0,0,2,0.593,2,0.493
"50",50,16,16,9,906,6,3,1,1,0,0,0.393,0.464,0.143,1,0,0,2,0.593,2,0.493
"92",92,1,1,14,2841,6,4,4,0,0,1,0.292,0.333,0.375,0.2,0.4,0.4,4,0.333,4,0.35
"120",120,15,15,11,2463,6,6,6,1,0,0,0.238,0.333,0.429,0.429,0.179,0.393,6,0.581,6,0.481
"138",138,4,4,15,7725,6,7,7,1,0,0,1,0,0,0.923,0,0.077,7,0.3,7,0.49
"160",160,5,5,16,3320,6,8,8,1,0,0,1,0,0,1,0,0,8,0.683,8,0.744
"214",170,2,2,1,2457,6,9,9,0,0,1,0.5,0.077,0.423,0.464,0.107,0.429,9,0.636,9,0.638
"235",200,8,8,4,463,6,13,13,0,0,1,0.923,0,0.077,0.923,0,0.077,13,0.486,13,0.444
"257",222,7,7,2,572,6,14,14,0,1,0,0.15,0.45,0.4,0.31,0.414,0.276,13,0.2,13,0.234
"263",228,7,7,2,2221,6,11,14,0,1,0,0.571,0.214,0.214,0.31,0.414,0.276,13,0.2,13,0.234
"284",249,8,8,3,721,6,12,12,1,0,0,0.765,0.059,0.176,0.833,0,0.167,13,0.486,13,0.444
"312",277,10,10,6,4006,6,10,10,0,0,1,0.579,0.105,0.316,0.882,0,0.118,10,0.333,10,0.31
"315",280,10,10,6,10229,6,15,10,0,0,1,0.812,0.062,0.125,0.882,0,0.118,10,0.333,10,0.31
"330",295,12,12,7,917,6,16,16,1,0,0,0.5,0.25,0.25,0.312,0.438,0.25,16,0.3,16,0.261
