"","SECCION","ESC1","ESC2","ESC3","POB_TOT","EDON","DIS_ANT","DIS_NUEVA","URBANO","RURAL","MIXTO","prop_urban","prop_rural","prop_mixto","prop_urban_n","prop_rural_n","prop_mixto_n"
"1",186,20,20,20,1464,7,9,9,0,0,1,0.143,0.771,0.086,0.143,0.771,0.086
"2",187,20,20,20,1961,7,9,9,1,0,0,0.143,0.771,0.086,0.143,0.771,0.086
"3",188,20,20,20,1828,7,9,9,0,1,0,0.143,0.771,0.086,0.143,0.771,0.086
"4",189,20,20,20,1091,7,9,9,0,1,0,0.143,0.771,0.086,0.143,0.771,0.086
"5",190,20,20,20,756,7,9,9,0,1,0,0.143,0.771,0.086,0.143,0.771,0.086
"6",191,20,20,20,652,7,9,9,0,1,0,0.143,0.771,0.086,0.143,0.771,0.086
"7",192,20,20,20,1578,7,9,9,0,1,0,0.143,0.771,0.086,0.143,0.771,0.086
"8",193,20,20,20,2818,7,9,9,0,1,0,0.143,0.771,0.086,0.143,0.771,0.086
"9",194,20,20,20,2262,7,9,9,0,1,0,0.143,0.771,0.086,0.143,0.771,0.086
"10",195,20,20,20,1389,7,9,9,0,1,0,0.143,0.771,0.086,0.143,0.771,0.086
"11",196,20,20,20,850,7,9,9,0,1,0,0.143,0.771,0.086,0.143,0.771,0.086
"12",456,17,17,2,3068,7,7,4,1,0,0,0.133,0.796,0.071,0.186,0.797,0.017
"13",457,17,17,2,2969,7,7,4,1,0,0,0.133,0.796,0.071,0.186,0.797,0.017
"14",458,17,17,2,3404,7,7,4,0,1,0,0.133,0.796,0.071,0.186,0.797,0.017
"15",459,17,17,2,3018,7,7,4,0,1,0,0.133,0.796,0.071,0.186,0.797,0.017
"16",460,17,17,2,1615,7,7,4,0,1,0,0.133,0.796,0.071,0.186,0.797,0.017
"17",461,17,17,2,4055,7,7,4,0,1,0,0.133,0.796,0.071,0.186,0.797,0.017
"18",462,17,17,2,4593,7,7,4,0,1,0,0.133,0.796,0.071,0.186,0.797,0.017
"19",463,17,17,2,3464,7,7,4,0,1,0,0.133,0.796,0.071,0.186,0.797,0.017
"20",464,17,17,2,3962,7,7,4,0,1,0,0.133,0.796,0.071,0.186,0.797,0.017
"21",465,17,17,2,3372,7,7,4,0,1,0,0.133,0.796,0.071,0.186,0.797,0.017
"22",466,17,17,2,2934,7,7,4,0,1,0,0.133,0.796,0.071,0.186,0.797,0.017
"23",467,17,17,2,2557,7,7,4,0,1,0,0.133,0.796,0.071,0.186,0.797,0.017
"24",468,17,17,2,1817,7,7,4,0,1,0,0.133,0.796,0.071,0.186,0.797,0.017
"25",469,17,17,2,2564,7,7,4,0,1,0,0.133,0.796,0.071,0.186,0.797,0.017
"26",470,17,17,2,2537,7,7,4,0,1,0,0.133,0.796,0.071,0.186,0.797,0.017
"27",471,17,17,2,4725,7,7,4,0,1,0,0.133,0.796,0.071,0.186,0.797,0.017
"28",472,17,17,2,2131,7,7,4,0,1,0,0.133,0.796,0.071,0.186,0.797,0.017
"29",473,17,17,2,4404,7,7,4,0,1,0,0.133,0.796,0.071,0.186,0.797,0.017
"30",474,17,17,2,1175,7,7,4,0,1,0,0.133,0.796,0.071,0.186,0.797,0.017
"31",475,17,17,2,2488,7,7,4,0,1,0,0.133,0.796,0.071,0.186,0.797,0.017
"32",476,17,17,2,3134,7,7,4,0,1,0,0.133,0.796,0.071,0.186,0.797,0.017
"33",477,17,17,2,4163,7,7,4,0,1,0,0.133,0.796,0.071,0.186,0.797,0.017
"34",478,17,17,2,5606,7,7,4,0,1,0,0.133,0.796,0.071,0.186,0.797,0.017
"35",479,17,17,2,2321,7,7,4,0,1,0,0.133,0.796,0.071,0.186,0.797,0.017
"36",480,17,17,2,2570,7,7,4,0,1,0,0.133,0.796,0.071,0.186,0.797,0.017
"37",481,17,17,2,5397,7,7,4,0,1,0,0.133,0.796,0.071,0.186,0.797,0.017
"38",482,17,17,2,5255,7,7,4,0,1,0,0.133,0.796,0.071,0.186,0.797,0.017
"39",483,17,17,2,2093,7,7,4,0,1,0,0.133,0.796,0.071,0.186,0.797,0.017
