"","seccion","munn","edon","dis_nueva","dis_anterior","pob","esc1","esc3","urbana","rural","mixta","SQ","dsi_pob","prop_urbana","prop_rural","prop_mixta","SQ_","dsi_sec"
"1",1,1,1,11,6,2331,11,11,1,0,0,11,1,0.975,0,0.025,11,1
"2",19,1,1,13,10,1189,13,13,1,0,0,13,1,0.907,0.047,0.047,13,1
"3",28,1,1,12,11,465,12,12,1,0,0,12,1,1,0,0,12,1
"4",40,1,1,10,10,1473,10,10,1,0,0,10,1,0.907,0.047,0.047,10,1
"5",80,1,1,16,5,8392,16,16,0,0,1,16,1,0.833,0,0.167,16,1
"6",83,1,1,7,12,12481,7,7,0,0,1,7,1,0.684,0,0.316,7,1
"7",93,1,1,8,15,944,8,8,1,0,0,8,1,1,0,0,8,1
"8",125,1,1,15,15,1195,15,15,1,0,0,15,1,1,0,0,15,1
"9",126,1,1,9,15,2765,9,9,1,0,0,9,1,1,0,0,9,1
"10",161,1,1,6,11,6468,6,6,1,0,0,6,1,1,0,0,6,1
"11",246,1,1,14,17,1295,14,14,1,0,0,14,1,1,0,0,14,1
"12",338,2,1,2,2,2367,2,2,0,0,1,2,1,0.04,0.68,0.28,2,1
"13",355,3,1,3,8,1568,3,3,0,0,1,3,1,0.344,0.469,0.188,3,1
"14",387,4,1,4,1,3725,4,4,1,0,0,4,1,0.353,0.353,0.294,4,1
"15",392,5,1,18,7,8231,18,18,0,0,1,18,1,0.375,0.438,0.188,18,1
"16",400,5,1,17,4,1962,17,17,0,0,1,17,1,0.25,0.312,0.438,17,1
"17",415,6,1,1,3,6799,1,1,0,0,1,1,1,0.444,0.407,0.148,1,1
"18",508,1,1,5,12,830,5,5,1,0,0,5,1,0.684,0,0.316,5,1
"19",1,1,2,15,14,1952,7,7,1,0,0,7,1,0.901,0.079,0.02,7,1
"20",11,1,2,16,14,2910,6,6,1,0,0,6,1,0.901,0.079,0.02,6,1
"21",126,1,2,17,15,19001,8,8,1,0,0,8,1,0.72,0.271,0.009,8,1
"22",211,2,2,4,1,948,1,1,1,0,0,1,1,1,0,0,1,1
"23",217,2,2,3,2,389,5,5,1,0,0,5,1,1,0,0,5,1
"24",375,2,2,2,4,1012,4,4,1,0,0,4,1,0.973,0.027,0,4,1
"25",495,2,2,5,6,1785,3,3,1,0,0,3,1,0.792,0.092,0.117,3,1
"26",549,2,2,1,5,1043,2,2,0,1,0,2,1,0.481,0.321,0.198,2,1
"27",694,3,2,6,7,1939,12,12,1,0,0,12,1,0.61,0.073,0.317,12,1
"28",735,4,2,11,8,2750,16,16,1,0,0,16,1,0.949,0.036,0.014,16,1
"29",739,4,2,10,8,1284,11,11,1,0,0,11,1,0.949,0.036,0.014,11,1
"30",869,4,2,9,12,563,13,13,1,0,0,13,1,1,0,0,13,1
"31",964,4,2,8,10,1067,17,17,1,0,0,17,1,1,0,0,17,1
"32",966,4,2,12,10,1247,9,9,1,0,0,9,1,1,0,0,9,1
"33",1005,4,2,13,10,1120,14,14,1,0,0,14,1,1,0,0,14,1
"34",1049,4,2,7,13,7721,10,10,1,0,0,10,1,0.93,0.053,0.017,10,1
"35",1158,4,2,14,13,3528,15,15,1,0,0,15,1,0.93,0.053,0.017,15,1
"36",1,1,3,4,9,864,4,4,1,0,0,4,0.308,0.7,0.05,0.25,4,0.35
"37",3,1,3,4,9,2154,2,4,1,0,0,4,0.308,0.7,0.05,0.25,4,0.35
"38",48,1,3,4,11,1536,3,4,0,1,0,4,0.308,0.25,0.417,0.333,4,0.35
"39",75,2,3,1,13,1123,1,1,0,0,1,3,0.23,0.529,0.235,0.235,3,0.233
"40",121,3,3,12,1,1400,12,12,0,0,1,12,1,0.947,0,0.053,12,1
"41",122,3,3,11,1,949,11,11,1,0,0,11,1,0.947,0,0.053,11,1
"42",175,3,3,16,2,1638,16,16,1,0,0,16,1,1,0,0,16,1
"43",184,3,3,15,3,295,15,15,1,0,0,15,1,0.957,0,0.043,15,1
"44",186,3,3,13,3,1024,13,13,1,0,0,13,1,0.957,0,0.043,13,1
"45",290,4,3,9,16,1536,9,9,0,0,1,9,1,0.75,0,0.25,9,1
"46",291,4,3,8,16,2167,8,8,1,0,0,8,1,0.75,0,0.25,8,1
"47",299,4,3,10,7,1467,10,10,1,0,0,10,1,0.667,0.222,0.111,10,1
"48",317,4,3,5,16,1785,5,5,1,0,0,5,1,0.75,0,0.25,5,1
"49",332,4,3,6,8,11664,6,6,1,0,0,6,1,0.928,0.014,0.058,6,1
"50",355,4,3,7,8,1833,7,7,1,0,0,7,1,0.928,0.014,0.058,7,1
"51",1,1,4,11,2,730,9,11,1,0,0,9,0.452,1,0,0,9,0.5
"52",4,1,4,5,2,14373,10,5,1,0,0,10,1,1,0,0,10,1
"53",17,1,4,7,7,7054,7,7,0,0,1,7,0.723,0.143,0.667,0.19,7,0.5
"54",42,1,4,8,3,1330,5,8,1,0,0,5,0.795,1,0,0,5,0.7
"55",53,1,4,9,5,1229,6,9,1,0,0,6,0.708,0.958,0,0.042,6,0.538
"56",56,1,4,6,5,1053,13,6,1,0,0,13,0.966,0.958,0,0.042,13,0.957
"57",89,1,4,10,5,1147,12,10,1,0,0,12,0.305,0.958,0,0.042,12,0.326
"58",136,1,4,10,6,348,8,10,0,1,0,12,0.305,0.346,0.462,0.192,12,0.326
"59",147,2,4,1,17,2181,1,1,0,0,1,1,0.735,0.625,0.083,0.292,1,0.733
"60",157,2,4,3,19,754,3,3,0,1,0,3,0.664,0.267,0.533,0.2,3,0.649
"61",172,2,4,1,17,1908,2,1,0,1,0,1,0.735,0.625,0.083,0.292,1,0.733
"62",183,3,4,15,11,7130,14,15,1,0,0,19,0.52,1,0,0,19,0.571
"63",184,3,4,15,11,6256,19,15,1,0,0,19,0.52,1,0,0,19,0.571
"64",187,3,4,12,9,1834,17,12,1,0,0,17,0.666,1,0,0,17,0.6
"65",216,3,4,17,8,1002,18,17,1,0,0,14,0.518,1,0,0,14,0.562
"66",230,3,4,13,11,8216,15,13,1,0,0,15,1,1,0,0,15,1
"67",250,3,4,14,12,3209,16,14,0,0,1,16,1,0.364,0.455,0.182,16,1
"68",273,10,4,4,14,3519,4,4,0,1,0,4,1,0.133,0.833,0.033,4,1
"69",303,4,4,21,15,951,11,21,1,0,0,11,0.924,0.68,0.24,0.08,11,0.852
