"edon","disloc2018","disloc2012","dsi_pob","P_Total"
16,14,19,0.885712448835266,1889
16,10,21,0.849808324205915,2596
16,12,8,0.774248695339212,1894
16,9,2,0.758874421399437,1073
16,2,13,1,986
16,11,23,0.627933908644396,2653
16,8,3,1,1459
16,16,22,0.858750014240632,2906
16,1,4,0.907199912896297,1475
16,6,18,0.709673399505873,3422
16,4,7,0.215455134371135,875
16,15,9,0.43619700798139,1362
16,15,5,0.43619700798139,744
16,5,1,0.849343419237189,1178
16,4,15,0.215455134371135,2060
16,3,12,0.613420382647274,6009
16,18,24,1,10135
16,20,10,0.688235425558063,1544
16,21,11,0.456853257757089,1116
16,19,17,0.466948622229894,358
16,19,16,0.466948622229894,412
16,11,20,0.627933908644396,3297
16,4,14,0.215455134371135,3146
16,17,6,1,2485
