"edon","disloc2018","disloc1996","dsi_pob","P_Total"
15,14,13,0.416021641380062,1958
15,39,39,0.834159946067365,2688
15,9,8,0.445161453659607,1222
15,45,45,0.314139431514887,2225
15,7,5,0.509590898424259,2665
15,10,10,0.525521157162465,2417
15,9,9,0.445161453659607,2162
15,28,28,0.541284803922994,1664
15,20,20,0.611399350876783,2255
15,23,23,0.854246005502192,3793
15,4,6,0.455295391046302,2914
15,29,16,0.178579022758779,1678
15,38,38,0.446382292376232,4059
15,9,34,0.445161453659607,3706
15,1,27,0.460506307824018,2480
15,12,36,0.254055404764982,6236
15,19,19,0.505982461811679,852
15,43,43,0.636741770474372,2229
15,14,14,0.416021641380062,2660
15,35,35,0.759953568615445,3441
15,5,40,0.213513339496597,5551
15,3,31,0.388007874326451,4673
15,10,11,0.525521157162465,3835
15,21,21,0.567761246203928,2378
15,22,22,0.475797994090474,4157
15,42,42,0.616190329356896,2471
15,6,33,0.401984298863021,3882
15,17,17,0.672982298479478,2586
15,17,44,0.672982298479478,2967
15,15,15,0.333496556855269,1659
15,15,3,0.333496556855269,3322
15,7,7,0.509590898424259,2311
15,4,4,0.455295391046302,3157
15,32,30,0.575658084339433,1832
15,29,29,0.178579022758779,1436
15,25,25,0.325467470497342,4958
15,41,32,0.579377170228243,2438
15,41,41,0.579377170228243,1695
15,24,24,0.565648649243224,1647
15,24,26,0.565648649243224,1975
15,13,12,0.335759226520998,1681
15,37,37,0.358911534910502,9693
15,18,18,0.596664724581685,1688
15,34,2,0.338778227977219,2997
15,34,1,0.338778227977219,681
