"edon","disloc2016","disloc2013","dsi_pob","P_Total"
29,11,3,0.544439694656489,1538
29,11,2,0.544439694656489,3165
29,17,15,0.547732552511857,1335
29,17,16,0.547732552511857,2516
29,10,12,0.430957432401932,889
29,10,14,0.430957432401932,270
29,2,17,0.316096356826694,1327
29,8,13,1,5522
29,19,19,0.541268052617055,4229
29,12,4,0.867046680018487,2001
29,12,5,0.867046680018487,2471
29,18,18,0.513321296996609,4978
29,4,11,0.403733768097638,2481
29,4,10,0.403733768097638,3562
29,9,7,0.6657854245349,2550
29,7,9,0.736001046922484,1627
29,13,6,0.86709805159402,6141
29,14,1,0.283887220230598,1097
29,3,8,0.891846446700508,3126
