"edon","disloc2017","disloc2005","dsi_pob","P_Total"
18,1,18,0.776477254330581,767
18,16,7,0.716118580313582,835
18,16,13,0.716118580313582,548
18,18,14,0.444149836398511,23216
18,15,8,0.515391020303593,1166
18,3,6,0.248664000086718,2092
18,1,16,0.776477254330581,1308
18,10,9,0.772233962534475,2597
18,13,3,0.15128411185921,2125
18,5,10,0.491164335147042,1064
18,5,11,0.491164335147042,1230
18,5,12,0.491164335147042,506
18,2,17,0.658121638394704,829
18,6,5,0.273764314739564,1533
18,8,2,0.624670712327891,2510
18,9,1,0.735071488645921,535
18,6,4,0.273764314739564,1798
18,4,15,0.482101542416452,1056
