"edon","disloc2013","disloc2016","dsi_pob","P_Total"
1,6,11,0.604616384118462,2331
1,10,11,0.604616384118462,1986
1,11,12,0.723280850841979,465
1,5,16,0.0744848837922365,8392
1,0,16,0.0744848837922365,24709
1,12,7,0.797884517858437,12481
1,15,16,0.0744848837922365,2771
1,13,8,0.434282863989764,2727
1,16,9,0.211402852099334,967
1,14,9,0.211402852099334,13928
1,17,10,0.674123475609756,499
1,9,10,0.674123475609756,959
1,18,6,0.727957471506965,4705
1,2,2,1,2367
1,8,3,0.865245624391723,1568
1,1,4,0.883703958691911,3725
1,7,18,1,8231
1,4,17,1,1962
1,3,1,1,6799
