"edon","disloc2012","disloc2012.1","dsi_pob","P_Total"
9,5,5,0.349132032796155,905
9,3,3,0.645543106142029,701
9,26,26,0.27000239608733,1668
9,32,32,0.27000239608733,1497
9,30,30,0.27000239608733,1002
9,20,20,0.559397188481585,4007
9,1,1,0.810787489379779,3366
9,2,2,0.810787489379779,2844
9,7,7,0.433064040391172,856
9,4,4,0.800035878133938,1003
9,6,6,0.800035878133938,1328
9,15,15,0.690041378503648,1025
9,14,14,0.690041378503648,1051
9,24,24,0.66071366247618,1322
9,21,21,0.66071366247618,890
9,19,19,0.316257680917219,1670
9,22,22,0.579425851515141,1359
9,28,28,0.66071366247618,1591
9,29,29,0.316257680917219,1187
9,27,27,0.931420114732088,2283
9,31,31,0.773091134075086,1926
9,33,33,1,1166
9,34,34,0.886050625531592,2025
9,18,18,0.776254452126545,1770
9,23,23,0.589479938551906,1141
9,25,25,0.776254452126545,500
9,35,35,0.889062967728893,3458
9,38,38,0.688878965069707,1105
9,37,37,0.801666830155365,1330
9,40,40,0.801666830155365,2682
9,39,39,0.367854464167537,1570
9,36,36,0.638856035548428,1996
9,16,16,0.581509039037748,1860
9,17,17,0.581509039037748,1496
9,13,13,0.648175259849092,1429
9,9,9,0.865326353266167,2871
9,12,12,0.865326353266167,1528
9,8,8,0.45686436310636,280
9,10,10,0.806763034474583,1442
9,11,11,0.806763034474583,878
