"edon","disloc2018","disloc2015","dsi_pob","P_Total"
12,8,8,0.997951935291525,1622
12,4,4,1,878
12,5,5,1,1530
12,3,3,1,1251
12,9,9,1,6223
12,6,6,1,2464
12,7,7,1,1360
12,26,26,0.887719920544835,3881
12,17,17,1,1519
12,28,28,0.905141202027516,2557
12,27,27,0.931338582677165,1247
12,20,20,1,728
12,18,18,1,1844
12,23,23,1,1259
12,10,10,1,1007
12,14,14,1,4404
12,15,15,0.971477527349414,1370
12,12,12,0.997806550731613,675
12,25,25,0.884326694682989,7040
12,1,1,1,10726
12,2,2,1,3651
12,19,19,1,1868
12,22,22,1,6477
12,11,11,1,650
12,13,13,1,2105
12,24,24,1,1365
12,16,16,1,6660
12,21,21,1,1853
