"edon","disloc2017","disloc2015","dsi_pob","P_Total"
31,1,8,0.947479085983341,1645
31,2,14,0.30051269723125,2691
31,3,12,0.980476811766101,1925
31,4,9,0.945754995861417,17
31,5,9,0.945754995861417,882
31,6,11,0.774330560825581,1965
31,7,15,0.327030042495939,189
31,8,15,0.327030042495939,1591
31,9,12,0.980476811766101,789
31,15,4,0.942144395238289,109
31,14,5,0.722264682903631,1115
31,13,3,0.265888911009357,1161
31,10,3,0.265888911009357,941
31,12,1,0.404588956783073,936
31,11,2,0.331226843659948,1253
