"edon","disloc2016","disloc2010","dsi_pob","P_Total"
10,3,16,0.294240568099489,513
10,1,8,0.647703470348711,760
10,6,15,0.339471355469201,2572
10,11,2,0.550923841128423,9095
10,11,1,0.550923841128423,905
10,11,6,0.550923841128423,2495
10,8,3,0.415286886986488,1165
10,9,5,0.213758674285978,835
10,9,4,0.213758674285978,633
10,6,14,0.339471355469201,1271
10,15,11,0.724147357103155,1328
10,15,12,0.724147357103155,2814
10,13,13,0.509690970719746,1602
10,13,10,0.509690970719746,14035
10,6,17,0.339471355469201,2281
10,7,9,0.356803031560313,8932
10,1,7,0.647703470348711,1079
