"edon","disloc2016","disloc2013","dsi_pob","P_Total"
32,14,14,0.317819290005883,409
32,13,14,0.317819290005883,902
32,2,3,0.404299027169978,5243
32,16,12,0.849618774671497,1158
32,12,18,0.809565477698206,904
32,11,6,0.573961562306262,1140
32,17,16,1,697
32,7,11,0.312971196597719,3622
32,5,11,0.312971196597719,4355
32,6,11,0.312971196597719,1471
32,18,17,0.82326249428034,1289
32,8,6,0.573961562306262,1140
32,3,4,0.786290441429315,2266
32,4,4,0.786290441429315,2790
32,10,7,0.531498826876536,3573
32,9,9,0.766457140196489,2608
32,15,13,1,1482
32,1,1,0.385987683053457,2814
