"edon","disloc2015","disloc2018","dsi_pob","P_Total"
6,1,6,0.484284030431832,5884
6,2,2,0.381246950307724,1916
6,5,2,0.381246950307724,295
6,3,1,0.297778429503629,906
6,4,4,0.343164947776391,2841
6,6,6,0.484284030431832,2463
6,7,7,0.677612244897959,7725
6,8,8,0.744193359047459,3320
6,9,9,0.620295873345445,2457
6,13,13,0.767192008879023,463
6,14,14,0.253775632224634,572
6,11,14,0.253775632224634,2221
6,12,12,0.24805231988668,721
6,10,10,0.310306514761384,4006
6,15,10,0.310306514761384,10229
6,16,16,0.260863023088626,917
