"edon","disloc2018","disloc2015","dsi_pob","P_Total"
19,20,20,0.615865747261476,1144
19,21,22,0.366868097072998,767
19,26,24,0.58123618041552,7095
19,21,21,0.366868097072998,16
19,5,16,0.334113822249821,3790
19,26,26,0.58123618041552,2174
19,23,23,0.265664783868419,2417
19,18,18,0.826603047810688,2003
19,25,17,0.459966810246166,4598
19,12,15,0.636562706377147,284
19,12,12,0.636562706377147,526
19,14,14,0.499266905821586,6041
19,15,13,0.2846813755105,1708
19,24,25,0.0652290582130281,1477
19,11,3,0.111461111537941,1117
19,4,5,0.463332798362991,1519
19,4,4,0.463332798362991,1476
19,6,6,0.361310165182915,137
19,6,7,0.361310165182915,295
19,6,8,0.361310165182915,750
19,1,1,0.542779948768768,2276
19,2,2,0.405726700511172,2853
19,10,11,0.479950134050838,1594
19,10,10,0.479950134050838,2171
19,9,9,0.809609478332997,1833
19,19,19,0.851220139606468,8475
