"edon","disloc2016","disloc2007","dsi_pob","P_Total"
30,1,10,0.0348733894963605,2034
30,3,20,0.0265056715670354,2056
30,3,NA,0.0265056715670354,3599
30,3,8,0.0265056715670354,1839
30,3,12,0.0265056715670354,1137
30,3,28,0.0265056715670354,2779
30,6,13,0.0374648410520101,1272
30,2,1,0.0351274853751808,1091
30,10,2,0.0397219693479449,1016
30,5,14,0.035906597325794,1389
30,4,27,0.030587146713727,3234
30,10,23,0.0397219693479449,3100
30,1,25,0.0348733894963605,3192
30,11,24,0.0383015457932413,637
30,29,19,0.0361550452021646,1360
30,15,29,0.02865402110157,1626
30,17,6,0.0330640653037779,1574
30,13,7,0.0320102810222323,1064
30,23,3,0.0268878295347533,2148
30,27,5,0.0379169255956149,1403
