"edon","disloc2017","disloc2013","dsi_pob","P_Total"
25,3,3,0.35737695681163,19421
25,3,4,0.35737695681163,1123
25,2,8,0.64884300239703,1151
25,23,11,0.459125735946447,649
25,11,21,0.63613235825056,508
25,19,16,0.35112958226769,522
25,18,24,0.243175944258876,162
25,20,12,0.441445205554761,322
25,17,13,0.318462910128388,265
25,17,14,0.318462910128388,466
25,1,1,0.73762049898017,653
25,19,17,0.35112958226769,307
25,10,23,0.442407414573739,973
25,1,2,0.73762049898017,633
25,6,6,0.422371234561171,513
25,4,7,0.601129924597332,580
25,11,20,0.63613235825056,752
25,14,19,0.247341912303459,1105
25,23,10,0.459125735946447,240
25,10,22,0.442407414573739,388
25,2,9,0.64884300239703,788
25,19,18,0.35112958226769,516
25,5,5,0.778833462908387,409
25,24,15,0.680481374965763,593
