"edon","disloc2018","disloc2012","dsi_pob","P_Total"
27,6,1,0.487846651557878,3737
27,3,19,0.776259314218244,1801
27,3,2,0.776259314218244,2913
27,21,3,1,1395
27,11,20,0.237154933683137,19842
27,11,4,0.237154933683137,4328
27,11,21,0.237154933683137,4098
27,12,5,0.132940894441041,780
27,18,6,0.62424131147541,2422
27,14,7,0.816316874243141,3961
27,9,8,0.303384194851291,2839
27,5,9,0.602031873621926,2165
27,8,10,0.369570232184946,2543
27,19,11,0.695432811211871,1604
27,9,12,0.303384194851291,2435
27,7,13,0.634843493126011,2761
27,1,14,1,1232
27,20,15,0.714067845513375,2504
27,8,16,0.369570232184946,2816
27,13,17,0.535646416354944,1921
27,6,18,0.487846651557878,807
