"edon","disloc2018","disloc2012","dsi_pob","P_Total"
11,18,13,0.455080603539877,1916
11,22,22,0.740157830118575,4518
11,9,9,0.482179835533797,6511
11,22,17,0.740157830118575,1599
11,2,2,1,1049
11,16,16,0.52314284702466,21909
11,16,15,0.52314284702466,27673
11,10,18,0.491202508249756,1590
11,19,21,0.620617392001729,1725
11,1,1,0.859966455223287,2342
11,8,8,0.49304806080507,1199
11,18,19,0.455080603539877,1407
11,11,11,0.443856213890299,5611
11,11,12,0.443856213890299,7981
11,3,4,0.368778891711664,5543
11,3,3,0.368778891711664,6337
11,7,7,0.17609484215235,1521
11,7,5,0.17609484215235,759
11,7,6,0.17609484215235,793
11,20,20,0.657550619169867,2667
11,10,10,0.491202508249756,4937
11,14,14,0.346878420848194,2742
