"seccion","edon.x","edo","munn.x","disfed1979","disfed1997","disfed2006","disfed2018","disloc2018","disloc2015","X","edon.y","munn.y","escenario1","escenario2","escenario3","pan_clv1","prd_cnv1","pan_clv2","prd_clv2","esc1_panCLV1","esc1_prdCNV1","esc2_panCLV2","esc2_prdCLV2","SQ","dsiSQ_E3"
32,24,"san",2,4,3,3,3,11,11,32,24,2,7,9,3,9,7,9,3,0,1,1,0,11,0.688
33,24,"san",2,4,3,3,3,11,11,33,24,2,7,9,3,9,7,9,3,0,1,1,0,11,0.688
34,24,"san",3,4,7,7,7,14,14,34,24,3,5,12,4,12,5,12,4,0,1,1,0,14,1
35,24,"san",3,4,7,7,7,14,14,35,24,3,5,12,4,12,5,12,4,0,1,1,0,14,1
36,24,"san",3,4,7,7,7,14,14,36,24,3,5,12,4,12,5,12,4,0,1,1,0,14,1
37,24,"san",3,4,7,7,7,14,14,37,24,3,5,12,4,12,5,12,4,0,1,1,0,14,1
38,24,"san",3,4,7,7,7,14,14,38,24,3,5,12,4,12,5,12,4,0,1,1,0,14,1
39,24,"san",3,4,7,7,7,14,14,39,24,3,5,12,4,12,5,12,4,0,1,1,0,14,1
40,24,"san",3,4,7,7,7,14,14,40,24,3,5,12,4,12,5,12,4,0,1,1,0,14,1
41,24,"san",3,4,7,7,7,14,14,41,24,3,5,12,4,12,5,12,4,0,1,1,0,14,1
42,24,"san",3,4,7,7,7,14,14,42,24,3,5,12,4,12,5,12,4,0,1,1,0,14,1
43,24,"san",3,4,7,7,7,14,14,43,24,3,5,12,4,12,5,12,4,0,1,1,0,14,1
44,24,"san",3,4,7,7,7,14,14,44,24,3,5,12,4,12,5,12,4,0,1,1,0,14,1
45,24,"san",3,4,7,7,7,14,14,45,24,3,5,12,4,12,5,12,4,0,1,1,0,14,1
46,24,"san",3,4,7,7,7,14,14,46,24,3,5,12,4,12,5,12,4,0,1,1,0,14,1
47,24,"san",3,4,7,7,7,14,14,47,24,3,5,12,4,12,5,12,4,0,1,1,0,14,1
48,24,"san",3,4,7,7,7,14,14,48,24,3,5,12,4,12,5,12,4,0,1,1,0,14,1
49,24,"san",3,4,7,7,7,14,14,49,24,3,5,12,4,12,5,12,4,0,1,1,0,14,1
50,24,"san",3,4,7,7,7,14,14,50,24,3,5,12,4,12,5,12,4,0,1,1,0,14,1
51,24,"san",3,4,7,7,7,14,14,51,24,3,5,12,4,12,5,12,4,0,1,1,0,14,1
52,24,"san",3,4,7,7,7,14,14,52,24,3,5,12,4,12,5,12,4,0,1,1,0,14,1
53,24,"san",3,4,7,7,7,14,14,53,24,3,5,12,4,12,5,12,4,0,1,1,0,14,1
54,24,"san",3,4,7,7,7,14,14,54,24,3,5,12,4,12,5,12,4,0,1,1,0,14,1
55,24,"san",3,4,7,7,7,14,14,55,24,3,5,12,4,12,5,12,4,0,1,1,0,14,1
56,24,"san",3,4,7,7,7,14,14,56,24,3,5,12,4,12,5,12,4,0,1,1,0,14,1
57,24,"san",3,4,7,7,7,14,14,57,24,3,5,12,4,12,5,12,4,0,1,1,0,14,1
58,24,"san",3,4,7,7,7,14,14,58,24,3,5,12,4,12,5,12,4,0,1,1,0,14,1
59,24,"san",3,4,7,7,7,14,14,59,24,3,5,12,4,12,5,12,4,0,1,1,0,14,1
60,24,"san",4,4,2,2,3,3,2,60,24,4,4,14,2,14,4,14,2,0,1,1,0,3,0.717
61,24,"san",4,4,2,2,3,3,2,61,24,4,4,14,2,14,4,14,2,0,1,1,0,3,0.717
62,24,"san",4,4,2,2,3,3,2,62,24,4,4,14,2,14,4,14,2,0,1,1,0,3,0.717
63,24,"san",4,4,2,2,3,3,2,63,24,4,4,14,2,14,4,14,2,0,1,1,0,3,0.717
64,24,"san",4,4,2,2,3,3,2,64,24,4,4,14,2,14,4,14,2,0,1,1,0,3,0.717
65,24,"san",4,4,2,2,3,3,2,65,24,4,4,14,2,14,4,14,2,0,1,1,0,3,0.717
66,24,"san",4,4,2,2,3,3,2,66,24,4,4,14,2,14,4,14,2,0,1,1,0,3,0.717
67,24,"san",4,4,2,2,3,3,2,67,24,4,4,14,2,14,4,14,2,0,1,1,0,3,0.717
68,24,"san",4,4,2,2,3,3,2,68,24,4,4,14,2,14,4,14,2,0,1,1,0,3,0.717
69,24,"san",4,4,2,2,3,3,2,69,24,4,4,14,2,14,4,14,2,0,1,1,0,3,0.717
70,24,"san",4,4,2,2,3,3,2,70,24,4,4,14,2,14,4,14,2,0,1,1,0,3,0.717
71,24,"san",4,4,2,2,3,3,2,71,24,4,4,14,2,14,4,14,2,0,1,1,0,3,0.717
72,24,"san",4,4,2,2,3,3,2,72,24,4,4,14,2,14,4,14,2,0,1,1,0,3,0.717
73,24,"san",4,4,2,2,3,3,2,73,24,4,4,14,2,14,4,14,2,0,1,1,0,3,0.717
75,24,"san",4,4,2,2,3,3,2,74,24,4,4,14,2,14,4,14,2,0,1,1,0,3,0.717
76,24,"san",4,4,2,2,3,3,2,75,24,4,4,14,2,14,4,14,2,0,1,1,0,3,0.717
77,24,"san",4,4,2,2,3,3,2,76,24,4,4,14,2,14,4,14,2,0,1,1,0,3,0.717
78,24,"san",5,4,3,3,3,11,11,77,24,5,7,9,3,9,7,9,3,0,1,1,0,11,0.688
79,24,"san",5,4,3,3,3,11,11,78,24,5,7,9,3,9,7,9,3,0,1,1,0,11,0.688
80,24,"san",5,4,3,3,3,11,11,79,24,5,7,9,3,9,7,9,3,0,1,1,0,11,0.688
81,24,"san",5,4,3,3,3,11,11,80,24,5,7,9,3,9,7,9,3,0,1,1,0,11,0.688
82,24,"san",5,4,3,3,3,11,11,81,24,5,7,9,3,9,7,9,3,0,1,1,0,11,0.688
83,24,"san",5,4,3,3,3,11,11,82,24,5,7,9,3,9,7,9,3,0,1,1,0,11,0.688
84,24,"san",5,4,3,3,3,11,11,83,24,5,7,9,3,9,7,9,3,0,1,1,0,11,0.688
85,24,"san",5,4,3,3,3,11,11,84,24,5,7,9,3,9,7,9,3,0,1,1,0,11,0.688
86,24,"san",5,4,3,3,3,11,11,85,24,5,7,9,3,9,7,9,3,0,1,1,0,11,0.688
87,24,"san",5,4,3,3,3,11,11,86,24,5,7,9,3,9,7,9,3,0,1,1,0,11,0.688
88,24,"san",5,4,3,3,3,11,11,87,24,5,7,9,3,9,7,9,3,0,1,1,0,11,0.688
89,24,"san",5,4,3,3,3,11,11,88,24,5,7,9,3,9,7,9,3,0,1,1,0,11,0.688
90,24,"san",5,4,3,3,3,11,11,89,24,5,7,9,3,9,7,9,3,0,1,1,0,11,0.688
91,24,"san",5,4,3,3,3,11,11,90,24,5,7,9,3,9,7,9,3,0,1,1,0,11,0.688
92,24,"san",5,4,3,3,3,11,11,91,24,5,7,9,3,9,7,9,3,0,1,1,0,11,0.688
93,24,"san",5,4,3,3,3,11,11,92,24,5,7,9,3,9,7,9,3,0,1,1,0,11,0.688
94,24,"san",5,4,3,3,3,11,11,93,24,5,7,9,3,9,7,9,3,0,1,1,0,11,0.688
95,24,"san",5,4,3,3,3,11,11,94,24,5,7,9,3,9,7,9,3,0,1,1,0,11,0.688
96,24,"san",5,4,3,3,3,11,11,95,24,5,7,9,3,9,7,9,3,0,1,1,0,11,0.688
97,24,"san",5,4,3,3,3,11,11,96,24,5,7,9,3,9,7,9,3,0,1,1,0,11,0.688
98,24,"san",6,2,1,1,1,1,1,97,24,6,3,1,5,1,3,1,5,0,1,1,0,1,0.891
99,24,"san",6,2,1,1,1,1,1,98,24,6,3,1,5,1,3,1,5,0,1,1,0,1,0.891
101,24,"san",6,2,1,1,1,1,1,99,24,6,3,1,5,1,3,1,5,0,1,1,0,1,0.891
102,24,"san",6,2,1,1,1,1,1,100,24,6,3,1,5,1,3,1,5,0,1,1,0,1,0.891
103,24,"san",6,2,1,1,1,1,1,101,24,6,3,1,5,1,3,1,5,0,1,1,0,1,0.891
105,24,"san",6,2,1,1,1,1,1,102,24,6,3,1,5,1,3,1,5,0,1,1,0,1,0.891
106,24,"san",6,2,1,1,1,1,1,103,24,6,3,1,5,1,3,1,5,0,1,1,0,1,0.891
107,24,"san",6,2,1,1,1,1,1,104,24,6,3,1,5,1,3,1,5,0,1,1,0,1,0.891
108,24,"san",6,2,1,1,1,1,1,105,24,6,3,1,5,1,3,1,5,0,1,1,0,1,0.891
109,24,"san",6,2,1,1,1,1,1,106,24,6,3,1,5,1,3,1,5,0,1,1,0,1,0.891
110,24,"san",6,2,1,1,1,1,1,107,24,6,3,1,5,1,3,1,5,0,1,1,0,1,0.891
111,24,"san",6,2,1,1,1,1,1,108,24,6,3,1,5,1,3,1,5,0,1,1,0,1,0.891
112,24,"san",6,2,1,1,1,1,1,109,24,6,3,1,5,1,3,1,5,0,1,1,0,1,0.891
113,24,"san",6,2,1,1,1,1,1,110,24,6,3,1,5,1,3,1,5,0,1,1,0,1,0.891
114,24,"san",6,2,1,1,1,1,1,111,24,6,3,1,5,1,3,1,5,0,1,1,0,1,0.891
115,24,"san",6,2,1,1,1,1,1,112,24,6,3,1,5,1,3,1,5,0,1,1,0,1,0.891
116,24,"san",6,2,1,1,1,1,1,113,24,6,3,1,5,1,3,1,5,0,1,1,0,1,0.891
117,24,"san",6,2,1,1,1,1,1,114,24,6,3,1,5,1,3,1,5,0,1,1,0,1,0.891
118,24,"san",6,2,1,1,1,1,1,115,24,6,3,1,5,1,3,1,5,0,1,1,0,1,0.891
119,24,"san",7,2,1,1,1,1,1,116,24,7,3,1,5,1,3,1,5,0,1,1,0,1,0.891
120,24,"san",7,2,1,1,1,1,1,117,24,7,3,1,5,1,3,1,5,0,1,1,0,1,0.891
121,24,"san",7,2,1,1,1,1,1,118,24,7,3,1,5,1,3,1,5,0,1,1,0,1,0.891
122,24,"san",7,2,1,1,1,1,1,119,24,7,3,1,5,1,3,1,5,0,1,1,0,1,0.891
123,24,"san",7,2,1,1,1,1,1,120,24,7,3,1,5,1,3,1,5,0,1,1,0,1,0.891
124,24,"san",7,2,1,1,1,1,1,121,24,7,3,1,5,1,3,1,5,0,1,1,0,1,0.891
125,24,"san",7,2,1,1,1,1,1,122,24,7,3,1,5,1,3,1,5,0,1,1,0,1,0.891
126,24,"san",7,2,1,1,1,1,1,123,24,7,3,1,5,1,3,1,5,0,1,1,0,1,0.891
127,24,"san",7,2,1,1,1,1,1,124,24,7,3,1,5,1,3,1,5,0,1,1,0,1,0.891
128,24,"san",7,2,1,1,1,1,1,125,24,7,3,1,5,1,3,1,5,0,1,1,0,1,0.891
129,24,"san",7,2,1,1,1,1,1,126,24,7,3,1,5,1,3,1,5,0,1,1,0,1,0.891
130,24,"san",7,2,1,1,1,1,1,127,24,7,3,1,5,1,3,1,5,0,1,1,0,1,0.891
131,24,"san",7,2,1,1,1,1,1,128,24,7,3,1,5,1,3,1,5,0,1,1,0,1,0.891
132,24,"san",7,2,1,1,1,1,1,129,24,7,3,1,5,1,3,1,5,0,1,1,0,1,0.891
133,24,"san",7,2,1,1,1,1,1,130,24,7,3,1,5,1,3,1,5,0,1,1,0,1,0.891
134,24,"san",7,2,1,1,1,1,1,131,24,7,3,1,5,1,3,1,5,0,1,1,0,1,0.891
135,24,"san",7,2,1,1,1,1,1,132,24,7,3,1,5,1,3,1,5,0,1,1,0,1,0.891
136,24,"san",8,4,3,3,3,10,2,133,24,8,7,14,6,14,7,14,6,0,1,1,0,10,0.588
137,24,"san",8,4,3,3,3,10,2,134,24,8,7,14,6,14,7,14,6,0,1,1,0,10,0.588
138,24,"san",8,4,3,3,3,10,2,135,24,8,7,14,6,14,7,14,6,0,1,1,0,10,0.588
139,24,"san",8,4,3,3,3,10,2,136,24,8,7,14,6,14,7,14,6,0,1,1,0,10,0.588
140,24,"san",8,4,3,3,3,10,2,137,24,8,7,14,6,14,7,14,6,0,1,1,0,10,0.588
141,24,"san",8,4,3,3,3,10,2,138,24,8,7,14,6,14,7,14,6,0,1,1,0,10,0.588
142,24,"san",8,4,3,3,3,10,2,139,24,8,7,14,6,14,7,14,6,0,1,1,0,10,0.588
143,24,"san",8,4,3,3,3,10,2,140,24,8,7,14,6,14,7,14,6,0,1,1,0,10,0.588
144,24,"san",8,4,3,3,3,10,2,141,24,8,7,14,6,14,7,14,6,0,1,1,0,10,0.588
145,24,"san",8,4,3,3,3,10,2,142,24,8,7,14,6,14,7,14,6,0,1,1,0,10,0.588
147,24,"san",8,4,3,3,3,10,2,143,24,8,7,14,6,14,7,14,6,0,1,1,0,10,0.588
148,24,"san",8,4,3,3,3,10,2,144,24,8,7,14,6,14,7,14,6,0,1,1,0,10,0.588
149,24,"san",8,4,3,3,3,10,2,145,24,8,7,14,6,14,7,14,6,0,1,1,0,10,0.588
150,24,"san",8,4,3,3,3,10,2,146,24,8,7,14,6,14,7,14,6,0,1,1,0,10,0.588
151,24,"san",8,4,3,3,3,10,2,147,24,8,7,14,6,14,7,14,6,0,1,1,0,10,0.588
152,24,"san",8,4,3,3,3,10,2,148,24,8,7,14,6,14,7,14,6,0,1,1,0,10,0.588
153,24,"san",8,4,3,3,3,10,2,149,24,8,7,14,6,14,7,14,6,0,1,1,0,10,0.588
154,24,"san",8,4,3,3,3,10,2,150,24,8,7,14,6,14,7,14,6,0,1,1,0,10,0.588
155,24,"san",8,4,3,3,3,10,2,151,24,8,7,14,6,14,7,14,6,0,1,1,0,10,0.588
156,24,"san",8,4,3,3,3,10,2,152,24,8,7,14,6,14,7,14,6,0,1,1,0,10,0.588
157,24,"san",8,4,3,3,3,10,2,153,24,8,7,14,6,14,7,14,6,0,1,1,0,10,0.588
158,24,"san",8,4,3,3,3,10,2,154,24,8,7,14,6,14,7,14,6,0,1,1,0,10,0.588
159,24,"san",8,4,3,3,3,10,2,155,24,8,7,14,6,14,7,14,6,0,1,1,0,10,0.588
160,24,"san",8,4,3,3,3,10,2,156,24,8,7,14,6,14,7,14,6,0,1,1,0,10,0.588
161,24,"san",8,4,3,3,3,10,2,157,24,8,7,14,6,14,7,14,6,0,1,1,0,10,0.588
162,24,"san",8,4,3,3,3,10,2,158,24,8,7,14,6,14,7,14,6,0,1,1,0,10,0.588
163,24,"san",8,4,3,3,3,10,2,159,24,8,7,14,6,14,7,14,6,0,1,1,0,10,0.588
164,24,"san",8,4,3,3,3,10,2,160,24,8,7,14,6,14,7,14,6,0,1,1,0,10,0.588
165,24,"san",9,4,2,2,2,3,3,161,24,9,7,3,2,3,7,3,2,0,1,1,0,3,0.717
166,24,"san",9,4,2,2,2,3,3,162,24,9,7,3,2,3,7,3,2,0,1,1,0,3,0.717
167,24,"san",9,4,2,2,2,3,3,163,24,9,7,3,2,3,7,3,2,0,1,1,0,3,0.717
168,24,"san",9,4,2,2,2,3,3,164,24,9,7,3,2,3,7,3,2,0,1,1,0,3,0.717
169,24,"san",9,4,2,2,2,3,3,165,24,9,7,3,2,3,7,3,2,0,1,1,0,3,0.717
170,24,"san",9,4,2,2,2,3,3,166,24,9,7,3,2,3,7,3,2,0,1,1,0,3,0.717
171,24,"san",9,4,2,2,2,3,3,167,24,9,7,3,2,3,7,3,2,0,1,1,0,3,0.717
172,24,"san",9,4,2,2,2,3,3,168,24,9,7,3,2,3,7,3,2,0,1,1,0,3,0.717
173,24,"san",10,4,3,3,3,11,11,169,24,10,7,9,3,9,7,9,3,0,1,1,0,11,0.688
174,24,"san",10,4,3,3,3,11,11,170,24,10,7,9,3,9,7,9,3,0,1,1,0,11,0.688
175,24,"san",10,4,3,3,3,11,11,171,24,10,7,9,3,9,7,9,3,0,1,1,0,11,0.688
176,24,"san",10,4,3,3,3,11,11,172,24,10,7,9,3,9,7,9,3,0,1,1,0,11,0.688
177,24,"san",10,4,3,3,3,11,11,173,24,10,7,9,3,9,7,9,3,0,1,1,0,11,0.688
178,24,"san",10,4,3,3,3,11,11,174,24,10,7,9,3,9,7,9,3,0,1,1,0,11,0.688
179,24,"san",10,4,3,3,3,11,11,175,24,10,7,9,3,9,7,9,3,0,1,1,0,11,0.688
180,24,"san",57,4,4,4,4,11,11,176,24,57,7,9,3,9,7,9,3,0,1,1,0,11,0.688
181,24,"san",10,4,3,3,3,11,11,177,24,10,7,9,3,9,7,9,3,0,1,1,0,11,0.688
182,24,"san",10,4,3,3,3,11,11,178,24,10,7,9,3,9,7,9,3,0,1,1,0,11,0.688
183,24,"san",10,4,3,3,3,11,11,179,24,10,7,9,3,9,7,9,3,0,1,1,0,11,0.688
184,24,"san",10,4,3,3,3,11,11,180,24,10,7,9,3,9,7,9,3,0,1,1,0,11,0.688
185,24,"san",10,4,3,3,3,11,11,181,24,10,7,9,3,9,7,9,3,0,1,1,0,11,0.688
186,24,"san",57,4,4,4,4,11,11,182,24,57,7,9,3,9,7,9,3,0,1,1,0,11,0.688
187,24,"san",57,4,4,4,4,11,11,183,24,57,7,9,3,9,7,9,3,0,1,1,0,11,0.688
188,24,"san",57,4,4,4,4,11,11,184,24,57,7,9,3,9,7,9,3,0,1,1,0,11,0.688
189,24,"san",57,4,4,4,4,11,11,185,24,57,7,9,3,9,7,9,3,0,1,1,0,11,0.688
190,24,"san",57,4,4,4,4,11,11,186,24,57,7,9,3,9,7,9,3,0,1,1,0,11,0.688
191,24,"san",57,4,4,4,4,11,11,187,24,57,7,9,3,9,7,9,3,0,1,1,0,11,0.688
192,24,"san",57,4,4,4,4,11,11,188,24,57,7,9,3,9,7,9,3,0,1,1,0,11,0.688
193,24,"san",57,4,4,4,4,11,11,189,24,57,7,9,3,9,7,9,3,0,1,1,0,11,0.688
194,24,"san",57,4,4,4,4,11,11,190,24,57,7,9,3,9,7,9,3,0,1,1,0,11,0.688
195,24,"san",57,4,4,4,4,11,11,191,24,57,7,9,3,9,7,9,3,0,1,1,0,11,0.688
196,24,"san",10,4,3,3,3,11,11,192,24,10,7,9,3,9,7,9,3,0,1,1,0,11,0.688
197,24,"san",10,4,3,3,3,11,11,193,24,10,7,9,3,9,7,9,3,0,1,1,0,11,0.688
198,24,"san",10,4,3,3,3,11,11,194,24,10,7,9,3,9,7,9,3,0,1,1,0,11,0.688
199,24,"san",10,4,3,3,3,11,11,195,24,10,7,9,3,9,7,9,3,0,1,1,0,11,0.688
200,24,"san",10,4,3,3,3,11,11,196,24,10,7,9,3,9,7,9,3,0,1,1,0,11,0.688
201,24,"san",10,4,3,3,3,11,11,197,24,10,7,9,3,9,7,9,3,0,1,1,0,11,0.688
202,24,"san",10,4,3,3,3,11,11,198,24,10,7,9,3,9,7,9,3,0,1,1,0,11,0.688
203,24,"san",57,4,4,4,4,11,11,199,24,57,7,9,3,9,7,9,3,0,1,1,0,11,0.688
204,24,"san",57,4,4,4,4,11,11,200,24,57,7,9,3,9,7,9,3,0,1,1,0,11,0.688
205,24,"san",57,4,4,4,4,11,11,201,24,57,7,9,3,9,7,9,3,0,1,1,0,11,0.688
206,24,"san",10,4,3,3,3,11,11,202,24,10,7,9,3,9,7,9,3,0,1,1,0,11,0.688
207,24,"san",10,4,3,3,3,11,11,203,24,10,7,9,3,9,7,9,3,0,1,1,0,11,0.688
208,24,"san",10,4,3,3,3,11,11,204,24,10,7,9,3,9,7,9,3,0,1,1,0,11,0.688
209,24,"san",10,4,3,3,3,11,11,205,24,10,7,9,3,9,7,9,3,0,1,1,0,11,0.688
210,24,"san",10,4,3,3,3,11,11,206,24,10,7,9,3,9,7,9,3,0,1,1,0,11,0.688
211,24,"san",10,4,3,3,3,11,11,207,24,10,7,9,3,9,7,9,3,0,1,1,0,11,0.688
212,24,"san",57,4,4,4,4,11,11,208,24,57,7,9,3,9,7,9,3,0,1,1,0,11,0.688
213,24,"san",57,4,4,4,4,11,11,209,24,57,7,9,3,9,7,9,3,0,1,1,0,11,0.688
214,24,"san",10,4,3,3,3,11,11,210,24,10,7,9,3,9,7,9,3,0,1,1,0,11,0.688
215,24,"san",10,4,3,3,3,11,11,211,24,10,7,9,3,9,7,9,3,0,1,1,0,11,0.688
216,24,"san",10,4,3,3,3,11,11,212,24,10,7,9,3,9,7,9,3,0,1,1,0,11,0.688
217,24,"san",10,4,3,3,3,11,11,213,24,10,7,9,3,9,7,9,3,0,1,1,0,11,0.688
218,24,"san",10,4,3,3,3,11,11,214,24,10,7,9,3,9,7,9,3,0,1,1,0,11,0.688
219,24,"san",57,4,4,4,4,11,11,215,24,57,7,9,3,9,7,9,3,0,1,1,0,11,0.688
220,24,"san",11,3,3,3,3,10,10,216,24,11,2,8,6,8,2,8,6,0,1,1,0,10,0.588
221,24,"san",11,3,3,3,3,10,10,217,24,11,2,8,6,8,2,8,6,0,1,1,0,10,0.588
222,24,"san",11,3,3,3,3,10,10,218,24,11,2,8,6,8,2,8,6,0,1,1,0,10,0.588
223,24,"san",11,3,3,3,3,10,10,219,24,11,2,8,6,8,2,8,6,0,1,1,0,10,0.588
224,24,"san",11,3,3,3,3,10,10,220,24,11,2,8,6,8,2,8,6,0,1,1,0,10,0.588
225,24,"san",11,3,3,3,3,10,10,221,24,11,2,8,6,8,2,8,6,0,1,1,0,10,0.588
226,24,"san",11,3,3,3,3,10,10,222,24,11,2,8,6,8,2,8,6,0,1,1,0,10,0.588
227,24,"san",11,3,3,3,3,10,10,223,24,11,2,8,6,8,2,8,6,0,1,1,0,10,0.588
228,24,"san",11,3,3,3,3,10,10,224,24,11,2,8,6,8,2,8,6,0,1,1,0,10,0.588
229,24,"san",11,3,3,3,3,10,10,225,24,11,2,8,6,8,2,8,6,0,1,1,0,10,0.588
230,24,"san",11,3,3,3,3,10,10,226,24,11,2,8,6,8,2,8,6,0,1,1,0,10,0.588
231,24,"san",11,3,3,3,3,10,10,227,24,11,2,8,6,8,2,8,6,0,1,1,0,10,0.588
232,24,"san",11,3,3,3,3,10,10,228,24,11,2,8,6,8,2,8,6,0,1,1,0,10,0.588
233,24,"san",11,3,3,3,3,10,10,229,24,11,2,8,6,8,2,8,6,0,1,1,0,10,0.588
234,24,"san",11,3,3,3,3,10,10,230,24,11,2,8,6,8,2,8,6,0,1,1,0,10,0.588
235,24,"san",11,3,3,3,3,10,10,231,24,11,2,8,6,8,2,8,6,0,1,1,0,10,0.588
236,24,"san",11,3,3,3,3,10,10,232,24,11,2,8,6,8,2,8,6,0,1,1,0,10,0.588
237,24,"san",11,3,3,3,3,10,10,233,24,11,2,8,6,8,2,8,6,0,1,1,0,10,0.588
238,24,"san",11,3,3,3,3,10,10,234,24,11,2,8,6,8,2,8,6,0,1,1,0,10,0.588
239,24,"san",11,3,3,3,3,10,10,235,24,11,2,8,6,8,2,8,6,0,1,1,0,10,0.588
240,24,"san",11,3,3,3,3,10,10,236,24,11,2,8,6,8,2,8,6,0,1,1,0,10,0.588
241,24,"san",11,3,3,3,3,10,10,237,24,11,2,8,6,8,2,8,6,0,1,1,0,10,0.588
242,24,"san",11,3,3,3,3,10,10,238,24,11,2,8,6,8,2,8,6,0,1,1,0,10,0.588
243,24,"san",11,3,3,3,3,10,10,239,24,11,2,8,6,8,2,8,6,0,1,1,0,10,0.588
244,24,"san",11,3,3,3,3,10,10,240,24,11,2,8,6,8,2,8,6,0,1,1,0,10,0.588
245,24,"san",11,3,3,3,3,10,10,241,24,11,2,8,6,8,2,8,6,0,1,1,0,10,0.588
246,24,"san",11,3,3,3,3,10,10,242,24,11,2,8,6,8,2,8,6,0,1,1,0,10,0.588
247,24,"san",11,3,3,3,3,10,10,243,24,11,2,8,6,8,2,8,6,0,1,1,0,10,0.588
248,24,"san",11,3,3,3,3,10,10,244,24,11,2,8,6,8,2,8,6,0,1,1,0,10,0.588
249,24,"san",11,3,3,3,3,10,10,245,24,11,2,8,6,8,2,8,6,0,1,1,0,10,0.588
250,24,"san",11,3,3,3,3,10,10,246,24,11,2,8,6,8,2,8,6,0,1,1,0,10,0.588
251,24,"san",12,7,7,7,7,14,14,247,24,12,5,12,4,12,5,12,4,0,1,1,0,14,1
252,24,"san",12,7,7,7,7,14,14,248,24,12,5,12,4,12,5,12,4,0,1,1,0,14,1
253,24,"san",12,7,7,7,7,14,14,249,24,12,5,12,4,12,5,12,4,0,1,1,0,14,1
254,24,"san",12,7,7,7,7,14,14,250,24,12,5,12,4,12,5,12,4,0,1,1,0,14,1
