"seccion","munn.x","edon.x","edo.x","disfed1979.x","disfed1997.x","disfed2006.x","disfed2018.x","disloc2012.x","disloc2018.x","cab","nota.x","X","munn.y","edon.y","edo.y","disfed1979.y","disfed1997.y","disfed2006.y","disfed2018.y","disloc2012.y","disloc2018.y","nota.y","escenario1","escenario2","escenario3","pri_clv1","pri_clv2","juanZepedaPerez1","lorenzoLopezMendez1a","lorenzoLopezMendez1b","antonioPerezGomez1","leonardoLopezPerez1","magdalenaGironLopez1","JoseDomingoVazquezLopez1a","JoseDomingoVazquezLopez1b","esc1_priCLV1","esc2_priCLV2","SQ","dsiSQ_E1","dsiSQ_E3","E1","dsiE1_E3"
760,53,7,"cps",7,10,11,13,17,17,"Motozintla","0",760,53,7,"cps",7,10,11,13,17,18,NA,5,5,18,10,18,"5","5","5","5","5","5","5","5",0,0,17,0.325,0.657,9,0.386
761,53,7,"cps",7,10,11,13,17,17,"Motozintla","0",761,53,7,"cps",7,10,11,13,17,18,NA,5,5,18,10,18,"5","5","5","5","5","5","5","5",0,0,17,0.325,0.657,9,0.386
762,53,7,"cps",7,10,11,13,17,17,"Motozintla","0",762,53,7,"cps",7,10,11,13,17,18,NA,5,5,18,10,18,"5","5","5","5","5","5","5","5",0,0,17,0.325,0.657,9,0.386
763,53,7,"cps",7,10,11,13,17,17,"Motozintla","0",763,53,7,"cps",7,10,11,13,17,18,NA,5,5,18,10,18,"5","5","5","5","5","5","5","5",0,0,17,0.325,0.657,9,0.386
764,53,7,"cps",7,10,11,13,17,17,"Motozintla","0",764,53,7,"cps",7,10,11,13,17,18,NA,5,5,18,10,18,"5","5","5","5","5","5","5","5",0,0,17,0.325,0.657,9,0.386
765,54,7,"cps",7,11,11,13,16,16,"Huixtla","0",765,54,7,"cps",7,11,11,13,16,15,NA,3,3,15,1,15,"3","3","3","3","3","3","3","3",0,0,16,0.607,0.459,3,0.719
766,54,7,"cps",7,11,11,13,16,16,"Huixtla","0",766,54,7,"cps",7,11,11,13,16,15,NA,3,3,15,1,15,"3","3","3","3","3","3","3","3",0,0,16,0.607,0.459,3,0.719
767,54,7,"cps",7,11,11,13,16,16,"Huixtla","0",767,54,7,"cps",7,11,11,13,16,15,NA,3,3,15,1,15,"3","3","3","3","3","3","3","3",0,0,16,0.607,0.459,3,0.719
768,54,7,"cps",7,11,11,13,16,16,"Huixtla","0",768,54,7,"cps",7,11,11,13,16,15,NA,3,3,15,1,15,"3","3","3","3","3","3","3","3",0,0,16,0.607,0.459,3,0.719
769,54,7,"cps",7,11,11,13,16,16,"Huixtla","0",769,54,7,"cps",7,11,11,13,16,15,NA,3,3,15,1,15,"3","3","3","3","3","3","3","3",0,0,16,0.607,0.459,3,0.719
770,54,7,"cps",7,11,11,13,16,16,"Huixtla","0",770,54,7,"cps",7,11,11,13,16,15,NA,3,3,15,1,15,"3","3","3","3","3","3","3","3",0,0,16,0.607,0.459,3,0.719
771,54,7,"cps",7,11,11,13,16,16,"Huixtla","0",771,54,7,"cps",7,11,11,13,16,15,NA,3,3,15,1,15,"3","3","3","3","3","3","3","3",0,0,16,0.607,0.459,3,0.719
772,54,7,"cps",7,11,11,13,16,16,"Huixtla","0",772,54,7,"cps",7,11,11,13,16,15,NA,3,3,15,1,15,"3","3","3","3","3","3","3","3",0,0,16,0.607,0.459,3,0.719
773,54,7,"cps",7,11,11,13,16,16,"Huixtla","0",773,54,7,"cps",7,11,11,13,16,15,NA,3,3,15,1,15,"3","3","3","3","3","3","3","3",0,0,16,0.607,0.459,3,0.719
