"seccion","munn.x","edon.x","edo.x","disfed1979.x","disfed1997.x","disfed2006.x","disfed2018.x","disloc2012.x","disloc2018.x","cab","nota.x","X","munn.y","edon.y","edo.y","disfed1979.y","disfed1997.y","disfed2006.y","disfed2018.y","disloc2012.y","disloc2018.y","nota.y","escenario1","escenario2","escenario3","pri_clv1","pri_clv2","juanZepedaPerez1","lorenzoLopezMendez1a","lorenzoLopezMendez1b","antonioPerezGomez1","leonardoLopezPerez1","magdalenaGironLopez1","JoseDomingoVazquezLopez1a","JoseDomingoVazquezLopez1b","esc1_priCLV1","esc2_priCLV2","SQ","dsiSQ_E1","dsiSQ_E3","E1","dsiE1_E3"
674,48,7,"cps",4,2,4,4,12,12,"Pichucalco","0",674,48,7,"cps",4,2,4,4,12,12,NA,4,4,12,5,12,"4","4","4","4","4","4","4","4",0,0,12,0.655,0.53,4,0.543
675,48,7,"cps",4,2,4,4,12,12,"Pichucalco","0",675,48,7,"cps",4,2,4,4,12,12,NA,4,4,12,5,12,"4","4","4","4","4","4","4","4",0,0,12,0.655,0.53,4,0.543
676,48,7,"cps",4,2,4,4,12,12,"Pichucalco","0",676,48,7,"cps",4,2,4,4,12,12,NA,4,4,12,5,12,"4","4","4","4","4","4","4","4",0,0,12,0.655,0.53,4,0.543
677,48,7,"cps",4,2,4,4,12,12,"Pichucalco","0",677,48,7,"cps",4,2,4,4,12,12,NA,4,4,12,5,12,"4","4","4","4","4","4","4","4",0,0,12,0.655,0.53,4,0.543
678,48,7,"cps",4,2,4,4,12,12,"Pichucalco","0",678,48,7,"cps",4,2,4,4,12,12,NA,4,4,12,5,12,"4","4","4","4","4","4","4","4",0,0,12,0.655,0.53,4,0.543
679,48,7,"cps",4,2,4,4,12,12,"Pichucalco","0",679,48,7,"cps",4,2,4,4,12,12,NA,4,4,12,5,12,"4","4","4","4","4","4","4","4",0,0,12,0.655,0.53,4,0.543
680,48,7,"cps",4,2,4,4,12,12,"Pichucalco","0",680,48,7,"cps",4,2,4,4,12,12,NA,4,4,12,5,12,"4","4","4","4","4","4","4","4",0,0,12,0.655,0.53,4,0.543
681,48,7,"cps",4,2,4,4,12,12,"Pichucalco","0",681,48,7,"cps",4,2,4,4,12,12,NA,4,4,12,5,12,"4","4","4","4","4","4","4","4",0,0,12,0.655,0.53,4,0.543
682,49,7,"cps",2,5,2,2,22,21,"Tenejapa","0",682,49,7,"cps",2,5,2,2,22,10,NA,21,21,10,12,10,"21","21","M","R","21","21","21","21",0,0,22,0.541,0.341,18,0.333
683,49,7,"cps",2,5,2,2,22,21,"Tenejapa","0",683,49,7,"cps",2,5,2,2,22,10,NA,21,21,10,12,10,"21","21","M","R","21","21","21","21",0,0,22,0.541,0.341,18,0.333
684,49,7,"cps",2,5,2,2,22,21,"Tenejapa","0",684,49,7,"cps",2,5,2,2,22,10,NA,21,21,10,12,10,"21","21","M","R","21","21","21","21",0,0,22,0.541,0.341,18,0.333
685,118,7,"cps",2,5,2,2,22,21,"Tenejapa","munn=49",685,118,7,"cps",2,5,2,2,22,10,"munn=49",21,21,10,15,10,"21","G","M","R","21","21","21","21",0,0,22,0.541,0.341,18,0.333
686,49,7,"cps",2,5,2,2,22,21,"Tenejapa","0",686,49,7,"cps",2,5,2,2,22,10,NA,21,21,10,12,10,"21","21","M","R","21","21","21","21",0,0,22,0.541,0.341,18,0.333
687,49,7,"cps",2,5,2,2,22,21,"Tenejapa","0",687,49,7,"cps",2,5,2,2,22,10,NA,21,21,10,12,10,"21","G","M","R","21","21","21","21",0,0,22,0.541,0.341,18,0.333
