"seccion","munn","edon","disloc2017","disloc2013","pobtot","esc1","esc3","SQ","dsi_pob"
105,1,25,8,3,254,21,8,6,0.212660697788868
106,1,25,8,3,410,21,8,6,0.212660697788868
107,1,25,8,3,338,21,8,6,0.212660697788868
108,1,25,8,3,406,21,8,6,0.212660697788868
109,1,25,8,3,237,21,8,6,0.212660697788868
110,1,25,8,3,708,21,8,6,0.212660697788868
111,1,25,3,4,1123,19,3,4,0.402935226076802
112,1,25,3,4,1071,19,3,4,0.402935226076802
113,1,25,3,4,322,19,3,4,0.402935226076802
114,1,25,3,4,2558,19,3,4,0.402935226076802
115,1,25,3,4,1051,19,3,4,0.402935226076802
116,1,25,3,4,1486,19,3,4,0.402935226076802
117,1,25,3,4,427,19,3,4,0.402935226076802
118,1,25,3,4,449,19,3,4,0.402935226076802
119,1,25,3,4,699,19,3,4,0.402935226076802
120,1,25,3,4,697,19,3,4,0.402935226076802
121,1,25,3,4,814,19,3,4,0.402935226076802
122,1,25,3,4,2016,19,3,4,0.402935226076802
123,1,25,3,4,752,19,3,4,0.402935226076802
124,1,25,3,4,541,19,3,4,0.402935226076802
125,1,25,3,4,385,19,3,4,0.402935226076802
126,1,25,3,4,636,19,3,4,0.402935226076802
127,1,25,3,4,410,19,3,4,0.402935226076802
128,1,25,3,4,455,19,3,4,0.402935226076802
129,1,25,3,4,524,19,3,4,0.402935226076802
130,1,25,3,4,381,19,3,4,0.402935226076802
131,1,25,3,4,345,24,3,3,0.376307419414031
132,1,25,3,4,600,19,3,4,0.402935226076802
133,1,25,3,4,785,19,3,4,0.402935226076802
134,1,25,3,4,352,19,3,4,0.402935226076802
135,1,25,3,4,324,19,3,4,0.402935226076802
136,1,25,3,4,472,19,3,4,0.402935226076802
137,1,25,3,4,505,19,3,4,0.402935226076802
138,1,25,3,4,612,19,3,4,0.402935226076802
139,1,25,3,4,586,19,3,4,0.402935226076802
140,1,25,3,4,326,19,3,4,0.402935226076802
141,1,25,3,4,689,19,3,4,0.402935226076802
142,1,25,3,4,7379,19,3,4,0.402935226076802
143,1,25,3,4,890,19,3,4,0.402935226076802
144,1,25,3,4,701,19,3,4,0.402935226076802
145,1,25,3,4,618,19,3,4,0.402935226076802
146,1,25,3,4,688,19,3,4,0.402935226076802
147,1,25,3,4,847,19,3,4,0.402935226076802
148,1,25,3,4,474,19,3,4,0.402935226076802
149,1,25,3,4,428,19,3,4,0.402935226076802
150,1,25,3,4,541,24,3,3,0.376307419414031
151,1,25,3,4,633,24,3,3,0.376307419414031
152,1,25,3,4,405,24,3,3,0.376307419414031
153,1,25,3,4,626,24,3,3,0.376307419414031
154,1,25,8,4,745,24,8,3,0.376307419414031
155,1,25,8,4,386,24,8,3,0.376307419414031
156,1,25,8,4,364,24,8,3,0.376307419414031
157,1,25,3,4,1455,19,3,4,0.402935226076802
158,1,25,3,4,1165,19,3,4,0.402935226076802
159,1,25,3,4,254,19,3,4,0.402935226076802
160,1,25,3,4,879,19,3,4,0.402935226076802
