"seccion","munn","edo","edon","disloc2018","disloc2015","pobtot","esc1","esc3","SQ","dsi_pob"
1,1,"nl",19,20,20,1144,3,1,20,0.657042336662653
2,1,"nl",19,20,20,1644,3,1,20,0.657042336662653
3,2,"nl",19,21,22,767,1,2,21,0.474473638420045
4,2,"nl",19,21,22,491,1,2,21,0.474473638420045
5,2,"nl",19,21,22,476,1,2,21,0.474473638420045
6,2,"nl",19,21,22,389,1,2,21,0.474473638420045
7,2,"nl",19,21,22,184,1,2,21,0.474473638420045
8,2,"nl",19,21,22,282,1,2,21,0.474473638420045
9,2,"nl",19,21,22,244,1,2,21,0.474473638420045
10,2,"nl",19,21,22,426,1,2,21,0.474473638420045
11,2,"nl",19,21,22,187,1,2,21,0.474473638420045
12,3,"nl",19,24,22,243,2,3,24,0.327137298795438
13,3,"nl",19,24,22,354,2,3,24,0.327137298795438
15,3,"nl",19,24,22,214,2,3,24,0.327137298795438
16,3,"nl",19,24,22,202,2,3,24,0.327137298795438
17,3,"nl",19,24,22,271,2,3,24,0.327137298795438
18,3,"nl",19,24,22,20,2,3,24,0.327137298795438
19,3,"nl",19,24,22,43,2,3,24,0.327137298795438
20,4,"nl",19,26,24,7095,2,4,26,0.58123618041552
21,4,"nl",19,26,24,2786,2,4,26,0.58123618041552
22,4,"nl",19,26,24,1542,2,4,26,0.58123618041552
23,4,"nl",19,26,24,1452,2,4,26,0.58123618041552
24,4,"nl",19,26,24,663,2,4,26,0.58123618041552
25,4,"nl",19,26,24,1722,2,4,26,0.58123618041552
26,4,"nl",19,26,24,1729,2,4,26,0.58123618041552
27,4,"nl",19,26,24,918,2,4,26,0.58123618041552
28,4,"nl",19,26,24,2802,2,4,26,0.58123618041552
29,4,"nl",19,26,24,2670,2,4,26,0.58123618041552
30,4,"nl",19,26,24,1935,2,4,26,0.58123618041552
31,4,"nl",19,26,24,1025,2,4,26,0.58123618041552
32,4,"nl",19,26,24,1981,2,4,26,0.58123618041552
33,4,"nl",19,26,24,1390,2,4,26,0.58123618041552
34,4,"nl",19,26,24,968,2,4,26,0.58123618041552
35,4,"nl",19,26,24,428,2,4,26,0.58123618041552
36,4,"nl",19,26,24,356,2,4,26,0.58123618041552
37,4,"nl",19,26,24,602,2,4,26,0.58123618041552
38,4,"nl",19,26,24,696,2,4,26,0.58123618041552
39,5,"nl",19,21,21,16,1,2,21,0.474473638420045
40,5,"nl",19,21,21,473,1,2,21,0.474473638420045
41,5,"nl",19,21,21,393,1,2,21,0.474473638420045
42,5,"nl",19,21,21,3343,1,2,21,0.474473638420045
43,5,"nl",19,21,21,6602,1,2,21,0.474473638420045
44,5,"nl",19,21,21,431,1,2,21,0.474473638420045
45,5,"nl",19,21,21,945,1,2,21,0.474473638420045
46,5,"nl",19,21,21,1439,1,2,21,0.474473638420045
47,5,"nl",19,21,21,1528,1,2,21,0.474473638420045
48,5,"nl",19,21,21,888,1,2,21,0.474473638420045
49,5,"nl",19,21,21,735,1,2,21,0.474473638420045
51,5,"nl",19,21,21,333,1,2,21,0.474473638420045
52,5,"nl",19,21,21,293,1,2,21,0.474473638420045
54,5,"nl",19,21,21,77,1,2,21,0.474473638420045
55,5,"nl",19,21,21,236,1,2,21,0.474473638420045
56,5,"nl",19,21,21,48,1,2,21,0.474473638420045
