"seccion","edon.x","edo","munn.x","disfed1979","disfed1997","disfed2006","disfed2018","disloc2018","disloc2015","X","edon.y","munn.y","escenario1","escenario2","escenario3","pan_clv1","prd_cnv1","pan_clv2","prd_clv2","esc1_panCLV1","esc1_prdCNV1","esc2_panCLV2","esc2_prdCLV2","E1","dsiE1_E3"
19,24,"san",2,4,3,3,3,11,11,19,24,2,7,9,3,9,7,9,3,0,1,1,0,7,0.424
20,24,"san",2,4,3,3,3,11,11,20,24,2,7,9,3,9,7,9,3,0,1,1,0,7,0.424
21,24,"san",2,4,3,3,3,11,11,21,24,2,7,9,3,9,7,9,3,0,1,1,0,7,0.424
22,24,"san",2,4,3,3,3,11,11,22,24,2,7,9,3,9,7,9,3,0,1,1,0,7,0.424
23,24,"san",2,4,3,3,3,11,11,23,24,2,7,9,3,9,7,9,3,0,1,1,0,7,0.424
24,24,"san",2,4,3,3,3,11,11,24,24,2,7,9,3,9,7,9,3,0,1,1,0,7,0.424
25,24,"san",2,4,3,3,3,11,11,25,24,2,7,9,3,9,7,9,3,0,1,1,0,7,0.424
26,24,"san",2,4,3,3,3,11,11,26,24,2,7,9,3,9,7,9,3,0,1,1,0,7,0.424
27,24,"san",2,4,3,3,3,11,11,27,24,2,7,9,3,9,7,9,3,0,1,1,0,7,0.424
28,24,"san",2,4,3,3,3,11,11,28,24,2,7,9,3,9,7,9,3,0,1,1,0,7,0.424
29,24,"san",2,4,3,3,3,11,11,29,24,2,7,9,3,9,7,9,3,0,1,1,0,7,0.424
30,24,"san",2,4,3,3,3,11,11,30,24,2,7,9,3,9,7,9,3,0,1,1,0,7,0.424
31,24,"san",2,4,3,3,3,11,11,31,24,2,7,9,3,9,7,9,3,0,1,1,0,7,0.424
32,24,"san",2,4,3,3,3,11,11,32,24,2,7,9,3,9,7,9,3,0,1,1,0,7,0.424
33,24,"san",2,4,3,3,3,11,11,33,24,2,7,9,3,9,7,9,3,0,1,1,0,7,0.424
34,24,"san",3,4,7,7,7,14,14,34,24,3,5,12,4,12,5,12,4,0,1,1,0,5,0.273
35,24,"san",3,4,7,7,7,14,14,35,24,3,5,12,4,12,5,12,4,0,1,1,0,5,0.273
36,24,"san",3,4,7,7,7,14,14,36,24,3,5,12,4,12,5,12,4,0,1,1,0,5,0.273
37,24,"san",3,4,7,7,7,14,14,37,24,3,5,12,4,12,5,12,4,0,1,1,0,5,0.273
38,24,"san",3,4,7,7,7,14,14,38,24,3,5,12,4,12,5,12,4,0,1,1,0,5,0.273
39,24,"san",3,4,7,7,7,14,14,39,24,3,5,12,4,12,5,12,4,0,1,1,0,5,0.273
40,24,"san",3,4,7,7,7,14,14,40,24,3,5,12,4,12,5,12,4,0,1,1,0,5,0.273
41,24,"san",3,4,7,7,7,14,14,41,24,3,5,12,4,12,5,12,4,0,1,1,0,5,0.273
42,24,"san",3,4,7,7,7,14,14,42,24,3,5,12,4,12,5,12,4,0,1,1,0,5,0.273
43,24,"san",3,4,7,7,7,14,14,43,24,3,5,12,4,12,5,12,4,0,1,1,0,5,0.273
44,24,"san",3,4,7,7,7,14,14,44,24,3,5,12,4,12,5,12,4,0,1,1,0,5,0.273
45,24,"san",3,4,7,7,7,14,14,45,24,3,5,12,4,12,5,12,4,0,1,1,0,5,0.273
46,24,"san",3,4,7,7,7,14,14,46,24,3,5,12,4,12,5,12,4,0,1,1,0,5,0.273
47,24,"san",3,4,7,7,7,14,14,47,24,3,5,12,4,12,5,12,4,0,1,1,0,5,0.273
48,24,"san",3,4,7,7,7,14,14,48,24,3,5,12,4,12,5,12,4,0,1,1,0,5,0.273
49,24,"san",3,4,7,7,7,14,14,49,24,3,5,12,4,12,5,12,4,0,1,1,0,5,0.273
50,24,"san",3,4,7,7,7,14,14,50,24,3,5,12,4,12,5,12,4,0,1,1,0,5,0.273
51,24,"san",3,4,7,7,7,14,14,51,24,3,5,12,4,12,5,12,4,0,1,1,0,5,0.273
