"seccion","munn.x","edon.x","edo","disfed1979","disfed1997","disfed2006","disfed2018","disloc2016","disloc2013","X","edon.y","munn.y","escenario1","escenario2","escenario3","panal_cnv1","pri_clv1","pan_cnv2","esc1_panalCNV1","esc1_priCLV1","esc2_panCNV2","SQ","dsiSQ_E1","dsiSQ_E3"
16,1,1,"ags",1,2,3,3,11,6,16,1,1,11,11,11,11,8,11,1,0,1,6,0.426,0.426
17,1,1,"ags",1,2,3,3,11,6,17,1,1,11,11,11,11,8,11,1,0,1,6,0.426,0.426
18,1,1,"ags",1,2,3,3,11,10,18,1,1,11,11,11,11,8,11,1,0,1,6,0.426,0.426
19,1,1,"ags",1,2,3,3,13,10,19,1,1,13,13,13,13,10,13,1,0,1,10,0.458,0.458
20,1,1,"ags",1,2,3,3,13,10,20,1,1,13,13,13,13,10,13,1,0,1,10,0.458,0.458
21,1,1,"ags",1,2,3,3,13,6,21,1,1,13,13,13,13,8,13,1,0,1,10,0.458,0.458
22,1,1,"ags",1,2,3,3,13,6,22,1,1,13,13,13,13,8,11,1,0,0,10,0.458,0.458
23,1,1,"ags",1,2,3,3,13,6,23,1,1,13,13,13,13,8,13,1,0,1,10,0.458,0.458
24,1,1,"ags",1,2,3,3,13,6,24,1,1,13,13,13,13,10,13,1,0,1,10,0.458,0.458
25,1,1,"ags",1,2,3,3,13,6,25,1,1,13,13,13,13,10,13,1,0,1,10,0.458,0.458
26,1,1,"ags",1,2,3,3,13,6,26,1,1,13,13,13,13,10,13,1,0,1,10,0.458,0.458
27,1,1,"ags",1,2,3,3,13,6,27,1,1,13,13,13,13,10,13,1,0,1,10,0.458,0.458
28,1,1,"ags",1,2,3,3,12,11,28,1,1,12,12,12,12,9,12,1,0,1,11,0.779,0.779
29,1,1,"ags",1,2,3,3,12,11,29,1,1,12,12,12,12,9,12,1,0,1,11,0.779,0.779
30,1,1,"ags",1,2,3,3,13,6,30,1,1,13,13,13,13,10,13,1,0,1,10,0.458,0.458
31,1,1,"ags",1,2,3,3,13,10,31,1,1,13,13,13,13,8,13,1,0,1,10,0.458,0.458
32,1,1,"ags",1,2,3,3,13,10,32,1,1,13,13,13,13,10,13,1,0,1,10,0.458,0.458
33,1,1,"ags",1,2,3,3,13,6,33,1,1,13,13,13,13,10,13,1,0,1,10,0.458,0.458
34,1,1,"ags",1,2,3,3,13,10,34,1,1,13,13,13,13,10,13,1,0,1,10,0.458,0.458
35,1,1,"ags",1,2,3,3,13,10,35,1,1,13,13,13,13,10,13,1,0,1,10,0.458,0.458
36,1,1,"ags",1,2,3,3,13,10,36,1,1,13,13,13,13,10,13,1,0,1,10,0.458,0.458
37,1,1,"ags",1,2,3,3,13,10,37,1,1,13,13,13,13,10,13,1,0,1,10,0.458,0.458
38,1,1,"ags",1,2,3,3,13,10,38,1,1,13,13,13,13,10,13,1,0,1,10,0.458,0.458
39,1,1,"ags",1,2,3,3,13,10,39,1,1,13,13,13,13,10,13,1,0,1,10,0.458,0.458
40,1,1,"ags",1,2,3,3,10,10,40,1,1,10,10,10,10,7,10,1,0,1,17,0.671,0.671
41,1,1,"ags",1,2,3,3,11,6,41,1,1,11,11,11,11,8,11,1,0,1,6,0.426,0.426
42,1,1,"ags",1,2,2,3,11,6,42,1,1,11,11,11,11,8,11,1,0,1,6,0.426,0.426
43,1,1,"ags",1,2,2,3,11,6,43,1,1,11,11,11,11,8,11,1,0,1,6,0.426,0.426
44,1,1,"ags",1,2,3,3,11,6,44,1,1,11,11,11,11,8,11,1,0,1,6,0.426,0.426
45,1,1,"ags",1,2,3,3,11,6,45,1,1,11,11,11,11,8,11,1,0,1,6,0.426,0.426
46,1,1,"ags",1,2,3,3,11,6,46,1,1,11,11,11,11,8,11,1,0,1,6,0.426,0.426
