"seccion","X.x","munn.x","edon.x","disloc2015","disloc2017","disfed2017","X.y","edon.y","munn.y","escenario1","escenario2","escenario3","mc_clv1","panal_clv1","pan_clv1","prd_clv1","pt_clv1","pvem_clv1","pan_clv2","esc1_mcCLV1","esc1_panalCLV1","esc1_panCLV1","esc1_prdCLV1","esc1_pvemCLV1","esc2_panCLV2","SQ","dsiSQ_E1","dsiSQ_E3","E1","dsiE1_E3"
200,197,40,31,15,5,3,197,31,40,6,6,5,8,5,6,7,6,7,5,0,0,1,0,0,0,15,0.268,0.237,6,0.748
201,198,40,31,15,5,3,198,31,40,6,6,5,8,5,6,7,6,7,5,0,0,1,0,0,0,15,0.268,0.237,6,0.748
202,199,40,31,15,5,3,199,31,40,6,6,5,8,5,6,7,6,7,5,0,0,1,0,0,0,15,0.268,0.237,6,0.748
203,200,40,31,15,5,3,200,31,40,6,6,5,8,5,6,7,6,7,5,0,0,1,0,0,0,15,0.268,0.237,6,0.748
204,201,41,31,6,2,2,201,31,41,2,4,2,3,3,4,2,2,15,2,0,0,0,1,0,0,14,0.21,0.212,2,0.596
205,202,41,31,6,2,2,202,31,41,2,4,2,3,3,4,2,2,15,2,0,0,0,1,0,0,14,0.21,0.212,2,0.596
206,203,41,31,6,2,2,203,31,41,2,4,2,3,3,4,2,2,15,2,0,0,0,1,0,0,14,0.21,0.212,2,0.596
207,204,41,31,6,2,2,204,31,41,2,4,2,3,3,4,2,2,15,2,0,0,0,1,0,0,14,0.21,0.212,2,0.596
208,205,41,31,6,2,2,205,31,41,2,4,2,3,3,4,2,2,15,2,0,0,0,1,0,0,14,0.21,0.212,2,0.596
209,206,41,31,6,2,2,206,31,41,2,4,2,3,3,4,2,2,15,2,0,0,0,1,0,0,14,0.21,0.212,2,0.596
210,207,41,31,6,2,2,207,31,41,2,4,2,3,3,4,2,2,15,2,0,0,0,1,0,0,14,0.21,0.212,2,0.596
211,208,41,31,6,2,2,208,31,41,2,4,2,3,3,4,2,2,15,2,0,0,0,1,0,0,14,0.21,0.212,2,0.596
212,209,41,31,6,2,2,209,31,41,2,4,2,3,3,4,2,2,15,2,0,0,0,1,0,0,14,0.21,0.212,2,0.596
213,210,41,31,6,2,2,210,31,41,2,4,2,3,3,4,2,2,15,2,0,0,0,1,0,0,14,0.21,0.212,2,0.596
214,211,41,31,6,2,2,211,31,41,2,4,2,3,3,4,2,2,15,2,0,0,0,1,0,0,14,0.21,0.212,2,0.596
215,212,41,31,6,2,2,212,31,41,2,4,2,3,3,4,2,2,15,2,0,0,0,1,0,0,14,0.21,0.212,2,0.596
216,213,41,31,6,2,2,213,31,41,2,4,2,3,3,4,2,2,15,2,0,0,0,1,0,0,14,0.21,0.212,2,0.596
217,214,41,31,6,2,2,214,31,41,2,4,2,3,3,4,2,2,15,2,0,0,0,1,0,0,14,0.21,0.212,2,0.596
218,215,41,31,6,2,2,215,31,41,2,4,2,3,3,4,2,2,15,2,0,0,0,1,0,0,14,0.21,0.212,2,0.596
219,216,41,31,6,2,2,216,31,41,2,4,2,3,3,4,2,2,15,2,0,0,0,1,0,0,14,0.21,0.212,2,0.596
220,217,41,31,6,2,2,217,31,41,2,4,2,3,3,4,2,2,15,2,0,0,0,1,0,0,14,0.21,0.212,2,0.596
221,218,41,31,6,2,2,218,31,41,2,4,2,3,3,4,2,2,15,2,0,0,0,1,0,0,14,0.21,0.212,2,0.596
222,219,41,31,6,2,2,219,31,41,2,4,2,3,3,4,2,2,15,2,0,0,0,1,0,0,14,0.21,0.212,2,0.596
223,220,41,31,6,2,2,220,31,41,2,4,2,3,3,4,2,2,15,2,0,0,0,1,0,0,14,0.21,0.212,2,0.596
224,221,42,31,15,7,3,221,31,42,6,6,7,8,5,6,4,6,7,7,0,0,1,0,0,0,15,0.268,0.315,9,0.349
225,222,42,31,15,7,3,222,31,42,6,6,7,8,5,6,4,6,7,7,0,0,1,0,0,0,15,0.268,0.315,9,0.349
226,223,42,31,15,7,3,223,31,42,6,6,7,8,5,6,4,6,7,7,0,0,1,0,0,0,15,0.268,0.315,9,0.349
227,224,43,31,15,7,3,224,31,43,9,3,7,2,5,3,6,9,3,7,0,0,0,0,0,0,15,0.342,0.315,9,0.349
228,225,44,31,8,1,2,225,31,44,5,8,1,4,2,8,8,5,6,1,0,0,0,0,0,0,8,0.392,0.967,5,0.361
229,226,44,31,8,1,2,226,31,44,5,8,1,4,2,8,8,5,6,1,0,0,0,0,0,0,8,0.392,0.967,5,0.361
230,227,44,31,8,1,2,227,31,44,5,8,1,4,2,8,8,5,6,1,0,0,0,0,0,0,8,0.392,0.967,5,0.361
231,228,44,31,8,1,2,228,31,44,5,8,1,4,2,8,8,5,6,1,0,0,0,0,0,0,8,0.392,0.967,5,0.361
232,229,45,31,13,1,1,229,31,45,5,8,1,4,1,8,1,5,4,1,0,0,0,0,0,0,8,0.392,0.967,5,0.361
233,230,45,31,13,1,1,230,31,45,5,8,1,4,1,8,1,5,4,1,0,0,0,0,0,0,8,0.392,0.967,5,0.361
234,231,46,31,14,9,1,231,31,46,8,9,9,5,4,9,4,8,1,9,0,0,0,0,0,1,13,0.343,0.899,5,0.353
235,232,46,31,14,9,1,232,31,46,8,9,9,5,4,9,4,8,1,9,0,0,0,0,0,1,13,0.343,0.899,5,0.353
236,233,47,31,13,9,1,233,31,47,9,3,9,2,4,3,1,9,8,9,0,0,0,0,0,0,13,0.342,0.899,5,0.353
237,234,47,31,13,9,1,234,31,47,9,3,9,2,4,3,1,9,8,9,0,0,0,0,0,0,13,0.342,0.899,5,0.353
238,235,47,31,13,9,1,235,31,47,9,3,9,2,4,3,1,9,8,9,0,0,0,0,0,0,13,0.342,0.899,5,0.353
239,236,48,31,13,9,1,236,31,48,5,8,9,4,1,8,1,5,4,9,0,0,0,0,0,0,13,0.392,0.899,5,0.353
240,237,48,31,13,9,1,237,31,48,5,8,9,4,1,8,1,5,4,9,0,0,0,0,0,0,13,0.392,0.899,5,0.353
241,238,48,31,13,9,1,238,31,48,5,8,9,4,1,8,1,5,4,9,0,0,0,0,0,0,13,0.392,0.899,5,0.353
242,239,48,31,13,9,1,239,31,48,5,8,9,4,1,8,1,5,4,9,0,0,0,0,0,0,13,0.392,0.899,5,0.353
243,240,48,31,13,9,1,240,31,48,5,8,9,4,1,8,1,5,4,9,0,0,0,0,0,0,13,0.392,0.899,5,0.353
244,241,48,31,13,9,1,241,31,48,5,8,9,4,1,8,1,5,4,9,0,0,0,0,0,0,13,0.392,0.899,5,0.353
245,242,48,31,13,9,1,242,31,48,5,8,9,4,1,8,1,5,4,9,0,0,0,0,0,0,13,0.392,0.899,5,0.353
246,243,48,31,13,9,1,243,31,48,5,8,9,4,1,8,1,5,4,9,0,0,0,0,0,0,13,0.392,0.899,5,0.353
247,244,48,31,13,9,1,244,31,48,5,8,9,4,1,8,1,5,4,9,0,0,0,0,0,0,13,0.392,0.899,5,0.353
248,245,48,31,13,9,1,245,31,48,5,8,9,4,1,8,1,5,4,9,0,0,0,0,0,0,13,0.392,0.899,5,0.353
249,246,48,31,13,9,1,246,31,48,5,8,9,4,1,8,1,5,4,9,0,0,0,0,0,0,13,0.392,0.899,5,0.353
250,247,48,31,13,9,1,247,31,48,5,8,9,4,1,8,1,5,4,9,0,0,0,0,0,0,13,0.392,0.899,5,0.353
251,248,48,31,13,9,1,248,31,48,5,8,9,4,1,8,1,5,4,9,0,0,0,0,0,0,13,0.392,0.899,5,0.353
252,249,49,31,14,7,1,249,31,49,9,3,7,2,4,3,4,9,3,7,0,0,0,0,0,0,15,0.342,0.315,9,0.349
253,250,49,31,14,7,1,250,31,49,9,3,7,2,4,3,4,9,3,7,0,0,0,0,0,0,15,0.342,0.315,9,0.349
254,251,50,31,4,15,5,251,31,50,13,15,15,15,11,15,13,13,12,15,0,0,0,1,0,1,4,0.819,0.928,13,0.838
255,252,50,31,4,15,5,252,31,50,13,15,15,14,11,15,13,13,9,15,0,0,0,1,0,1,4,0.819,0.928,13,0.838
256,253,50,31,4,15,5,253,31,50,13,15,15,14,11,15,13,13,9,15,0,0,0,1,0,1,4,0.819,0.928,13,0.838
257,254,50,31,4,15,5,254,31,50,13,15,15,14,11,15,13,13,12,15,0,0,0,1,0,1,4,0.819,0.928,13,0.838
258,255,50,31,4,15,5,255,31,50,13,15,15,14,11,15,13,13,12,15,0,0,0,1,0,1,4,0.819,0.928,13,0.838
259,256,50,31,4,15,5,256,31,50,13,15,15,14,11,15,13,13,9,15,0,0,0,1,0,1,4,0.819,0.928,13,0.838
260,257,50,31,4,15,5,257,31,50,13,15,15,14,11,15,13,13,9,15,0,0,0,1,0,1,4,0.819,0.928,13,0.838
261,258,50,31,5,14,5,258,31,50,11,14,14,14,12,14,14,11,9,14,0,0,0,0,0,1,5,0.645,0.681,11,0.756
262,259,50,31,5,14,5,259,31,50,11,14,14,14,12,14,14,11,9,14,0,0,0,0,0,1,5,0.645,0.681,11,0.756
263,260,50,31,5,14,5,260,31,50,11,14,14,14,12,14,14,11,9,14,0,0,0,0,0,1,5,0.645,0.681,11,0.756
264,261,50,31,5,14,5,261,31,50,11,14,14,14,12,14,14,11,9,14,0,0,0,0,0,1,5,0.645,0.681,11,0.756
265,262,50,31,5,14,5,262,31,50,11,14,14,14,12,14,14,11,9,14,0,0,0,0,0,1,5,0.645,0.681,11,0.756
266,263,50,31,5,14,5,263,31,50,11,14,14,14,12,14,14,11,9,14,0,0,0,0,0,1,5,0.645,0.681,11,0.756
267,264,50,31,4,15,5,264,31,50,13,15,15,14,11,15,13,13,9,15,0,0,0,1,0,1,4,0.819,0.928,13,0.838
268,265,50,31,4,15,5,265,31,50,13,15,15,15,11,15,13,13,12,15,0,0,0,1,0,1,4,0.819,0.928,13,0.838
270,266,50,31,4,15,5,266,31,50,13,15,15,15,11,15,13,13,12,15,0,0,0,1,0,1,4,0.819,0.928,13,0.838
271,267,50,31,4,15,5,267,31,50,13,15,15,15,11,15,13,13,12,15,0,0,0,1,0,1,4,0.819,0.928,13,0.838
272,268,50,31,4,15,5,268,31,50,13,15,15,14,11,15,13,13,9,15,0,0,0,1,0,1,4,0.819,0.928,13,0.838
273,269,50,31,4,15,5,269,31,50,11,15,15,14,11,15,13,11,9,15,0,1,0,0,0,1,4,0.645,0.928,13,0.838
274,270,50,31,4,15,5,270,31,50,11,15,15,14,11,15,13,11,9,15,0,1,0,0,0,1,4,0.645,0.928,13,0.838
275,271,50,31,5,14,5,271,31,50,11,14,14,14,12,14,14,11,9,14,0,0,0,0,0,1,5,0.645,0.681,11,0.756
276,272,50,31,5,14,5,272,31,50,11,14,14,14,12,14,14,11,9,14,0,0,0,0,0,1,5,0.645,0.681,11,0.756
277,273,50,31,5,14,5,273,31,50,11,14,14,14,12,14,14,11,9,14,0,0,0,0,0,1,5,0.645,0.681,11,0.756
278,274,50,31,5,14,5,274,31,50,11,14,14,14,12,14,14,11,9,14,0,0,0,0,0,1,5,0.645,0.681,11,0.756
279,275,50,31,5,14,5,275,31,50,11,14,14,14,12,14,14,11,9,14,0,0,0,0,0,1,5,0.645,0.681,11,0.756
280,276,50,31,5,14,5,276,31,50,11,14,14,14,12,14,14,11,9,14,0,0,0,0,0,1,5,0.645,0.681,11,0.756
281,277,50,31,5,14,5,277,31,50,11,14,14,14,12,14,14,11,9,14,0,0,0,0,0,1,5,0.645,0.681,11,0.756
282,278,50,31,5,14,5,278,31,50,11,14,14,14,12,14,14,11,9,14,0,0,0,0,0,1,5,0.645,0.681,11,0.756
283,279,50,31,5,14,5,279,31,50,11,14,14,14,12,14,14,11,9,14,0,0,0,0,0,1,5,0.645,0.681,11,0.756
284,280,50,31,4,15,5,280,31,50,11,15,15,14,11,15,13,11,9,15,0,1,0,0,0,1,4,0.645,0.928,13,0.838
285,281,50,31,4,15,5,281,31,50,13,15,15,15,11,15,13,13,12,15,0,0,0,1,0,1,4,0.819,0.928,13,0.838
286,282,50,31,4,15,5,282,31,50,13,15,15,15,11,15,13,13,12,15,0,0,0,1,0,1,4,0.819,0.928,13,0.838
287,283,50,31,4,15,5,283,31,50,13,15,15,15,11,15,13,13,12,15,0,0,0,1,0,1,4,0.819,0.928,13,0.838
288,284,50,31,4,15,5,284,31,50,13,15,15,15,11,15,13,13,12,15,0,0,0,1,0,1,4,0.819,0.928,13,0.838
289,285,50,31,4,15,5,285,31,50,13,15,15,15,11,15,13,13,12,15,0,0,0,1,0,1,4,0.819,0.928,13,0.838
290,286,50,31,4,15,5,286,31,50,13,15,15,15,11,15,13,13,12,15,0,0,0,1,0,1,4,0.819,0.928,13,0.838
291,287,50,31,4,15,5,287,31,50,13,15,15,15,11,15,13,13,12,15,0,0,0,1,0,1,4,0.819,0.928,13,0.838
292,288,50,31,4,15,5,288,31,50,13,15,15,15,11,15,13,13,12,15,0,0,0,1,0,1,4,0.819,0.928,13,0.838
293,289,50,31,4,15,5,289,31,50,13,15,15,15,11,15,13,13,12,15,0,0,0,1,0,1,4,0.819,0.928,13,0.838
294,290,50,31,4,15,5,290,31,50,13,15,15,15,11,15,13,13,12,15,0,0,0,1,0,1,4,0.819,0.928,13,0.838
295,291,50,31,4,15,5,291,31,50,13,15,15,15,11,15,13,13,12,15,0,0,0,1,0,1,4,0.819,0.928,13,0.838
296,292,50,31,4,15,5,292,31,50,11,15,15,14,11,15,13,11,9,15,0,1,0,0,0,1,4,0.645,0.928,13,0.838
297,293,50,31,5,14,5,293,31,50,11,14,14,14,12,14,14,11,9,14,0,0,0,0,0,1,5,0.645,0.681,11,0.756
298,294,50,31,5,14,5,294,31,50,11,14,14,14,12,14,14,11,9,14,0,0,0,0,0,1,5,0.645,0.681,11,0.756
299,295,50,31,5,14,5,295,31,50,11,14,14,14,12,14,14,11,9,14,0,0,0,0,0,1,5,0.645,0.681,11,0.756
300,296,50,31,5,14,5,296,31,50,11,14,14,14,12,14,14,11,9,14,0,0,0,0,0,1,5,0.645,0.681,11,0.756
301,297,50,31,5,14,5,297,31,50,11,14,14,14,12,14,14,11,9,14,0,0,0,0,0,1,5,0.645,0.681,11,0.756
302,298,50,31,5,14,5,298,31,50,11,14,14,14,12,14,14,11,9,14,0,0,0,0,0,1,5,0.645,0.681,11,0.756
303,299,50,31,5,14,5,299,31,50,11,14,14,14,12,14,14,11,9,14,0,0,0,0,0,1,5,0.645,0.681,11,0.756
304,300,50,31,5,14,5,300,31,50,11,14,14,14,12,14,14,11,9,14,0,0,0,0,0,1,5,0.645,0.681,11,0.756
305,301,50,31,5,14,5,301,31,50,11,14,14,14,12,14,14,11,9,14,0,0,0,0,0,1,5,0.645,0.681,11,0.756
306,302,50,31,5,14,5,302,31,50,11,14,14,14,12,14,14,11,9,14,0,0,0,0,0,1,5,0.645,0.681,11,0.756
307,303,50,31,4,15,5,303,31,50,11,15,15,14,11,15,13,11,9,15,0,1,0,0,0,1,4,0.645,0.928,13,0.838
308,304,50,31,3,13,4,304,31,50,14,13,13,15,13,13,15,14,12,13,0,0,0,0,0,1,3,0.351,0.376,14,0.863
309,305,50,31,3,13,4,305,31,50,13,13,13,15,13,13,15,13,12,13,0,1,1,0,0,1,3,0.819,0.376,14,0.863
310,306,50,31,3,13,4,306,31,50,13,13,13,15,13,13,15,13,12,13,0,1,1,0,0,1,3,0.819,0.376,14,0.863
311,307,50,31,3,10,4,307,31,50,12,10,10,15,15,10,15,12,12,10,0,0,0,0,1,1,2,0.484,0.405,12,0.867
312,308,50,31,3,10,4,308,31,50,12,10,10,15,15,10,15,12,12,10,0,0,0,0,1,1,2,0.484,0.405,12,0.867
313,309,50,31,3,10,4,309,31,50,12,10,10,15,15,10,15,12,12,10,0,0,0,0,1,1,2,0.484,0.405,12,0.867
314,310,50,31,2,10,5,310,31,50,12,10,10,15,15,10,13,12,11,10,0,0,0,0,0,1,2,0.484,0.405,12,0.867
315,311,50,31,2,10,5,311,31,50,12,10,10,15,15,10,13,12,11,10,0,0,0,0,0,1,2,0.484,0.405,12,0.867
316,312,50,31,2,10,5,312,31,50,12,10,10,15,15,10,13,12,11,10,0,0,0,0,0,1,2,0.484,0.405,12,0.867
317,313,50,31,2,15,5,313,31,50,11,15,15,14,11,15,13,11,9,15,0,1,0,0,0,1,4,0.645,0.928,13,0.838
318,314,50,31,5,14,5,314,31,50,11,14,14,14,12,14,14,11,9,14,0,0,0,0,0,1,5,0.645,0.681,11,0.756
319,315,50,31,5,14,5,315,31,50,11,14,14,14,12,14,14,11,9,14,0,0,0,0,0,1,5,0.645,0.681,11,0.756
320,316,50,31,5,14,5,316,31,50,11,14,14,14,12,14,14,11,9,14,0,0,0,0,0,1,5,0.645,0.681,11,0.756
321,317,50,31,5,14,5,317,31,50,11,14,14,14,12,14,14,11,9,14,0,0,0,0,0,1,5,0.645,0.681,11,0.756
322,318,50,31,5,14,5,318,31,50,11,14,14,14,12,14,14,11,9,14,0,0,0,0,0,1,5,0.645,0.681,11,0.756
323,319,50,31,5,14,5,319,31,50,11,14,14,14,12,14,14,11,9,14,0,0,0,0,0,1,5,0.645,0.681,11,0.756
324,320,50,31,5,14,5,320,31,50,11,14,14,10,12,14,14,11,9,14,0,0,0,0,0,1,5,0.645,0.681,11,0.756
325,321,50,31,5,14,5,321,31,50,11,14,14,10,12,14,14,11,9,14,0,0,0,0,0,1,5,0.645,0.681,11,0.756
326,322,50,31,5,14,5,322,31,50,11,14,14,14,12,14,14,11,9,14,0,0,0,0,0,1,5,0.645,0.681,11,0.756
327,323,50,31,5,14,5,323,31,50,11,14,14,14,12,14,14,11,9,14,0,0,0,0,0,1,5,0.645,0.681,11,0.756
328,324,50,31,5,14,5,324,31,50,11,14,14,14,12,14,14,11,9,14,0,0,0,0,0,1,5,0.645,0.681,11,0.756
329,325,50,31,5,14,5,325,31,50,11,14,14,14,12,14,14,11,9,14,0,0,0,0,0,1,5,0.645,0.681,11,0.756
330,326,50,31,5,14,5,326,31,50,11,14,14,14,12,14,14,11,11,14,0,0,0,0,1,1,5,0.645,0.681,11,0.756
331,327,50,31,5,14,5,327,31,50,11,14,14,14,12,14,14,11,11,14,0,0,0,0,1,1,5,0.645,0.681,11,0.756
332,328,50,31,5,14,5,328,31,50,11,14,14,14,12,14,14,11,11,14,0,0,0,0,1,1,5,0.645,0.681,11,0.756
333,329,50,31,5,14,5,329,31,50,11,14,14,14,12,14,14,11,11,14,0,0,0,0,1,1,5,0.645,0.681,11,0.756
334,330,50,31,2,15,5,330,31,50,11,15,15,14,11,15,13,11,11,15,0,1,0,0,1,1,4,0.645,0.928,13,0.838
335,331,50,31,2,10,5,331,31,50,12,10,10,13,15,10,10,12,11,10,0,0,0,0,0,1,2,0.484,0.405,12,0.867
336,332,50,31,2,10,5,332,31,50,12,10,10,13,15,10,10,12,11,10,0,0,0,0,0,1,2,0.484,0.405,12,0.867
337,333,50,31,2,10,5,333,31,50,12,10,10,13,15,10,10,12,11,10,0,0,0,0,0,1,2,0.484,0.405,12,0.867
338,334,50,31,2,10,5,334,31,50,12,10,10,13,15,10,13,12,11,10,0,0,0,0,0,1,2,0.484,0.405,12,0.867
339,335,50,31,2,10,4,335,31,50,12,10,10,13,15,10,15,12,11,10,0,0,0,0,0,1,2,0.484,0.405,12,0.867
340,336,50,31,3,10,4,336,31,50,12,10,10,15,15,10,15,12,11,10,0,0,0,0,0,1,2,0.484,0.405,12,0.867
341,337,50,31,3,10,4,337,31,50,12,10,10,15,15,10,15,12,11,10,0,0,0,0,0,1,2,0.484,0.405,12,0.867
342,338,50,31,3,10,4,338,31,50,12,10,10,15,15,10,15,12,11,10,0,0,0,0,0,1,2,0.484,0.405,12,0.867
343,339,50,31,3,13,4,339,31,50,13,13,13,15,13,13,15,13,12,13,0,1,1,0,0,1,3,0.819,0.376,14,0.863
344,340,50,31,3,13,4,340,31,50,13,13,13,15,13,13,15,13,12,13,0,1,1,0,0,1,3,0.819,0.376,14,0.863
345,341,50,31,3,13,4,341,31,50,13,13,13,15,13,13,15,13,12,13,0,1,1,0,0,1,3,0.819,0.376,14,0.863
346,342,50,31,3,10,4,342,31,50,12,10,10,15,15,10,15,12,12,10,0,0,0,0,1,1,2,0.484,0.405,12,0.867
347,343,50,31,3,10,4,343,31,50,12,10,10,15,15,10,15,12,12,10,0,0,0,0,1,1,2,0.484,0.405,12,0.867
348,344,50,31,3,10,4,344,31,50,12,10,10,15,15,10,15,12,12,10,0,0,0,0,1,1,2,0.484,0.405,12,0.867
349,345,50,31,3,10,4,345,31,50,12,10,10,15,15,10,15,12,11,10,0,0,0,0,0,1,2,0.484,0.405,12,0.867
350,346,50,31,2,10,4,346,31,50,12,10,10,13,15,10,15,12,11,10,0,0,0,0,0,1,2,0.484,0.405,12,0.867
351,347,50,31,2,10,4,347,31,50,12,10,10,13,15,10,10,12,11,10,0,0,0,0,0,1,2,0.484,0.405,12,0.867
352,348,50,31,2,10,4,348,31,50,12,10,10,13,15,10,10,12,11,10,0,0,0,0,0,1,2,0.484,0.405,12,0.867
353,349,50,31,2,10,5,349,31,50,12,10,10,13,15,10,10,12,11,10,0,0,0,0,0,1,2,0.484,0.405,12,0.867
354,350,50,31,2,10,5,350,31,50,12,10,10,13,15,10,10,12,11,10,0,0,0,0,0,1,2,0.484,0.405,12,0.867
355,351,50,31,5,14,5,351,31,50,11,14,14,13,12,14,14,11,11,14,0,0,0,0,1,1,5,0.645,0.681,11,0.756
356,352,50,31,5,14,5,352,31,50,11,14,14,14,12,14,14,11,11,14,0,0,0,0,1,1,5,0.645,0.681,11,0.756
357,353,50,31,5,14,5,353,31,50,11,14,14,14,12,14,14,11,11,14,0,0,0,0,1,1,5,0.645,0.681,11,0.756
358,354,50,31,5,14,5,354,31,50,11,14,14,14,12,14,14,11,11,14,0,0,0,0,1,1,5,0.645,0.681,11,0.756
359,355,50,31,5,14,5,355,31,50,11,14,14,14,12,14,14,11,9,14,0,0,0,0,0,1,5,0.645,0.681,11,0.756
360,356,50,31,5,14,5,356,31,50,11,14,14,14,12,14,14,11,9,14,0,0,0,0,0,1,5,0.645,0.681,11,0.756
361,357,50,31,5,14,5,357,31,50,11,14,14,10,12,14,14,11,9,14,0,0,0,0,0,1,5,0.645,0.681,11,0.756
362,358,50,31,1,14,5,358,31,50,11,14,14,14,12,14,14,11,11,14,0,0,0,0,1,1,5,0.645,0.681,11,0.756
363,359,50,31,5,14,5,359,31,50,11,14,14,13,12,14,14,11,11,14,0,0,0,0,1,1,5,0.645,0.681,11,0.756
364,360,50,31,2,10,5,360,31,50,12,10,10,13,15,10,10,12,11,10,0,0,0,0,0,1,2,0.484,0.405,12,0.867
365,361,50,31,2,10,4,361,31,50,12,10,10,13,15,10,10,12,11,10,0,0,0,0,0,1,2,0.484,0.405,12,0.867
366,362,50,31,2,10,4,362,31,50,12,10,10,13,15,10,10,12,11,10,0,0,0,0,0,1,2,0.484,0.405,12,0.867
367,363,50,31,2,10,4,363,31,50,12,10,10,13,15,10,10,12,11,10,0,0,0,0,0,1,2,0.484,0.405,12,0.867
368,364,50,31,3,10,4,364,31,50,12,10,10,13,15,10,15,12,11,10,0,0,0,0,0,1,2,0.484,0.405,12,0.867
369,365,50,31,3,10,4,365,31,50,12,10,10,13,15,10,15,12,11,10,0,0,0,0,0,1,2,0.484,0.405,12,0.867
370,366,50,31,3,10,4,366,31,50,12,10,10,13,15,10,15,12,11,10,0,0,0,0,0,1,2,0.484,0.405,12,0.867
371,367,50,31,3,10,4,367,31,50,12,10,10,15,15,10,15,12,11,10,0,0,0,0,0,1,2,0.484,0.405,12,0.867
372,368,50,31,3,10,4,368,31,50,12,10,10,15,15,10,15,12,12,10,0,0,0,0,1,1,2,0.484,0.405,12,0.867
373,369,50,31,3,10,4,369,31,50,12,10,10,15,15,10,15,12,12,10,0,0,0,0,1,1,2,0.484,0.405,12,0.867
374,370,50,31,3,13,4,370,31,50,14,13,13,12,13,13,15,14,14,13,0,0,0,0,1,1,3,0.351,0.376,14,0.863
375,371,50,31,3,13,4,371,31,50,14,13,13,12,13,13,15,14,14,13,0,0,0,0,1,1,3,0.351,0.376,14,0.863
376,372,50,31,3,10,4,372,31,50,12,10,10,12,15,10,15,12,14,10,1,0,0,0,0,1,2,0.484,0.405,12,0.867
377,373,50,31,3,10,4,373,31,50,12,10,10,12,15,10,15,12,14,10,1,0,0,0,0,1,2,0.484,0.405,12,0.867
378,374,50,31,3,10,4,374,31,50,12,10,10,13,15,10,15,12,11,10,0,0,0,0,0,1,2,0.484,0.405,12,0.867
379,375,50,31,3,10,4,375,31,50,12,10,10,13,15,10,15,12,11,10,0,0,0,0,0,1,2,0.484,0.405,12,0.867
380,376,50,31,3,10,4,376,31,50,12,10,10,13,15,10,15,12,11,10,0,0,0,0,0,1,2,0.484,0.405,12,0.867
381,377,50,31,3,13,4,377,31,50,14,13,13,12,13,13,15,14,14,13,0,0,0,0,1,1,3,0.351,0.376,14,0.863
382,378,50,31,3,13,4,378,31,50,14,13,13,12,13,13,15,14,14,13,0,0,0,0,1,1,3,0.351,0.376,14,0.863
383,379,50,31,3,10,4,379,31,50,12,10,10,12,15,10,15,12,14,10,1,0,0,0,0,1,2,0.484,0.405,12,0.867
384,380,50,31,3,10,4,380,31,50,12,10,10,12,15,10,15,12,14,10,1,0,0,0,0,1,2,0.484,0.405,12,0.867
385,381,50,31,3,10,4,381,31,50,12,10,10,12,15,10,15,12,14,10,1,0,0,0,0,1,2,0.484,0.405,12,0.867
386,382,50,31,3,10,4,382,31,50,12,10,10,13,15,10,15,12,11,10,0,0,0,0,0,1,2,0.484,0.405,12,0.867
387,383,50,31,3,10,4,383,31,50,12,10,10,13,15,10,15,12,11,10,0,0,0,0,0,1,2,0.484,0.405,12,0.867
388,384,50,31,3,10,4,384,31,50,12,10,10,13,15,10,15,12,11,10,0,0,0,0,0,1,2,0.484,0.405,12,0.867
389,385,50,31,3,10,4,385,31,50,12,10,10,13,15,10,10,12,11,10,0,0,0,0,0,1,2,0.484,0.405,12,0.867
390,386,50,31,3,10,4,386,31,50,12,10,10,13,15,10,10,12,11,10,0,0,0,0,0,1,2,0.484,0.405,12,0.867
391,387,50,31,2,10,4,387,31,50,12,10,10,13,15,10,10,12,11,10,0,0,0,0,0,1,2,0.484,0.405,12,0.867
392,388,50,31,2,10,4,388,31,50,12,10,10,13,15,10,10,12,11,10,0,0,0,0,0,1,2,0.484,0.405,12,0.867
393,389,50,31,2,10,4,389,31,50,12,10,10,13,15,10,10,12,11,10,0,0,0,0,0,1,2,0.484,0.405,12,0.867
394,390,50,31,2,10,4,390,31,50,12,10,10,13,15,10,10,12,11,10,0,0,0,0,0,1,2,0.484,0.405,12,0.867
395,391,50,31,2,10,5,391,31,50,12,10,10,13,15,10,10,12,11,10,0,0,0,0,0,1,2,0.484,0.405,12,0.867
396,392,50,31,2,10,5,392,31,50,12,10,10,13,15,10,10,12,11,10,0,0,0,0,0,1,2,0.484,0.405,12,0.867
397,393,50,31,1,14,5,393,31,50,11,14,14,13,12,14,14,11,11,14,0,0,0,0,1,1,5,0.645,0.681,11,0.756
398,394,50,31,1,14,5,394,31,50,11,14,14,13,12,14,14,11,11,14,0,0,0,0,1,1,5,0.645,0.681,11,0.756
399,395,50,31,1,14,5,395,31,50,11,14,14,10,12,14,14,11,13,14,0,0,0,0,0,1,5,0.645,0.681,11,0.756
400,396,50,31,1,14,5,396,31,50,11,14,14,10,12,14,14,11,13,14,0,0,0,0,0,1,5,0.645,0.681,11,0.756
401,397,50,31,1,14,5,397,31,50,11,14,14,10,12,14,14,11,13,14,0,0,0,0,0,1,5,0.645,0.681,11,0.756
402,398,50,31,1,14,5,398,31,50,11,14,14,10,12,14,14,11,13,14,0,0,0,0,0,1,5,0.645,0.681,11,0.756
