"seccion","X.x","munn.x","edon.x","disloc2015","disloc2017","disfed2017","X.y","edon.y","munn.y","escenario1","escenario2","escenario3","mc_clv1","panal_clv1","pan_clv1","prd_clv1","pt_clv1","pvem_clv1","pan_clv2","esc1_mcCLV1","esc1_panalCLV1","esc1_panCLV1","esc1_prdCLV1","esc1_pvemCLV1","esc2_panCLV2","SQ","dsiSQ_E1","dsiSQ_E3","E1","dsiE1_E3"
25,24,5,31,9,5,2,24,31,5,6,6,5,8,7,6,7,6,7,5,0,0,1,0,0,0,15,0.268,0.237,6,0.748
26,25,5,31,9,5,2,25,31,5,6,6,5,8,7,6,7,6,7,5,0,0,1,0,0,0,15,0.268,0.237,6,0.748
27,26,6,31,10,5,3,26,31,6,6,6,5,8,7,6,7,6,5,5,0,0,1,0,0,0,15,0.268,0.237,6,0.748
28,27,6,31,10,5,3,27,31,6,6,6,5,8,7,6,7,6,5,5,0,0,1,0,0,0,15,0.268,0.237,6,0.748
29,28,6,31,10,5,3,28,31,6,6,6,5,8,7,6,7,6,5,5,0,0,1,0,0,0,15,0.268,0.237,6,0.748
30,29,6,31,10,5,3,29,31,6,6,6,5,8,7,6,7,6,5,5,0,0,1,0,0,0,15,0.268,0.237,6,0.748
31,30,6,31,10,5,3,30,31,6,6,6,5,8,7,6,7,6,5,5,0,0,1,0,0,0,15,0.268,0.237,6,0.748
32,31,6,31,10,5,3,31,31,6,6,6,5,8,7,6,7,6,5,5,0,0,1,0,0,0,15,0.268,0.237,6,0.748
33,32,7,31,9,5,2,32,31,7,6,6,5,8,7,6,2,6,1,5,0,0,1,0,0,0,15,0.268,0.237,6,0.748
34,33,7,31,9,5,2,33,31,7,6,6,5,8,7,6,2,6,1,5,0,0,1,0,0,0,15,0.268,0.237,6,0.748
35,34,7,31,9,5,2,34,31,7,6,6,5,8,7,6,2,6,1,5,0,0,1,0,0,0,15,0.268,0.237,6,0.748
36,35,7,31,9,5,2,35,31,7,6,6,5,8,7,6,2,6,1,5,0,0,1,0,0,0,15,0.268,0.237,6,0.748
37,36,8,31,11,6,3,36,31,8,4,2,6,1,9,2,5,4,5,6,0,0,0,0,0,0,10,0.478,0.478,4,1
38,37,8,31,11,6,3,37,31,8,4,2,6,1,9,2,5,4,5,6,0,0,0,0,0,0,10,0.478,0.478,4,1
39,38,8,31,11,6,3,38,31,8,4,2,6,1,9,2,5,4,5,6,0,0,0,0,0,0,10,0.478,0.478,4,1
40,39,8,31,11,6,3,39,31,8,4,2,6,1,9,2,5,4,5,6,0,0,0,0,0,0,10,0.478,0.478,4,1
41,40,9,31,10,5,2,40,31,9,6,6,5,8,7,6,7,6,7,5,0,0,1,0,0,0,15,0.268,0.237,6,0.748
42,41,9,31,10,5,2,41,31,9,6,6,5,8,7,6,7,6,7,5,0,0,1,0,0,0,15,0.268,0.237,6,0.748
43,42,9,31,10,5,2,42,31,9,6,6,5,8,7,6,7,6,7,5,0,0,1,0,0,0,15,0.268,0.237,6,0.748
44,43,9,31,10,5,2,43,31,9,6,6,5,8,7,6,7,6,7,5,0,0,1,0,0,0,15,0.268,0.237,6,0.748
45,44,9,31,10,5,2,44,31,9,6,6,5,8,7,6,7,6,7,5,0,0,1,0,0,0,15,0.268,0.237,6,0.748
46,45,9,31,10,5,2,45,31,9,6,6,5,8,7,6,7,6,7,5,0,0,1,0,0,0,15,0.268,0.237,6,0.748
47,46,10,31,15,7,1,46,31,10,9,3,7,2,5,3,4,9,3,7,0,0,0,0,0,0,15,0.342,0.315,9,0.349
48,47,10,31,15,7,1,47,31,10,9,3,7,2,5,3,4,9,3,7,0,0,0,0,0,0,15,0.342,0.315,9,0.349
49,48,10,31,15,7,1,48,31,10,9,3,7,2,5,3,4,9,3,7,0,0,0,0,0,0,15,0.342,0.315,9,0.349
50,49,11,31,8,1,2,49,31,11,5,8,1,4,2,8,8,5,6,1,0,0,0,0,0,0,8,0.392,0.967,5,0.361
51,50,11,31,8,1,2,50,31,11,5,8,1,4,2,8,8,5,6,1,0,0,0,0,0,0,8,0.392,0.967,5,0.361
52,51,11,31,8,1,2,51,31,11,5,8,1,4,2,8,8,5,6,1,0,0,0,0,0,0,8,0.392,0.967,5,0.361
53,52,11,31,8,1,2,52,31,11,5,8,1,4,2,8,8,5,6,1,0,0,0,0,0,0,8,0.392,0.967,5,0.361
54,53,12,31,15,5,3,53,31,12,6,6,5,8,5,6,7,6,5,5,0,0,1,0,0,0,15,0.268,0.237,6,0.748
55,54,12,31,15,5,3,54,31,12,6,6,5,8,5,6,7,6,5,5,0,0,1,0,0,0,15,0.268,0.237,6,0.748
56,55,12,31,15,5,3,55,31,12,6,6,5,8,5,6,7,6,5,5,0,0,1,0,0,0,15,0.268,0.237,6,0.748
57,56,12,31,15,5,3,56,31,12,6,6,5,8,5,6,7,6,5,5,0,0,1,0,0,0,15,0.268,0.237,6,0.748
58,57,12,31,15,5,3,57,31,12,6,6,5,8,5,6,7,6,5,5,0,0,1,0,0,0,15,0.268,0.237,6,0.748
59,58,13,31,9,4,2,58,31,13,3,7,4,9,2,7,9,3,6,4,0,0,0,0,0,0,9,0.891,0.933,3,0.953
60,59,13,31,9,4,2,59,31,13,3,7,4,9,2,7,9,3,6,4,0,0,0,0,0,0,9,0.891,0.933,3,0.953
61,60,13,31,9,4,2,60,31,13,3,7,4,9,2,7,9,3,6,4,0,0,0,0,0,0,9,0.891,0.933,3,0.953
62,61,13,31,9,4,2,61,31,13,3,7,4,9,2,7,9,3,6,4,0,0,0,0,0,0,9,0.891,0.933,3,0.953
63,62,13,31,9,4,2,62,31,13,3,7,4,9,2,7,9,3,6,4,0,0,0,0,0,0,9,0.891,0.933,3,0.953
64,63,13,31,9,4,2,63,31,13,3,7,4,9,2,7,9,3,6,4,0,0,0,0,0,0,9,0.891,0.933,3,0.953
65,64,14,31,15,8,3,64,31,14,9,3,8,2,5,3,6,9,3,8,0,0,0,0,0,0,11,0.342,0.675,1,0.862
66,65,14,31,15,8,3,65,31,14,9,3,8,2,5,3,6,9,3,8,0,0,0,0,0,0,11,0.342,0.675,1,0.862
67,66,15,31,14,7,1,66,31,15,8,9,7,5,4,9,4,8,1,7,0,0,0,0,0,0,15,0.343,0.315,9,0.349
68,67,15,31,14,7,1,67,31,15,8,9,7,5,4,9,4,8,1,7,0,0,0,0,0,0,15,0.343,0.315,9,0.349
69,68,15,31,14,7,1,68,31,15,8,9,7,5,4,9,4,8,1,7,0,0,0,0,0,0,15,0.343,0.315,9,0.349
70,69,16,31,12,3,1,69,31,16,9,3,3,2,6,3,3,9,3,3,0,0,0,0,0,1,12,0.342,0.961,7,0.436
71,70,17,31,15,7,3,70,31,17,9,3,7,2,5,3,6,9,3,7,0,0,0,0,0,0,15,0.342,0.315,9,0.349
72,71,17,31,15,7,3,71,31,17,9,3,7,2,5,3,6,9,3,7,0,0,0,0,0,0,15,0.342,0.315,9,0.349
73,72,17,31,15,7,3,72,31,17,9,3,7,2,5,3,6,9,3,7,0,0,0,0,0,0,15,0.342,0.315,9,0.349
74,73,17,31,15,7,3,73,31,17,9,3,7,2,5,3,6,9,3,7,0,0,0,0,0,0,15,0.342,0.315,9,0.349
75,74,18,31,12,9,1,74,31,18,8,9,9,5,4,9,1,8,1,9,0,0,0,0,0,1,13,0.343,0.899,5,0.353
76,75,18,31,13,9,1,75,31,18,8,9,9,5,4,9,1,8,1,9,0,0,0,0,0,1,13,0.343,0.899,5,0.353
77,76,18,31,13,9,1,76,31,18,8,9,9,5,4,9,1,8,1,9,0,0,0,0,0,1,13,0.343,0.899,5,0.353
78,77,19,31,11,8,3,77,31,19,1,1,8,7,8,1,5,1,2,8,0,0,1,0,0,0,11,0.765,0.675,1,0.862
79,78,19,31,11,8,3,78,31,19,1,1,8,7,8,1,5,1,2,8,0,0,1,0,0,0,11,0.765,0.675,1,0.862
80,79,19,31,11,8,3,79,31,19,1,1,8,7,8,1,5,1,2,8,0,0,1,0,0,0,11,0.765,0.675,1,0.862
81,80,19,31,11,8,3,80,31,19,1,1,8,7,8,1,5,1,2,8,0,0,1,0,0,0,11,0.765,0.675,1,0.862
82,81,19,31,11,8,3,81,31,19,1,1,8,7,8,1,5,1,2,8,0,0,1,0,0,0,11,0.765,0.675,1,0.862
83,82,19,31,11,8,3,82,31,19,1,1,8,7,8,1,5,1,2,8,0,0,1,0,0,0,11,0.765,0.675,1,0.862
84,83,19,31,11,8,3,83,31,19,1,1,8,7,8,1,5,1,2,8,0,0,1,0,0,0,11,0.765,0.675,1,0.862
85,84,19,31,11,8,3,84,31,19,1,1,8,7,8,1,5,1,2,8,0,0,1,0,0,0,11,0.765,0.675,1,0.862
86,85,19,31,11,8,3,85,31,19,1,1,8,7,8,1,5,1,2,8,0,0,1,0,0,0,11,0.765,0.675,1,0.862
87,86,19,31,11,8,3,86,31,19,1,1,8,7,8,1,5,1,2,8,0,0,1,0,0,0,11,0.765,0.675,1,0.862
88,87,19,31,11,8,3,87,31,19,1,1,8,7,8,1,5,1,2,8,0,0,1,0,0,0,11,0.765,0.675,1,0.862
89,88,19,31,11,8,3,88,31,19,1,1,8,7,8,1,5,1,2,8,0,0,1,0,0,0,11,0.765,0.675,1,0.862
90,89,19,31,11,8,3,89,31,19,1,1,8,7,8,1,5,1,2,8,0,0,1,0,0,0,11,0.765,0.675,1,0.862
91,90,20,31,9,4,2,90,31,20,3,7,4,9,2,7,9,3,6,4,0,0,0,0,0,0,9,0.891,0.933,3,0.953
92,91,20,31,9,4,2,91,31,20,3,7,4,9,2,7,9,3,6,4,0,0,0,0,0,0,9,0.891,0.933,3,0.953
93,92,21,31,11,8,3,92,31,21,1,1,8,7,8,1,6,1,2,8,0,0,1,0,0,0,11,0.765,0.675,1,0.862
94,93,21,31,11,8,3,93,31,21,1,1,8,7,8,1,6,1,2,8,0,0,1,0,0,0,11,0.765,0.675,1,0.862
95,94,21,31,11,8,3,94,31,21,1,1,8,7,8,1,6,1,2,8,0,0,1,0,0,0,11,0.765,0.675,1,0.862
96,95,21,31,11,8,3,95,31,21,1,1,8,7,8,1,6,1,2,8,0,0,1,0,0,0,11,0.765,0.675,1,0.862
97,96,21,31,11,8,3,96,31,21,1,1,8,7,8,1,6,1,2,8,0,0,1,0,0,0,11,0.765,0.675,1,0.862
98,97,21,31,11,8,3,97,31,21,1,1,8,7,8,1,6,1,2,8,0,0,1,0,0,0,11,0.765,0.675,1,0.862
99,98,22,31,15,8,3,98,31,22,9,3,8,2,5,3,6,9,3,8,0,0,0,0,0,0,11,0.342,0.675,1,0.862
101,99,22,31,15,8,3,99,31,22,9,3,8,2,5,3,6,9,3,8,0,0,0,0,0,0,11,0.342,0.675,1,0.862
102,100,22,31,15,8,3,100,31,22,9,3,8,2,5,3,6,9,3,8,0,0,0,0,0,0,11,0.342,0.675,1,0.862
103,101,23,31,8,1,1,101,31,23,5,8,1,4,1,8,8,5,4,1,0,0,0,0,0,0,8,0.392,0.967,5,0.361
104,102,23,31,8,1,1,102,31,23,5,8,1,4,1,8,8,5,4,1,0,0,0,0,0,0,8,0.392,0.967,5,0.361
105,103,23,31,8,1,1,103,31,23,5,8,1,4,1,8,8,5,4,1,0,0,0,0,0,0,8,0.392,0.967,5,0.361
106,104,24,31,14,9,1,104,31,24,8,9,9,5,4,9,4,8,3,9,0,0,0,0,0,1,13,0.343,0.899,5,0.353
107,105,24,31,14,9,1,105,31,24,8,9,9,5,4,9,4,8,3,9,0,0,0,0,0,1,13,0.343,0.899,5,0.353
108,106,25,31,13,9,1,106,31,25,7,5,9,6,4,5,1,7,8,9,0,0,0,0,0,0,13,0.423,0.899,5,0.353
