"seccion","X.x","munn.x","edon.x","disloc2015","disloc2017","disfed2017","X.y","edon.y","munn.y","escenario1","escenario2","escenario3","mc_clv1","panal_clv1","pan_clv1","prd_clv1","pt_clv1","pvem_clv1","pan_clv2","esc1_mcCLV1","esc1_panalCLV1","esc1_panCLV1","esc1_prdCLV1","esc1_pvemCLV1","esc2_panCLV2","SQ","dsiSQ_E1"
59,58,13,31,9,4,2,58,31,13,3,7,4,9,2,7,9,3,6,4,0,0,0,0,0,0,9,0.891
60,59,13,31,9,4,2,59,31,13,3,7,4,9,2,7,9,3,6,4,0,0,0,0,0,0,9,0.891
61,60,13,31,9,4,2,60,31,13,3,7,4,9,2,7,9,3,6,4,0,0,0,0,0,0,9,0.891
62,61,13,31,9,4,2,61,31,13,3,7,4,9,2,7,9,3,6,4,0,0,0,0,0,0,9,0.891
63,62,13,31,9,4,2,62,31,13,3,7,4,9,2,7,9,3,6,4,0,0,0,0,0,0,9,0.891
64,63,13,31,9,4,2,63,31,13,3,7,4,9,2,7,9,3,6,4,0,0,0,0,0,0,9,0.891
65,64,14,31,15,8,3,64,31,14,9,3,8,2,5,3,6,9,3,8,0,0,0,0,0,0,15,0.342
66,65,14,31,15,8,3,65,31,14,9,3,8,2,5,3,6,9,3,8,0,0,0,0,0,0,15,0.342
67,66,15,31,14,7,1,66,31,15,8,9,7,5,4,9,4,8,1,7,0,0,0,0,0,0,14,0.343
68,67,15,31,14,7,1,67,31,15,8,9,7,5,4,9,4,8,1,7,0,0,0,0,0,0,14,0.343
69,68,15,31,14,7,1,68,31,15,8,9,7,5,4,9,4,8,1,7,0,0,0,0,0,0,14,0.343
70,69,16,31,12,3,1,69,31,16,9,3,3,2,6,3,3,9,3,3,0,0,0,0,0,1,15,0.342
71,70,17,31,15,7,3,70,31,17,9,3,7,2,5,3,6,9,3,7,0,0,0,0,0,0,15,0.342
72,71,17,31,15,7,3,71,31,17,9,3,7,2,5,3,6,9,3,7,0,0,0,0,0,0,15,0.342
73,72,17,31,15,7,3,72,31,17,9,3,7,2,5,3,6,9,3,7,0,0,0,0,0,0,15,0.342
74,73,17,31,15,7,3,73,31,17,9,3,7,2,5,3,6,9,3,7,0,0,0,0,0,0,15,0.342
75,74,18,31,12,9,1,74,31,18,8,9,9,5,4,9,1,8,1,9,0,0,0,0,0,1,14,0.343
76,75,18,31,13,9,1,75,31,18,8,9,9,5,4,9,1,8,1,9,0,0,0,0,0,1,14,0.343
77,76,18,31,13,9,1,76,31,18,8,9,9,5,4,9,1,8,1,9,0,0,0,0,0,1,14,0.343
78,77,19,31,11,8,3,77,31,19,1,1,8,7,8,1,5,1,2,8,0,0,1,0,0,0,11,0.765
79,78,19,31,11,8,3,78,31,19,1,1,8,7,8,1,5,1,2,8,0,0,1,0,0,0,11,0.765
80,79,19,31,11,8,3,79,31,19,1,1,8,7,8,1,5,1,2,8,0,0,1,0,0,0,11,0.765
81,80,19,31,11,8,3,80,31,19,1,1,8,7,8,1,5,1,2,8,0,0,1,0,0,0,11,0.765
82,81,19,31,11,8,3,81,31,19,1,1,8,7,8,1,5,1,2,8,0,0,1,0,0,0,11,0.765
83,82,19,31,11,8,3,82,31,19,1,1,8,7,8,1,5,1,2,8,0,0,1,0,0,0,11,0.765
84,83,19,31,11,8,3,83,31,19,1,1,8,7,8,1,5,1,2,8,0,0,1,0,0,0,11,0.765
85,84,19,31,11,8,3,84,31,19,1,1,8,7,8,1,5,1,2,8,0,0,1,0,0,0,11,0.765
86,85,19,31,11,8,3,85,31,19,1,1,8,7,8,1,5,1,2,8,0,0,1,0,0,0,11,0.765
87,86,19,31,11,8,3,86,31,19,1,1,8,7,8,1,5,1,2,8,0,0,1,0,0,0,11,0.765
88,87,19,31,11,8,3,87,31,19,1,1,8,7,8,1,5,1,2,8,0,0,1,0,0,0,11,0.765
89,88,19,31,11,8,3,88,31,19,1,1,8,7,8,1,5,1,2,8,0,0,1,0,0,0,11,0.765
90,89,19,31,11,8,3,89,31,19,1,1,8,7,8,1,5,1,2,8,0,0,1,0,0,0,11,0.765
91,90,20,31,9,4,2,90,31,20,3,7,4,9,2,7,9,3,6,4,0,0,0,0,0,0,9,0.891
92,91,20,31,9,4,2,91,31,20,3,7,4,9,2,7,9,3,6,4,0,0,0,0,0,0,9,0.891
93,92,21,31,11,8,3,92,31,21,1,1,8,7,8,1,6,1,2,8,0,0,1,0,0,0,11,0.765
94,93,21,31,11,8,3,93,31,21,1,1,8,7,8,1,6,1,2,8,0,0,1,0,0,0,11,0.765
95,94,21,31,11,8,3,94,31,21,1,1,8,7,8,1,6,1,2,8,0,0,1,0,0,0,11,0.765
96,95,21,31,11,8,3,95,31,21,1,1,8,7,8,1,6,1,2,8,0,0,1,0,0,0,11,0.765
97,96,21,31,11,8,3,96,31,21,1,1,8,7,8,1,6,1,2,8,0,0,1,0,0,0,11,0.765
98,97,21,31,11,8,3,97,31,21,1,1,8,7,8,1,6,1,2,8,0,0,1,0,0,0,11,0.765
99,98,22,31,15,8,3,98,31,22,9,3,8,2,5,3,6,9,3,8,0,0,0,0,0,0,15,0.342
101,99,22,31,15,8,3,99,31,22,9,3,8,2,5,3,6,9,3,8,0,0,0,0,0,0,15,0.342
102,100,22,31,15,8,3,100,31,22,9,3,8,2,5,3,6,9,3,8,0,0,0,0,0,0,15,0.342
103,101,23,31,8,1,1,101,31,23,5,8,1,4,1,8,8,5,4,1,0,0,0,0,0,0,13,0.392
104,102,23,31,8,1,1,102,31,23,5,8,1,4,1,8,8,5,4,1,0,0,0,0,0,0,13,0.392
105,103,23,31,8,1,1,103,31,23,5,8,1,4,1,8,8,5,4,1,0,0,0,0,0,0,13,0.392
106,104,24,31,14,9,1,104,31,24,8,9,9,5,4,9,4,8,3,9,0,0,0,0,0,1,14,0.343
107,105,24,31,14,9,1,105,31,24,8,9,9,5,4,9,4,8,3,9,0,0,0,0,0,1,14,0.343
108,106,25,31,13,9,1,106,31,25,7,5,9,6,4,5,1,7,8,9,0,0,0,0,0,0,12,0.423
109,107,25,31,13,9,1,107,31,25,7,5,9,6,4,5,1,7,8,9,0,0,0,0,0,0,12,0.423
110,108,26,31,9,4,2,108,31,26,3,7,4,9,7,7,9,3,7,4,0,0,0,0,0,0,9,0.891
111,109,26,31,9,4,2,109,31,26,3,7,4,9,7,7,9,3,7,4,0,0,0,0,0,0,9,0.891
112,110,26,31,9,4,2,110,31,26,3,7,4,9,7,7,9,3,7,4,0,0,0,0,0,0,9,0.891
113,111,26,31,9,4,2,111,31,26,3,7,4,9,7,7,9,3,7,4,0,0,0,0,0,0,9,0.891
114,112,27,31,10,5,3,112,31,27,6,6,5,8,7,6,7,6,7,5,0,0,1,0,0,0,15,0.268
115,113,27,31,10,5,3,113,31,27,6,6,5,8,7,6,7,6,7,5,0,0,1,0,0,0,15,0.268
116,114,27,31,10,5,3,114,31,27,6,6,5,8,7,6,7,6,7,5,0,0,1,0,0,0,15,0.268
117,115,27,31,10,5,3,115,31,27,6,6,5,8,7,6,7,6,7,5,0,0,1,0,0,0,15,0.268
118,116,27,31,10,5,3,116,31,27,6,6,5,8,7,6,7,6,7,5,0,0,1,0,0,0,15,0.268
120,117,28,31,10,5,3,117,31,28,6,6,5,8,7,6,7,6,5,5,0,0,1,0,0,0,15,0.268
121,118,28,31,10,5,3,118,31,28,6,6,5,8,7,6,7,6,5,5,0,0,1,0,0,0,15,0.268
122,119,29,31,10,5,3,119,31,29,6,6,5,8,7,6,7,6,5,5,0,0,1,0,0,0,15,0.268
123,120,29,31,10,5,3,120,31,29,6,6,5,8,7,6,7,6,5,5,0,0,1,0,0,0,15,0.268
124,121,29,31,10,5,3,121,31,29,6,6,5,8,7,6,7,6,5,5,0,0,1,0,0,0,15,0.268
125,122,29,31,10,5,3,122,31,29,6,6,5,8,7,6,7,6,5,5,0,0,1,0,0,0,15,0.268
126,123,29,31,10,5,3,123,31,29,6,6,5,8,7,6,7,6,5,5,0,0,1,0,0,0,15,0.268
127,124,30,31,15,7,3,124,31,30,9,3,7,2,5,3,7,9,3,7,0,0,0,0,0,0,15,0.342
128,125,30,31,15,7,3,125,31,30,9,3,7,2,5,3,7,9,3,7,0,0,0,0,0,0,15,0.342
129,126,30,31,15,7,3,126,31,30,9,3,7,2,5,3,7,9,3,7,0,0,0,0,0,0,15,0.342
130,127,30,31,15,7,3,127,31,30,9,3,7,2,5,3,7,9,3,7,0,0,0,0,0,0,15,0.342
131,128,31,31,10,5,3,128,31,31,6,6,5,8,7,6,7,6,7,5,0,0,1,0,0,0,15,0.268
132,129,31,31,10,5,3,129,31,31,6,6,5,8,7,6,7,6,7,5,0,0,1,0,0,0,15,0.268
133,130,31,31,10,5,3,130,31,31,6,6,5,8,7,6,7,6,7,5,0,0,1,0,0,0,15,0.268
134,131,32,31,15,6,3,131,31,32,4,2,6,1,9,2,7,4,5,6,0,0,0,0,0,0,10,0.478
135,132,32,31,15,6,3,132,31,32,4,2,6,1,9,2,7,4,5,6,0,0,0,0,0,0,10,0.478
136,133,32,31,15,6,3,133,31,32,4,2,6,1,9,2,7,4,5,6,0,0,0,0,0,0,10,0.478
