"seccion","munn.x","edon.x","edo","disfed1979","disfed1997","disfed2006","disfed2018","mun","disloc2005","disloc2011","disloc2017","lisnom08","X","edon.y","munn.y","escenario1","escenario2","escenario3","criterio8","cab","morena_clv1","panal_clv1","pan_clv1","prd_clv1","pri_iee1","pvem_clv1","iee2","mc_clv2","morena_clv2","morena_iee2","panal_clv2","panal_iee2","pan_clv2","pan_iee2","pes_clv2","pes_iee2","ph_clv2","ph_iee2","prd_clv2","pri_clv2","pri_iee2","pt_clv2","pt_iee2","pvem_clv2","pvem_iee2","prd_iee2","esc1_morCLV1","esc1_panalCLV1","esc1_panCLV1","esc1_prdCLV1","esc1_priIEE1","esc1_pvemCLV1","esc2_IEE2","esc2_mcCLV2","esc2_morCLV2","esc2_morIEE2","esc2_panalCLV2","esc2_panalIEE2","esc2_panCLV2","esc2_panIEE2","esc2_pesCLV2","esc2_pesIEE2","esc2_phCLV2","esc2_phIEE2","esc2_prdCLV2","esc2_priIEE2","esc2_ptCLV2","esc2_ptIEE2","esc2_pvemCLV2","esc2_pvemIEE2","esc2_prdIEE2","SQ","dsiSQ_E1","dsiSQ_E3"
469,20,5,"coa",7,1,2,2,"Múzquiz",18,13,3,659,20,5,20,1,1,1,3,"sabinas",5,5,11,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,13,0.401,0.551
470,20,5,"coa",7,1,2,2,"Múzquiz",18,13,3,616,21,5,20,1,1,1,3,"sabinas",5,5,11,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,13,0.401,0.551
473,20,5,"coa",7,1,2,2,"Múzquiz",18,13,3,434,22,5,20,1,1,1,3,"sabinas",5,5,11,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,13,0.401,0.551
474,20,5,"coa",7,1,2,2,"Múzquiz",18,13,3,560,23,5,20,1,1,1,3,"sabinas",5,5,11,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,13,0.401,0.551
475,20,5,"coa",7,1,2,2,"Múzquiz",18,13,3,556,24,5,20,1,1,1,3,"sabinas",5,5,11,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,13,0.401,0.551
476,20,5,"coa",7,1,2,2,"Múzquiz",18,13,3,555,25,5,20,1,1,1,3,"sabinas",5,5,11,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,13,0.401,0.551
477,20,5,"coa",7,1,2,2,"Múzquiz",18,13,3,461,26,5,20,1,1,1,3,"sabinas",5,5,11,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,13,0.401,0.551
478,20,5,"coa",7,1,2,2,"Múzquiz",18,13,3,626,27,5,20,1,1,1,3,"sabinas",5,5,11,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,13,0.401,0.551
479,20,5,"coa",7,1,2,2,"Múzquiz",18,13,3,638,28,5,20,1,1,1,3,"sabinas",5,5,11,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,13,0.401,0.551
480,20,5,"coa",7,1,2,2,"Múzquiz",18,13,3,466,29,5,20,1,1,1,3,"sabinas",5,5,11,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,13,0.401,0.551
481,20,5,"coa",7,1,2,2,"Múzquiz",18,13,3,497,30,5,20,1,1,1,3,"sabinas",5,5,11,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,13,0.401,0.551
482,20,5,"coa",7,1,2,2,"Múzquiz",18,13,3,475,31,5,20,1,1,1,3,"sabinas",5,5,11,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,13,0.401,0.551
483,20,5,"coa",7,1,2,2,"Múzquiz",18,13,3,526,32,5,20,1,1,1,3,"sabinas",5,5,11,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,13,0.401,0.551
484,20,5,"coa",7,1,2,2,"Múzquiz",18,13,3,651,33,5,20,1,1,1,3,"sabinas",5,5,11,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,13,0.401,0.551
485,20,5,"coa",7,1,2,2,"Múzquiz",18,13,3,703,34,5,20,1,1,1,3,"sabinas",5,5,11,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,13,0.401,0.551
486,20,5,"coa",7,1,2,2,"Múzquiz",18,13,3,422,35,5,20,1,1,1,3,"sabinas",5,5,11,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,13,0.401,0.551
487,20,5,"coa",7,1,2,2,"Múzquiz",18,13,3,464,36,5,20,1,1,1,3,"sabinas",5,5,11,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,13,0.401,0.551
488,20,5,"coa",7,1,2,2,"Múzquiz",18,13,3,555,37,5,20,1,1,1,3,"sabinas",5,5,11,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,13,0.401,0.551
489,20,5,"coa",7,1,2,2,"Múzquiz",18,13,3,511,38,5,20,1,1,1,3,"sabinas",5,5,11,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,13,0.401,0.551
490,20,5,"coa",7,1,2,2,"Múzquiz",18,13,3,490,39,5,20,1,1,1,3,"sabinas",5,5,11,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,13,0.401,0.551
491,20,5,"coa",7,1,2,2,"Múzquiz",18,13,3,208,40,5,20,1,1,1,3,"sabinas",5,5,11,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,13,0.401,0.551
492,20,5,"coa",7,1,2,2,"Múzquiz",18,13,3,688,41,5,20,1,1,1,3,"sabinas",5,5,11,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,13,0.401,0.551
493,20,5,"coa",7,1,2,2,"Múzquiz",18,13,3,502,42,5,20,1,1,1,3,"sabinas",5,5,11,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,13,0.401,0.551
494,20,5,"coa",7,1,2,2,"Múzquiz",18,13,3,450,43,5,20,1,1,1,3,"sabinas",5,5,11,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,13,0.401,0.551
495,20,5,"coa",7,1,2,2,"Múzquiz",18,13,3,490,44,5,20,1,1,1,3,"sabinas",5,5,11,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,13,0.401,0.551
496,20,5,"coa",7,1,2,2,"Múzquiz",18,13,3,585,45,5,20,1,1,1,3,"sabinas",5,5,11,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,13,0.401,0.551
497,20,5,"coa",7,1,2,2,"Múzquiz",18,13,3,714,46,5,20,1,1,1,3,"sabinas",5,5,11,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,13,0.401,0.551
498,20,5,"coa",7,1,2,2,"Múzquiz",18,13,3,482,47,5,20,1,1,1,3,"sabinas",5,5,11,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,13,0.401,0.551
499,20,5,"coa",7,1,2,2,"Múzquiz",18,13,3,416,48,5,20,1,1,1,3,"sabinas",5,5,11,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,13,0.401,0.551
500,21,5,"coa",3,2,2,2,"Nadadores",14,11,4,411,340,5,21,1,1,4,4,"san pedro",3,3,2,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0.401,0.443
501,21,5,"coa",3,2,2,2,"Nadadores",14,11,4,509,341,5,21,1,1,4,4,"san pedro",3,3,2,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0.401,0.443
502,21,5,"coa",3,2,2,2,"Nadadores",14,11,4,410,342,5,21,1,1,4,4,"san pedro",3,3,2,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0.401,0.443
503,21,5,"coa",3,2,2,2,"Nadadores",14,11,4,713,343,5,21,1,1,4,4,"san pedro",3,3,2,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0.401,0.443
504,21,5,"coa",3,2,2,2,"Nadadores",14,11,4,293,344,5,21,1,1,4,4,"san pedro",3,3,2,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0.401,0.443
505,21,5,"coa",3,2,2,2,"Nadadores",14,11,4,669,345,5,21,1,1,4,4,"san pedro",3,3,2,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0.401,0.443
506,21,5,"coa",3,2,2,2,"Nadadores",14,11,4,109,346,5,21,1,1,4,4,"san pedro",3,3,2,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0.401,0.443
507,21,5,"coa",3,2,2,2,"Nadadores",14,11,4,116,347,5,21,1,1,4,4,"san pedro",3,3,2,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0.401,0.443
508,22,5,"coa",4,1,1,1,"Nava",17,14,2,558,1585,5,22,6,6,16,2,"piedras negras",6,6,3,6,6,6,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0.556,0.784
509,22,5,"coa",4,1,1,1,"Nava",17,14,2,411,1586,5,22,6,6,16,2,"piedras negras",6,6,3,6,6,6,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0.556,0.784
510,22,5,"coa",4,1,1,1,"Nava",17,14,2,696,1587,5,22,6,6,16,2,"piedras negras",6,6,3,6,6,6,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0.556,0.784
511,22,5,"coa",4,1,1,1,"Nava",17,14,2,663,1588,5,22,6,6,16,2,"piedras negras",6,6,3,6,6,6,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0.556,0.784
512,22,5,"coa",4,1,1,1,"Nava",17,14,2,536,1589,5,22,6,6,16,2,"piedras negras",6,6,3,6,6,6,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0.556,0.784
513,22,5,"coa",4,1,1,1,"Nava",17,14,2,458,1590,5,22,6,6,16,2,"piedras negras",6,6,3,6,6,6,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0.556,0.784
514,22,5,"coa",4,1,1,1,"Nava",17,14,2,456,1591,5,22,6,6,16,2,"piedras negras",6,6,3,6,6,6,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0.556,0.784
515,22,5,"coa",4,1,1,1,"Nava",17,14,2,632,1592,5,22,6,6,16,2,"piedras negras",6,6,3,6,6,6,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0.556,0.784
516,22,5,"coa",4,1,1,1,"Nava",17,14,2,700,1593,5,22,6,6,16,2,"piedras negras",6,6,3,6,6,6,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0.556,0.784
517,22,5,"coa",4,1,1,1,"Nava",17,14,2,449,1594,5,22,6,6,16,2,"piedras negras",6,6,3,6,6,6,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0.556,0.784
518,22,5,"coa",4,1,1,1,"Nava",17,14,2,712,1595,5,22,6,6,16,2,"piedras negras",6,6,3,6,6,6,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0.556,0.784
519,22,5,"coa",4,1,1,1,"Nava",17,14,2,574,1596,5,22,6,6,16,2,"piedras negras",6,6,3,6,6,6,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0.556,0.784
520,22,5,"coa",4,1,1,1,"Nava",17,14,2,392,1597,5,22,6,6,16,2,"piedras negras",6,6,3,6,6,6,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0.556,0.784
521,22,5,"coa",4,1,1,1,"Nava",17,14,2,154,1598,5,22,6,6,16,2,"piedras negras",6,6,3,6,6,6,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0.556,0.784
522,22,5,"coa",4,1,1,1,"Nava",17,14,2,90,1599,5,22,6,6,16,2,"piedras negras",6,6,3,6,6,6,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0.556,0.784
523,22,5,"coa",4,1,1,1,"Nava",17,14,2,339,1600,5,22,6,6,16,2,"piedras negras",6,6,3,6,6,6,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0.556,0.784
525,22,5,"coa",4,1,1,1,"Nava",17,14,2,96,1601,5,22,6,6,16,2,"piedras negras",6,6,3,6,6,6,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0.556,0.784
526,23,5,"coa",7,2,2,2,"Ocampo",14,11,4,631,348,5,23,3,3,4,4,"san pedro",3,3,2,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0.376,0.443
527,23,5,"coa",7,2,2,2,"Ocampo",14,11,4,483,349,5,23,3,3,4,4,"san pedro",3,3,2,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0.376,0.443
528,23,5,"coa",7,2,2,2,"Ocampo",14,11,4,250,350,5,23,3,3,4,4,"san pedro",3,3,2,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0.376,0.443
529,23,5,"coa",7,2,2,2,"Ocampo",14,11,4,109,351,5,23,3,3,4,4,"san pedro",3,3,2,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0.376,0.443
530,23,5,"coa",7,2,2,2,"Ocampo",14,11,4,117,352,5,23,3,3,4,4,"san pedro",3,3,2,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0.376,0.443
531,23,5,"coa",7,2,2,2,"Ocampo",14,11,4,113,353,5,23,3,3,4,4,"san pedro",3,3,2,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0.376,0.443
532,23,5,"coa",7,2,2,2,"Ocampo",14,11,4,447,354,5,23,3,3,4,4,"san pedro",3,3,2,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0.376,0.443
533,23,5,"coa",7,2,2,2,"Ocampo",14,11,4,84,355,5,23,3,3,4,4,"san pedro",3,3,2,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0.376,0.443
534,23,5,"coa",7,2,2,2,"Ocampo",14,11,4,228,356,5,23,3,3,4,4,"san pedro",3,3,2,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0.376,0.443
535,23,5,"coa",7,2,2,2,"Ocampo",14,11,4,81,357,5,23,3,3,4,4,"san pedro",3,3,2,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0.376,0.443
536,23,5,"coa",7,2,2,2,"Ocampo",14,11,4,285,358,5,23,3,3,4,4,"san pedro",3,3,2,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0.376,0.443
537,23,5,"coa",7,2,2,2,"Ocampo",14,11,4,182,359,5,23,3,3,4,4,"san pedro",3,3,2,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0.376,0.443
538,23,5,"coa",7,2,2,2,"Ocampo",14,11,4,104,360,5,23,3,3,4,4,"san pedro",3,3,2,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0.376,0.443
539,23,5,"coa",7,2,2,2,"Ocampo",14,11,4,555,361,5,23,3,3,4,4,"san pedro",3,3,2,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0.376,0.443
540,23,5,"coa",7,2,2,2,"Ocampo",14,11,4,446,362,5,23,3,3,4,4,"san pedro",3,3,2,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0.376,0.443
542,24,5,"coa",5,4,5,7,"Parras",6,5,12,590,1126,5,24,7,7,11,12,"ramos arizpe",12,12,9,12,12,12,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.81,1
543,24,5,"coa",5,4,5,7,"Parras",6,5,12,668,1127,5,24,7,7,11,12,"ramos arizpe",12,12,9,12,12,12,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.81,1
544,24,5,"coa",5,4,5,7,"Parras",6,5,12,561,1128,5,24,7,7,11,12,"ramos arizpe",12,12,9,12,12,12,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.81,1
545,24,5,"coa",5,4,5,7,"Parras",6,5,12,718,1129,5,24,7,7,11,12,"ramos arizpe",12,12,9,12,12,12,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.81,1
546,24,5,"coa",5,4,5,7,"Parras",6,5,12,447,1130,5,24,7,7,11,12,"ramos arizpe",12,12,9,12,12,12,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.81,1
547,24,5,"coa",5,4,5,7,"Parras",6,5,12,526,1131,5,24,7,7,11,12,"ramos arizpe",12,12,9,12,12,12,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.81,1
548,24,5,"coa",5,4,5,7,"Parras",6,5,12,518,1132,5,24,7,7,11,12,"ramos arizpe",12,12,9,12,12,12,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.81,1
549,24,5,"coa",5,4,5,7,"Parras",6,5,12,522,1133,5,24,7,7,11,12,"ramos arizpe",12,12,9,12,12,12,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.81,1
550,24,5,"coa",5,4,5,7,"Parras",6,5,12,688,1134,5,24,7,7,11,12,"ramos arizpe",12,12,9,12,12,12,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.81,1
551,24,5,"coa",5,4,5,7,"Parras",6,5,12,486,1135,5,24,7,7,11,12,"ramos arizpe",12,12,9,12,12,12,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.81,1
552,24,5,"coa",5,4,5,7,"Parras",6,5,12,397,1136,5,24,7,7,11,12,"ramos arizpe",12,12,9,12,12,12,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.81,1
553,24,5,"coa",5,4,5,7,"Parras",6,5,12,438,1137,5,24,7,7,11,12,"ramos arizpe",12,12,9,12,12,12,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.81,1
