"seccion","munn.x","edon.x","edo","disfed1979","disfed1997","disfed2006","disfed2018","mun","disloc2015","disloc2018","X","edon.y","munn.y","escenario1","escenario2","escenario3","morena_clv1","pan_cnv1","pes_clv1","prd_clv1","pri_clv1","pvem_clv1","mc_clv2","pan_cnv2","pes_clv2","prd_cnv2","pri_clv2","pvem_clv2","esc1_morCLV1","esc1_panCNV1","esc1_pesCLV1","esc1_prdCLV1","esc1_priCLV1","esc1_pvemCLV1","esc2_mcCLV2","esc2_panCNV2","esc2_pesCLV2","esc2_prdCNV2","esc2_priCLV2","esc2_pvemCLV2","SQ","dsiSQ_E1"
20,4,19,"nl",11,9,9,9,"allende",24,26,19,19,4,2,4,4,3,4,3,3,5,2,4,4,4,1,4,4,0,0,0,0,0,1,1,1,1,0,1,1,24,0.431
21,4,19,"nl",11,9,9,9,"allende",24,26,20,19,4,2,4,4,3,4,3,3,5,2,4,4,4,1,4,4,0,0,0,0,0,1,1,1,1,0,1,1,24,0.431
22,4,19,"nl",11,9,9,9,"allende",24,26,21,19,4,2,4,4,3,4,3,3,5,2,4,4,4,1,4,4,0,0,0,0,0,1,1,1,1,0,1,1,24,0.431
23,4,19,"nl",11,9,9,9,"allende",24,26,22,19,4,2,4,4,3,4,3,3,5,2,4,4,4,1,4,4,0,0,0,0,0,1,1,1,1,0,1,1,24,0.431
24,4,19,"nl",11,9,9,9,"allende",24,26,23,19,4,2,4,4,3,4,3,3,5,2,4,4,4,1,4,4,0,0,0,0,0,1,1,1,1,0,1,1,24,0.431
25,4,19,"nl",11,9,9,9,"allende",24,26,24,19,4,2,4,4,3,4,3,3,5,2,4,4,4,1,4,4,0,0,0,0,0,1,1,1,1,0,1,1,24,0.431
26,4,19,"nl",11,9,9,9,"allende",24,26,25,19,4,2,4,4,3,4,3,3,5,2,4,4,4,1,4,4,0,0,0,0,0,1,1,1,1,0,1,1,24,0.431
27,4,19,"nl",11,9,9,9,"allende",24,26,26,19,4,2,4,4,3,4,3,3,5,2,4,4,4,1,4,4,0,0,0,0,0,1,1,1,1,0,1,1,24,0.431
28,4,19,"nl",11,9,9,9,"allende",24,26,27,19,4,2,4,4,3,4,3,3,5,2,4,4,4,1,4,4,0,0,0,0,0,1,1,1,1,0,1,1,24,0.431
29,4,19,"nl",11,9,9,9,"allende",24,26,28,19,4,2,4,4,3,4,3,3,5,2,4,4,4,1,4,4,0,0,0,0,0,1,1,1,1,0,1,1,24,0.431
