"seccion","munn.x","edon.x","edo","disfed1979","disfed1997","disfed2006","disfed2018","mun","disloc2015","disloc2018","X","edon.y","munn.y","escenario1","escenario2","escenario3","morena_clv1","pan_cnv1","pes_clv1","prd_clv1","pri_clv1","pvem_clv1","mc_clv2","pan_cnv2","pes_clv2","prd_cnv2","pri_clv2","pvem_clv2","esc1_morCLV1","esc1_panCNV1","esc1_pesCLV1","esc1_prdCLV1","esc1_priCLV1","esc1_pvemCLV1","esc2_mcCLV2","esc2_panCNV2","esc2_pesCLV2","esc2_prdCNV2","esc2_priCLV2","esc2_pvemCLV2","SQ","dsiSQ_E1"
473,21,19,"nl",6,3,3,3,"gral escobedo",17,17,448,19,21,12,14,14,15,14,15,15,15,12,14,14,14,14,15,14,0,0,0,0,0,1,1,1,1,1,0,1,17,0.333
474,21,19,"nl",6,3,3,3,"gral escobedo",17,17,449,19,21,12,14,14,15,14,15,15,15,12,14,14,14,14,15,14,0,0,0,0,0,1,1,1,1,1,0,1,17,0.333
475,21,19,"nl",6,3,3,3,"gral escobedo",17,17,450,19,21,12,14,14,15,14,15,15,15,12,14,14,14,14,15,14,0,0,0,0,0,1,1,1,1,1,0,1,17,0.333
476,21,19,"nl",6,3,3,3,"gral escobedo",17,17,451,19,21,12,14,14,15,14,15,15,15,12,14,14,14,14,15,14,0,0,0,0,0,1,1,1,1,1,0,1,17,0.333
477,21,19,"nl",6,3,3,3,"gral escobedo",17,17,452,19,21,12,14,14,15,14,15,15,15,12,14,14,14,14,15,14,0,0,0,0,0,1,1,1,1,1,0,1,17,0.333
478,21,19,"nl",6,3,3,3,"gral escobedo",17,17,453,19,21,12,14,14,15,14,15,15,15,12,14,14,14,14,15,14,0,0,0,0,0,1,1,1,1,1,0,1,17,0.333
479,21,19,"nl",6,3,3,3,"gral escobedo",17,17,454,19,21,12,14,14,15,14,15,15,15,12,14,14,14,14,15,14,0,0,0,0,0,1,1,1,1,1,0,1,17,0.333
480,21,19,"nl",6,3,3,3,"gral escobedo",17,17,455,19,21,12,14,14,15,14,15,15,15,12,14,14,14,14,15,14,0,0,0,0,0,1,1,1,1,1,0,1,17,0.333
481,21,19,"nl",6,3,3,3,"gral escobedo",17,17,456,19,21,12,14,14,15,14,15,15,15,12,14,14,14,14,15,14,0,0,0,0,0,1,1,1,1,1,0,1,17,0.333
482,21,19,"nl",6,3,3,3,"gral escobedo",17,17,457,19,21,12,14,14,15,14,15,15,15,12,14,14,14,14,15,14,0,0,0,0,0,1,1,1,1,1,0,1,17,0.333
483,21,19,"nl",6,3,3,3,"gral escobedo",17,17,458,19,21,12,14,14,15,14,15,15,15,12,14,14,14,14,15,14,0,0,0,0,0,1,1,1,1,1,0,1,17,0.333
484,21,19,"nl",6,3,3,3,"gral escobedo",17,17,459,19,21,12,14,14,15,14,15,15,15,12,14,14,14,14,15,14,0,0,0,0,0,1,1,1,1,1,0,1,17,0.333
485,21,19,"nl",6,3,3,3,"gral escobedo",17,17,460,19,21,12,14,14,15,14,15,15,15,12,14,14,14,14,15,14,0,0,0,0,0,1,1,1,1,1,0,1,17,0.333
486,21,19,"nl",6,3,3,3,"gral escobedo",17,17,461,19,21,12,14,14,15,14,15,15,15,12,14,14,14,14,15,14,0,0,0,0,0,1,1,1,1,1,0,1,17,0.333
487,21,19,"nl",6,3,3,3,"gral escobedo",17,17,462,19,21,12,14,14,15,14,15,15,15,12,14,14,14,14,15,14,0,0,0,0,0,1,1,1,1,1,0,1,17,0.333
488,21,19,"nl",6,3,3,3,"gral escobedo",17,17,463,19,21,12,14,14,15,14,15,15,15,12,14,14,14,14,15,14,0,0,0,0,0,1,1,1,1,1,0,1,17,0.333
489,21,19,"nl",6,3,3,3,"gral escobedo",17,17,464,19,21,12,14,14,15,14,15,15,15,12,14,14,14,14,15,14,0,0,0,0,0,1,1,1,1,1,0,1,17,0.333
490,21,19,"nl",6,3,3,3,"gral escobedo",17,17,465,19,21,12,14,14,15,14,15,15,15,12,14,14,14,14,15,14,0,0,0,0,0,1,1,1,1,1,0,1,17,0.333
491,21,19,"nl",6,3,3,3,"gral escobedo",17,17,466,19,21,12,14,14,15,14,15,15,15,12,14,14,14,14,15,14,0,0,0,0,0,1,1,1,1,1,0,1,17,0.333
492,21,19,"nl",6,3,3,3,"gral escobedo",17,25,467,19,21,13,15,15,14,15,14,14,14,13,15,14,15,15,14,15,0,0,0,0,0,1,1,0,1,1,0,1,17,0.585
494,22,19,"nl",5,9,9,9,"gral teran",24,24,468,19,22,2,3,3,3,3,3,3,5,2,3,3,3,1,3,3,0,0,0,0,0,1,1,1,1,0,1,1,24,0.431
495,22,19,"nl",5,9,9,9,"gral teran",24,24,469,19,22,2,3,3,3,3,3,3,5,2,3,3,3,1,3,3,0,0,0,0,0,1,1,1,1,0,1,1,24,0.431
496,22,19,"nl",5,9,9,9,"gral teran",24,24,470,19,22,2,3,3,3,3,3,3,5,2,3,3,3,1,3,3,0,0,0,0,0,1,1,1,1,0,1,1,24,0.431
497,22,19,"nl",5,9,9,9,"gral teran",24,24,471,19,22,2,3,3,3,3,3,3,5,2,3,3,3,1,3,3,0,0,0,0,0,1,1,1,1,0,1,1,24,0.431
498,22,19,"nl",5,9,9,9,"gral teran",24,24,472,19,22,2,3,3,3,3,3,3,5,2,3,3,3,1,3,3,0,0,0,0,0,1,1,1,1,0,1,1,24,0.431
499,22,19,"nl",5,9,9,9,"gral teran",24,24,473,19,22,2,3,3,3,3,3,3,5,2,3,3,3,1,3,3,0,0,0,0,0,1,1,1,1,0,1,1,24,0.431
502,22,19,"nl",5,9,9,9,"gral teran",24,24,474,19,22,2,3,3,3,3,3,3,5,2,3,3,3,1,3,3,0,0,0,0,0,1,1,1,1,0,1,1,24,0.431
503,22,19,"nl",5,9,9,9,"gral teran",24,24,475,19,22,2,3,3,3,3,3,3,5,2,3,3,3,1,3,3,0,0,0,0,0,1,1,1,1,0,1,1,24,0.431
504,22,19,"nl",5,9,9,9,"gral teran",24,24,476,19,22,2,3,3,3,3,3,3,5,2,3,3,3,1,3,3,0,0,0,0,0,1,1,1,1,0,1,1,24,0.431
505,22,19,"nl",5,9,9,9,"gral teran",24,24,477,19,22,2,3,3,3,3,3,3,5,2,3,3,3,1,3,3,0,0,0,0,0,1,1,1,1,0,1,1,24,0.431
506,22,19,"nl",5,9,9,9,"gral teran",24,24,478,19,22,2,3,3,3,3,3,3,5,2,3,3,3,1,3,3,0,0,0,0,0,1,1,1,1,0,1,1,24,0.431
507,22,19,"nl",5,9,9,9,"gral teran",24,24,479,19,22,2,3,3,3,3,3,3,5,2,3,3,3,1,3,3,0,0,0,0,0,1,1,1,1,0,1,1,24,0.431
508,22,19,"nl",5,9,9,9,"gral teran",24,24,480,19,22,2,3,3,3,3,3,3,5,2,3,3,3,1,3,3,0,0,0,0,0,1,1,1,1,0,1,1,24,0.431
509,22,19,"nl",5,9,9,9,"gral teran",24,24,481,19,22,2,3,3,3,3,3,3,5,2,3,3,3,1,3,3,0,0,0,0,0,1,1,1,1,0,1,1,24,0.431
510,22,19,"nl",5,9,9,9,"gral teran",24,24,482,19,22,2,3,3,3,3,3,3,5,2,3,3,3,1,3,3,0,0,0,0,0,1,1,1,1,0,1,1,24,0.431
511,22,19,"nl",5,9,9,9,"gral teran",24,24,483,19,22,2,3,3,3,3,3,3,5,2,3,3,3,1,3,3,0,0,0,0,0,1,1,1,1,0,1,1,24,0.431
512,22,19,"nl",5,9,9,9,"gral teran",24,24,484,19,22,2,3,3,3,3,3,3,5,2,3,3,3,1,3,3,0,0,0,0,0,1,1,1,1,0,1,1,24,0.431
513,22,19,"nl",5,9,9,9,"gral teran",24,24,485,19,22,2,3,3,3,3,3,3,5,2,3,3,3,1,3,3,0,0,0,0,0,1,1,1,1,0,1,1,24,0.431
514,22,19,"nl",5,9,9,9,"gral teran",24,24,486,19,22,2,3,3,3,3,3,3,5,2,3,3,3,1,3,3,0,0,0,0,0,1,1,1,1,0,1,1,24,0.431
515,23,19,"nl",6,2,12,9,"gral treviño",22,24,487,19,23,2,3,3,5,3,5,5,5,2,3,3,3,2,5,3,0,0,0,0,0,1,1,1,1,0,0,1,24,0.431
516,23,19,"nl",6,2,12,9,"gral treviño",22,24,488,19,23,2,3,3,5,3,5,5,5,2,3,3,3,2,5,3,0,0,0,0,0,1,1,1,1,0,0,1,24,0.431
517,23,19,"nl",6,2,12,9,"gral treviño",22,24,489,19,23,2,3,3,5,3,5,5,5,2,3,3,3,2,5,3,0,0,0,0,0,1,1,1,1,0,0,1,24,0.431
518,24,19,"nl",5,9,9,9,"gral zaragoza",26,26,490,19,24,4,4,4,4,4,4,4,4,4,4,4,4,6,4,4,1,1,1,1,1,1,1,1,1,0,1,1,26,0.645
519,24,19,"nl",5,9,9,9,"gral zaragoza",26,26,491,19,24,4,4,4,4,4,4,4,4,4,4,4,4,6,4,4,1,1,1,1,1,1,1,1,1,0,1,1,26,0.645
520,24,19,"nl",5,9,9,9,"gral zaragoza",26,26,492,19,24,4,4,4,4,4,4,4,4,4,4,4,4,6,4,4,1,1,1,1,1,1,1,1,1,0,1,1,26,0.645
521,24,19,"nl",5,9,9,9,"gral zaragoza",26,26,493,19,24,4,4,4,4,4,4,4,4,4,4,4,4,6,4,4,1,1,1,1,1,1,1,1,1,0,1,1,26,0.645
522,24,19,"nl",5,9,9,9,"gral zaragoza",26,26,494,19,24,4,4,4,4,4,4,4,4,4,4,4,4,6,4,4,1,1,1,1,1,1,1,1,1,0,1,1,26,0.645
523,25,19,"nl",6,2,12,7,"gral zuazua",20,21,495,19,25,1,2,2,2,2,2,2,2,1,2,2,2,3,2,2,0,0,0,0,0,1,1,1,1,0,1,1,21,0.432
524,25,19,"nl",6,2,12,7,"gral zuazua",20,21,496,19,25,1,2,2,2,2,2,2,2,1,2,2,2,3,2,2,0,0,0,0,0,1,1,1,1,0,1,1,21,0.432
526,26,19,"nl",4,11,8,11,"guadalupe",15,12,497,19,26,5,7,7,8,7,8,8,8,5,7,7,7,10,8,7,0,0,0,0,0,1,1,1,1,0,0,1,12,0.505
527,26,19,"nl",4,11,8,11,"guadalupe",15,12,498,19,26,5,7,7,8,7,8,8,8,5,7,7,7,10,8,7,0,0,0,0,0,1,1,1,1,0,0,1,12,0.505
528,26,19,"nl",4,11,8,11,"guadalupe",15,12,499,19,26,5,7,7,8,7,8,8,8,5,7,7,7,10,8,7,0,0,0,0,0,1,1,1,1,0,0,1,12,0.505
529,26,19,"nl",4,11,8,11,"guadalupe",15,12,500,19,26,5,7,7,8,7,8,8,8,5,7,7,7,10,8,7,0,0,0,0,0,1,1,1,1,0,0,1,12,0.505
530,26,19,"nl",4,8,8,11,"guadalupe",15,15,501,19,26,6,8,8,10,8,10,10,10,6,8,8,8,7,8,8,0,0,0,0,0,1,1,1,1,0,1,1,15,0.361
531,26,19,"nl",4,8,8,11,"guadalupe",15,15,502,19,26,6,8,8,10,8,10,10,10,6,8,8,8,7,8,8,0,0,0,0,0,1,1,1,1,0,1,1,15,0.361
532,26,19,"nl",4,8,8,11,"guadalupe",15,15,503,19,26,6,8,8,10,8,10,10,10,6,8,8,8,7,8,8,0,0,0,0,0,1,1,1,1,0,1,1,15,0.361
533,26,19,"nl",4,8,8,11,"guadalupe",15,15,504,19,26,6,8,8,10,8,10,10,10,6,8,8,8,7,8,8,0,0,0,0,0,1,1,1,1,0,1,1,15,0.361
534,26,19,"nl",4,8,8,11,"guadalupe",15,15,505,19,26,6,8,8,10,8,10,10,10,6,8,8,8,7,8,8,0,0,0,0,0,1,1,1,1,0,1,1,15,0.361
535,26,19,"nl",4,8,8,11,"guadalupe",15,15,506,19,26,6,8,8,10,8,10,10,10,6,8,8,8,7,8,8,0,0,0,0,0,1,1,1,1,0,1,1,15,0.361
536,26,19,"nl",4,8,8,11,"guadalupe",15,15,507,19,26,6,8,8,10,8,10,10,10,6,8,8,8,7,8,8,0,0,0,0,0,1,1,1,1,0,1,1,15,0.361
537,26,19,"nl",4,8,8,11,"guadalupe",15,15,508,19,26,6,8,8,10,8,10,10,10,6,8,8,8,7,8,8,0,0,0,0,0,1,1,1,1,0,1,1,15,0.361
538,26,19,"nl",4,8,8,11,"guadalupe",15,15,509,19,26,6,8,8,10,8,10,10,10,6,8,8,8,7,8,8,0,0,0,0,0,1,1,1,1,0,1,1,15,0.361
539,26,19,"nl",4,8,8,11,"guadalupe",15,15,510,19,26,6,8,8,10,8,10,10,10,6,8,8,8,7,8,8,0,0,0,0,0,1,1,1,1,0,1,1,15,0.361
540,26,19,"nl",4,8,8,11,"guadalupe",15,15,511,19,26,6,8,8,10,8,10,10,10,6,8,8,8,7,8,8,0,0,0,0,0,1,1,1,1,0,1,1,15,0.361
541,26,19,"nl",4,8,8,11,"guadalupe",15,15,512,19,26,6,8,8,10,8,10,10,10,6,8,8,8,7,8,8,0,0,0,0,0,1,1,1,1,0,1,1,15,0.361
542,26,19,"nl",4,8,8,11,"guadalupe",15,15,513,19,26,6,8,8,10,8,10,10,10,6,8,8,8,7,8,8,0,0,0,0,0,1,1,1,1,0,1,1,15,0.361
543,26,19,"nl",4,8,8,11,"guadalupe",15,15,514,19,26,6,8,8,10,8,10,10,10,6,8,8,8,7,8,8,0,0,0,0,0,1,1,1,1,0,1,1,15,0.361
544,26,19,"nl",4,8,8,11,"guadalupe",15,15,515,19,26,6,8,8,10,8,10,10,10,6,8,8,8,7,8,8,0,0,0,0,0,1,1,1,1,0,1,1,15,0.361
545,26,19,"nl",4,8,8,11,"guadalupe",15,15,516,19,26,6,8,8,10,8,10,10,10,6,8,8,8,7,8,8,0,0,0,0,0,1,1,1,1,0,1,1,15,0.361
546,26,19,"nl",4,8,8,11,"guadalupe",15,15,517,19,26,6,8,8,10,8,10,10,10,6,8,8,8,7,8,8,0,0,0,0,0,1,1,1,1,0,1,1,15,0.361
547,26,19,"nl",4,8,8,11,"guadalupe",15,15,518,19,26,6,8,8,10,8,10,10,10,6,8,8,8,7,8,8,0,0,0,0,0,1,1,1,1,0,1,1,15,0.361
548,26,19,"nl",4,8,8,11,"guadalupe",15,15,519,19,26,6,8,8,10,8,10,10,10,6,8,8,8,7,8,8,0,0,0,0,0,1,1,1,1,0,1,1,15,0.361
549,26,19,"nl",4,8,8,11,"guadalupe",15,15,520,19,26,6,8,8,10,8,10,10,10,6,8,8,8,7,8,8,0,0,0,0,0,1,1,1,1,0,1,1,15,0.361
550,26,19,"nl",4,8,8,11,"guadalupe",15,15,521,19,26,6,8,8,10,8,10,10,10,6,8,8,8,7,8,8,0,0,0,0,0,1,1,1,1,0,1,1,15,0.361
551,26,19,"nl",4,8,8,11,"guadalupe",15,15,522,19,26,6,8,8,10,8,10,10,10,6,8,8,8,7,8,8,0,0,0,0,0,1,1,1,1,0,1,1,15,0.361
552,26,19,"nl",4,8,8,11,"guadalupe",15,15,523,19,26,6,8,8,10,8,10,10,10,6,8,8,8,7,8,8,0,0,0,0,0,1,1,1,1,0,1,1,15,0.361
553,26,19,"nl",4,8,8,11,"guadalupe",15,15,524,19,26,6,8,8,10,8,10,10,10,6,8,8,8,7,8,8,0,0,0,0,0,1,1,1,1,0,1,1,15,0.361
554,26,19,"nl",4,8,8,11,"guadalupe",15,15,525,19,26,6,8,8,10,8,10,10,10,6,8,8,8,7,8,8,0,0,0,0,0,1,1,1,1,0,1,1,15,0.361
555,26,19,"nl",4,8,8,11,"guadalupe",15,15,526,19,26,6,8,8,10,8,10,10,10,6,8,8,8,7,8,8,0,0,0,0,0,1,1,1,1,0,1,1,15,0.361
556,26,19,"nl",4,8,8,11,"guadalupe",15,15,527,19,26,6,8,8,10,8,10,10,10,6,8,8,8,7,8,8,0,0,0,0,0,1,1,1,1,0,1,1,15,0.361
557,26,19,"nl",4,8,8,11,"guadalupe",15,15,528,19,26,6,8,8,10,8,10,10,10,6,8,8,8,7,8,8,0,0,0,0,0,1,1,1,1,0,1,1,15,0.361
558,26,19,"nl",4,8,8,11,"guadalupe",15,12,529,19,26,5,7,7,8,7,8,8,8,5,7,7,7,10,8,7,0,0,0,0,0,1,1,1,1,0,0,1,12,0.505
559,26,19,"nl",4,11,8,11,"guadalupe",15,12,530,19,26,5,7,7,8,7,8,8,8,5,7,7,7,10,8,7,0,0,0,0,0,1,1,1,1,0,0,1,12,0.505
560,26,19,"nl",4,11,8,11,"guadalupe",15,12,531,19,26,5,7,7,8,7,8,8,8,5,7,7,7,10,8,7,0,0,0,0,0,1,1,1,1,0,0,1,12,0.505
561,26,19,"nl",4,11,8,11,"guadalupe",15,12,532,19,26,5,7,7,8,7,8,8,8,5,7,7,7,10,8,7,0,0,0,0,0,1,1,1,1,0,0,1,12,0.505
562,26,19,"nl",4,11,8,11,"guadalupe",15,12,533,19,26,5,7,7,8,7,8,8,8,5,7,7,7,10,8,7,0,0,0,0,0,1,1,1,1,0,0,1,12,0.505
563,26,19,"nl",4,11,8,11,"guadalupe",15,12,534,19,26,5,7,7,8,7,8,8,8,5,7,7,7,10,8,7,0,0,0,0,0,1,1,1,1,0,0,1,12,0.505
564,26,19,"nl",4,11,8,11,"guadalupe",15,12,535,19,26,5,7,7,8,7,8,8,8,5,7,7,7,10,8,7,0,0,0,0,0,1,1,1,1,0,0,1,12,0.505
565,26,19,"nl",4,11,8,11,"guadalupe",15,12,536,19,26,5,7,7,8,7,8,8,8,5,7,7,7,10,8,7,0,0,0,0,0,1,1,1,1,0,0,1,12,0.505
566,26,19,"nl",4,11,8,11,"guadalupe",15,12,537,19,26,5,7,7,8,7,8,8,8,5,7,7,7,10,8,7,0,0,0,0,0,1,1,1,1,0,0,1,12,0.505
567,26,19,"nl",4,11,8,11,"guadalupe",15,12,538,19,26,5,7,7,8,7,8,8,8,5,7,7,7,10,8,7,0,0,0,0,0,1,1,1,1,0,0,1,12,0.505
568,26,19,"nl",4,11,8,11,"guadalupe",15,12,539,19,26,5,7,7,8,7,8,8,8,5,7,7,7,10,8,7,0,0,0,0,0,1,1,1,1,0,0,1,12,0.505
569,26,19,"nl",4,11,8,11,"guadalupe",15,12,540,19,26,5,7,7,8,7,8,8,8,5,7,7,7,10,8,7,0,0,0,0,0,1,1,1,1,0,0,1,12,0.505
570,26,19,"nl",4,11,8,11,"guadalupe",15,12,541,19,26,5,7,7,8,7,8,8,8,5,7,7,7,10,8,7,0,0,0,0,0,1,1,1,1,0,0,1,12,0.505
571,26,19,"nl",4,11,8,11,"guadalupe",15,12,542,19,26,5,7,7,8,7,8,8,8,5,7,7,7,10,8,7,0,0,0,0,0,1,1,1,1,0,0,1,12,0.505
572,26,19,"nl",4,11,8,11,"guadalupe",15,12,543,19,26,5,7,7,8,7,8,8,8,5,7,7,7,10,8,7,0,0,0,0,0,1,1,1,1,0,0,1,12,0.505
573,26,19,"nl",4,11,8,11,"guadalupe",15,12,544,19,26,5,7,7,8,7,8,8,8,5,7,7,7,10,8,7,0,0,0,0,0,1,1,1,1,0,0,1,12,0.505
574,26,19,"nl",4,11,8,11,"guadalupe",15,12,545,19,26,5,7,7,8,7,8,8,8,5,7,7,7,10,8,7,0,0,0,0,0,1,1,1,1,0,0,1,12,0.505
575,26,19,"nl",4,11,8,11,"guadalupe",15,12,546,19,26,5,7,7,8,7,8,8,8,5,7,7,7,10,8,7,0,0,0,0,0,1,1,1,1,0,0,1,12,0.505
576,26,19,"nl",4,11,8,11,"guadalupe",15,12,547,19,26,5,7,7,8,7,8,8,8,5,7,7,7,10,8,7,0,0,0,0,0,1,1,1,1,0,0,1,12,0.505
577,26,19,"nl",4,11,8,11,"guadalupe",15,12,548,19,26,5,7,7,8,7,8,8,8,5,7,7,7,10,8,7,0,0,0,0,0,1,1,1,1,0,0,1,12,0.505
578,26,19,"nl",4,11,8,11,"guadalupe",15,12,549,19,26,5,7,7,8,7,8,8,8,5,7,7,7,10,8,7,0,0,0,0,0,1,1,1,1,0,0,1,12,0.505
579,26,19,"nl",4,11,8,11,"guadalupe",15,12,550,19,26,5,7,7,8,7,8,8,8,5,7,7,7,10,8,7,0,0,0,0,0,1,1,1,1,0,0,1,12,0.505
580,26,19,"nl",4,11,11,11,"guadalupe",12,12,551,19,26,5,7,7,8,7,8,8,8,5,7,7,7,10,8,7,0,0,0,0,0,1,1,1,1,0,0,1,12,0.505
581,26,19,"nl",4,11,11,11,"guadalupe",12,12,552,19,26,5,7,7,8,7,8,8,8,5,7,7,7,10,8,7,0,0,0,0,0,1,1,1,1,0,0,1,12,0.505
582,26,19,"nl",4,11,8,11,"guadalupe",15,12,553,19,26,5,7,7,8,7,8,8,8,5,7,7,7,10,8,7,0,0,0,0,0,1,1,1,1,0,0,1,12,0.505
583,26,19,"nl",4,11,8,11,"guadalupe",15,12,554,19,26,5,7,7,8,7,8,8,8,5,7,7,7,10,8,7,0,0,0,0,0,1,1,1,1,0,0,1,12,0.505
584,26,19,"nl",4,11,8,11,"guadalupe",15,12,555,19,26,5,7,7,8,7,8,8,8,5,7,7,7,10,8,7,0,0,0,0,0,1,1,1,1,0,0,1,12,0.505
585,26,19,"nl",4,11,8,11,"guadalupe",15,12,556,19,26,5,7,7,8,7,8,8,8,5,7,7,7,10,8,7,0,0,0,0,0,1,1,1,1,0,0,1,12,0.505
586,26,19,"nl",4,11,8,11,"guadalupe",15,12,557,19,26,5,7,7,8,7,8,8,8,5,7,7,7,10,8,7,0,0,0,0,0,1,1,1,1,0,0,1,12,0.505
587,26,19,"nl",4,11,8,11,"guadalupe",15,12,558,19,26,5,7,7,8,7,8,8,8,5,7,7,7,10,8,7,0,0,0,0,0,1,1,1,1,0,0,1,12,0.505
588,26,19,"nl",4,11,8,11,"guadalupe",15,12,559,19,26,5,7,7,8,7,8,8,8,5,7,7,7,10,8,7,0,0,0,0,0,1,1,1,1,0,0,1,12,0.505
589,26,19,"nl",4,11,8,11,"guadalupe",15,12,560,19,26,5,7,7,8,7,8,8,8,5,7,7,7,10,8,7,0,0,0,0,0,1,1,1,1,0,0,1,12,0.505
590,26,19,"nl",4,11,8,11,"guadalupe",15,12,561,19,26,5,7,7,8,7,8,8,8,5,7,7,7,10,8,7,0,0,0,0,0,1,1,1,1,0,0,1,12,0.505
591,26,19,"nl",4,11,8,11,"guadalupe",15,12,562,19,26,5,7,7,8,7,8,8,8,5,7,7,7,10,8,7,0,0,0,0,0,1,1,1,1,0,0,1,12,0.505
592,26,19,"nl",4,11,8,11,"guadalupe",12,12,563,19,26,5,7,7,8,7,8,8,8,5,7,7,7,10,8,7,0,0,0,0,0,1,1,1,1,0,0,1,12,0.505
593,26,19,"nl",4,11,8,11,"guadalupe",12,12,564,19,26,5,7,7,8,7,8,8,8,5,7,7,7,10,8,7,0,0,0,0,0,1,1,1,1,0,0,1,12,0.505
594,26,19,"nl",4,11,11,11,"guadalupe",12,12,565,19,26,5,7,7,8,7,8,8,8,5,7,7,7,10,8,7,0,0,0,0,0,1,1,1,1,0,0,1,12,0.505
595,26,19,"nl",4,11,11,11,"guadalupe",12,12,566,19,26,5,7,7,8,7,8,8,8,5,7,7,7,10,8,7,0,0,0,0,0,1,1,1,1,0,0,1,12,0.505
596,26,19,"nl",4,11,11,11,"guadalupe",12,12,567,19,26,5,7,7,8,7,8,8,8,5,7,7,7,10,8,7,0,0,0,0,0,1,1,1,1,0,0,1,12,0.505
597,26,19,"nl",4,11,11,11,"guadalupe",12,12,568,19,26,5,7,7,8,7,8,8,8,5,7,7,7,10,8,7,0,0,0,0,0,1,1,1,1,0,0,1,12,0.505
598,26,19,"nl",4,11,11,11,"guadalupe",12,12,569,19,26,5,7,7,8,7,8,8,8,5,7,7,7,10,8,7,0,0,0,0,0,1,1,1,1,0,0,1,12,0.505
599,26,19,"nl",4,11,11,11,"guadalupe",12,12,570,19,26,5,7,7,8,7,8,8,8,5,7,7,7,10,8,7,0,0,0,0,0,1,1,1,1,0,0,1,12,0.505
600,26,19,"nl",4,11,11,11,"guadalupe",12,12,571,19,26,5,7,7,8,7,8,8,8,5,7,7,7,10,8,7,0,0,0,0,0,1,1,1,1,0,0,1,12,0.505
601,26,19,"nl",4,11,11,11,"guadalupe",12,12,572,19,26,5,7,7,8,7,8,8,8,5,7,7,7,10,8,7,0,0,0,0,0,1,1,1,1,0,0,1,12,0.505
602,26,19,"nl",4,11,11,11,"guadalupe",12,12,573,19,26,5,7,7,8,7,8,8,8,5,7,7,7,10,8,7,0,0,0,0,0,1,1,1,1,0,0,1,12,0.505
603,26,19,"nl",4,11,11,11,"guadalupe",12,12,574,19,26,5,7,7,8,7,8,8,8,5,7,7,7,10,8,7,0,0,0,0,0,1,1,1,1,0,0,1,12,0.505
604,26,19,"nl",9,8,8,8,"guadalupe",14,14,575,19,26,8,10,10,9,10,9,9,9,8,10,10,10,9,7,10,0,0,0,0,0,1,1,1,1,0,0,1,14,0.457
605,26,19,"nl",9,8,8,8,"guadalupe",14,14,576,19,26,8,10,10,9,10,9,9,9,8,10,10,10,9,7,10,0,0,0,0,0,1,1,1,1,0,0,1,14,0.457
606,26,19,"nl",9,8,8,8,"guadalupe",14,14,577,19,26,8,10,10,9,10,9,9,9,8,10,10,10,9,7,10,0,0,0,0,0,1,1,1,1,0,0,1,14,0.457
607,26,19,"nl",9,8,8,8,"guadalupe",14,14,578,19,26,8,10,10,9,10,9,9,9,8,10,10,10,9,7,10,0,0,0,0,0,1,1,1,1,0,0,1,14,0.457
608,26,19,"nl",9,8,8,8,"guadalupe",14,14,579,19,26,8,10,10,9,10,9,9,9,8,10,10,10,9,7,10,0,0,0,0,0,1,1,1,1,0,0,1,14,0.457
609,26,19,"nl",9,8,8,8,"guadalupe",14,14,580,19,26,8,10,10,9,10,9,9,9,8,10,10,10,9,7,10,0,0,0,0,0,1,1,1,1,0,0,1,14,0.457
610,26,19,"nl",9,8,8,8,"guadalupe",14,14,581,19,26,8,10,10,9,10,9,9,9,8,10,10,10,9,7,10,0,0,0,0,0,1,1,1,1,0,0,1,14,0.457
611,26,19,"nl",9,8,8,8,"guadalupe",14,14,582,19,26,8,10,10,9,10,9,9,9,8,10,10,10,9,7,10,0,0,0,0,0,1,1,1,1,0,0,1,14,0.457
612,26,19,"nl",9,8,8,8,"guadalupe",14,14,583,19,26,8,10,10,9,10,9,9,9,8,10,10,10,9,7,10,0,0,0,0,0,1,1,1,1,0,0,1,14,0.457
613,26,19,"nl",9,8,8,8,"guadalupe",14,14,584,19,26,8,10,10,9,10,9,9,9,8,10,10,10,9,7,10,0,0,0,0,0,1,1,1,1,0,0,1,14,0.457
614,26,19,"nl",9,8,8,8,"guadalupe",14,14,585,19,26,8,10,10,9,10,9,9,9,8,10,10,10,9,7,10,0,0,0,0,0,1,1,1,1,0,0,1,14,0.457
615,26,19,"nl",9,8,8,8,"guadalupe",14,14,586,19,26,8,10,10,9,10,9,9,9,8,10,10,10,9,7,10,0,0,0,0,0,1,1,1,1,0,0,1,14,0.457
616,26,19,"nl",9,8,8,8,"guadalupe",14,14,587,19,26,8,10,10,9,10,9,9,9,8,10,10,10,9,7,10,0,0,0,0,0,1,1,1,1,0,0,1,14,0.457
617,26,19,"nl",9,8,8,8,"guadalupe",14,14,588,19,26,8,10,10,9,10,9,9,9,8,10,10,10,9,7,10,0,0,0,0,0,1,1,1,1,0,0,1,14,0.457
618,26,19,"nl",9,8,8,8,"guadalupe",14,14,589,19,26,8,10,10,9,10,9,9,9,8,10,10,10,9,7,10,0,0,0,0,0,1,1,1,1,0,0,1,14,0.457
619,26,19,"nl",9,8,8,8,"guadalupe",14,14,590,19,26,8,10,10,9,10,9,9,9,8,10,10,10,9,7,10,0,0,0,0,0,1,1,1,1,0,0,1,14,0.457
