"seccion","munn.x","edon.x","edo","disfed1979","disfed1997","disfed2006","disfed2018","mun","disloc2015","disloc2018","X","edon.y","munn.y","escenario1","escenario2","escenario3","morena_clv1","pan_cnv1","pes_clv1","prd_clv1","pri_clv1","pvem_clv1","mc_clv2","pan_cnv2","pes_clv2","prd_cnv2","pri_clv2","pvem_clv2","esc1_morCLV1","esc1_panCNV1","esc1_pesCLV1","esc1_prdCLV1","esc1_priCLV1","esc1_pvemCLV1","esc2_mcCLV2","esc2_panCNV2","esc2_pesCLV2","esc2_prdCNV2","esc2_priCLV2","esc2_pvemCLV2","SQ","dsiSQ_E1","dsiSQ_E3","E1","dsiE1_E3"
1,1,19,"nl",6,2,12,7,"abasolo",20,20,1,19,1,3,1,1,1,1,1,1,1,3,1,1,1,4,1,1,0,0,0,0,0,1,1,1,1,0,1,1,20,0.68,0.694,3,0.971
2,1,19,"nl",6,2,12,7,"abasolo",20,20,2,19,1,3,1,1,1,1,1,1,1,3,1,1,1,4,1,1,0,0,0,0,0,1,1,1,1,0,1,1,20,0.68,0.694,3,0.971
3,2,19,"nl",6,2,12,7,"agualeguas",22,21,3,19,2,1,2,2,2,2,2,2,2,1,2,2,2,3,5,2,0,0,0,0,0,1,1,1,1,0,0,1,21,0.432,0.489,1,0.911
4,2,19,"nl",6,2,12,7,"agualeguas",22,21,4,19,2,1,2,2,2,2,2,2,2,1,2,2,2,3,5,2,0,0,0,0,0,1,1,1,1,0,0,1,21,0.432,0.489,1,0.911
5,2,19,"nl",6,2,12,7,"agualeguas",22,21,5,19,2,1,2,2,2,2,2,2,2,1,2,2,2,3,5,2,0,0,0,0,0,1,1,1,1,0,0,1,21,0.432,0.489,1,0.911
6,2,19,"nl",6,2,12,7,"agualeguas",22,21,6,19,2,1,2,2,2,2,2,2,2,1,2,2,2,3,5,2,0,0,0,0,0,1,1,1,1,0,0,1,21,0.432,0.489,1,0.911
7,2,19,"nl",6,2,12,7,"agualeguas",22,21,7,19,2,1,2,2,2,2,2,2,2,1,2,2,2,3,5,2,0,0,0,0,0,1,1,1,1,0,0,1,21,0.432,0.489,1,0.911
8,2,19,"nl",6,2,12,7,"agualeguas",22,21,8,19,2,1,2,2,2,2,2,2,2,1,2,2,2,3,5,2,0,0,0,0,0,1,1,1,1,0,0,1,21,0.432,0.489,1,0.911
9,2,19,"nl",6,2,12,7,"agualeguas",22,21,9,19,2,1,2,2,2,2,2,2,2,1,2,2,2,3,5,2,0,0,0,0,0,1,1,1,1,0,0,1,21,0.432,0.489,1,0.911
10,2,19,"nl",6,2,12,7,"agualeguas",22,21,10,19,2,1,2,2,2,2,2,2,2,1,2,2,2,3,5,2,0,0,0,0,0,1,1,1,1,0,0,1,21,0.432,0.489,1,0.911
11,2,19,"nl",6,2,12,7,"agualeguas",22,21,11,19,2,1,2,2,2,2,2,2,2,1,2,2,2,3,5,2,0,0,0,0,0,1,1,1,1,0,0,1,21,0.432,0.489,1,0.911
12,3,19,"nl",6,2,12,9,"los aldamas",22,24,12,19,3,2,3,3,5,3,5,5,5,2,3,3,3,2,5,3,0,0,0,0,0,1,1,1,1,0,0,1,24,0.431,0.31,2,0.512
13,3,19,"nl",6,2,12,9,"los aldamas",22,24,13,19,3,2,3,3,5,3,5,5,5,2,3,3,3,2,5,3,0,0,0,0,0,1,1,1,1,0,0,1,24,0.431,0.31,2,0.512
15,3,19,"nl",6,2,12,9,"los aldamas",22,24,14,19,3,2,3,3,5,3,5,5,5,2,3,3,3,2,5,3,0,0,0,0,0,1,1,1,1,0,0,1,24,0.431,0.31,2,0.512
16,3,19,"nl",6,2,12,9,"los aldamas",22,24,15,19,3,2,3,3,5,3,5,5,5,2,3,3,3,2,5,3,0,0,0,0,0,1,1,1,1,0,0,1,24,0.431,0.31,2,0.512
17,3,19,"nl",6,2,12,9,"los aldamas",22,24,16,19,3,2,3,3,5,3,5,5,5,2,3,3,3,2,5,3,0,0,0,0,0,1,1,1,1,0,0,1,24,0.431,0.31,2,0.512
18,3,19,"nl",6,2,12,9,"los aldamas",22,24,17,19,3,2,3,3,5,3,5,5,5,2,3,3,3,2,5,3,0,0,0,0,0,1,1,1,1,0,0,1,24,0.431,0.31,2,0.512
19,3,19,"nl",6,2,12,9,"los aldamas",22,24,18,19,3,2,3,3,5,3,5,5,5,2,3,3,3,2,5,3,0,0,0,0,0,1,1,1,1,0,0,1,24,0.431,0.31,2,0.512
20,4,19,"nl",11,9,9,9,"allende",24,26,19,19,4,2,4,4,3,4,3,3,5,2,4,4,4,1,4,4,0,0,0,0,0,1,1,1,1,0,1,1,26,0.431,0.694,4,0.537
21,4,19,"nl",11,9,9,9,"allende",24,26,20,19,4,2,4,4,3,4,3,3,5,2,4,4,4,1,4,4,0,0,0,0,0,1,1,1,1,0,1,1,26,0.431,0.694,4,0.537
22,4,19,"nl",11,9,9,9,"allende",24,26,21,19,4,2,4,4,3,4,3,3,5,2,4,4,4,1,4,4,0,0,0,0,0,1,1,1,1,0,1,1,26,0.431,0.694,4,0.537
23,4,19,"nl",11,9,9,9,"allende",24,26,22,19,4,2,4,4,3,4,3,3,5,2,4,4,4,1,4,4,0,0,0,0,0,1,1,1,1,0,1,1,26,0.431,0.694,4,0.537
24,4,19,"nl",11,9,9,9,"allende",24,26,23,19,4,2,4,4,3,4,3,3,5,2,4,4,4,1,4,4,0,0,0,0,0,1,1,1,1,0,1,1,26,0.431,0.694,4,0.537
25,4,19,"nl",11,9,9,9,"allende",24,26,24,19,4,2,4,4,3,4,3,3,5,2,4,4,4,1,4,4,0,0,0,0,0,1,1,1,1,0,1,1,26,0.431,0.694,4,0.537
26,4,19,"nl",11,9,9,9,"allende",24,26,25,19,4,2,4,4,3,4,3,3,5,2,4,4,4,1,4,4,0,0,0,0,0,1,1,1,1,0,1,1,26,0.431,0.694,4,0.537
27,4,19,"nl",11,9,9,9,"allende",24,26,26,19,4,2,4,4,3,4,3,3,5,2,4,4,4,1,4,4,0,0,0,0,0,1,1,1,1,0,1,1,26,0.431,0.694,4,0.537
28,4,19,"nl",11,9,9,9,"allende",24,26,27,19,4,2,4,4,3,4,3,3,5,2,4,4,4,1,4,4,0,0,0,0,0,1,1,1,1,0,1,1,26,0.431,0.694,4,0.537
29,4,19,"nl",11,9,9,9,"allende",24,26,28,19,4,2,4,4,3,4,3,3,5,2,4,4,4,1,4,4,0,0,0,0,0,1,1,1,1,0,1,1,26,0.431,0.694,4,0.537
30,4,19,"nl",11,9,9,9,"allende",24,26,29,19,4,2,4,4,3,4,3,3,5,2,4,4,4,1,4,4,0,0,0,0,0,1,1,1,1,0,1,1,26,0.431,0.694,4,0.537
31,4,19,"nl",11,9,9,9,"allende",24,26,30,19,4,2,4,4,3,4,3,3,5,2,4,4,4,1,4,4,0,0,0,0,0,1,1,1,1,0,1,1,26,0.431,0.694,4,0.537
32,4,19,"nl",11,9,9,9,"allende",24,26,31,19,4,2,4,4,3,4,3,3,5,2,4,4,4,1,4,4,0,0,0,0,0,1,1,1,1,0,1,1,26,0.431,0.694,4,0.537
33,4,19,"nl",11,9,9,9,"allende",24,26,32,19,4,2,4,4,3,4,3,3,5,2,4,4,4,1,4,4,0,0,0,0,0,1,1,1,1,0,1,1,26,0.431,0.694,4,0.537
34,4,19,"nl",11,9,9,9,"allende",24,26,33,19,4,2,4,4,3,4,3,3,5,2,4,4,4,1,4,4,0,0,0,0,0,1,1,1,1,0,1,1,26,0.431,0.694,4,0.537
35,4,19,"nl",11,9,9,9,"allende",24,26,34,19,4,2,4,4,3,4,3,3,5,2,4,4,4,1,4,4,0,0,0,0,0,1,1,1,1,0,1,1,26,0.431,0.694,4,0.537
36,4,19,"nl",11,9,9,9,"allende",24,26,35,19,4,2,4,4,3,4,3,3,5,2,4,4,4,1,4,4,0,0,0,0,0,1,1,1,1,0,1,1,26,0.431,0.694,4,0.537
37,4,19,"nl",11,9,9,9,"allende",24,26,36,19,4,2,4,4,3,4,3,3,5,2,4,4,4,1,4,4,0,0,0,0,0,1,1,1,1,0,1,1,26,0.431,0.694,4,0.537
38,4,19,"nl",11,9,9,9,"allende",24,26,37,19,4,2,4,4,3,4,3,3,5,2,4,4,4,1,4,4,0,0,0,0,0,1,1,1,1,0,1,1,26,0.431,0.694,4,0.537
39,5,19,"nl",6,1,12,7,"anahuac",21,21,38,19,5,1,2,2,2,2,2,2,2,1,2,2,2,3,2,2,0,0,0,0,0,1,1,1,1,0,1,1,21,0.432,0.489,1,0.911
40,5,19,"nl",6,1,12,7,"anahuac",21,21,39,19,5,1,2,2,2,2,2,2,2,1,2,2,2,3,2,2,0,0,0,0,0,1,1,1,1,0,1,1,21,0.432,0.489,1,0.911
41,5,19,"nl",6,1,12,7,"anahuac",21,21,40,19,5,1,2,2,2,2,2,2,2,1,2,2,2,3,2,2,0,0,0,0,0,1,1,1,1,0,1,1,21,0.432,0.489,1,0.911
42,5,19,"nl",6,1,12,7,"anahuac",21,21,41,19,5,1,2,2,2,2,2,2,2,1,2,2,2,3,2,2,0,0,0,0,0,1,1,1,1,0,1,1,21,0.432,0.489,1,0.911
43,5,19,"nl",6,1,12,7,"anahuac",21,21,42,19,5,1,2,2,2,2,2,2,2,1,2,2,2,3,2,2,0,0,0,0,0,1,1,1,1,0,1,1,21,0.432,0.489,1,0.911
44,5,19,"nl",6,1,12,7,"anahuac",21,21,43,19,5,1,2,2,2,2,2,2,2,1,2,2,2,3,2,2,0,0,0,0,0,1,1,1,1,0,1,1,21,0.432,0.489,1,0.911
45,5,19,"nl",6,1,12,7,"anahuac",21,21,44,19,5,1,2,2,2,2,2,2,2,1,2,2,2,3,2,2,0,0,0,0,0,1,1,1,1,0,1,1,21,0.432,0.489,1,0.911
