"seccion","munn","edo","edon","disloc2018","disloc2015","pobtot","esc1","esc3","SQ","dsi_pob"
856,18,"gue",12,14,14,1477,2,13,13,0.264581197676405
857,18,"gue",12,14,14,557,2,13,13,0.264581197676405
858,19,"gue",12,23,23,4371,12,23,24,0.462801787861182
859,19,"gue",12,23,23,3251,12,23,24,0.462801787861182
860,19,"gue",12,23,23,508,12,23,24,0.462801787861182
861,19,"gue",12,23,23,429,12,23,24,0.462801787861182
862,19,"gue",12,23,23,1709,12,23,24,0.462801787861182
863,19,"gue",12,23,23,582,12,23,24,0.462801787861182
864,19,"gue",12,23,23,649,12,23,24,0.462801787861182
865,19,"gue",12,23,23,614,12,23,24,0.462801787861182
866,19,"gue",12,23,23,524,12,23,24,0.462801787861182
867,19,"gue",12,23,23,1808,12,23,24,0.462801787861182
868,20,"gue",12,26,26,3529,15,1,28,0.366705711029505
869,20,"gue",12,26,26,769,15,1,28,0.366705711029505
870,20,"gue",12,26,26,810,15,1,28,0.366705711029505
871,20,"gue",12,26,26,744,15,1,28,0.366705711029505
872,20,"gue",12,26,26,1367,15,1,28,0.366705711029505
873,20,"gue",12,26,26,1565,15,1,28,0.366705711029505
874,20,"gue",12,26,26,1219,15,1,28,0.366705711029505
875,20,"gue",12,26,26,499,15,1,28,0.366705711029505
876,20,"gue",12,26,26,490,15,1,28,0.366705711029505
877,20,"gue",12,26,26,3043,15,1,28,0.366705711029505
878,20,"gue",12,26,26,1998,15,1,28,0.366705711029505
879,20,"gue",12,26,26,1302,15,1,28,0.366705711029505
880,20,"gue",12,26,26,158,15,1,28,0.366705711029505
881,20,"gue",12,26,26,1101,15,1,28,0.366705711029505
882,20,"gue",12,26,26,567,15,1,28,0.366705711029505
883,21,"gue",12,8,8,2604,3,4,10,0.318221728084622
884,21,"gue",12,8,8,1123,3,4,10,0.318221728084622
885,21,"gue",12,8,8,1326,3,4,10,0.318221728084622
886,21,"gue",12,8,8,912,3,4,10,0.318221728084622
887,21,"gue",12,8,8,1230,3,4,10,0.318221728084622
888,21,"gue",12,8,8,2717,3,4,10,0.318221728084622
889,21,"gue",12,8,8,2888,3,4,10,0.318221728084622
890,21,"gue",12,8,8,2328,3,4,10,0.318221728084622
891,21,"gue",12,8,8,606,3,4,10,0.318221728084622
892,21,"gue",12,8,8,804,3,4,10,0.318221728084622
893,21,"gue",12,8,8,608,3,4,10,0.318221728084622
894,21,"gue",12,8,8,1101,3,4,10,0.318221728084622
895,21,"gue",12,8,8,2956,3,4,10,0.318221728084622
896,21,"gue",12,8,8,786,3,4,10,0.318221728084622
897,21,"gue",12,8,8,675,3,4,10,0.318221728084622
898,21,"gue",12,8,8,723,3,4,10,0.318221728084622
899,21,"gue",12,8,8,889,3,4,10,0.318221728084622
900,21,"gue",12,8,8,524,3,4,10,0.318221728084622
901,21,"gue",12,8,8,416,3,4,10,0.318221728084622
902,21,"gue",12,8,8,477,3,4,10,0.318221728084622
903,21,"gue",12,8,8,1778,3,4,10,0.318221728084622
904,21,"gue",12,8,8,250,3,4,10,0.318221728084622
905,21,"gue",12,8,8,587,3,4,10,0.318221728084622
906,21,"gue",12,8,8,310,3,4,10,0.318221728084622
907,21,"gue",12,8,8,1075,3,4,10,0.318221728084622
908,21,"gue",12,8,8,2560,3,4,10,0.318221728084622
909,21,"gue",12,8,8,1783,3,4,10,0.318221728084622
910,21,"gue",12,8,8,1076,3,4,10,0.318221728084622
911,21,"gue",12,8,8,519,3,4,10,0.318221728084622
912,21,"gue",12,8,8,1333,3,4,10,0.318221728084622
913,21,"gue",12,8,8,1199,3,4,10,0.318221728084622
914,21,"gue",12,8,8,818,3,4,10,0.318221728084622
915,21,"gue",12,8,8,987,3,4,10,0.318221728084622
916,21,"gue",12,8,8,602,3,4,10,0.318221728084622
917,21,"gue",12,8,8,2247,3,4,10,0.318221728084622
918,21,"gue",12,8,8,1158,3,4,10,0.318221728084622
919,21,"gue",12,8,8,1079,3,4,10,0.318221728084622
920,21,"gue",12,8,8,323,3,4,10,0.318221728084622
921,21,"gue",12,8,8,800,3,4,10,0.318221728084622
922,21,"gue",12,8,8,890,3,4,10,0.318221728084622
923,21,"gue",12,8,8,643,3,4,10,0.318221728084622
924,21,"gue",12,8,8,218,3,4,10,0.318221728084622
925,21,"gue",12,8,8,2075,3,4,10,0.318221728084622
926,21,"gue",12,8,8,2124,3,4,10,0.318221728084622
927,21,"gue",12,8,8,724,3,4,10,0.318221728084622
928,21,"gue",12,8,8,1078,3,4,10,0.318221728084622
929,21,"gue",12,8,8,1303,3,4,10,0.318221728084622
930,21,"gue",12,8,8,1160,3,4,10,0.318221728084622
931,21,"gue",12,8,8,2379,3,4,10,0.318221728084622
932,21,"gue",12,8,8,2425,3,4,10,0.318221728084622
933,21,"gue",12,8,8,2388,3,4,10,0.318221728084622
934,21,"gue",12,8,8,828,3,4,10,0.318221728084622
935,21,"gue",12,8,8,1092,3,4,10,0.318221728084622
936,21,"gue",12,8,8,3047,3,4,10,0.318221728084622
937,21,"gue",12,8,8,1313,3,4,10,0.318221728084622
938,21,"gue",12,8,8,225,3,4,10,0.318221728084622
939,21,"gue",12,8,8,3841,3,4,10,0.318221728084622
940,21,"gue",12,8,8,619,3,4,10,0.318221728084622
941,21,"gue",12,8,8,1026,3,4,10,0.318221728084622
942,21,"gue",12,8,8,881,3,4,10,0.318221728084622
943,22,"gue",12,17,17,1534,10,20,17,0.297731695360894
944,22,"gue",12,17,17,538,10,20,17,0.297731695360894
945,22,"gue",12,17,17,2386,10,20,17,0.297731695360894
946,22,"gue",12,17,17,2430,10,20,17,0.297731695360894
947,22,"gue",12,17,17,137,10,20,17,0.297731695360894
948,22,"gue",12,17,17,77,10,20,17,0.297731695360894
949,22,"gue",12,17,17,336,10,20,17,0.297731695360894
950,22,"gue",12,17,17,345,10,20,17,0.297731695360894
951,22,"gue",12,17,17,1020,10,20,17,0.297731695360894
952,22,"gue",12,17,17,145,10,20,17,0.297731695360894
953,22,"gue",12,17,17,689,10,20,17,0.297731695360894
954,22,"gue",12,17,17,974,10,20,17,0.297731695360894
955,22,"gue",12,17,17,739,10,20,17,0.297731695360894
956,22,"gue",12,17,17,645,10,20,17,0.297731695360894
957,22,"gue",12,17,17,1531,10,20,17,0.297731695360894
958,22,"gue",12,17,17,489,10,20,17,0.297731695360894
959,22,"gue",12,17,17,866,10,20,17,0.297731695360894
960,22,"gue",12,17,17,700,10,20,17,0.297731695360894
961,22,"gue",12,17,17,471,10,20,17,0.297731695360894
962,22,"gue",12,17,17,615,10,20,17,0.297731695360894
963,22,"gue",12,17,17,693,10,20,17,0.297731695360894
964,22,"gue",12,17,17,744,10,20,17,0.297731695360894
965,22,"gue",12,17,17,833,10,20,17,0.297731695360894
966,22,"gue",12,17,17,361,10,20,17,0.297731695360894
967,22,"gue",12,17,17,969,10,20,17,0.297731695360894
968,22,"gue",12,17,17,717,10,20,17,0.297731695360894
969,22,"gue",12,17,17,442,10,20,17,0.297731695360894
970,22,"gue",12,17,17,1799,10,20,17,0.297731695360894
971,22,"gue",12,17,17,1004,10,20,17,0.297731695360894
972,22,"gue",12,17,17,219,10,20,17,0.297731695360894
973,22,"gue",12,17,17,568,10,20,17,0.297731695360894
974,22,"gue",12,17,17,387,10,20,17,0.297731695360894
975,22,"gue",12,17,17,609,10,20,17,0.297731695360894
976,22,"gue",12,17,17,684,10,20,17,0.297731695360894
977,22,"gue",12,17,17,474,10,20,17,0.297731695360894
978,22,"gue",12,17,17,122,10,20,17,0.297731695360894
979,22,"gue",12,17,17,805,10,20,17,0.297731695360894
980,22,"gue",12,17,17,364,10,20,17,0.297731695360894
981,22,"gue",12,17,17,666,10,20,17,0.297731695360894
982,22,"gue",12,17,17,335,10,20,17,0.297731695360894
983,22,"gue",12,17,17,1622,10,20,17,0.297731695360894
985,22,"gue",12,17,17,193,10,20,17,0.297731695360894
986,22,"gue",12,17,17,189,10,20,17,0.297731695360894
987,22,"gue",12,17,17,255,10,20,17,0.297731695360894
988,22,"gue",12,17,17,1359,10,20,17,0.297731695360894
989,22,"gue",12,17,17,488,10,20,17,0.297731695360894
990,22,"gue",12,17,17,569,10,20,17,0.297731695360894
991,22,"gue",12,17,17,672,10,20,17,0.297731695360894
992,22,"gue",12,17,17,280,10,20,17,0.297731695360894
993,22,"gue",12,17,17,613,10,20,17,0.297731695360894
994,22,"gue",12,17,17,1555,10,20,17,0.297731695360894
