"seccion","munn.x","edon.x","edo","disfed1979","disfed1997","disfed2006","disfed2018","disloc2018","disloc2011","X","edon.y","munn.y","escenario1","escenario2","escenario3","mc_clv1","mc_iee1","morena_clv1","morena_iee1","prd_clv1","prd_iee1","pri_clv1","pt_clv1","mc_clv2","morena_clv2","panal_clv2","pan_clv2","pes_clv2","ph_iee2","prd_clv2","pri_clv2","prs_iee2","pt_clv2","pvem_clv2","esc1_mcCLV1","esc1_mcIEE1","esc1_morCLV1","esc1_morIEE1","esc1_prdCLV1","esc1_prdIEE1","esc1_priCLV1","esc1_ptCLV1","esc2_mcCLV2","esc2_morCLV2","esc2_panalCLV2","esc2_panCLV2","esc2_pesCLV2","esc2_phIEE2","esc2_prdCLV2","esc2_priCLV2","esc2_prsIEE2","esc2_ptCLV2","esc2_pvemCLV2","E1","dsiE1_E3"
426,4,3,"bcs",1,2,2,2,10,7,417,3,4,10,10,10,9,9,9,9,9,9,16,9,10,10,10,9,9,9,9,10,9,10,10,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,10,1
427,4,3,"bcs",1,2,2,2,10,7,418,3,4,10,10,10,9,9,9,9,9,9,16,9,10,10,10,9,9,9,9,10,9,10,10,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,10,1
428,4,3,"bcs",1,2,2,2,10,7,419,3,4,10,10,10,9,9,9,9,9,9,16,9,10,10,10,9,9,9,9,10,9,10,10,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,10,1
429,4,3,"bcs",1,2,2,2,10,7,420,3,4,10,10,10,9,9,9,9,9,9,16,9,10,10,10,9,9,9,9,10,9,10,10,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,10,1
430,4,3,"bcs",1,2,2,2,10,7,421,3,4,10,10,10,9,9,9,9,9,9,16,9,10,10,10,9,9,9,9,10,9,10,10,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,10,1
431,4,3,"bcs",1,2,2,2,10,7,422,3,4,10,10,10,9,9,9,9,9,9,10,9,10,10,10,9,9,9,9,10,9,10,10,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,1,1,10,1
432,4,3,"bcs",1,2,2,2,10,7,423,3,4,10,10,10,9,9,9,9,9,9,16,9,10,10,10,9,9,9,9,10,9,10,10,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,10,1
433,4,3,"bcs",1,2,2,2,10,7,424,3,4,10,10,10,9,9,9,9,9,9,16,9,10,10,10,9,9,9,9,10,9,10,10,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,10,1
434,4,3,"bcs",1,2,2,2,10,7,425,3,4,10,10,10,9,9,9,9,9,9,16,9,10,10,10,9,9,9,9,10,9,10,10,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,10,1
435,4,3,"bcs",1,2,2,2,10,7,426,3,4,10,10,10,9,9,9,9,9,9,16,9,10,10,10,9,9,9,9,10,9,10,10,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,10,1
436,4,3,"bcs",1,2,2,2,10,7,427,3,4,10,10,10,9,9,9,9,9,9,16,9,10,10,10,9,9,9,9,10,9,10,10,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,10,1
437,4,3,"bcs",1,2,2,2,10,7,428,3,4,10,10,10,9,9,9,9,9,9,16,9,10,10,10,9,9,9,9,10,9,10,10,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,10,1
438,4,3,"bcs",1,2,2,2,10,7,429,3,4,10,10,10,9,9,9,9,9,9,16,9,10,10,10,9,9,9,9,10,9,10,10,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,10,1
439,4,3,"bcs",1,2,2,2,10,7,430,3,4,10,10,10,9,9,9,9,9,9,16,9,10,10,10,9,9,9,9,10,9,10,10,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,10,1
440,3,3,"bcs",1,2,1,1,15,4,431,3,3,15,15,15,11,11,11,11,11,11,11,11,15,15,15,11,11,11,11,15,11,15,15,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,15,1
441,3,3,"bcs",1,2,1,1,16,4,432,3,3,16,16,16,13,13,13,13,13,13,11,13,14,14,14,11,11,11,11,14,11,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1
442,3,3,"bcs",1,2,1,1,15,4,433,3,3,15,15,15,11,11,11,11,11,11,11,11,15,15,15,11,11,11,11,15,11,15,15,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,15,1
443,3,3,"bcs",1,2,1,1,16,4,434,3,3,16,16,16,11,11,11,11,11,11,11,11,15,15,14,11,11,11,11,14,11,15,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1
444,3,3,"bcs",1,2,1,1,16,4,435,3,3,16,16,16,13,13,13,13,13,13,11,13,14,14,14,11,11,11,11,14,11,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1
445,3,3,"bcs",1,2,1,1,15,4,436,3,3,15,15,15,11,11,11,11,11,11,11,11,15,15,15,11,11,11,11,15,11,15,15,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,15,1
446,3,3,"bcs",1,2,1,1,15,4,437,3,3,15,15,15,11,11,11,11,11,11,11,11,15,15,15,11,11,11,11,15,11,15,15,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,15,1
447,3,3,"bcs",1,2,1,1,16,4,438,3,3,16,16,16,11,11,11,11,11,11,11,11,15,15,14,11,11,11,11,14,11,15,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1
448,3,3,"bcs",1,2,1,1,16,4,439,3,3,16,16,16,13,13,13,13,13,13,11,13,15,15,14,11,11,11,11,14,11,15,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1
449,3,3,"bcs",1,2,1,1,16,4,440,3,3,16,16,16,11,11,11,11,11,11,11,11,15,15,14,11,11,11,11,14,11,15,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1
450,3,3,"bcs",1,2,1,1,16,4,441,3,3,16,16,16,13,13,13,13,13,13,11,13,15,15,14,11,11,11,11,14,11,15,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1
451,3,3,"bcs",1,2,1,1,15,4,442,3,3,15,15,15,11,11,11,11,11,11,11,11,15,15,14,11,11,11,11,14,11,15,14,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,15,1
452,3,3,"bcs",1,2,1,1,15,4,443,3,3,15,15,15,11,11,11,11,11,11,5,11,15,15,14,11,11,11,11,14,11,15,14,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,15,1
453,3,3,"bcs",1,2,1,1,15,4,444,3,3,15,15,15,13,13,13,13,13,13,11,13,14,14,14,11,11,11,11,14,11,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1
454,3,3,"bcs",1,2,1,1,15,4,445,3,3,15,15,15,13,13,13,13,13,13,11,13,15,15,14,11,11,11,11,14,11,15,14,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,15,1
455,3,3,"bcs",1,2,1,1,15,4,446,3,3,15,15,15,13,13,13,13,13,13,11,13,15,15,14,11,11,11,11,14,11,15,14,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,15,1
456,3,3,"bcs",1,2,1,1,14,4,447,3,3,14,14,14,13,13,13,13,13,13,5,13,14,14,14,13,13,13,13,14,13,14,14,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,14,1
457,3,3,"bcs",1,2,1,1,14,4,448,3,3,14,14,14,13,13,13,13,13,13,5,13,14,14,14,13,13,13,13,14,13,14,14,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,14,1
458,3,3,"bcs",1,2,1,1,15,4,449,3,3,15,15,15,13,13,13,13,13,13,5,13,15,15,14,11,11,11,11,14,11,15,14,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,15,1
459,3,3,"bcs",1,2,1,1,15,4,450,3,3,15,15,15,13,13,13,13,13,13,5,13,15,15,14,11,11,11,11,14,11,15,14,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,15,1
460,3,3,"bcs",1,2,1,1,14,4,451,3,3,14,14,14,13,13,13,13,13,13,5,13,15,15,14,11,11,11,11,14,11,15,14,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,14,1
461,3,3,"bcs",1,2,1,1,14,4,452,3,3,14,14,14,13,13,13,13,13,13,5,13,14,14,14,13,13,13,13,14,13,14,14,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,14,1
462,3,3,"bcs",1,2,1,1,15,4,453,3,3,15,15,15,11,11,11,11,11,11,11,11,15,15,15,11,11,11,11,15,11,15,15,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,15,1
463,3,3,"bcs",1,2,1,1,14,4,454,3,3,14,14,14,13,13,13,13,13,13,5,13,14,14,14,11,11,11,11,14,11,14,14,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,14,1
464,3,3,"bcs",1,2,1,1,14,4,455,3,3,14,14,14,13,13,13,13,13,13,5,13,14,14,14,13,13,13,13,14,13,14,14,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,14,1
465,3,3,"bcs",1,2,1,1,15,4,456,3,3,15,15,15,11,11,11,11,11,11,11,11,15,15,15,11,11,11,11,15,11,15,15,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,15,1
466,3,3,"bcs",1,2,1,1,14,4,457,3,3,14,14,14,13,13,13,13,13,13,5,13,15,15,14,11,11,11,11,14,11,15,14,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,14,1
467,3,3,"bcs",1,2,1,1,14,4,458,3,3,14,14,14,13,13,13,13,13,13,5,13,14,14,14,11,11,11,11,14,11,14,14,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,14,1
468,3,3,"bcs",1,2,1,1,14,4,459,3,3,14,14,14,13,13,13,13,13,13,5,13,14,14,14,13,13,13,13,14,13,14,14,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,14,1
469,3,3,"bcs",1,2,1,1,14,4,460,3,3,14,14,14,13,13,13,13,13,13,5,13,15,15,14,11,11,11,11,14,11,15,14,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,14,1
470,3,3,"bcs",1,2,1,1,14,4,461,3,3,14,14,14,16,16,16,16,16,16,8,16,15,15,14,16,16,16,16,14,16,15,14,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,14,1
471,3,3,"bcs",1,2,1,1,14,4,462,3,3,14,14,14,13,13,13,13,13,13,5,13,15,15,14,11,11,11,11,14,11,15,14,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,14,1
472,3,3,"bcs",1,2,1,1,14,4,463,3,3,14,14,14,13,13,13,13,13,13,5,13,14,14,14,13,13,13,13,14,13,14,14,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,14,1
473,3,3,"bcs",1,2,1,1,14,4,464,3,3,14,14,14,13,13,13,13,13,13,8,13,14,14,14,13,13,13,13,14,13,14,14,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,14,1
474,3,3,"bcs",1,2,1,1,14,4,465,3,3,14,14,14,13,13,13,13,13,13,5,13,14,14,14,13,13,13,13,14,13,14,14,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,14,1
475,3,3,"bcs",1,2,1,1,14,4,466,3,3,14,14,14,16,16,16,16,16,16,14,16,16,16,12,16,16,16,16,12,16,16,12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,14,1
476,3,3,"bcs",1,2,1,1,14,4,467,3,3,14,14,14,16,16,16,16,16,16,14,16,16,16,12,16,16,16,16,12,16,16,12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,14,1
477,3,3,"bcs",1,2,1,1,14,4,468,3,3,14,14,14,16,16,16,16,16,16,14,16,16,16,12,16,16,16,16,12,16,16,12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,14,1
478,3,3,"bcs",1,2,1,1,16,4,469,3,3,16,16,16,13,13,13,13,13,13,5,13,14,14,14,13,13,13,13,14,13,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1
479,3,3,"bcs",1,2,1,1,14,4,470,3,3,14,14,14,13,13,13,13,13,13,5,13,14,14,14,13,13,13,13,14,13,14,14,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,14,1
480,3,3,"bcs",1,2,1,1,14,4,471,3,3,14,14,14,13,13,13,13,13,13,5,13,14,14,14,13,13,13,13,14,13,14,14,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,14,1
481,3,3,"bcs",1,2,1,1,14,4,472,3,3,14,14,14,13,13,13,13,13,13,5,13,14,14,14,13,13,13,13,14,13,14,14,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,14,1
482,3,3,"bcs",1,2,1,1,14,4,473,3,3,14,14,14,13,13,13,13,13,13,5,13,14,14,14,13,13,13,13,14,13,14,14,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,14,1
483,3,3,"bcs",1,2,1,1,14,4,474,3,3,14,14,14,13,13,13,13,13,13,5,13,14,14,14,13,13,13,13,14,13,14,14,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,14,1
484,3,3,"bcs",1,2,1,1,14,4,475,3,3,14,14,14,13,13,13,13,13,13,5,13,14,14,14,13,13,13,13,14,13,14,14,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,14,1
485,3,3,"bcs",1,2,1,1,14,4,476,3,3,14,14,14,13,13,13,13,13,13,5,13,14,14,14,13,13,13,13,14,13,14,14,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,14,1
486,3,3,"bcs",1,2,1,1,14,4,477,3,3,14,14,14,13,13,13,13,13,13,5,13,14,14,14,13,13,13,13,14,13,14,14,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,14,1
487,3,3,"bcs",1,2,1,1,14,4,478,3,3,14,14,14,13,13,13,13,13,13,5,13,14,14,12,13,13,13,13,12,13,14,12,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,14,1
488,3,3,"bcs",1,2,1,1,14,4,479,3,3,14,14,14,16,16,16,16,16,16,5,16,16,16,12,16,16,16,16,12,16,16,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1
489,3,3,"bcs",1,2,1,1,14,4,480,3,3,14,14,14,16,16,16,16,16,16,5,16,16,16,12,16,16,16,16,12,16,16,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1
490,3,3,"bcs",1,2,1,1,14,4,481,3,3,14,14,14,16,16,16,16,16,16,5,16,16,16,12,16,16,16,16,12,16,16,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1
491,3,3,"bcs",1,2,1,1,14,4,482,3,3,14,14,14,16,16,16,16,16,16,5,16,16,16,12,16,16,16,16,12,16,16,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1
492,3,3,"bcs",1,2,1,1,14,4,483,3,3,14,14,14,16,16,16,16,16,16,5,16,16,16,12,16,16,16,16,12,16,16,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1
493,3,3,"bcs",1,2,1,1,14,4,484,3,3,14,14,14,16,16,16,16,16,16,5,16,16,16,12,16,16,16,16,12,16,16,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1
494,3,3,"bcs",1,2,1,1,14,4,485,3,3,14,14,14,16,16,16,16,16,16,5,16,16,16,12,16,16,16,16,12,16,16,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1
495,3,3,"bcs",1,2,1,1,14,4,486,3,3,14,14,14,16,16,16,16,16,16,5,16,16,16,12,16,16,16,16,12,16,16,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1
