"seccion","munn","edo","edon","disloc2018","disloc2015","pobtot","esc1","esc3","SQ","dsi_pob"
107,3,"col",6,5,5,2260,1,13,4,0.350421760493703
108,3,"col",6,5,5,1740,2,13,9,0.637871980783773
109,3,"col",6,5,5,1165,2,13,9,0.637871980783773
110,3,"col",6,5,5,1185,2,13,9,0.637871980783773
111,3,"col",6,5,5,2953,2,13,9,0.637871980783773
112,3,"col",6,5,5,388,1,13,4,0.350421760493703
113,3,"col",6,5,5,436,1,13,4,0.350421760493703
114,3,"col",6,5,5,302,1,13,4,0.350421760493703
115,3,"col",6,5,5,304,1,13,4,0.350421760493703
116,3,"col",6,5,5,1392,1,13,4,0.350421760493703
117,3,"col",6,5,5,1189,2,13,9,0.637871980783773
118,3,"col",6,5,5,776,2,13,9,0.637871980783773
119,3,"col",6,5,5,631,2,13,9,0.637871980783773
120,4,"col",6,6,6,2463,15,11,6,0.481335534373502
121,4,"col",6,6,6,1188,15,11,6,0.481335534373502
122,4,"col",6,6,6,1176,15,11,6,0.481335534373502
123,4,"col",6,6,6,1759,15,11,6,0.481335534373502
124,4,"col",6,6,6,2050,15,11,6,0.481335534373502
125,4,"col",6,6,6,2148,15,11,6,0.481335534373502
126,4,"col",6,6,6,1780,15,11,6,0.481335534373502
127,4,"col",6,6,6,1354,15,11,6,0.481335534373502
128,4,"col",6,6,6,1048,15,11,6,0.481335534373502
129,4,"col",6,6,6,1204,15,11,6,0.481335534373502
130,4,"col",6,6,6,1332,15,11,6,0.481335534373502
131,4,"col",6,6,6,1453,15,11,6,0.481335534373502
132,4,"col",6,6,6,1832,15,11,6,0.481335534373502
133,4,"col",6,6,6,968,15,11,6,0.481335534373502
134,4,"col",6,6,6,1846,15,11,6,0.481335534373502
135,4,"col",6,6,6,1929,15,11,6,0.481335534373502
136,4,"col",6,6,6,579,15,11,6,0.481335534373502
137,4,"col",6,6,6,1008,15,11,6,0.481335534373502
138,5,"col",6,7,7,7725,4,15,7,0.489703556953053
139,5,"col",6,7,7,11723,4,15,7,0.489703556953053
140,5,"col",6,7,4,5100,3,15,7,0.186565543992705
141,5,"col",6,7,4,1488,3,15,7,0.186565543992705
142,5,"col",6,7,7,1035,4,15,7,0.489703556953053
143,5,"col",6,7,7,1552,4,15,7,0.489703556953053
144,5,"col",6,7,7,2348,4,15,7,0.489703556953053
145,5,"col",6,4,6,11750,4,14,7,0.489703556953053
146,5,"col",6,5,4,3668,3,13,7,0.186565543992705
147,5,"col",6,7,7,2504,3,15,7,0.186565543992705
148,5,"col",6,7,7,1640,3,15,7,0.186565543992705
149,5,"col",6,4,7,1911,3,14,7,0.186565543992705
150,5,"col",6,4,7,1325,3,14,7,0.186565543992705
151,5,"col",6,7,7,938,3,15,7,0.186565543992705
152,5,"col",6,5,4,5014,3,13,7,0.186565543992705
153,5,"col",6,8,7,1436,5,16,8,0.744193359047459
154,5,"col",6,8,7,1143,5,16,8,0.744193359047459
155,5,"col",6,7,7,1850,3,15,7,0.186565543992705
156,5,"col",6,7,7,794,3,15,7,0.186565543992705
157,5,"col",6,7,7,1094,3,15,7,0.186565543992705
158,5,"col",6,4,7,834,3,14,7,0.186565543992705
159,5,"col",6,4,7,2560,4,14,7,0.489703556953053
160,5,"col",6,8,8,3320,5,16,8,0.744193359047459
161,5,"col",6,8,8,4833,5,16,8,0.744193359047459
162,5,"col",6,8,8,2600,5,16,8,0.744193359047459
164,5,"col",6,8,8,2044,5,16,8,0.744193359047459
165,5,"col",6,8,8,1664,5,16,8,0.744193359047459
166,5,"col",6,4,6,411,4,14,7,0.489703556953053
167,5,"col",6,5,4,713,3,13,7,0.186565543992705
168,5,"col",6,5,4,630,3,13,7,0.186565543992705
169,5,"col",6,4,6,446,4,14,7,0.489703556953053
170,6,"col",6,9,9,2457,2,1,9,0.637871980783773
171,6,"col",6,9,9,1935,2,1,9,0.637871980783773
172,6,"col",6,9,9,1179,2,1,9,0.637871980783773
173,6,"col",6,9,9,1186,2,1,9,0.637871980783773
174,6,"col",6,9,9,689,2,1,9,0.637871980783773
175,6,"col",6,9,9,725,2,1,9,0.637871980783773
176,6,"col",6,9,9,1249,2,1,9,0.637871980783773
177,6,"col",6,9,9,1920,2,1,9,0.637871980783773
178,6,"col",6,9,9,1958,2,1,9,0.637871980783773
