"seccion","X.x","munn.x","edon.x","disloc2013","disloc2015","disfed2015","X.y","edon.y","munn.y","escenario1","escenario2","escenario3","pan_clv1","prd_clv1","esc1_panCLV1","esc1_prdCLV1","SQ","dsiSQ_E1","dsiSQ_E3"
1,1,1,23,7,11,23,1,23,1,3,3,7,3,3,1,1,7,0.281,1
4,2,1,23,7,14,23,2,23,1,8,8,7,7,8,0,1,7,0.811,1
5,3,1,23,7,14,23,3,23,1,8,8,7,7,8,0,1,7,0.811,1
6,4,1,23,7,14,23,4,23,1,8,8,7,7,8,0,1,7,0.811,1
7,5,1,23,7,8,23,5,23,1,8,8,7,8,8,1,1,7,0.811,1
8,6,1,23,7,11,23,6,23,1,8,8,7,8,8,1,1,7,0.811,1
9,7,1,23,7,11,23,7,23,1,8,8,7,8,8,1,1,7,0.811,1
10,8,1,23,7,11,23,8,23,1,8,8,7,8,8,1,1,7,0.811,1
13,9,1,23,3,13,23,9,23,1,1,1,3,1,1,1,1,3,0.477,1
14,10,1,23,3,13,23,10,23,1,4,4,3,4,4,1,1,3,0.733,1
15,11,1,23,5,13,23,11,23,1,4,4,5,4,4,1,1,5,0.733,1
16,12,1,23,5,13,23,12,23,1,4,4,5,4,4,1,1,5,0.733,1
18,13,1,23,5,9,23,13,23,1,4,4,5,4,4,1,1,5,0.733,1
19,14,1,23,5,9,23,14,23,1,4,4,5,4,4,1,1,5,0.733,1
20,15,1,23,5,12,23,15,23,1,3,3,5,3,3,1,1,5,0.281,1
21,16,1,23,4,12,23,16,23,1,3,3,4,3,3,1,1,4,0.281,1
22,17,1,23,4,12,23,17,23,1,3,3,4,3,3,1,1,4,0.281,1
23,18,1,23,4,12,23,18,23,1,3,3,4,3,3,1,1,4,0.281,1
24,19,1,23,4,12,23,19,23,1,3,3,4,3,3,1,1,4,0.281,1
25,20,1,23,4,12,23,20,23,1,3,3,4,3,3,1,1,4,0.281,1
26,21,1,23,4,11,23,21,23,1,3,3,4,3,3,1,1,4,0.281,1
27,22,1,23,4,11,23,22,23,1,3,3,4,3,3,1,1,4,0.281,1
28,23,1,23,4,11,23,23,23,1,3,3,4,3,3,1,1,4,0.281,1
29,24,1,23,7,11,23,24,23,1,8,8,7,8,8,1,1,7,0.811,1
30,25,1,23,7,11,23,25,23,1,8,8,7,8,8,1,1,7,0.811,1
31,26,1,23,7,11,23,26,23,1,8,8,7,8,8,1,1,7,0.811,1
32,27,1,23,7,11,23,27,23,1,8,8,7,8,8,1,1,7,0.811,1
33,28,1,23,7,11,23,28,23,1,8,8,7,8,8,1,1,7,0.811,1
34,29,1,23,7,11,23,29,23,1,8,8,7,8,8,1,1,7,0.811,1
35,30,1,23,7,11,23,30,23,1,8,8,7,8,8,1,1,7,0.811,1
36,31,1,23,7,8,23,31,23,1,8,8,7,8,8,1,1,7,0.811,1
37,32,1,23,7,8,23,32,23,1,8,8,7,8,8,1,1,7,0.811,1
38,33,1,23,7,11,23,33,23,1,8,8,7,8,8,1,1,7,0.811,1
39,34,1,23,7,11,23,34,23,1,8,8,7,8,8,1,1,7,0.811,1
40,35,1,23,7,11,23,35,23,1,8,8,7,8,8,1,1,7,0.811,1
41,36,1,23,7,11,23,36,23,1,8,8,7,8,8,1,1,7,0.811,1
42,37,1,23,7,11,23,37,23,1,8,8,7,8,8,1,1,7,0.811,1
43,38,1,23,4,12,23,38,23,1,3,3,4,3,3,1,1,4,0.281,1
44,39,1,23,4,12,23,39,23,1,3,3,4,3,3,1,1,4,0.281,1
45,40,1,23,4,12,23,40,23,1,3,3,4,3,3,1,1,4,0.281,1
46,41,1,23,5,9,23,41,23,1,4,4,5,4,4,1,1,5,0.733,1
47,42,1,23,5,13,23,42,23,1,4,4,5,4,4,1,1,5,0.733,1
48,43,1,23,3,13,23,43,23,1,4,4,3,4,4,1,1,3,0.733,1
49,44,1,23,3,13,23,44,23,1,1,1,3,1,1,1,1,3,0.477,1
50,45,1,23,3,13,23,45,23,1,1,1,3,1,1,1,1,3,0.477,1
51,46,1,23,3,13,23,46,23,1,4,4,3,4,4,1,1,3,0.733,1
52,47,1,23,5,13,23,47,23,1,4,4,5,4,4,1,1,5,0.733,1
53,48,1,23,5,13,23,48,23,1,4,4,5,4,4,1,1,5,0.733,1
54,49,1,23,5,15,23,49,23,1,4,4,5,4,4,1,1,5,0.733,1
55,50,1,23,5,9,23,50,23,1,4,4,5,4,4,1,1,5,0.733,1
56,51,1,23,5,9,23,51,23,1,4,4,5,4,4,1,1,5,0.733,1
57,52,1,23,4,12,23,52,23,1,3,3,4,3,3,1,1,4,0.281,1
58,53,1,23,4,12,23,53,23,1,3,3,4,3,3,1,1,4,0.281,1
59,54,1,23,4,12,23,54,23,1,3,3,4,3,3,1,1,4,0.281,1
60,55,1,23,4,12,23,55,23,1,3,3,4,3,3,1,1,4,0.281,1
61,56,1,23,4,11,23,56,23,1,3,3,4,3,3,1,1,4,0.281,1
62,57,1,23,4,11,23,57,23,1,3,3,4,3,3,1,1,4,0.281,1
63,58,1,23,4,11,23,58,23,1,3,3,4,3,3,1,1,4,0.281,1
64,59,1,23,4,11,23,59,23,1,3,3,4,3,3,1,1,4,0.281,1
65,60,1,23,4,11,23,60,23,1,8,8,4,8,8,1,1,4,0.811,1
66,61,1,23,4,11,23,61,23,1,8,8,4,8,8,1,1,4,0.811,1
67,62,1,23,4,11,23,62,23,1,8,8,4,8,8,1,1,4,0.811,1
68,63,1,23,4,11,23,63,23,1,8,8,4,8,8,1,1,4,0.811,1
69,64,1,23,4,11,23,64,23,1,8,8,4,8,8,1,1,4,0.811,1
70,65,1,23,3,13,23,65,23,1,4,4,3,4,4,1,1,3,0.733,1
71,66,1,23,5,13,23,66,23,1,4,4,5,4,4,1,1,5,0.733,1
72,67,1,23,5,13,23,67,23,1,4,4,5,4,4,1,1,5,0.733,1
73,68,1,23,5,15,23,68,23,1,4,4,5,4,4,1,1,5,0.733,1
74,69,1,23,5,9,23,69,23,1,4,4,5,4,4,1,1,5,0.733,1
75,70,1,23,5,9,23,70,23,1,4,4,5,4,4,1,1,5,0.733,1
76,71,1,23,4,9,23,71,23,1,5,5,4,5,5,1,1,4,0.375,1
77,72,1,23,4,9,23,72,23,1,5,5,4,5,5,1,1,4,0.375,1
78,73,1,23,4,9,23,73,23,1,5,5,4,5,5,1,1,4,0.375,1
79,74,1,23,4,11,23,74,23,1,5,5,4,5,5,1,1,4,0.375,1
80,75,1,23,4,11,23,75,23,1,5,5,4,5,5,1,1,4,0.375,1
81,76,1,23,4,11,23,76,23,1,5,5,4,5,5,1,1,4,0.375,1
82,77,1,23,4,11,23,77,23,1,5,5,4,5,8,1,0,4,0.375,1
83,78,1,23,4,11,23,78,23,1,5,5,4,5,8,1,0,4,0.375,1
84,79,1,23,4,11,23,79,23,1,8,8,4,8,8,1,1,4,0.811,1
85,80,1,23,6,11,23,80,23,1,8,8,6,8,8,1,1,6,0.811,1
86,81,1,23,6,11,23,81,23,1,8,8,6,8,8,1,1,6,0.811,1
87,82,1,23,6,11,23,82,23,1,8,8,6,8,8,1,1,6,0.811,1
88,83,1,23,6,11,23,83,23,1,8,8,6,8,8,1,1,6,0.811,1
89,84,1,23,6,8,23,84,23,1,7,7,6,7,7,1,1,6,0.789,1
90,85,1,23,6,8,23,85,23,1,7,7,6,7,7,1,1,6,0.789,1
91,86,1,23,6,8,23,86,23,1,7,7,6,7,7,1,1,6,0.789,1
92,87,1,23,6,8,23,87,23,1,7,7,6,7,7,1,1,6,0.789,1
93,88,1,23,6,8,23,88,23,1,7,7,6,7,7,1,1,6,0.789,1
94,89,1,23,6,8,23,89,23,1,7,7,6,7,7,1,1,6,0.789,1
95,90,1,23,6,11,23,90,23,1,7,7,6,7,7,1,1,6,0.789,1
96,91,1,23,6,11,23,91,23,1,8,8,6,8,8,1,1,6,0.811,1
97,92,1,23,6,11,23,92,23,1,8,8,6,8,8,1,1,6,0.811,1
98,93,1,23,4,11,23,93,23,1,5,5,4,5,8,1,0,4,0.375,1
99,94,1,23,4,11,23,94,23,1,5,5,4,5,8,1,0,4,0.375,1
100,95,1,23,4,9,23,95,23,1,5,5,4,5,5,1,1,4,0.375,1
101,96,1,23,5,9,23,96,23,1,4,4,5,4,4,1,1,5,0.733,1
102,97,1,23,5,10,23,97,23,1,6,6,5,6,6,1,1,5,0.281,1
103,98,1,23,5,9,23,98,23,1,6,6,5,6,6,1,1,5,0.281,1
104,99,1,23,5,9,23,99,23,1,6,6,5,6,5,1,0,5,0.281,1
105,100,1,23,4,9,23,100,23,1,5,5,4,5,5,1,1,4,0.375,1
106,101,1,23,4,9,23,101,23,1,5,5,4,5,5,1,1,4,0.375,1
107,102,1,23,4,9,23,102,23,1,5,5,4,5,5,1,1,4,0.375,1
108,103,1,23,4,9,23,103,23,1,5,5,4,5,5,1,1,4,0.375,1
109,104,1,23,4,9,23,104,23,1,5,5,4,5,5,1,1,4,0.375,1
110,105,1,23,4,9,23,105,23,1,5,5,4,5,5,1,1,4,0.375,1
111,106,1,23,4,11,23,106,23,1,5,5,4,5,5,1,1,4,0.375,1
112,107,1,23,4,11,23,107,23,1,5,5,4,5,8,1,0,4,0.375,1
113,108,1,23,4,11,23,108,23,1,5,5,4,5,8,1,0,4,0.375,1
114,109,1,23,6,11,23,109,23,1,7,7,6,5,8,0,0,6,0.789,1
115,110,1,23,6,11,23,110,23,1,7,7,6,5,8,0,0,6,0.789,1
116,111,1,23,6,11,23,111,23,1,7,7,6,5,8,0,0,6,0.789,1
117,112,1,23,6,8,23,112,23,1,7,7,6,5,7,0,1,6,0.789,1
118,113,1,23,4,11,23,113,23,1,5,5,4,5,8,1,0,4,0.375,1
119,114,1,23,6,8,23,114,23,1,7,7,6,5,5,0,0,6,0.789,1
120,115,1,23,4,8,23,115,23,1,5,5,4,5,5,1,1,4,0.375,1
121,116,1,23,4,8,23,116,23,1,5,5,4,5,5,1,1,4,0.375,1
122,117,1,23,4,9,23,117,23,1,5,5,4,5,5,1,1,4,0.375,1
123,118,1,23,4,9,23,118,23,1,5,5,4,5,5,1,1,4,0.375,1
124,119,1,23,4,9,23,119,23,1,5,5,4,5,5,1,1,4,0.375,1
125,120,1,23,4,9,23,120,23,1,5,5,4,5,5,1,1,4,0.375,1
126,121,1,23,4,9,23,121,23,1,5,5,4,5,5,1,1,4,0.375,1
127,122,1,23,5,10,23,122,23,1,6,6,5,6,6,1,1,5,0.281,1
128,123,1,23,4,9,23,123,23,1,5,5,4,5,5,1,1,4,0.375,1
129,124,1,23,4,9,23,124,23,1,5,5,4,5,5,1,1,4,0.375,1
130,125,1,23,4,9,23,125,23,1,5,5,4,5,5,1,1,4,0.375,1
131,126,1,23,4,9,23,126,23,1,5,5,4,5,5,1,1,4,0.375,1
132,127,1,23,4,9,23,127,23,1,5,5,4,5,5,1,1,4,0.375,1
133,128,1,23,4,9,23,128,23,1,5,5,4,5,5,1,1,4,0.375,1
134,129,1,23,4,9,23,129,23,1,5,5,4,5,5,1,1,4,0.375,1
135,130,1,23,4,9,23,130,23,1,5,5,4,5,5,1,1,4,0.375,1
136,131,1,23,6,8,23,131,23,1,5,5,6,5,5,1,1,6,0.375,1
137,132,1,23,6,8,23,132,23,1,5,5,6,5,5,1,1,6,0.375,1
138,133,1,23,4,9,23,133,23,1,5,5,4,5,5,1,1,4,0.375,1
139,134,1,23,4,9,23,134,23,1,5,5,4,5,5,1,1,4,0.375,1
140,135,1,23,4,9,23,135,23,1,5,5,4,5,5,1,1,4,0.375,1
