"seccion","munn","edo","edon","disloc2018","disloc2012","pobtot","esc1","esc3","SQ","dsi_pob"
107,2,"df",9,5,3,1406,16,16,3,0.677524860648151
108,2,"df",9,5,3,1030,15,15,5,0.38667654803957
109,2,"df",9,5,5,1830,15,15,5,0.38667654803957
110,2,"df",9,5,5,903,15,15,5,0.38667654803957
111,2,"df",9,5,5,1516,15,15,5,0.38667654803957
112,2,"df",9,5,5,763,15,15,5,0.38667654803957
113,2,"df",9,5,5,751,15,15,5,0.38667654803957
114,2,"df",9,5,5,669,15,15,5,0.38667654803957
115,2,"df",9,5,5,711,15,15,5,0.38667654803957
116,2,"df",9,5,5,729,15,15,5,0.38667654803957
117,2,"df",9,5,5,753,15,15,5,0.38667654803957
118,2,"df",9,5,5,793,15,15,5,0.38667654803957
119,2,"df",9,5,5,1514,15,15,5,0.38667654803957
120,2,"df",9,5,5,903,15,15,5,0.38667654803957
121,2,"df",9,5,5,997,15,15,5,0.38667654803957
122,2,"df",9,5,5,960,15,15,5,0.38667654803957
123,2,"df",9,5,5,977,15,15,5,0.38667654803957
124,2,"df",9,5,3,997,15,15,5,0.38667654803957
125,2,"df",9,5,3,2631,15,15,5,0.38667654803957
126,2,"df",9,5,3,1297,15,15,5,0.38667654803957
127,2,"df",9,5,3,1135,15,15,5,0.38667654803957
128,2,"df",9,5,3,1612,16,16,3,0.677524860648151
129,2,"df",9,5,3,1703,16,16,3,0.677524860648151
130,2,"df",9,5,3,383,15,15,5,0.38667654803957
131,2,"df",9,5,3,1052,15,15,5,0.38667654803957
132,2,"df",9,5,3,988,15,15,5,0.38667654803957
133,2,"df",9,5,3,1228,15,15,5,0.38667654803957
134,2,"df",9,5,3,830,15,15,5,0.38667654803957
135,2,"df",9,5,3,698,15,15,5,0.38667654803957
136,2,"df",9,5,3,884,15,15,5,0.38667654803957
137,2,"df",9,5,3,768,15,15,5,0.38667654803957
138,2,"df",9,5,3,845,15,15,5,0.38667654803957
139,2,"df",9,5,3,808,15,15,5,0.38667654803957
140,2,"df",9,5,3,746,15,15,5,0.38667654803957
141,2,"df",9,5,3,705,15,15,5,0.38667654803957
142,2,"df",9,5,3,1032,15,15,5,0.38667654803957
143,2,"df",9,5,3,840,15,15,5,0.38667654803957
144,2,"df",9,5,3,910,15,15,5,0.38667654803957
145,2,"df",9,5,3,999,15,15,5,0.38667654803957
146,2,"df",9,5,3,869,15,15,5,0.38667654803957
147,2,"df",9,5,3,898,15,15,5,0.38667654803957
148,2,"df",9,5,3,973,15,15,5,0.38667654803957
149,2,"df",9,5,3,536,15,15,5,0.38667654803957
150,2,"df",9,3,3,597,16,16,3,0.677524860648151
151,2,"df",9,5,3,551,15,15,5,0.38667654803957
152,2,"df",9,3,3,516,16,16,3,0.677524860648151
153,2,"df",9,3,3,484,16,16,3,0.677524860648151
154,2,"df",9,3,3,1139,16,16,3,0.677524860648151
155,2,"df",9,3,3,1184,16,16,3,0.677524860648151
156,2,"df",9,3,3,1230,16,16,3,0.677524860648151
157,2,"df",9,3,3,733,16,16,3,0.677524860648151
158,2,"df",9,3,3,637,16,16,3,0.677524860648151
159,2,"df",9,3,3,1029,16,16,3,0.677524860648151
160,2,"df",9,3,3,1115,16,16,3,0.677524860648151
161,2,"df",9,3,3,1096,16,16,3,0.677524860648151
162,2,"df",9,3,3,1278,16,16,3,0.677524860648151
163,2,"df",9,3,3,962,16,16,3,0.677524860648151
164,2,"df",9,3,3,1316,16,16,3,0.677524860648151
165,2,"df",9,3,3,1434,16,16,3,0.677524860648151
166,2,"df",9,3,3,1300,16,16,3,0.677524860648151
167,2,"df",9,3,3,1113,16,16,3,0.677524860648151
168,2,"df",9,3,3,1223,16,16,3,0.677524860648151
169,2,"df",9,3,3,1476,16,16,3,0.677524860648151
170,2,"df",9,3,3,1422,16,16,3,0.677524860648151
171,2,"df",9,3,5,2054,16,16,3,0.677524860648151
172,2,"df",9,3,5,1124,16,16,3,0.677524860648151
173,2,"df",9,3,5,1101,16,16,3,0.677524860648151
174,2,"df",9,3,5,1194,16,16,3,0.677524860648151
175,2,"df",9,3,3,1468,16,16,3,0.677524860648151
176,2,"df",9,3,3,1230,16,16,3,0.677524860648151
177,2,"df",9,3,3,1302,16,16,3,0.677524860648151
178,2,"df",9,3,3,564,16,16,3,0.677524860648151
179,2,"df",9,3,3,1119,16,16,3,0.677524860648151
180,2,"df",9,3,3,1057,16,16,3,0.677524860648151
181,2,"df",9,3,3,711,16,16,3,0.677524860648151
182,2,"df",9,3,3,638,16,16,3,0.677524860648151
183,2,"df",9,3,3,1134,16,16,3,0.677524860648151
184,2,"df",9,3,3,890,16,16,3,0.677524860648151
185,2,"df",9,3,3,894,16,16,3,0.677524860648151
186,2,"df",9,3,3,1414,16,16,3,0.677524860648151
187,2,"df",9,3,5,4374,16,16,3,0.677524860648151
188,2,"df",9,3,5,1310,16,16,3,0.677524860648151
189,2,"df",9,3,3,1550,16,16,3,0.677524860648151
190,2,"df",9,3,3,1241,16,16,3,0.677524860648151
191,2,"df",9,3,3,1277,16,16,3,0.677524860648151
192,2,"df",9,3,3,569,16,16,3,0.677524860648151
193,2,"df",9,3,3,1957,16,16,3,0.677524860648151
194,2,"df",9,3,3,2032,16,16,3,0.677524860648151
195,2,"df",9,3,3,1043,16,16,3,0.677524860648151
196,2,"df",9,3,3,985,16,16,3,0.677524860648151
197,2,"df",9,3,3,1000,16,16,3,0.677524860648151
198,2,"df",9,3,3,2210,16,16,3,0.677524860648151
199,2,"df",9,3,3,1376,16,16,3,0.677524860648151
200,2,"df",9,3,3,1946,16,16,3,0.677524860648151
201,2,"df",9,3,3,986,16,16,3,0.677524860648151
202,2,"df",9,3,3,1379,16,16,3,0.677524860648151
203,2,"df",9,3,3,1646,16,16,3,0.677524860648151
204,2,"df",9,3,3,1315,16,16,3,0.677524860648151
