"seccion","munn.x","edon.x","edo","disfed1979","disfed1997","disfed2006","disfed2018","disloc2016","disloc2013","cab","X","edon.y","munn.y","escenario1","escenario2","escenario3","pan_clv1","pan_clv2","esc1_panCLV1","esc2_panCLV2","E1","dsiE1_E3"
19,2,32,"zac",3,5,2,2,13,14,"jalpa",19,32,2,4,4,2,1,2,0,0,4,1
20,2,32,"zac",3,5,2,2,13,14,"jalpa",20,32,2,4,4,2,1,2,0,0,4,1
21,2,32,"zac",3,5,2,2,13,14,"jalpa",21,32,2,4,4,2,1,2,0,0,4,1
22,3,32,"zac",3,5,2,2,14,15,"tlaltenango",22,32,3,1,1,7,18,7,0,0,1,1
23,3,32,"zac",3,5,2,2,14,15,"tlaltenango",23,32,3,1,1,7,18,7,0,0,1,1
24,3,32,"zac",3,5,2,2,14,15,"tlaltenango",24,32,3,1,1,7,18,7,0,0,1,1
25,3,32,"zac",3,5,2,2,14,15,"tlaltenango",25,32,3,1,1,7,18,7,0,0,1,1
26,3,32,"zac",3,5,2,2,14,15,"tlaltenango",26,32,3,1,1,7,18,7,0,0,1,1
27,3,32,"zac",3,5,2,2,14,15,"tlaltenango",27,32,3,1,1,7,18,7,0,0,1,1
28,3,32,"zac",3,5,2,2,14,15,"tlaltenango",28,32,3,1,1,7,18,7,0,0,1,1
29,3,32,"zac",3,5,2,2,14,15,"tlaltenango",29,32,3,1,1,7,18,7,0,0,1,1
30,3,32,"zac",3,5,2,2,14,15,"tlaltenango",30,32,3,1,1,7,18,7,0,0,1,1
31,4,32,"zac",3,5,2,2,14,15,"tlaltenango",31,32,4,1,1,7,18,7,0,0,1,1
32,4,32,"zac",3,5,2,2,14,15,"tlaltenango",32,32,4,1,1,7,18,7,0,0,1,1
33,4,32,"zac",3,5,2,2,14,15,"tlaltenango",33,32,4,1,1,7,18,7,0,0,1,1
34,4,32,"zac",3,5,2,2,14,15,"tlaltenango",34,32,4,1,1,7,18,7,0,0,1,1
35,4,32,"zac",3,5,2,2,14,15,"tlaltenango",35,32,4,1,1,7,18,7,0,0,1,1
36,4,32,"zac",3,5,2,2,14,15,"tlaltenango",36,32,4,1,1,7,18,7,0,0,1,1
37,4,32,"zac",3,5,2,2,14,15,"tlaltenango",37,32,4,1,1,7,18,7,0,0,1,1
38,4,32,"zac",3,5,2,2,14,15,"tlaltenango",38,32,4,1,1,7,18,7,0,0,1,1
39,4,32,"zac",3,5,2,2,14,15,"tlaltenango",39,32,4,1,1,7,18,7,0,0,1,1
40,5,32,"zac",2,3,1,1,2,3,"zacatecas",40,32,5,15,15,14,10,14,0,0,10,0.611
41,5,32,"zac",2,3,1,1,2,3,"zacatecas",41,32,5,15,15,14,10,14,0,0,10,0.611
42,5,32,"zac",2,3,1,1,2,3,"zacatecas",42,32,5,15,15,14,10,14,0,0,10,0.611
43,5,32,"zac",2,3,1,1,2,3,"zacatecas",43,32,5,15,15,14,10,14,0,0,10,0.611
