"seccion","munn","edo","edon","disloc2018","disloc2011","pobtot","esc1","esc3","SQ","dsi_pob"
104,2,"bcs",3,3,14,8958,1,3,14,0.793301512822587
105,2,"bcs",3,3,15,302,3,3,15,0.271406105959547
107,2,"bcs",3,3,15,498,3,3,15,0.271406105959547
108,2,"bcs",3,3,15,1379,3,3,15,0.271406105959547
109,2,"bcs",3,3,15,831,3,3,15,0.271406105959547
110,2,"bcs",3,3,15,309,1,3,14,0.793301512822587
111,2,"bcs",3,1,15,466,1,1,14,0.793301512822587
112,2,"bcs",3,3,15,667,3,3,15,0.271406105959547
113,2,"bcs",3,3,15,1114,3,3,15,0.271406105959547
114,2,"bcs",3,3,15,967,3,3,15,0.271406105959547
115,2,"bcs",3,3,15,256,3,3,15,0.271406105959547
116,2,"bcs",3,3,15,1487,3,3,15,0.271406105959547
117,2,"bcs",3,1,15,750,3,1,15,0.271406105959547
118,2,"bcs",3,1,15,551,3,1,15,0.271406105959547
119,2,"bcs",3,1,15,408,3,1,15,0.271406105959547
120,2,"bcs",3,3,15,800,3,3,15,0.271406105959547
121,3,"bcs",3,12,1,1400,12,12,6,0.511591926116348
122,3,"bcs",3,11,1,949,11,11,1,0.428935756111475
123,3,"bcs",3,11,1,902,11,11,1,0.428935756111475
124,3,"bcs",3,11,1,1265,11,11,1,0.428935756111475
125,3,"bcs",3,11,1,606,11,11,1,0.428935756111475
126,3,"bcs",3,11,1,861,11,11,1,0.428935756111475
127,3,"bcs",3,11,1,870,11,11,1,0.428935756111475
128,3,"bcs",3,11,1,825,11,11,1,0.428935756111475
129,3,"bcs",3,11,1,1251,11,11,1,0.428935756111475
130,3,"bcs",3,12,1,557,12,12,6,0.511591926116348
131,3,"bcs",3,12,1,764,12,12,6,0.511591926116348
132,3,"bcs",3,12,1,557,12,12,6,0.511591926116348
133,3,"bcs",3,12,1,550,12,12,6,0.511591926116348
134,3,"bcs",3,12,1,553,12,12,6,0.511591926116348
135,3,"bcs",3,11,1,1211,11,11,1,0.428935756111475
136,3,"bcs",3,11,1,998,11,11,1,0.428935756111475
137,3,"bcs",3,11,1,950,11,11,1,0.428935756111475
138,3,"bcs",3,11,1,745,11,11,1,0.428935756111475
139,3,"bcs",3,11,1,743,11,11,1,0.428935756111475
140,3,"bcs",3,11,1,632,11,11,1,0.428935756111475
141,3,"bcs",3,11,1,1028,11,11,1,0.428935756111475
142,3,"bcs",3,11,1,1481,11,11,1,0.428935756111475
143,3,"bcs",3,11,1,2516,11,11,1,0.428935756111475
144,3,"bcs",3,11,1,2037,11,11,1,0.428935756111475
145,3,"bcs",3,11,1,978,11,11,1,0.428935756111475
146,3,"bcs",3,11,1,772,11,11,1,0.428935756111475
147,3,"bcs",3,11,1,965,11,11,1,0.428935756111475
148,3,"bcs",3,11,1,659,11,11,1,0.428935756111475
149,3,"bcs",3,11,1,741,11,11,1,0.428935756111475
150,3,"bcs",3,11,1,697,11,11,1,0.428935756111475
151,3,"bcs",3,11,1,883,11,11,1,0.428935756111475
152,3,"bcs",3,12,1,1193,12,12,6,0.511591926116348
153,3,"bcs",3,12,1,2131,12,12,6,0.511591926116348
154,3,"bcs",3,12,1,1479,12,12,6,0.511591926116348
155,3,"bcs",3,12,1,1272,12,12,6,0.511591926116348
156,3,"bcs",3,12,1,4863,12,12,6,0.511591926116348
157,3,"bcs",3,12,1,1403,12,12,6,0.511591926116348
158,3,"bcs",3,12,1,891,12,12,6,0.511591926116348
159,3,"bcs",3,11,2,505,11,11,1,0.428935756111475
160,3,"bcs",3,11,2,472,11,11,1,0.428935756111475
161,3,"bcs",3,11,2,683,11,11,1,0.428935756111475
162,3,"bcs",3,11,2,915,11,11,1,0.428935756111475
163,3,"bcs",3,11,2,793,11,11,1,0.428935756111475
164,3,"bcs",3,11,2,1049,11,11,1,0.428935756111475
165,3,"bcs",3,11,2,1017,11,11,1,0.428935756111475
166,3,"bcs",3,11,2,725,11,11,1,0.428935756111475
167,3,"bcs",3,11,2,1222,11,11,1,0.428935756111475
168,3,"bcs",3,11,2,1161,11,11,1,0.428935756111475
169,3,"bcs",3,11,2,785,11,11,1,0.428935756111475
170,3,"bcs",3,11,2,639,11,11,1,0.428935756111475
171,3,"bcs",3,11,2,674,11,11,1,0.428935756111475
172,3,"bcs",3,11,2,759,11,11,1,0.428935756111475
173,3,"bcs",3,11,2,1179,11,11,1,0.428935756111475
174,3,"bcs",3,11,2,1127,11,11,1,0.428935756111475
175,3,"bcs",3,16,2,1638,16,16,4,0.414056498167212
176,3,"bcs",3,11,2,694,11,11,1,0.428935756111475
177,3,"bcs",3,11,2,666,11,11,1,0.428935756111475
178,3,"bcs",3,11,2,584,11,11,1,0.428935756111475
179,3,"bcs",3,16,2,1191,16,16,4,0.414056498167212
180,3,"bcs",3,16,2,1120,16,16,4,0.414056498167212
181,3,"bcs",3,16,2,1482,16,16,4,0.414056498167212
182,3,"bcs",3,16,2,1154,16,16,4,0.414056498167212
183,3,"bcs",3,16,2,890,16,16,4,0.414056498167212
184,3,"bcs",3,15,3,295,15,15,5,0.549163710086163
185,3,"bcs",3,15,3,821,15,15,5,0.549163710086163
186,3,"bcs",3,13,3,1024,13,13,3,0.266992142802655
187,3,"bcs",3,15,3,944,15,15,5,0.549163710086163
188,3,"bcs",3,11,3,774,11,11,1,0.428935756111475
189,3,"bcs",3,13,3,1092,13,13,3,0.266992142802655
190,3,"bcs",3,13,3,1363,13,13,3,0.266992142802655
191,3,"bcs",3,13,3,1121,13,13,3,0.266992142802655
192,3,"bcs",3,13,3,920,13,13,3,0.266992142802655
193,3,"bcs",3,13,3,1066,13,13,3,0.266992142802655
194,3,"bcs",3,13,3,730,13,13,3,0.266992142802655
195,3,"bcs",3,13,3,676,13,13,3,0.266992142802655
196,3,"bcs",3,13,3,1031,13,13,3,0.266992142802655
197,3,"bcs",3,13,3,2043,13,13,3,0.266992142802655
198,3,"bcs",3,13,3,781,13,13,3,0.266992142802655
199,3,"bcs",3,13,3,698,13,13,3,0.266992142802655
200,3,"bcs",3,13,3,760,13,13,3,0.266992142802655
201,3,"bcs",3,13,3,695,13,13,3,0.266992142802655
202,3,"bcs",3,16,3,1781,16,16,4,0.414056498167212
203,3,"bcs",3,16,3,1030,16,16,4,0.414056498167212
204,3,"bcs",3,16,3,1075,16,16,4,0.414056498167212
205,3,"bcs",3,16,3,876,16,16,4,0.414056498167212
206,3,"bcs",3,16,3,3790,16,16,4,0.414056498167212
207,3,"bcs",3,15,5,704,15,15,5,0.549163710086163
208,3,"bcs",3,15,5,848,15,15,5,0.549163710086163
209,3,"bcs",3,15,5,2143,15,15,5,0.549163710086163
210,3,"bcs",3,15,5,5261,15,15,5,0.549163710086163
211,3,"bcs",3,13,5,1538,13,13,3,0.266992142802655
212,3,"bcs",3,13,5,1152,13,13,3,0.266992142802655
213,3,"bcs",3,13,5,1492,13,13,3,0.266992142802655
214,3,"bcs",3,13,5,1073,13,13,3,0.266992142802655
215,3,"bcs",3,13,5,969,13,13,3,0.266992142802655
216,3,"bcs",3,13,5,605,13,13,3,0.266992142802655
217,3,"bcs",3,13,5,5115,13,13,3,0.266992142802655
218,3,"bcs",3,15,5,3567,15,15,5,0.549163710086163
219,3,"bcs",3,13,5,1424,13,13,3,0.266992142802655
220,3,"bcs",3,13,5,1260,13,13,3,0.266992142802655
221,3,"bcs",3,13,5,1037,13,13,3,0.266992142802655
222,3,"bcs",3,13,5,1097,13,13,3,0.266992142802655
223,3,"bcs",3,13,5,1295,13,13,3,0.266992142802655
224,3,"bcs",3,13,5,572,13,13,3,0.266992142802655
225,3,"bcs",3,13,5,659,13,13,3,0.266992142802655
226,3,"bcs",3,13,4,1407,13,13,3,0.266992142802655
227,3,"bcs",3,13,4,1814,13,13,3,0.266992142802655
228,3,"bcs",3,13,4,2230,13,13,3,0.266992142802655
229,3,"bcs",3,13,4,855,13,13,3,0.266992142802655
230,3,"bcs",3,13,4,853,13,13,3,0.266992142802655
231,3,"bcs",3,13,4,603,13,13,3,0.266992142802655
232,3,"bcs",3,16,4,1367,16,16,4,0.414056498167212
233,3,"bcs",3,16,4,470,16,16,4,0.414056498167212
234,3,"bcs",3,16,4,940,16,16,4,0.414056498167212
235,3,"bcs",3,16,4,1231,16,16,4,0.414056498167212
236,3,"bcs",3,16,4,525,16,16,4,0.414056498167212
237,3,"bcs",3,16,4,1252,16,16,4,0.414056498167212
238,3,"bcs",3,16,4,964,16,16,4,0.414056498167212
239,3,"bcs",3,16,4,1378,16,16,4,0.414056498167212
240,3,"bcs",3,16,4,644,16,16,4,0.414056498167212
241,3,"bcs",3,16,4,734,16,16,4,0.414056498167212
242,3,"bcs",3,16,4,978,16,16,4,0.414056498167212
243,3,"bcs",3,16,4,789,16,16,4,0.414056498167212
244,3,"bcs",3,16,4,835,16,16,4,0.414056498167212
245,3,"bcs",3,16,4,710,16,16,4,0.414056498167212
246,3,"bcs",3,16,4,1119,16,16,4,0.414056498167212
247,3,"bcs",3,16,4,1101,16,16,4,0.414056498167212
248,3,"bcs",3,16,4,912,16,16,4,0.414056498167212
249,3,"bcs",3,16,4,1013,16,16,4,0.414056498167212
250,3,"bcs",3,16,4,1272,16,16,4,0.414056498167212
251,3,"bcs",3,16,4,630,16,16,4,0.414056498167212
254,3,"bcs",3,12,4,430,12,12,6,0.511591926116348
255,3,"bcs",3,12,4,2476,12,12,6,0.511591926116348
256,3,"bcs",3,15,5,2679,15,15,5,0.549163710086163
257,3,"bcs",3,15,5,1351,15,15,5,0.549163710086163
258,3,"bcs",3,15,5,410,15,15,5,0.549163710086163
259,3,"bcs",3,15,5,207,15,15,5,0.549163710086163
260,3,"bcs",3,15,5,417,15,15,5,0.549163710086163
261,3,"bcs",3,15,5,804,15,15,5,0.549163710086163
262,3,"bcs",3,15,5,241,15,15,5,0.549163710086163
263,3,"bcs",3,15,5,249,15,15,5,0.549163710086163
264,3,"bcs",3,15,5,197,15,15,5,0.549163710086163
265,3,"bcs",3,15,5,568,15,15,5,0.549163710086163
266,3,"bcs",3,15,5,703,15,15,5,0.549163710086163
267,3,"bcs",3,12,6,2090,12,12,6,0.511591926116348
268,3,"bcs",3,12,6,392,12,12,6,0.511591926116348
269,3,"bcs",3,12,6,1213,12,12,6,0.511591926116348
270,3,"bcs",3,12,6,2798,12,12,6,0.511591926116348
271,3,"bcs",3,12,6,615,12,12,6,0.511591926116348
272,3,"bcs",3,12,6,380,12,12,6,0.511591926116348
273,3,"bcs",3,12,6,201,12,12,6,0.511591926116348
274,3,"bcs",3,12,6,2168,12,12,6,0.511591926116348
276,3,"bcs",3,12,6,531,12,12,6,0.511591926116348
277,3,"bcs",3,12,6,649,12,12,6,0.511591926116348
278,3,"bcs",3,12,6,1369,12,12,6,0.511591926116348
279,3,"bcs",3,12,6,131,12,12,6,0.511591926116348
