"seccion","munn.x","edon.x","edo","disfed1979","disfed1997","disfed2006","disfed2018","mun","disloc2005","disloc2011","disloc2017","lisnom08","X","edon.y","munn.y","escenario1","escenario2","escenario3","criterio8","cab","morena_clv1","panal_clv1","pan_clv1","prd_clv1","pri_iee1","pvem_clv1","iee2","mc_clv2","morena_clv2","morena_iee2","panal_clv2","panal_iee2","pan_clv2","pan_iee2","pes_clv2","pes_iee2","ph_clv2","ph_iee2","prd_clv2","pri_clv2","pri_iee2","pt_clv2","pt_iee2","pvem_clv2","pvem_iee2","prd_iee2","esc1_morCLV1","esc1_panalCLV1","esc1_panCLV1","esc1_prdCLV1","esc1_priIEE1","esc1_pvemCLV1","esc2_IEE2","esc2_mcCLV2","esc2_morCLV2","esc2_morIEE2","esc2_panalCLV2","esc2_panalIEE2","esc2_panCLV2","esc2_panIEE2","esc2_pesCLV2","esc2_pesIEE2","esc2_phCLV2","esc2_phIEE2","esc2_prdCLV2","esc2_priIEE2","esc2_ptCLV2","esc2_ptIEE2","esc2_pvemCLV2","esc2_pvemIEE2","esc2_prdIEE2","SQ","dsiSQ_E1"
55,3,5,"coa",3,1,1,3,"Allende",17,14,5,662,478,5,3,6,6,5,5,"monclova",4,4,10,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0.556
56,3,5,"coa",3,1,1,3,"Allende",17,14,5,135,479,5,3,6,6,5,5,"monclova",4,4,10,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0.556
57,4,5,"coa",5,4,3,4,"Arteaga",6,5,12,703,1084,5,4,7,7,11,12,"ramos arizpe",12,12,9,12,12,12,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.81
58,4,5,"coa",5,4,3,4,"Arteaga",6,5,12,538,1085,5,4,7,7,11,12,"ramos arizpe",12,12,9,12,12,12,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.81
59,4,5,"coa",5,4,3,4,"Arteaga",6,5,12,516,1086,5,4,7,7,11,12,"ramos arizpe",12,12,9,12,12,12,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.81
60,4,5,"coa",5,4,3,4,"Arteaga",6,5,12,53,1087,5,4,7,7,11,12,"ramos arizpe",12,12,9,12,12,12,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.81
61,4,5,"coa",5,4,3,4,"Arteaga",6,5,12,160,1088,5,4,7,7,11,12,"ramos arizpe",12,12,9,12,12,12,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.81
62,4,5,"coa",5,4,3,4,"Arteaga",6,5,12,107,1089,5,4,7,7,11,12,"ramos arizpe",12,12,9,12,12,12,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.81
63,4,5,"coa",5,4,3,4,"Arteaga",6,5,12,431,1090,5,4,7,7,11,12,"ramos arizpe",12,12,9,12,12,12,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.81
64,4,5,"coa",5,4,3,4,"Arteaga",6,5,12,636,1091,5,4,7,7,11,12,"ramos arizpe",12,12,9,12,12,12,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.81
65,4,5,"coa",5,4,3,4,"Arteaga",6,5,12,70,1092,5,4,7,7,11,12,"ramos arizpe",12,12,9,12,12,12,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.81
66,4,5,"coa",5,4,3,4,"Arteaga",6,5,12,567,1093,5,4,7,7,11,12,"ramos arizpe",12,12,9,12,12,12,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.81
67,4,5,"coa",5,4,3,4,"Arteaga",6,5,12,127,1094,5,4,7,7,11,12,"ramos arizpe",12,12,9,12,12,12,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.81
68,4,5,"coa",5,4,3,4,"Arteaga",6,5,12,273,1095,5,4,7,7,11,12,"ramos arizpe",12,12,9,12,12,12,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.81
69,4,5,"coa",5,4,3,4,"Arteaga",6,5,12,565,1096,5,4,7,7,11,12,"ramos arizpe",12,12,9,12,12,12,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.81
