"seccion","munn.x","edon.x","edo","disfed1979","disfed1997","disfed2006","disfed2018","disloc2016","cab.x","disloc2013","X","edon.y","munn.y","escenario1","escenario2","escenario3","criterio8","mc_clv1","panal_cnv1","panal_cnv2","pan_clv2","cab.y","esc1_mcCLV1","esc1_panalCNV1","esc2_panalCNV2","SQ","dsiSQ_E1","dsiSQ_E3"
41,3,29,"tla",2,1,1,1,4,"apizaco",16,41,29,3,8,8,11,4,11,8,3,11,"apizaco",0,1,0,15,0.396,0.396
42,3,29,"tla",2,1,1,1,4,"apizaco",15,42,29,3,8,8,11,4,11,8,3,11,"apizaco",0,1,0,15,0.396,0.396
43,3,29,"tla",2,1,1,1,4,"apizaco",15,43,29,3,8,8,11,4,11,8,3,11,"apizaco",0,1,0,15,0.396,0.396
44,3,29,"tla",2,1,1,1,4,"apizaco",15,44,29,3,8,8,11,4,11,8,3,11,"apizaco",0,1,0,15,0.396,0.396
45,3,29,"tla",2,1,1,1,4,"apizaco",15,45,29,3,8,8,11,4,11,8,3,11,"apizaco",0,1,0,15,0.396,0.396
46,3,29,"tla",2,1,1,1,4,"apizaco",16,46,29,3,8,8,11,4,11,8,3,11,"apizaco",0,1,0,15,0.396,0.396
47,3,29,"tla",2,1,1,1,4,"apizaco",16,47,29,3,8,8,11,4,11,8,3,11,"apizaco",0,1,0,15,0.396,0.396
48,3,29,"tla",2,1,1,1,4,"apizaco",15,48,29,3,8,8,11,4,11,8,3,11,"apizaco",0,1,0,15,0.396,0.396
49,4,29,"tla",2,1,1,1,2,"tlaxco",12,49,29,4,4,4,13,2,13,4,2,13,"tlaxco",0,1,0,14,0.413,0.767
50,4,29,"tla",2,1,1,1,2,"tlaxco",12,50,29,4,4,4,13,2,13,4,2,13,"tlaxco",0,1,0,14,0.413,0.767
51,4,29,"tla",2,1,1,1,2,"tlaxco",12,51,29,4,4,4,13,2,13,4,2,13,"tlaxco",0,1,0,14,0.413,0.767
52,4,29,"tla",2,1,1,1,2,"tlaxco",12,52,29,4,4,4,13,2,13,4,2,13,"tlaxco",0,1,0,14,0.413,0.767
53,4,29,"tla",2,1,1,1,2,"tlaxco",12,53,29,4,4,4,13,2,13,4,2,13,"tlaxco",0,1,0,14,0.413,0.767
54,4,29,"tla",2,1,1,1,2,"tlaxco",12,54,29,4,4,4,13,2,13,4,2,13,"tlaxco",0,1,0,14,0.413,0.767
55,4,29,"tla",2,1,1,1,2,"tlaxco",12,55,29,4,4,4,13,2,13,4,2,13,"tlaxco",0,1,0,14,0.413,0.767
56,4,29,"tla",2,1,1,1,2,"tlaxco",12,56,29,4,4,4,13,2,13,4,2,13,"tlaxco",0,1,0,14,0.413,0.767
57,4,29,"tla",2,1,1,1,2,"tlaxco",12,57,29,4,4,4,13,2,13,4,2,13,"tlaxco",0,1,0,14,0.413,0.767
58,34,29,"tla",2,1,1,1,2,"tlaxco",14,58,29,34,4,4,13,2,13,4,2,13,"tlaxco",0,1,0,14,0.413,0.767
59,5,29,"tla",2,1,1,1,11,"huamantla",17,59,29,5,14,14,3,11,3,14,14,3,"huamantla",0,1,1,19,0.41,0.41
60,5,29,"tla",2,1,1,1,11,"huamantla",17,60,29,5,14,14,3,11,3,14,14,3,"huamantla",0,1,1,19,0.41,0.41
61,5,29,"tla",2,1,1,1,11,"huamantla",17,61,29,5,14,14,3,11,3,14,14,3,"huamantla",0,1,1,19,0.41,0.41
62,5,29,"tla",2,1,1,1,11,"huamantla",17,62,29,5,14,14,3,11,3,14,14,3,"huamantla",0,1,1,19,0.41,0.41
63,5,29,"tla",2,1,1,1,11,"huamantla",17,63,29,5,14,14,3,11,3,14,14,3,"huamantla",0,1,1,19,0.41,0.41
64,5,29,"tla",2,1,1,1,11,"huamantla",17,64,29,5,14,14,3,11,3,14,14,3,"huamantla",0,1,1,19,0.41,0.41
65,5,29,"tla",2,1,1,1,11,"huamantla",17,65,29,5,14,14,3,11,3,14,14,3,"huamantla",0,1,1,19,0.41,0.41
66,5,29,"tla",2,1,1,1,11,"huamantla",17,66,29,5,14,14,3,11,3,14,14,3,"huamantla",0,1,1,19,0.41,0.41
67,5,29,"tla",2,1,1,1,11,"huamantla",17,67,29,5,14,14,3,11,3,14,14,3,"huamantla",0,1,1,19,0.41,0.41
68,5,29,"tla",2,1,1,1,11,"huamantla",17,68,29,5,14,14,3,11,3,14,14,3,"huamantla",0,1,1,19,0.41,0.41
69,5,29,"tla",2,1,1,1,11,"huamantla",17,69,29,5,14,14,3,11,3,14,14,3,"huamantla",0,1,1,19,0.41,0.41
70,5,29,"tla",2,1,1,1,11,"huamantla",17,70,29,5,14,14,3,11,3,14,14,3,"huamantla",0,1,1,19,0.41,0.41
71,5,29,"tla",2,1,1,1,11,"huamantla",17,71,29,5,14,14,3,11,3,14,14,3,"huamantla",0,1,1,19,0.41,0.41
72,5,29,"tla",2,1,1,1,11,"huamantla",17,72,29,5,14,14,3,11,3,14,14,3,"huamantla",0,1,1,19,0.41,0.41
73,5,29,"tla",2,1,1,1,11,"huamantla",17,73,29,5,14,14,3,11,3,14,14,3,"huamantla",0,1,1,19,0.41,0.41
74,5,29,"tla",2,1,1,1,11,"huamantla",17,74,29,5,14,14,3,11,3,14,14,3,"huamantla",0,1,1,19,0.41,0.41
75,5,29,"tla",2,1,1,1,11,"huamantla",17,75,29,5,14,14,3,11,3,14,14,3,"huamantla",0,1,1,19,0.41,0.41
76,5,29,"tla",2,1,1,1,11,"huamantla",17,76,29,5,14,14,3,11,3,14,14,3,"huamantla",0,1,1,19,0.41,0.41
77,5,29,"tla",2,1,1,1,11,"huamantla",17,77,29,5,14,14,3,11,3,14,14,3,"huamantla",0,1,1,19,0.41,0.41
78,6,29,"tla",2,2,3,3,1,"san antonio calpulalpan",13,78,29,6,9,9,6,1,6,9,4,6,"san antonio calpulalpan",0,1,0,13,0.821,0.821
79,6,29,"tla",2,2,3,3,1,"san antonio calpulalpan",13,79,29,6,9,9,6,1,6,9,4,6,"san antonio calpulalpan",0,1,0,13,0.821,0.821
80,6,29,"tla",2,2,3,3,1,"san antonio calpulalpan",13,80,29,6,9,9,6,1,6,9,4,6,"san antonio calpulalpan",0,1,0,13,0.821,0.821
81,6,29,"tla",2,2,3,3,1,"san antonio calpulalpan",13,81,29,6,9,9,6,1,6,9,4,6,"san antonio calpulalpan",0,1,0,13,0.821,0.821
82,6,29,"tla",2,2,3,3,1,"san antonio calpulalpan",13,82,29,6,9,9,6,1,6,9,4,6,"san antonio calpulalpan",0,1,0,13,0.821,0.821
83,6,29,"tla",2,2,3,3,1,"san antonio calpulalpan",13,83,29,6,9,9,6,1,6,9,4,6,"san antonio calpulalpan",0,1,0,13,0.821,0.821
84,6,29,"tla",2,2,3,3,1,"san antonio calpulalpan",13,84,29,6,9,9,6,1,6,9,4,6,"san antonio calpulalpan",0,1,0,13,0.821,0.821
85,6,29,"tla",2,2,3,3,1,"san antonio calpulalpan",13,85,29,6,9,9,6,1,6,9,4,6,"san antonio calpulalpan",0,1,0,13,0.821,0.821
86,6,29,"tla",2,2,3,3,1,"san antonio calpulalpan",13,86,29,6,9,9,6,1,6,9,4,6,"san antonio calpulalpan",0,1,0,13,0.821,0.821
87,6,29,"tla",2,2,3,3,1,"san antonio calpulalpan",13,87,29,6,9,9,6,1,6,9,4,6,"san antonio calpulalpan",0,1,0,13,0.821,0.821
88,6,29,"tla",2,2,3,3,1,"san antonio calpulalpan",13,88,29,6,9,9,6,1,6,9,4,6,"san antonio calpulalpan",0,1,0,13,0.821,0.821
89,6,29,"tla",2,2,3,3,1,"san antonio calpulalpan",13,89,29,6,9,9,6,1,6,9,4,6,"san antonio calpulalpan",0,1,0,13,0.821,0.821
90,6,29,"tla",2,2,3,3,1,"san antonio calpulalpan",13,90,29,6,9,9,6,1,6,9,4,6,"san antonio calpulalpan",0,1,0,13,0.821,0.821
91,6,29,"tla",2,2,3,3,1,"san antonio calpulalpan",13,91,29,6,9,9,6,1,6,9,4,6,"san antonio calpulalpan",0,1,0,13,0.821,0.821
92,6,29,"tla",2,2,3,3,1,"san antonio calpulalpan",13,92,29,6,9,9,6,1,6,9,4,6,"san antonio calpulalpan",0,1,0,13,0.821,0.821
93,6,29,"tla",2,2,3,3,1,"san antonio calpulalpan",13,93,29,6,9,9,6,1,6,9,4,6,"san antonio calpulalpan",0,1,0,13,0.821,0.821
94,6,29,"tla",2,2,3,3,1,"san antonio calpulalpan",13,94,29,6,9,9,6,1,6,9,4,6,"san antonio calpulalpan",0,1,0,13,0.821,0.821
95,6,29,"tla",2,2,3,3,1,"san antonio calpulalpan",13,95,29,6,9,9,6,1,6,9,4,6,"san antonio calpulalpan",0,1,0,13,0.821,0.821
96,6,29,"tla",2,2,3,3,1,"san antonio calpulalpan",13,96,29,6,9,9,6,1,6,9,4,6,"san antonio calpulalpan",0,1,0,13,0.821,0.821
97,6,29,"tla",2,2,3,3,1,"san antonio calpulalpan",13,97,29,6,9,9,6,1,6,9,4,6,"san antonio calpulalpan",0,1,0,13,0.821,0.821
98,6,29,"tla",2,2,3,3,1,"san antonio calpulalpan",13,98,29,6,9,9,6,1,6,9,4,6,"san antonio calpulalpan",0,1,0,13,0.821,0.821
99,6,29,"tla",2,2,3,3,1,"san antonio calpulalpan",13,99,29,6,9,9,6,1,6,9,4,6,"san antonio calpulalpan",0,1,0,13,0.821,0.821
100,7,29,"tla",2,1,1,1,11,"huamantla",19,100,29,7,14,14,3,11,3,14,14,3,"huamantla",0,1,1,19,0.41,0.41
101,7,29,"tla",2,1,1,1,11,"huamantla",19,101,29,7,14,14,3,11,3,14,14,3,"huamantla",0,1,1,19,0.41,0.41
102,7,29,"tla",2,1,1,1,11,"huamantla",19,102,29,7,14,14,3,11,3,14,14,3,"huamantla",0,1,1,19,0.41,0.41
103,7,29,"tla",2,1,1,1,11,"huamantla",19,103,29,7,14,14,3,11,3,14,14,3,"huamantla",0,1,1,19,0.41,0.41
104,7,29,"tla",2,1,1,1,11,"huamantla",19,104,29,7,14,14,3,11,3,14,14,3,"huamantla",0,1,1,19,0.41,0.41
105,7,29,"tla",2,1,1,1,11,"huamantla",19,105,29,7,14,14,3,11,3,14,14,3,"huamantla",0,1,1,19,0.41,0.41
106,7,29,"tla",2,1,1,1,11,"huamantla",19,106,29,7,14,14,3,11,3,14,14,3,"huamantla",0,1,1,19,0.41,0.41
107,8,29,"tla",2,1,1,1,11,"huamantla",19,107,29,8,14,14,3,11,3,14,14,3,"huamantla",0,1,1,19,0.41,0.41
108,8,29,"tla",2,1,1,1,11,"huamantla",19,108,29,8,14,14,3,11,3,14,14,3,"huamantla",0,1,1,19,0.41,0.41
109,8,29,"tla",2,1,1,1,11,"huamantla",19,109,29,8,14,14,3,11,3,14,14,3,"huamantla",0,1,1,19,0.41,0.41
110,8,29,"tla",2,1,1,1,11,"huamantla",19,110,29,8,14,14,3,11,3,14,14,3,"huamantla",0,1,1,19,0.41,0.41
111,8,29,"tla",2,1,1,1,11,"huamantla",19,111,29,8,14,14,3,11,3,14,14,3,"huamantla",0,1,1,19,0.41,0.41
