"seccion","munn","edon","disloc2015","disloc2013","pobtot","esc1","esc3","SQ","dsi_pob"
687,8,23,7,10,1365,11,10,10,0.966596478849949
688,8,23,7,10,1167,11,10,10,0.966596478849949
689,8,23,7,10,1209,11,10,10,0.966596478849949
690,8,23,7,10,493,11,10,10,0.966596478849949
691,8,23,7,10,1225,11,10,10,0.966596478849949
692,8,23,7,10,1364,11,10,10,0.966596478849949
693,8,23,7,10,1367,11,10,10,0.966596478849949
694,8,23,7,10,3726,11,10,10,0.966596478849949
695,8,23,7,10,1644,11,10,10,0.966596478849949
696,8,23,7,10,1260,11,10,10,0.966596478849949
697,8,23,7,10,1245,11,10,10,0.966596478849949
698,8,23,7,10,1612,11,10,10,0.966596478849949
699,8,23,7,10,711,11,10,10,0.966596478849949
700,8,23,7,10,1185,11,10,10,0.966596478849949
701,8,23,7,10,1329,11,10,10,0.966596478849949
702,8,23,7,10,1050,11,10,10,0.966596478849949
703,8,23,7,10,1253,11,10,10,0.966596478849949
704,8,23,7,10,1286,11,10,10,0.966596478849949
705,8,23,7,10,1084,11,10,10,0.966596478849949
706,8,23,7,10,809,11,10,10,0.966596478849949
707,8,23,7,10,976,11,10,10,0.966596478849949
708,8,23,7,10,1163,11,10,10,0.966596478849949
709,8,23,7,10,2491,11,10,10,0.966596478849949
710,8,23,7,10,1355,11,10,10,0.966596478849949
711,8,23,7,10,1319,11,10,10,0.966596478849949
712,8,23,7,10,2202,11,10,10,0.966596478849949
713,8,23,7,10,1327,11,10,10,0.966596478849949
714,8,23,7,10,1628,11,10,10,0.966596478849949
715,8,23,7,10,1777,11,10,10,0.966596478849949
716,8,23,7,10,726,11,10,10,0.966596478849949
717,8,23,7,10,1309,11,10,10,0.966596478849949
718,8,23,7,10,1826,11,10,10,0.966596478849949
719,8,23,7,10,1032,11,10,10,0.966596478849949
720,8,23,7,10,1887,11,10,10,0.966596478849949
721,8,23,7,10,1190,11,10,10,0.966596478849949
722,8,23,7,10,1439,11,10,10,0.966596478849949
723,8,23,7,10,339,11,10,10,0.966596478849949
724,8,23,7,10,784,11,10,10,0.966596478849949
725,8,23,7,10,1826,11,10,10,0.966596478849949
726,8,23,5,10,533,11,10,10,0.966596478849949
727,8,23,5,10,1374,11,10,10,0.966596478849949
728,8,23,5,10,927,11,10,10,0.966596478849949
729,8,23,7,10,1837,11,10,10,0.966596478849949
730,8,23,7,10,758,9,10,9,0.940637105078208
731,8,23,7,10,789,9,10,9,0.940637105078208
732,8,23,7,10,474,9,10,9,0.940637105078208
733,8,23,7,9,1126,9,9,9,0.940637105078208
734,8,23,7,9,1243,9,9,9,0.940637105078208
735,8,23,7,9,119,9,9,9,0.940637105078208
736,8,23,7,9,984,9,9,9,0.940637105078208
737,8,23,7,10,1009,9,10,9,0.940637105078208
738,8,23,7,9,382,9,9,9,0.940637105078208
739,8,23,7,9,498,9,9,9,0.940637105078208
740,8,23,7,9,417,9,9,9,0.940637105078208
741,8,23,7,9,526,9,9,9,0.940637105078208
742,8,23,5,9,1837,9,9,9,0.940637105078208
743,8,23,5,9,635,9,9,9,0.940637105078208
744,8,23,5,9,432,9,9,9,0.940637105078208
745,8,23,5,9,136,9,9,9,0.940637105078208
746,8,23,5,9,758,9,9,9,0.940637105078208
747,8,23,5,9,306,9,9,9,0.940637105078208
748,8,23,5,9,1452,9,9,9,0.940637105078208
749,8,23,5,9,780,9,9,9,0.940637105078208
750,8,23,5,9,1201,9,9,9,0.940637105078208
751,8,23,5,9,451,9,9,9,0.940637105078208
752,8,23,5,9,1239,9,9,9,0.940637105078208
753,8,23,5,9,1049,9,9,9,0.940637105078208
754,8,23,5,9,612,9,9,9,0.940637105078208
755,8,23,5,9,984,9,9,9,0.940637105078208
756,8,23,5,9,249,9,9,9,0.940637105078208
757,8,23,5,9,505,9,9,9,0.940637105078208
758,8,23,5,9,1160,9,9,9,0.940637105078208
759,8,23,5,9,2147,9,9,9,0.940637105078208
760,8,23,5,9,447,9,9,9,0.940637105078208
761,8,23,5,9,415,9,9,9,0.940637105078208
762,8,23,5,9,556,9,9,9,0.940637105078208
763,8,23,5,9,2355,9,9,9,0.940637105078208
764,8,23,5,9,1057,9,9,9,0.940637105078208
765,8,23,5,9,1079,9,9,9,0.940637105078208
766,8,23,5,9,3421,9,9,9,0.940637105078208
767,8,23,5,9,1393,9,9,9,0.940637105078208
768,8,23,5,9,997,9,9,9,0.940637105078208
769,8,23,5,9,1106,9,9,9,0.940637105078208
770,8,23,5,9,848,9,9,9,0.940637105078208
771,8,23,5,9,918,9,9,9,0.940637105078208
772,8,23,5,9,619,9,9,9,0.940637105078208
773,8,23,5,9,181,9,9,9,0.940637105078208
774,8,23,5,9,1467,9,9,9,0.940637105078208
775,7,23,1,14,1798,13,14,14,0.511917925524397
776,7,23,1,14,798,13,14,14,0.511917925524397
777,7,23,1,14,1247,13,14,14,0.511917925524397
778,7,23,1,14,912,13,14,14,0.511917925524397
779,7,23,1,14,845,13,14,14,0.511917925524397
780,7,23,1,14,1004,13,14,14,0.511917925524397
781,7,23,1,14,1199,13,14,14,0.511917925524397
782,7,23,1,14,1097,13,14,14,0.511917925524397
783,7,23,1,14,652,13,14,14,0.511917925524397
784,7,23,1,14,1041,13,14,14,0.511917925524397
785,7,23,2,13,925,13,13,14,0.511917925524397
786,7,23,2,13,1097,13,13,14,0.511917925524397
787,7,23,1,14,1187,13,14,14,0.511917925524397
788,7,23,1,14,888,13,14,14,0.511917925524397
789,7,23,1,14,836,13,14,14,0.511917925524397
790,7,23,1,14,1391,13,14,14,0.511917925524397
791,7,23,1,14,978,13,14,14,0.511917925524397
792,7,23,1,14,1144,13,14,14,0.511917925524397
793,7,23,1,14,1926,13,14,14,0.511917925524397
794,7,23,1,14,2750,13,14,14,0.511917925524397
795,7,23,1,14,1162,13,14,14,0.511917925524397
796,7,23,1,14,919,13,14,14,0.511917925524397
797,7,23,1,14,1329,13,14,14,0.511917925524397
798,7,23,1,14,1095,13,14,14,0.511917925524397
799,7,23,1,14,1042,13,14,14,0.511917925524397
800,7,23,1,14,1150,13,14,14,0.511917925524397
801,7,23,1,14,1013,13,14,14,0.511917925524397
802,7,23,1,14,1452,13,14,14,0.511917925524397
803,7,23,1,14,525,13,14,14,0.511917925524397
804,7,23,2,14,1452,13,14,14,0.511917925524397
805,7,23,2,14,1412,13,14,14,0.511917925524397
806,7,23,2,14,959,13,14,14,0.511917925524397
807,7,23,2,13,1232,13,13,14,0.511917925524397
808,7,23,2,13,809,13,13,14,0.511917925524397
809,7,23,2,13,912,13,13,14,0.511917925524397
810,7,23,2,13,557,13,13,14,0.511917925524397
811,1,23,13,3,1597,2,3,2,0.347703035274815
812,1,23,13,3,1406,2,3,2,0.347703035274815
813,1,23,13,3,1055,2,3,2,0.347703035274815
814,1,23,13,3,1070,2,3,2,0.347703035274815
815,1,23,13,3,1093,2,3,2,0.347703035274815
816,1,23,13,3,1246,2,3,2,0.347703035274815
817,1,23,13,3,1352,2,3,2,0.347703035274815
818,1,23,13,3,1278,2,3,2,0.347703035274815
819,1,23,13,3,970,2,3,2,0.347703035274815
820,1,23,13,3,1000,2,3,2,0.347703035274815
821,1,23,13,3,722,2,3,2,0.347703035274815
822,1,23,13,3,1533,2,3,2,0.347703035274815
823,1,23,13,3,884,2,3,2,0.347703035274815
824,1,23,13,3,905,2,3,2,0.347703035274815
825,1,23,13,3,1157,2,3,2,0.347703035274815
826,1,23,13,3,754,2,3,2,0.347703035274815
827,1,23,13,3,757,2,3,2,0.347703035274815
828,1,23,13,3,1298,1,3,1,0.432302288692499
829,1,23,13,3,867,2,3,2,0.347703035274815
830,1,23,13,3,1220,1,3,1,0.432302288692499
831,1,23,13,3,690,2,3,2,0.347703035274815
832,1,23,13,3,937,1,3,1,0.432302288692499
833,1,23,13,3,904,2,3,2,0.347703035274815
834,1,23,13,3,714,1,3,1,0.432302288692499
835,1,23,13,3,728,1,3,1,0.432302288692499
836,1,23,13,3,480,1,3,1,0.432302288692499
837,1,23,13,3,1019,1,3,1,0.432302288692499
838,1,23,13,3,455,1,3,1,0.432302288692499
839,1,23,13,3,1024,1,3,1,0.432302288692499
840,1,23,13,3,688,1,3,1,0.432302288692499
841,1,23,13,3,1047,1,3,1,0.432302288692499
842,1,23,13,3,1170,1,3,1,0.432302288692499
843,1,23,13,3,684,1,3,1,0.432302288692499
844,1,23,13,3,787,1,3,1,0.432302288692499
845,1,23,13,3,999,1,3,1,0.432302288692499
846,1,23,13,3,1268,1,3,1,0.432302288692499
847,1,23,13,3,1467,1,3,1,0.432302288692499
848,1,23,13,3,1527,1,3,1,0.432302288692499
