"seccion","munn.x","edon.x","edo","disfed1979","disfed1997","disfed2006","disfed2018","disloc2018","disloc2012","cab","X","edon.y","munn.y","escenario1","escenario2","escenario3_jge","escenario3","mc_clv1","pan_iee1","pri_clv1","pan_clv2","prd_clv2","prd_cnv2","esc1_priCLV1","esc1_panIEE1","esc1_mcCLV1","esc2_panCLV2","esc2_prdCLV2","esc2_prdCNV2","SQ","dsiSQ_E1","dsiSQ_E3"
46,4,17,"mor",2,3,5,3,10,16,"ayala",46,17,4,3,3,3,3,1,7,3,3,3,3,1,0,0,1,1,1,16,0.568,0.477
47,4,17,"mor",2,3,5,3,10,16,"ayala",47,17,4,3,3,3,3,1,7,3,3,3,3,1,0,0,1,1,1,16,0.568,0.477
48,4,17,"mor",2,3,5,3,10,16,"ayala",48,17,4,3,3,3,3,1,7,3,3,3,3,1,0,0,1,1,1,16,0.568,0.477
49,4,17,"mor",2,3,5,3,10,16,"ayala",49,17,4,3,3,3,3,1,7,3,3,3,3,1,0,0,1,1,1,16,0.568,0.477
50,4,17,"mor",2,3,5,3,10,16,"ayala",50,17,4,3,3,3,3,1,7,3,3,3,3,1,0,0,1,1,1,16,0.568,0.477
51,4,17,"mor",2,3,5,3,10,16,"ayala",51,17,4,3,3,3,3,1,7,3,3,3,3,1,0,0,1,1,1,16,0.568,0.477
52,4,17,"mor",2,3,5,3,10,16,"ayala",52,17,4,3,3,3,3,1,7,3,3,3,3,1,0,0,1,1,1,16,0.568,0.477
53,4,17,"mor",2,3,5,3,10,16,"ayala",53,17,4,3,3,3,3,1,7,3,3,3,3,1,0,0,1,1,1,16,0.568,0.477
54,4,17,"mor",2,3,5,3,10,16,"ayala",54,17,4,3,3,3,3,1,7,3,3,3,3,1,0,0,1,1,1,16,0.568,0.477
55,4,17,"mor",2,3,5,3,10,16,"ayala",55,17,4,3,3,3,3,1,7,3,3,3,3,1,0,0,1,1,1,16,0.568,0.477
56,4,17,"mor",2,3,5,3,10,16,"ayala",56,17,4,3,3,3,3,1,7,3,3,3,3,1,0,0,1,1,1,16,0.568,0.477
57,4,17,"mor",2,3,5,3,10,16,"ayala",57,17,4,3,3,3,3,1,7,3,3,3,3,1,0,0,1,1,1,16,0.568,0.477
58,4,17,"mor",2,3,5,3,10,16,"ayala",58,17,4,3,3,3,3,1,7,3,3,3,3,1,0,0,1,1,1,16,0.568,0.477
59,4,17,"mor",2,3,5,3,10,16,"ayala",59,17,4,3,3,3,3,1,7,3,3,3,3,1,0,0,1,1,1,16,0.568,0.477
60,4,17,"mor",2,3,5,3,10,16,"ayala",60,17,4,3,3,3,3,1,7,3,3,3,3,1,0,0,1,1,1,16,0.568,0.477
61,4,17,"mor",2,3,5,3,10,16,"ayala",61,17,4,3,3,3,3,1,7,3,3,3,3,1,0,0,1,1,1,16,0.568,0.477
62,4,17,"mor",2,3,5,3,10,16,"ayala",62,17,4,3,3,3,3,1,7,3,3,3,3,1,0,0,1,1,1,16,0.568,0.477
63,4,17,"mor",2,3,5,3,10,16,"ayala",63,17,4,3,3,3,3,1,7,3,3,3,3,1,0,0,1,1,1,16,0.568,0.477
64,4,17,"mor",2,3,5,3,10,16,"ayala",64,17,4,3,3,3,3,1,7,3,3,3,3,1,0,0,1,1,1,16,0.568,0.477
65,4,17,"mor",2,3,5,3,10,16,"ayala",65,17,4,3,3,3,3,1,7,3,3,3,3,1,0,0,1,1,1,16,0.568,0.477
66,4,17,"mor",2,3,5,3,10,16,"ayala",66,17,4,3,3,3,3,1,7,3,3,3,3,1,0,0,1,1,1,16,0.568,0.477
67,4,17,"mor",2,3,5,3,10,16,"ayala",67,17,4,3,3,3,3,1,7,3,3,3,3,1,0,0,1,1,1,16,0.568,0.477
68,4,17,"mor",2,3,5,3,10,16,"ayala",68,17,4,3,3,3,3,1,7,3,3,3,3,1,0,0,1,1,1,16,0.568,0.477
69,4,17,"mor",2,3,5,3,10,16,"ayala",69,17,4,3,3,3,3,1,7,3,3,3,3,1,0,0,1,1,1,16,0.568,0.477
70,4,17,"mor",2,3,5,3,10,16,"ayala",70,17,4,3,3,3,3,1,7,3,3,3,3,1,0,0,1,1,1,16,0.568,0.477
71,4,17,"mor",2,3,5,3,10,16,"ayala",71,17,4,3,3,3,3,1,7,3,3,3,3,1,0,0,1,1,1,16,0.568,0.477
72,4,17,"mor",2,3,5,3,10,16,"ayala",72,17,4,3,3,3,3,1,7,3,3,3,3,1,0,0,1,1,1,16,0.568,0.477
73,4,17,"mor",2,3,5,3,10,16,"ayala",73,17,4,3,3,3,3,1,7,3,3,3,3,1,0,0,1,1,1,16,0.568,0.477
74,4,17,"mor",2,3,5,3,10,16,"ayala",74,17,4,3,3,3,3,1,7,3,3,3,3,1,0,0,1,1,1,16,0.568,0.477
75,4,17,"mor",2,3,5,3,10,16,"ayala",75,17,4,3,3,3,3,1,7,3,3,3,3,1,0,0,1,1,1,16,0.568,0.477
76,4,17,"mor",2,3,5,3,10,16,"ayala",76,17,4,3,3,3,3,1,7,3,3,3,3,1,0,0,1,1,1,16,0.568,0.477
77,4,17,"mor",2,3,5,3,10,16,"ayala",77,17,4,3,3,3,3,1,7,3,3,3,3,1,0,0,1,1,1,16,0.568,0.477
78,4,17,"mor",2,3,5,3,10,16,"ayala",78,17,4,3,3,3,3,1,7,3,3,3,3,1,0,0,1,1,1,16,0.568,0.477
79,4,17,"mor",2,3,5,3,10,16,"ayala",79,17,4,3,3,3,3,1,7,3,3,3,3,1,0,0,1,1,1,16,0.568,0.477
80,4,17,"mor",2,3,5,3,10,16,"ayala",80,17,4,3,3,3,3,1,7,3,3,3,3,1,0,0,1,1,1,16,0.568,0.477
81,4,17,"mor",2,3,5,3,10,16,"ayala",81,17,4,3,3,3,3,1,7,3,3,3,3,1,0,0,1,1,1,16,0.568,0.477
82,4,17,"mor",2,3,5,3,10,16,"ayala",82,17,4,3,3,3,3,1,7,3,3,3,3,1,0,0,1,1,1,16,0.568,0.477
83,4,17,"mor",2,3,5,3,10,16,"ayala",83,17,4,3,3,3,3,1,7,3,3,3,3,1,0,0,1,1,1,16,0.568,0.477
84,4,17,"mor",2,3,5,3,10,16,"ayala",84,17,4,3,3,3,3,1,7,3,3,3,3,1,0,0,1,1,1,16,0.568,0.477
85,4,17,"mor",2,3,5,3,10,16,"ayala",85,17,4,3,3,3,3,1,7,3,3,3,3,1,0,0,1,1,1,16,0.568,0.477
86,5,17,"mor",4,4,4,4,9,8,"puente de ixtla",86,17,5,4,4,1,1,10,6,1,4,1,1,0,0,0,1,0,0,9,0.472,0.462
87,5,17,"mor",4,4,4,4,9,8,"puente de ixtla",87,17,5,4,4,1,1,10,6,1,4,1,1,0,0,0,1,0,0,9,0.472,0.462
88,5,17,"mor",4,4,4,4,9,8,"puente de ixtla",88,17,5,4,4,1,1,10,6,1,4,1,1,0,0,0,1,0,0,9,0.472,0.462
89,5,17,"mor",4,4,4,4,9,8,"puente de ixtla",89,17,5,4,4,1,1,10,6,1,4,1,1,0,0,0,1,0,0,9,0.472,0.462
90,5,17,"mor",4,4,4,4,9,8,"puente de ixtla",90,17,5,4,4,1,1,10,6,1,4,1,1,0,0,0,1,0,0,9,0.472,0.462
91,5,17,"mor",4,4,4,4,9,8,"puente de ixtla",91,17,5,4,4,1,1,10,6,1,4,1,1,0,0,0,1,0,0,9,0.472,0.462
92,5,17,"mor",4,4,4,4,9,8,"puente de ixtla",92,17,5,4,4,1,1,10,6,1,4,1,1,0,0,0,1,0,0,9,0.472,0.462
93,5,17,"mor",4,4,4,4,9,8,"puente de ixtla",93,17,5,4,4,1,1,10,6,1,4,1,1,0,0,0,1,0,0,9,0.472,0.462
94,5,17,"mor",4,4,4,4,9,8,"puente de ixtla",94,17,5,4,4,1,1,10,6,1,4,1,1,0,0,0,1,0,0,9,0.472,0.462
95,5,17,"mor",4,4,4,4,9,8,"puente de ixtla",95,17,5,4,4,1,1,10,6,1,4,1,1,0,0,0,1,0,0,9,0.472,0.462
96,5,17,"mor",4,4,4,4,9,8,"puente de ixtla",96,17,5,4,4,1,1,10,6,1,4,1,1,0,0,0,1,0,0,9,0.472,0.462
97,6,17,"mor",2,3,3,3,4,14,"yecapixtla",97,17,6,12,12,11,12,2,8,4,5,11,12,0,0,0,0,0,1,17,0.482,0.642
98,6,17,"mor",2,3,3,3,4,14,"yecapixtla",98,17,6,12,12,11,12,2,8,4,5,11,12,0,0,0,0,0,1,17,0.482,0.642
99,6,17,"mor",2,3,3,3,4,14,"yecapixtla",99,17,6,12,12,11,12,2,8,4,5,11,12,0,0,0,0,0,1,17,0.482,0.642
100,6,17,"mor",2,3,3,3,4,14,"yecapixtla",100,17,6,12,12,11,12,2,8,4,5,11,12,0,0,0,0,0,1,17,0.482,0.642
101,6,17,"mor",2,3,3,3,4,14,"yecapixtla",101,17,6,12,12,11,12,2,8,4,5,11,12,0,0,0,0,0,1,17,0.482,0.642
102,6,17,"mor",2,3,3,3,4,14,"yecapixtla",102,17,6,12,12,11,12,2,8,4,5,11,12,0,0,0,0,0,1,17,0.482,0.642
103,6,17,"mor",2,3,3,3,7,14,"cuautla",103,17,6,12,12,12,12,2,8,4,5,11,12,0,0,0,0,0,1,15,0.482,0.536
104,6,17,"mor",2,3,3,3,7,14,"cuautla",104,17,6,11,11,12,12,2,8,4,5,11,12,0,0,0,0,1,0,15,0.589,0.536
105,6,17,"mor",2,3,3,3,7,14,"cuautla",105,17,6,11,11,12,12,2,8,4,5,11,12,0,0,0,0,1,0,15,0.589,0.536
106,6,17,"mor",2,3,3,3,7,14,"cuautla",106,17,6,11,11,12,12,2,8,4,5,12,12,0,0,0,0,0,0,15,0.589,0.536
107,6,17,"mor",2,3,3,3,7,14,"cuautla",107,17,6,12,12,12,12,2,8,4,5,12,12,0,0,0,0,1,1,15,0.482,0.536
108,6,17,"mor",2,3,3,3,7,14,"cuautla",108,17,6,12,12,12,12,2,8,4,6,12,12,0,0,0,0,1,1,15,0.482,0.536
109,6,17,"mor",2,3,3,3,7,14,"cuautla",109,17,6,12,12,12,12,2,8,4,6,12,12,0,0,0,0,1,1,15,0.482,0.536
110,6,17,"mor",2,3,3,3,7,14,"cuautla",110,17,6,12,12,12,12,2,8,4,6,12,12,0,0,0,0,1,1,15,0.482,0.536
111,6,17,"mor",2,3,3,3,7,14,"cuautla",111,17,6,12,12,12,12,2,8,4,6,12,12,0,0,0,0,1,1,15,0.482,0.536
112,6,17,"mor",2,3,3,3,7,14,"cuautla",112,17,6,12,12,12,12,2,8,4,6,12,12,0,0,0,0,1,1,15,0.482,0.536
113,6,17,"mor",2,3,3,3,7,14,"cuautla",113,17,6,12,12,12,12,2,8,4,6,12,12,0,0,0,0,1,1,15,0.482,0.536
114,6,17,"mor",2,3,3,3,7,14,"cuautla",114,17,6,12,12,12,12,2,8,4,6,12,12,0,0,0,0,1,1,15,0.482,0.536
115,6,17,"mor",2,3,3,3,7,14,"cuautla",115,17,6,12,12,12,12,2,8,4,6,12,12,0,0,0,0,1,1,15,0.482,0.536
116,6,17,"mor",2,3,3,3,7,14,"cuautla",116,17,6,12,12,12,12,2,8,4,6,12,12,0,0,0,0,1,1,15,0.482,0.536
117,6,17,"mor",2,3,3,3,7,14,"cuautla",117,17,6,12,12,12,12,2,8,4,6,12,12,0,0,0,0,1,1,15,0.482,0.536
118,6,17,"mor",2,3,3,3,7,14,"cuautla",118,17,6,11,11,12,11,2,8,4,5,12,11,0,0,0,0,0,1,15,0.589,0.536
119,6,17,"mor",2,3,3,3,7,14,"cuautla",119,17,6,12,12,12,12,2,8,4,6,12,12,0,0,0,0,1,1,15,0.482,0.536
120,6,17,"mor",2,3,3,3,7,14,"cuautla",120,17,6,12,12,12,12,2,8,4,6,12,12,0,0,0,0,1,1,15,0.482,0.536
121,6,17,"mor",2,3,3,3,7,14,"cuautla",121,17,6,12,12,12,12,2,8,4,6,12,12,0,0,0,0,1,1,15,0.482,0.536
122,6,17,"mor",2,3,3,3,7,14,"cuautla",122,17,6,12,12,12,12,2,8,4,6,12,12,0,0,0,0,1,1,15,0.482,0.536
123,6,17,"mor",2,3,3,3,7,14,"cuautla",123,17,6,12,12,12,12,2,8,4,6,12,12,0,0,0,0,1,1,15,0.482,0.536
124,6,17,"mor",2,3,3,3,7,14,"cuautla",124,17,6,12,12,12,12,2,8,4,6,12,12,0,0,0,0,1,1,15,0.482,0.536
125,6,17,"mor",2,3,3,3,7,14,"cuautla",125,17,6,11,11,12,11,2,8,5,5,12,11,0,0,0,0,0,1,15,0.589,0.536
126,6,17,"mor",2,3,3,3,7,14,"cuautla",126,17,6,12,12,12,12,2,8,4,6,12,12,0,0,0,0,1,1,15,0.482,0.536
127,6,17,"mor",2,3,3,3,7,14,"cuautla",127,17,6,12,12,12,12,2,8,4,6,12,12,0,0,0,0,1,1,15,0.482,0.536
128,6,17,"mor",2,3,3,3,7,14,"cuautla",128,17,6,12,12,12,12,2,8,4,6,12,12,0,0,0,0,1,1,15,0.482,0.536
129,6,17,"mor",2,3,3,3,7,14,"cuautla",129,17,6,12,12,12,12,2,8,4,6,12,12,0,0,0,0,1,1,15,0.482,0.536
130,6,17,"mor",2,3,3,3,7,14,"cuautla",130,17,6,12,12,12,12,2,8,4,6,12,12,0,0,0,0,1,1,15,0.482,0.536
131,6,17,"mor",2,3,3,3,7,14,"cuautla",131,17,6,12,12,12,12,2,8,4,6,12,12,0,0,0,0,1,1,15,0.482,0.536
132,6,17,"mor",2,3,3,3,7,14,"cuautla",132,17,6,12,12,12,12,2,8,4,6,12,12,0,0,0,0,1,1,15,0.482,0.536
133,6,17,"mor",2,3,3,3,7,14,"cuautla",133,17,6,12,12,12,12,2,8,4,6,12,12,0,0,0,0,1,1,15,0.482,0.536
134,6,17,"mor",2,3,3,3,7,14,"cuautla",134,17,6,12,12,12,12,2,8,4,6,12,12,0,0,0,0,1,1,15,0.482,0.536
135,6,17,"mor",2,3,3,3,7,14,"cuautla",135,17,6,12,12,12,12,2,8,4,6,12,12,0,0,0,0,1,1,15,0.482,0.536
136,6,17,"mor",2,3,3,3,7,15,"cuautla",136,17,6,12,12,12,12,1,7,4,6,12,12,0,0,0,0,1,1,15,0.482,0.536
137,6,17,"mor",2,3,3,3,7,15,"cuautla",137,17,6,12,12,12,12,1,7,4,6,12,12,0,0,0,0,1,1,15,0.482,0.536
138,6,17,"mor",2,3,3,3,7,15,"cuautla",138,17,6,12,12,12,12,1,7,4,6,12,12,0,0,0,0,1,1,15,0.482,0.536
139,6,17,"mor",2,3,3,3,7,15,"cuautla",139,17,6,12,12,12,12,2,8,4,6,12,12,0,0,0,0,1,1,15,0.482,0.536
140,6,17,"mor",2,3,3,3,7,14,"cuautla",140,17,6,12,12,12,12,2,8,4,6,12,12,0,0,0,0,1,1,15,0.482,0.536
141,6,17,"mor",2,3,3,3,7,14,"cuautla",141,17,6,12,12,12,12,2,8,4,6,12,12,0,0,0,0,1,1,15,0.482,0.536
142,6,17,"mor",2,3,3,3,7,14,"cuautla",142,17,6,12,12,12,12,2,8,4,6,12,12,0,0,0,0,1,1,15,0.482,0.536
143,6,17,"mor",2,3,3,3,7,15,"cuautla",143,17,6,12,12,12,12,2,8,4,6,12,12,0,0,0,0,1,1,15,0.482,0.536
144,6,17,"mor",2,3,3,3,7,15,"cuautla",144,17,6,12,12,12,12,2,8,4,6,12,12,0,0,0,0,1,1,15,0.482,0.536
145,6,17,"mor",2,3,3,3,7,15,"cuautla",145,17,6,12,12,12,12,2,8,4,6,12,12,0,0,0,0,1,1,15,0.482,0.536
146,6,17,"mor",2,3,3,3,7,15,"cuautla",146,17,6,12,12,12,12,2,8,4,6,12,12,0,0,0,0,1,1,15,0.482,0.536
147,6,17,"mor",2,3,3,3,7,15,"cuautla",147,17,6,12,12,12,12,2,8,4,6,12,12,0,0,0,0,1,1,15,0.482,0.536
148,6,17,"mor",2,3,3,3,7,15,"cuautla",148,17,6,12,12,12,12,1,7,4,6,12,12,0,0,0,0,1,1,15,0.482,0.536
149,6,17,"mor",2,3,3,3,7,15,"cuautla",149,17,6,12,12,12,12,1,7,4,6,12,12,0,0,0,0,1,1,15,0.482,0.536
150,6,17,"mor",2,3,3,3,7,15,"cuautla",150,17,6,11,11,12,11,1,7,5,6,12,11,0,0,0,0,0,1,15,0.589,0.536
151,6,17,"mor",2,3,3,3,7,15,"cuautla",151,17,6,11,11,12,11,1,7,5,6,12,11,0,0,0,0,0,1,15,0.589,0.536
152,6,17,"mor",2,3,3,3,7,15,"cuautla",152,17,6,11,11,12,11,1,7,5,6,12,11,0,0,0,0,0,1,15,0.589,0.536
153,6,17,"mor",2,3,3,3,7,15,"cuautla",153,17,6,11,11,12,11,1,7,3,6,12,11,0,0,0,0,0,1,15,0.589,0.536
154,6,17,"mor",2,3,3,3,7,15,"cuautla",154,17,6,12,12,12,11,1,7,4,6,12,11,0,0,0,0,1,0,15,0.482,0.536
155,6,17,"mor",2,3,3,3,7,15,"cuautla",155,17,6,12,12,12,12,1,7,4,6,12,12,0,0,0,0,1,1,15,0.482,0.536
156,6,17,"mor",2,3,3,3,7,15,"cuautla",156,17,6,12,12,12,12,2,7,4,6,12,12,0,0,0,0,1,1,15,0.482,0.536
157,6,17,"mor",2,3,3,3,7,15,"cuautla",157,17,6,12,12,12,12,2,8,4,6,12,12,0,0,0,0,1,1,15,0.482,0.536
158,6,17,"mor",2,3,3,3,7,15,"cuautla",158,17,6,12,12,12,12,2,8,4,6,12,12,0,0,0,0,1,1,15,0.482,0.536
159,6,17,"mor",2,3,3,3,7,15,"cuautla",159,17,6,12,12,12,12,2,8,4,6,12,12,0,0,0,0,1,1,15,0.482,0.536
160,6,17,"mor",2,3,3,3,7,15,"cuautla",160,17,6,12,12,12,12,2,8,4,6,12,12,0,0,0,0,1,1,15,0.482,0.536
161,6,17,"mor",2,3,3,3,7,15,"cuautla",161,17,6,12,12,12,12,2,8,4,6,12,12,0,0,0,0,1,1,15,0.482,0.536
162,6,17,"mor",2,3,3,3,7,15,"cuautla",162,17,6,12,12,12,12,1,8,4,6,12,12,0,0,0,0,1,1,15,0.482,0.536
163,6,17,"mor",2,3,3,3,7,15,"cuautla",163,17,6,12,12,12,12,2,8,4,6,12,12,0,0,0,0,1,1,15,0.482,0.536
164,6,17,"mor",2,3,3,3,7,15,"cuautla",164,17,6,12,12,12,12,2,8,4,6,12,12,0,0,0,0,1,1,15,0.482,0.536
165,6,17,"mor",2,3,3,3,7,15,"cuautla",165,17,6,12,12,12,12,2,8,4,6,12,12,0,0,0,0,1,1,15,0.482,0.536
166,6,17,"mor",2,3,3,3,7,15,"cuautla",166,17,6,12,12,12,12,2,8,4,6,12,12,0,0,0,0,1,1,15,0.482,0.536
167,6,17,"mor",2,3,3,3,7,15,"cuautla",167,17,6,12,12,12,12,2,8,4,6,12,12,0,0,0,0,1,1,15,0.482,0.536
168,6,17,"mor",2,3,3,3,7,15,"cuautla",168,17,6,12,12,12,12,2,8,4,6,12,12,0,0,0,0,1,1,15,0.482,0.536
169,6,17,"mor",2,3,3,3,7,15,"cuautla",169,17,6,12,12,12,12,1,7,4,6,12,12,0,0,0,0,1,1,15,0.482,0.536
170,6,17,"mor",2,3,3,3,7,15,"cuautla",170,17,6,12,12,12,12,1,7,4,6,12,12,0,0,0,0,1,1,15,0.482,0.536
171,6,17,"mor",2,3,3,3,7,15,"cuautla",171,17,6,12,12,12,12,1,7,4,6,12,12,0,0,0,0,1,1,15,0.482,0.536
172,6,17,"mor",2,3,3,3,7,15,"cuautla",172,17,6,12,12,12,12,1,7,3,6,12,12,0,0,0,0,1,1,15,0.482,0.536
173,6,17,"mor",2,3,3,3,7,15,"cuautla",173,17,6,12,12,12,12,1,7,4,6,12,12,0,0,0,0,1,1,15,0.482,0.536
174,6,17,"mor",2,3,3,3,7,15,"cuautla",174,17,6,12,12,12,12,1,7,4,6,12,12,0,0,0,0,1,1,15,0.482,0.536
175,6,17,"mor",2,3,3,3,7,15,"cuautla",175,17,6,12,12,12,12,1,7,4,6,12,12,0,0,0,0,1,1,15,0.482,0.536
176,6,17,"mor",2,3,3,3,7,15,"cuautla",176,17,6,12,12,12,11,1,7,4,6,12,11,0,0,0,0,1,0,15,0.482,0.536
177,6,17,"mor",2,3,3,3,7,15,"cuautla",177,17,6,11,11,12,11,1,7,3,6,12,11,0,0,0,0,0,1,15,0.589,0.536
