"seccion","munn.x","edon.x","edo","disfed1979","disfed1997","disfed2006","disfed2018","cab","mun","disloc2005","disloc2017","demarc2008","X","edon.y","munn.y","escenario1","escenario2","escenario3","pan_clv1","pri_clv1","esc1_panCLV1","esc1_priCLV1","E1","dsiE1_E3"
30,1,18,"nay",2,1,1,1,"acaponeta","acaponeta",18,1,1.07,30,18,1,1,1,1,1,1,1,1,1,0.644
31,1,18,"nay",2,1,1,1,"acaponeta","acaponeta",18,1,1.07,31,18,1,1,1,1,1,1,1,1,1,0.644
32,1,18,"nay",2,1,1,1,"acaponeta","acaponeta",18,1,1.07,32,18,1,1,1,1,1,1,1,1,1,0.644
33,1,18,"nay",2,1,1,1,"acaponeta","acaponeta",18,1,1.05,33,18,1,1,1,1,1,1,1,1,1,0.644
34,1,18,"nay",2,1,1,1,"acaponeta","acaponeta",18,1,1.05,34,18,1,1,1,1,1,1,1,1,1,0.644
35,1,18,"nay",2,1,1,1,"acaponeta","acaponeta",18,1,1.05,35,18,1,1,1,1,1,1,1,1,1,0.644
36,1,18,"nay",2,1,1,1,"acaponeta","acaponeta",18,1,1.05,36,18,1,1,1,1,1,1,1,1,1,0.644
37,1,18,"nay",2,1,1,1,"acaponeta","acaponeta",18,1,1.05,37,18,1,1,1,1,1,1,1,1,1,0.644
38,1,18,"nay",2,1,1,1,"acaponeta","acaponeta",18,1,1.06,38,18,1,1,1,1,1,1,1,1,1,0.644
39,1,18,"nay",2,1,1,1,"acaponeta","acaponeta",18,1,1.06,39,18,1,1,1,1,1,1,1,1,1,0.644
40,1,18,"nay",2,1,1,1,"acaponeta","acaponeta",18,1,1.06,40,18,1,1,1,1,1,1,1,1,1,0.644
41,1,18,"nay",2,1,1,1,"acaponeta","acaponeta",18,1,1.06,41,18,1,1,1,1,1,1,1,1,1,0.644
42,1,18,"nay",2,1,1,1,"acaponeta","acaponeta",18,1,1.06,42,18,1,1,1,1,1,1,1,1,1,0.644
43,1,18,"nay",2,1,1,1,"acaponeta","acaponeta",18,1,1.06,43,18,1,1,1,1,1,1,1,1,1,0.644
44,1,18,"nay",2,1,1,1,"acaponeta","acaponeta",18,1,1.07,44,18,1,1,1,1,1,1,1,1,1,0.644
45,1,18,"nay",2,1,1,1,"acaponeta","acaponeta",18,1,1.07,45,18,1,1,1,1,1,1,1,1,1,0.644
46,1,18,"nay",2,1,1,1,"acaponeta","acaponeta",18,1,1.06,46,18,1,1,1,1,1,1,1,1,1,0.644
47,1,18,"nay",2,1,1,1,"acaponeta","acaponeta",18,1,1.07,47,18,1,1,1,1,1,1,1,1,1,0.644
48,1,18,"nay",2,1,1,1,"acaponeta","acaponeta",18,1,1.07,48,18,1,1,1,1,1,1,1,1,1,0.644
49,2,18,"nay",3,3,3,3,"ixtlan del rio","ahuacatlan",7,16,2.01,49,18,2,17,18,18,18,18,0,0,17,0.831
50,2,18,"nay",3,3,3,3,"ixtlan del rio","ahuacatlan",7,16,2.01,50,18,2,17,18,18,18,18,0,0,17,0.831
51,2,18,"nay",3,3,3,3,"ixtlan del rio","ahuacatlan",7,16,2.02,51,18,2,17,18,18,18,18,0,0,17,0.831
52,2,18,"nay",3,3,3,3,"ixtlan del rio","ahuacatlan",7,16,2.02,52,18,2,17,18,18,18,18,0,0,17,0.831
53,2,18,"nay",3,3,3,3,"ixtlan del rio","ahuacatlan",7,16,2.02,53,18,2,17,18,18,18,18,0,0,17,0.831
54,2,18,"nay",3,3,3,3,"ixtlan del rio","ahuacatlan",7,16,2.02,54,18,2,17,18,18,18,18,0,0,17,0.831
55,2,18,"nay",3,3,3,3,"ixtlan del rio","ahuacatlan",7,16,2.03,55,18,2,17,18,18,18,18,0,0,17,0.831
56,2,18,"nay",3,3,3,3,"ixtlan del rio","ahuacatlan",7,16,2.03,56,18,2,17,18,18,18,18,0,0,17,0.831
57,2,18,"nay",3,3,3,3,"ixtlan del rio","ahuacatlan",7,16,2.03,57,18,2,17,18,18,18,18,0,0,17,0.831
58,2,18,"nay",3,3,3,3,"ixtlan del rio","ahuacatlan",7,16,2.03,58,18,2,17,18,18,18,18,0,0,17,0.831
59,2,18,"nay",3,3,3,3,"ixtlan del rio","ahuacatlan",7,16,2.04,59,18,2,17,18,18,18,18,0,0,17,0.831
60,2,18,"nay",3,3,3,3,"ixtlan del rio","ahuacatlan",7,16,2.05,60,18,2,17,18,18,18,18,0,0,17,0.831
61,2,18,"nay",3,3,3,3,"ixtlan del rio","ahuacatlan",7,16,2.05,61,18,2,17,18,18,18,18,0,0,17,0.831
62,2,18,"nay",3,3,3,3,"ixtlan del rio","ahuacatlan",7,16,2.05,62,18,2,17,18,18,18,18,0,0,17,0.831
63,2,18,"nay",3,3,3,3,"ixtlan del rio","ahuacatlan",7,16,2.05,63,18,2,17,18,18,18,18,0,0,17,0.831
64,2,18,"nay",3,3,3,3,"ixtlan del rio","ahuacatlan",7,16,2.04,64,18,2,17,18,18,18,18,0,0,17,0.831
