"seccion","munn.x","edon.x","edo","disfed1979","disfed1997","disfed2006","disfed2018","disloc2016","cab","disloc2013","X","edon.y","munn.y","escenario1","escenario2","escenario3","panal_cnv1","pri_clv1","mc_clv2","panal_cnv2","pan_clv2","pan_cnv2","pri_clv2","esc1_panalCNV1","esc1_priCLV1","esc2_mcCLV2","esc2_panalCNV2","esc2_panCLV2","esc2_panCNV2","esc2_priCLV2","SQ","dsiSQ_E1","dsiSQ_E3"
35,2,8,"cua",7,5,5,5,11,"meoqui",10,33,8,2,1,1,1,1,1,1,1,3,1,1,1,1,1,1,0,1,1,10,0.531,0.531
36,2,8,"cua",7,5,5,5,11,"meoqui",10,34,8,2,1,1,1,1,1,1,1,3,1,1,1,1,1,1,0,1,1,10,0.531,0.531
37,2,8,"cua",7,5,5,5,11,"meoqui",10,35,8,2,1,1,1,1,1,1,1,3,1,1,1,1,1,1,0,1,1,10,0.531,0.531
38,3,8,"cua",2,9,5,9,20,"camargo",22,36,8,3,3,2,2,3,2,2,2,8,2,2,1,0,1,1,0,1,1,12,0.734,0.885
39,3,8,"cua",2,9,5,9,20,"camargo",22,37,8,3,3,2,2,3,2,2,2,8,2,2,1,0,1,1,0,1,1,12,0.734,0.885
40,3,8,"cua",2,9,5,9,20,"camargo",22,38,8,3,3,2,2,3,2,2,2,8,2,2,1,0,1,1,0,1,1,12,0.734,0.885
41,3,8,"cua",2,9,5,9,20,"camargo",22,39,8,3,3,2,2,3,2,2,2,8,2,2,1,0,1,1,0,1,1,12,0.734,0.885
42,3,8,"cua",2,9,5,9,20,"camargo",22,40,8,3,3,2,2,3,2,2,2,8,2,2,1,0,1,1,0,1,1,12,0.734,0.885
43,3,8,"cua",2,9,5,9,20,"camargo",22,41,8,3,3,2,2,3,2,2,2,8,2,2,1,0,1,1,0,1,1,12,0.734,0.885
44,3,8,"cua",2,9,5,9,20,"camargo",22,42,8,3,3,2,2,3,2,2,2,8,2,2,1,0,1,1,0,1,1,12,0.734,0.885
45,3,8,"cua",2,9,5,9,20,"camargo",22,43,8,3,3,2,2,3,2,2,2,8,2,2,1,0,1,1,0,1,1,12,0.734,0.885
46,3,8,"cua",2,9,5,9,20,"camargo",22,44,8,3,3,2,2,3,2,2,2,8,2,2,1,0,1,1,0,1,1,12,0.734,0.885
47,3,8,"cua",2,9,5,9,20,"camargo",22,45,8,3,3,2,2,3,2,2,2,8,2,2,1,0,1,1,0,1,1,12,0.734,0.885
48,3,8,"cua",2,9,5,9,20,"camargo",22,46,8,3,3,2,2,3,2,2,2,8,2,2,1,0,1,1,0,1,1,12,0.734,0.885
49,3,8,"cua",2,9,5,9,20,"camargo",22,47,8,3,3,2,2,3,2,2,2,8,2,2,1,0,1,1,0,1,1,12,0.734,0.885
50,3,8,"cua",2,9,5,9,20,"camargo",22,48,8,3,3,2,2,3,2,2,2,8,2,2,1,0,1,1,0,1,1,12,0.734,0.885
51,3,8,"cua",2,9,5,9,20,"camargo",22,49,8,3,3,2,2,3,2,2,2,8,2,2,1,0,1,1,0,1,1,12,0.734,0.885
52,3,8,"cua",2,9,5,9,20,"camargo",22,50,8,3,3,2,2,3,2,2,2,8,2,2,1,0,1,1,0,1,1,12,0.734,0.885
53,3,8,"cua",2,9,5,9,20,"camargo",22,51,8,3,3,2,2,3,2,2,2,8,2,2,1,0,1,1,0,1,1,12,0.734,0.885
54,3,8,"cua",2,9,5,9,20,"camargo",22,52,8,3,3,2,2,3,2,2,2,8,2,2,1,0,1,1,0,1,1,12,0.734,0.885
55,3,8,"cua",2,9,5,9,20,"camargo",22,53,8,3,3,2,2,3,2,2,2,8,2,2,1,0,1,1,0,1,1,12,0.734,0.885
56,4,8,"cua",7,5,5,5,11,"meoqui",10,54,8,4,1,1,1,1,1,1,1,3,1,1,1,1,1,1,0,1,1,10,0.531,0.531
57,4,8,"cua",7,5,5,5,11,"meoqui",10,55,8,4,1,1,1,1,1,1,1,3,1,1,1,1,1,1,0,1,1,10,0.531,0.531
58,4,8,"cua",7,5,5,5,11,"meoqui",10,56,8,4,1,1,1,1,1,1,1,3,1,1,1,1,1,1,0,1,1,10,0.531,0.531
59,4,8,"cua",7,5,5,5,11,"meoqui",10,57,8,4,1,1,1,1,1,1,1,3,1,1,1,1,1,1,0,1,1,10,0.531,0.531
60,5,8,"cua",9,1,1,2,1,"nuevo casas grandes",1,58,8,5,4,3,3,1,3,3,3,3,3,3,0,0,1,1,1,1,1,1,0.509,0.509
61,5,8,"cua",9,1,1,2,1,"nuevo casas grandes",1,59,8,5,4,3,3,1,3,3,3,3,3,3,0,0,1,1,1,1,1,1,0.509,0.509
62,5,8,"cua",9,1,1,2,1,"nuevo casas grandes",1,60,8,5,4,3,3,1,3,3,3,3,3,3,0,0,1,1,1,1,1,1,0.509,0.509
63,5,8,"cua",9,1,1,2,1,"nuevo casas grandes",1,61,8,5,4,3,3,1,3,3,3,3,3,3,0,0,1,1,1,1,1,1,0.509,0.509
64,5,8,"cua",9,1,1,2,1,"nuevo casas grandes",1,62,8,5,4,3,3,1,3,3,3,3,3,3,0,0,1,1,1,1,1,1,0.509,0.509
65,5,8,"cua",9,1,1,2,1,"nuevo casas grandes",1,63,8,5,4,3,3,1,3,3,3,3,3,3,0,0,1,1,1,1,1,1,0.509,0.509
66,5,8,"cua",9,1,1,2,1,"nuevo casas grandes",1,64,8,5,4,3,3,1,3,3,3,3,3,3,0,0,1,1,1,1,1,1,0.509,0.509
67,5,8,"cua",9,1,1,2,1,"nuevo casas grandes",1,65,8,5,4,3,3,1,3,3,3,3,3,3,0,0,1,1,1,1,1,1,0.509,0.509
68,5,8,"cua",9,1,1,2,1,"nuevo casas grandes",1,66,8,5,4,3,3,1,3,3,3,3,3,3,0,0,1,1,1,1,1,1,0.509,0.509
69,5,8,"cua",9,1,1,2,1,"nuevo casas grandes",1,67,8,5,4,3,3,1,3,3,3,3,3,3,0,0,1,1,1,1,1,1,0.509,0.509
70,5,8,"cua",9,1,1,2,1,"nuevo casas grandes",1,68,8,5,4,3,3,1,3,3,3,3,3,3,0,0,1,1,1,1,1,1,0.509,0.509
71,5,8,"cua",9,1,1,2,1,"nuevo casas grandes",1,69,8,5,4,3,3,1,3,3,3,3,3,3,0,0,1,1,1,1,1,1,0.509,0.509
72,5,8,"cua",9,1,1,2,1,"nuevo casas grandes",1,70,8,5,4,3,3,1,3,3,3,3,3,3,0,0,1,1,1,1,1,1,0.509,0.509
73,5,8,"cua",9,1,1,2,1,"nuevo casas grandes",1,71,8,5,4,3,3,1,3,3,3,3,3,3,0,0,1,1,1,1,1,1,0.509,0.509
74,5,8,"cua",9,1,1,2,1,"nuevo casas grandes",1,72,8,5,4,3,3,1,3,3,3,3,3,3,0,0,1,1,1,1,1,1,0.509,0.509
75,5,8,"cua",9,1,1,2,1,"nuevo casas grandes",1,73,8,5,4,3,3,1,3,3,3,3,3,3,0,0,1,1,1,1,1,1,0.509,0.509
76,5,8,"cua",9,1,1,2,1,"nuevo casas grandes",1,74,8,5,4,3,3,1,3,3,3,3,3,3,0,0,1,1,1,1,1,1,0.509,0.509
78,5,8,"cua",9,1,1,2,1,"nuevo casas grandes",1,75,8,5,4,3,3,1,3,3,3,3,3,3,0,0,1,1,1,1,1,1,0.509,0.509
79,5,8,"cua",9,1,1,2,1,"nuevo casas grandes",1,76,8,5,4,3,3,1,3,3,3,3,3,3,0,0,1,1,1,1,1,1,0.509,0.509
80,5,8,"cua",9,1,1,2,1,"nuevo casas grandes",1,77,8,5,4,3,3,1,3,3,3,3,3,3,0,0,1,1,1,1,1,1,0.509,0.509
81,5,8,"cua",9,1,1,2,1,"nuevo casas grandes",1,78,8,5,4,3,3,1,3,3,3,3,3,3,0,0,1,1,1,1,1,1,0.509,0.509
82,6,8,"cua",5,7,7,7,13,"guerrero",11,79,8,6,5,4,4,5,4,4,4,7,4,4,1,0,1,1,0,1,1,14,0.386,0.415
83,6,8,"cua",5,7,7,7,13,"guerrero",11,80,8,6,5,4,4,5,4,4,4,7,4,4,1,0,1,1,0,1,1,14,0.386,0.415
84,6,8,"cua",5,7,7,7,13,"guerrero",11,81,8,6,5,4,4,5,4,4,4,7,4,4,1,0,1,1,0,1,1,14,0.386,0.415
85,6,8,"cua",5,7,7,7,13,"guerrero",11,82,8,6,5,4,4,5,4,4,4,7,4,4,1,0,1,1,0,1,1,14,0.386,0.415
86,6,8,"cua",5,7,7,7,13,"guerrero",11,83,8,6,5,4,4,5,4,4,4,7,4,4,1,0,1,1,0,1,1,14,0.386,0.415
87,6,8,"cua",5,7,7,7,13,"guerrero",11,84,8,6,5,4,4,5,4,4,4,7,4,4,1,0,1,1,0,1,1,14,0.386,0.415
88,6,8,"cua",5,7,7,7,13,"guerrero",11,85,8,6,5,4,4,5,4,4,4,7,4,4,1,0,1,1,0,1,1,14,0.386,0.415
89,6,8,"cua",5,7,7,7,13,"guerrero",11,86,8,6,5,4,4,5,4,4,4,7,4,4,1,0,1,1,0,1,1,14,0.386,0.415
90,6,8,"cua",5,7,7,7,13,"guerrero",11,87,8,6,5,4,4,5,4,4,4,7,4,4,1,0,1,1,0,1,1,14,0.386,0.415
91,6,8,"cua",5,7,7,7,13,"guerrero",11,88,8,6,5,4,4,5,4,4,4,7,4,4,1,0,1,1,0,1,1,14,0.386,0.415
92,6,8,"cua",5,7,7,7,13,"guerrero",11,89,8,6,5,4,4,5,4,4,4,7,4,4,1,0,1,1,0,1,1,14,0.386,0.415
93,6,8,"cua",5,7,7,7,13,"guerrero",11,90,8,6,5,4,4,5,4,4,4,7,4,4,1,0,1,1,0,1,1,14,0.386,0.415
94,6,8,"cua",5,7,7,7,13,"guerrero",11,91,8,6,5,4,4,5,4,4,4,7,4,4,1,0,1,1,0,1,1,14,0.386,0.415
95,6,8,"cua",5,7,7,7,13,"guerrero",11,92,8,6,5,4,4,5,4,4,4,7,4,4,1,0,1,1,0,1,1,14,0.386,0.415
97,6,8,"cua",5,7,7,7,13,"guerrero",11,93,8,6,5,4,4,5,4,4,4,7,4,4,1,0,1,1,0,1,1,14,0.386,0.415
98,6,8,"cua",5,7,7,7,13,"guerrero",11,94,8,6,5,4,4,5,4,4,4,7,4,4,1,0,1,1,0,1,1,14,0.386,0.415
99,6,8,"cua",5,7,7,7,13,"guerrero",11,95,8,6,5,4,4,5,4,4,4,7,4,4,1,0,1,1,0,1,1,14,0.386,0.415
100,6,8,"cua",5,7,7,7,13,"guerrero",11,96,8,6,5,4,4,5,4,4,4,7,4,4,1,0,1,1,0,1,1,14,0.386,0.415
101,6,8,"cua",5,7,7,7,13,"guerrero",11,97,8,6,5,4,4,5,4,4,4,7,4,4,1,0,1,1,0,1,1,14,0.386,0.415
102,7,8,"cua",2,9,9,9,22,"guachochi",21,98,8,7,6,6,6,6,6,5,6,6,5,6,1,1,0,1,1,0,1,21,0.757,0.757
103,7,8,"cua",2,9,9,9,22,"guachochi",21,99,8,7,6,6,6,6,6,5,6,6,5,6,1,1,0,1,1,0,1,21,0.757,0.757
104,7,8,"cua",2,9,9,9,22,"guachochi",21,100,8,7,6,6,6,6,6,5,6,6,5,6,1,1,0,1,1,0,1,21,0.757,0.757
105,7,8,"cua",2,9,9,9,22,"guachochi",21,101,8,7,6,6,6,6,6,5,6,6,5,6,1,1,0,1,1,0,1,21,0.757,0.757
106,7,8,"cua",2,9,9,9,22,"guachochi",21,102,8,7,6,6,6,6,6,5,6,6,5,6,1,1,0,1,1,0,1,21,0.757,0.757
