"seccion","munn.x","edon.x","edo","disfed1979","disfed1997","disfed2006","disfed2018","disloc2018","disloc2012","X","edon.y","munn.y","escenario1","escenario2","escenario3","morena_iee1","pan_cnv1","pan_iee1","esc1_morIEE1","esc1_panCNV1","esc1_panIEE1","SQ","dsiSQ_E1","dsiSQ_E3","E1","dsiE1_E3"
15,1,4,"cam",2,1,1,1,5,2,15,4,1,10,5,5,8,5,8,0,0,0,1,0.231,0.231,10,1
16,1,4,"cam",2,1,1,1,5,2,16,4,1,10,5,5,8,5,8,0,0,0,1,0.231,0.231,10,1
17,1,4,"cam",2,1,1,1,7,7,17,4,1,7,7,7,8,7,8,0,1,0,2,0.308,0.136,7,0.5
18,1,4,"cam",2,1,1,1,7,2,18,4,1,7,7,7,7,7,7,1,1,1,2,0.308,0.136,7,0.5
19,1,4,"cam",2,1,1,1,5,2,19,4,1,10,5,5,8,5,8,0,0,0,1,0.231,0.231,10,1
20,1,4,"cam",2,1,1,1,5,2,20,4,1,10,5,5,5,5,5,0,0,0,1,0.231,0.231,10,1
21,1,4,"cam",2,1,1,1,5,1,21,4,1,10,5,5,5,5,5,0,0,0,1,0.231,0.231,10,1
22,1,4,"cam",2,1,1,1,5,1,22,4,1,10,5,5,5,5,5,0,0,0,1,0.231,0.231,10,1
23,1,4,"cam",2,1,1,1,5,1,23,4,1,10,5,5,5,5,5,0,0,0,1,0.231,0.231,10,1
24,1,4,"cam",2,1,1,1,11,1,24,4,1,9,11,11,5,11,5,0,0,0,1,0.333,0.306,9,0.5
25,1,4,"cam",2,1,1,1,11,1,25,4,1,9,11,11,5,11,5,0,0,0,1,0.333,0.306,9,0.5
26,1,4,"cam",2,1,1,1,11,1,26,4,1,9,11,11,5,11,5,0,0,0,1,0.333,0.306,9,0.5
27,1,4,"cam",2,1,1,1,11,1,27,4,1,9,11,11,5,11,5,0,0,0,1,0.333,0.306,9,0.5
28,1,4,"cam",2,1,1,1,9,1,28,4,1,9,9,9,5,9,5,0,1,0,5,0.333,0.364,6,0.538
29,1,4,"cam",2,1,1,1,11,1,29,4,1,9,11,11,5,11,5,0,0,0,1,0.333,0.306,9,0.5
30,1,4,"cam",2,1,1,1,11,1,30,4,1,9,11,11,5,11,5,0,0,0,1,0.333,0.306,9,0.5
31,1,4,"cam",2,1,1,1,11,1,31,4,1,9,11,11,5,11,5,0,0,0,1,0.333,0.306,9,0.5
32,1,4,"cam",2,1,1,1,5,1,32,4,1,10,5,5,5,5,5,0,0,0,1,0.231,0.231,10,1
33,1,4,"cam",2,1,1,1,5,1,33,4,1,10,5,5,5,5,5,0,0,0,1,0.231,0.231,10,1
34,1,4,"cam",2,1,1,1,5,1,34,4,1,10,5,5,5,5,5,0,0,0,1,0.231,0.231,10,1
35,1,4,"cam",2,1,1,1,5,2,35,4,1,10,5,5,5,5,5,0,0,0,1,0.231,0.231,10,1
36,1,4,"cam",2,1,1,1,5,2,36,4,1,10,5,5,5,5,5,0,0,0,1,0.231,0.231,10,1
37,1,4,"cam",2,1,1,1,5,2,37,4,1,10,5,5,5,5,5,0,0,0,1,0.231,0.231,10,1
38,1,4,"cam",2,1,1,1,7,2,38,4,1,7,7,7,7,7,7,1,1,1,2,0.308,0.136,7,0.5
39,1,4,"cam",2,1,1,1,7,3,39,4,1,7,7,7,7,7,7,1,1,1,2,0.308,0.136,7,0.5
40,1,4,"cam",2,1,1,1,5,3,40,4,1,10,5,5,5,5,5,0,0,0,1,0.231,0.231,10,1
41,1,4,"cam",2,1,1,1,5,3,41,4,1,10,5,5,5,5,5,0,0,0,1,0.231,0.231,10,1
42,1,4,"cam",2,1,1,1,8,3,42,4,1,5,8,8,5,8,5,1,0,1,3,0.545,0.684,5,0.7
43,1,4,"cam",2,1,1,1,8,1,43,4,1,5,8,8,5,8,5,1,0,1,3,0.545,0.684,5,0.7
44,1,4,"cam",2,1,1,1,11,1,44,4,1,5,11,11,5,11,5,1,0,1,1,0.545,0.306,9,0.5
45,1,4,"cam",2,1,1,1,11,1,45,4,1,5,11,11,5,11,5,1,0,1,1,0.545,0.306,9,0.5
46,1,4,"cam",2,1,1,1,11,1,46,4,1,5,11,11,5,11,5,1,0,1,1,0.545,0.306,9,0.5
47,1,4,"cam",2,1,1,1,11,1,47,4,1,5,11,11,5,11,5,1,0,1,1,0.545,0.306,9,0.5
48,1,4,"cam",2,1,1,1,11,1,48,4,1,9,11,11,9,11,9,1,0,1,1,0.333,0.306,9,0.5
49,1,4,"cam",2,1,1,1,6,1,49,4,1,9,6,6,9,6,9,1,0,1,4,0.333,0.913,13,0.957
50,1,4,"cam",2,1,1,1,9,1,50,4,1,9,9,9,5,9,5,0,1,0,5,0.333,0.364,6,0.538
51,1,4,"cam",2,1,1,1,9,1,51,4,1,9,9,9,9,9,9,1,1,1,5,0.333,0.364,6,0.538
52,1,4,"cam",2,1,1,1,9,5,52,4,1,9,9,9,9,9,9,1,1,1,5,0.333,0.364,6,0.538
53,1,4,"cam",2,1,1,1,9,5,53,4,1,6,9,9,9,9,9,0,0,0,5,0.387,0.364,6,0.538
54,1,4,"cam",2,1,1,1,10,5,54,4,1,6,10,10,9,10,9,0,0,0,6,0.387,0.415,12,0.326
55,1,4,"cam",2,1,1,1,9,5,55,4,1,9,9,9,9,9,9,1,1,1,5,0.333,0.364,6,0.538
56,1,4,"cam",2,1,1,1,6,5,56,4,1,13,6,6,9,6,9,0,0,0,4,0.955,0.913,13,0.957
57,1,4,"cam",2,1,1,1,6,4,57,4,1,13,6,6,9,6,9,0,0,0,4,0.955,0.913,13,0.957
58,1,4,"cam",2,1,1,1,6,4,58,4,1,13,6,6,9,6,9,0,0,0,4,0.955,0.913,13,0.957
59,1,4,"cam",2,1,1,1,6,4,59,4,1,13,6,6,9,6,9,0,0,0,4,0.955,0.913,13,0.957
60,1,4,"cam",2,1,1,1,8,3,60,4,1,5,8,8,7,8,7,0,0,0,3,0.545,0.684,5,0.7
61,1,4,"cam",2,1,1,1,8,3,61,4,1,5,8,8,7,8,7,0,0,0,3,0.545,0.684,5,0.7
62,1,4,"cam",2,1,1,1,8,3,62,4,1,5,8,8,7,8,7,0,0,0,3,0.545,0.684,5,0.7
63,1,4,"cam",2,1,1,1,8,3,63,4,1,7,8,8,7,8,7,1,0,1,3,0.308,0.684,5,0.7
64,1,4,"cam",2,1,1,1,8,3,64,4,1,5,8,8,7,8,7,0,0,0,3,0.545,0.684,5,0.7
65,1,4,"cam",2,1,1,1,8,3,65,4,1,5,8,8,7,8,7,0,0,0,3,0.545,0.684,5,0.7
66,1,4,"cam",2,1,1,1,8,3,66,4,1,5,8,8,7,8,7,0,0,0,3,0.545,0.684,5,0.7
67,1,4,"cam",2,1,1,1,8,3,67,4,1,5,8,8,7,8,7,0,0,0,3,0.545,0.684,5,0.7
68,1,4,"cam",2,1,1,1,6,4,68,4,1,13,6,6,7,6,7,0,0,0,4,0.955,0.913,13,0.957
69,1,4,"cam",2,1,1,1,6,4,69,4,1,13,6,6,9,6,9,0,0,0,4,0.955,0.913,13,0.957
70,1,4,"cam",2,1,1,1,6,4,70,4,1,13,6,6,9,6,9,0,0,0,4,0.955,0.913,13,0.957
71,1,4,"cam",2,1,1,1,9,5,71,4,1,9,9,9,9,9,9,1,1,1,5,0.333,0.364,6,0.538
72,1,4,"cam",2,1,1,1,10,5,72,4,1,6,10,10,6,10,6,1,0,1,6,0.387,0.415,12,0.326
73,1,4,"cam",2,1,1,1,10,5,73,4,1,6,10,10,6,10,6,1,0,1,6,0.387,0.415,12,0.326
