"seccion","munn","edon","disloc2016","disloc2013","pobtot","esc1","esc3","SQ","dsi_pob"
42,3,29,4,15,814,8,11,15,0.276267877412032
43,3,29,4,15,3816,8,11,15,0.276267877412032
44,3,29,4,15,2399,8,11,15,0.276267877412032
45,3,29,4,15,593,8,11,15,0.276267877412032
46,3,29,4,16,2480,8,11,15,0.276267877412032
47,3,29,4,16,3759,8,11,15,0.276267877412032
48,3,29,4,15,451,8,11,15,0.276267877412032
49,4,29,2,12,889,4,13,14,0.893631627831846
50,4,29,2,12,422,4,13,14,0.893631627831846
51,4,29,2,12,428,4,13,14,0.893631627831846
52,4,29,2,12,142,4,13,14,0.893631627831846
53,4,29,2,12,1310,4,13,14,0.893631627831846
54,4,29,2,12,473,4,13,14,0.893631627831846
55,4,29,2,12,408,4,13,14,0.893631627831846
56,4,29,2,12,1489,4,13,14,0.893631627831846
57,4,29,2,12,546,4,13,14,0.893631627831846
58,34,29,2,14,270,4,13,14,0.893631627831846
59,5,29,11,17,1327,14,3,19,0.49556786120352
60,5,29,11,17,904,14,3,19,0.49556786120352
61,5,29,11,17,536,14,3,19,0.49556786120352
62,5,29,11,17,384,14,3,19,0.49556786120352
63,5,29,11,17,450,14,3,19,0.49556786120352
64,5,29,11,17,307,14,3,19,0.49556786120352
65,5,29,11,17,279,14,3,19,0.49556786120352
66,5,29,11,17,675,14,3,19,0.49556786120352
67,5,29,11,17,255,14,3,19,0.49556786120352
68,5,29,11,17,2342,14,3,19,0.49556786120352
69,5,29,11,17,1330,14,3,19,0.49556786120352
70,5,29,11,17,757,14,3,19,0.49556786120352
71,5,29,11,17,1152,14,3,19,0.49556786120352
72,5,29,11,17,967,14,3,19,0.49556786120352
73,5,29,11,17,330,14,3,19,0.49556786120352
74,5,29,11,17,1440,14,3,19,0.49556786120352
75,5,29,11,17,567,14,3,19,0.49556786120352
76,5,29,11,17,142,14,3,19,0.49556786120352
77,5,29,11,17,1779,14,3,19,0.49556786120352
78,6,29,1,13,5522,9,6,13,0.81198467230444
79,6,29,1,13,2737,9,6,13,0.81198467230444
80,6,29,1,13,1527,9,6,13,0.81198467230444
81,6,29,1,13,2511,9,6,13,0.81198467230444
82,6,29,1,13,2959,9,6,13,0.81198467230444
83,6,29,1,13,3236,9,6,13,0.81198467230444
84,6,29,1,13,985,9,6,13,0.81198467230444
85,6,29,1,13,2601,9,6,13,0.81198467230444
86,6,29,1,13,2253,9,6,13,0.81198467230444
87,6,29,1,13,1309,9,6,13,0.81198467230444
88,6,29,1,13,1580,9,6,13,0.81198467230444
89,6,29,1,13,2675,9,6,13,0.81198467230444
90,6,29,1,13,3684,9,6,13,0.81198467230444
91,6,29,1,13,969,9,6,13,0.81198467230444
92,6,29,1,13,2616,9,6,13,0.81198467230444
93,6,29,1,13,1764,9,6,13,0.81198467230444
94,6,29,1,13,1149,9,6,13,0.81198467230444
95,6,29,1,13,586,9,6,13,0.81198467230444
96,6,29,1,13,737,9,6,13,0.81198467230444
