"seccion","munn.x","edon.x","edo","disfed1979","disfed1997","disfed2006","disfed2018","disloc2016","cab.x","disloc2013","X","edon.y","munn.y","escenario1","escenario2","escenario3","criterio8","mc_clv1","panal_cnv1","panal_cnv2","pan_clv2","cab.y","esc1_mcCLV1","esc1_panalCNV1","esc2_panalCNV2","SQ","dsiSQ_E1","dsiSQ_E3","E1","dsiE1_E3"
112,8,29,"tla",2,1,1,1,11,"huamantla",19,112,29,8,14,14,3,11,3,14,14,3,"huamantla",0,1,1,19,0.41,0.41,14,1
113,8,29,"tla",2,1,1,1,11,"huamantla",19,113,29,8,14,14,3,11,3,14,14,3,"huamantla",0,1,1,19,0.41,0.41,14,1
114,8,29,"tla",2,1,1,1,11,"huamantla",19,114,29,8,14,14,3,11,3,14,14,3,"huamantla",0,1,1,19,0.41,0.41,14,1
115,8,29,"tla",2,1,1,1,11,"huamantla",19,115,29,8,14,14,3,11,3,14,14,3,"huamantla",0,1,1,19,0.41,0.41,14,1
116,8,29,"tla",2,1,1,1,11,"huamantla",19,116,29,8,14,14,3,11,3,14,14,3,"huamantla",0,1,1,19,0.41,0.41,14,1
117,9,29,"tla",2,1,1,1,3,"xalostoc",16,117,29,9,5,5,14,3,14,1,5,14,"xalostoc",0,0,1,17,0.545,0.394,1,0.448
118,9,29,"tla",2,1,1,1,3,"xalostoc",16,118,29,9,5,5,14,3,14,1,5,14,"xalostoc",0,0,1,17,0.545,0.394,1,0.448
119,9,29,"tla",2,1,1,1,3,"xalostoc",16,119,29,9,5,5,14,3,14,1,5,14,"xalostoc",0,0,1,17,0.545,0.394,1,0.448
120,9,29,"tla",2,1,1,1,3,"xalostoc",16,120,29,9,5,5,14,3,14,1,5,14,"xalostoc",0,0,1,17,0.545,0.394,1,0.448
121,9,29,"tla",2,1,1,1,3,"xalostoc",16,121,29,9,5,5,14,3,14,1,5,14,"xalostoc",0,0,1,17,0.545,0.394,1,0.448
122,10,29,"tla",1,3,2,2,9,"chiautempan",4,122,29,10,7,7,15,9,15,7,6,15,"chiautempan",0,1,0,4,0.703,0.722,7,0.698
123,10,29,"tla",1,3,2,2,9,"chiautempan",4,123,29,10,7,7,15,9,15,7,6,15,"chiautempan",0,1,0,4,0.703,0.722,7,0.698
