"seccion","munn.x","edon.x","edo","disfed1979","disfed1997","disfed2006","disfed2018","disloc2018","disloc2012","edon.y","munn.y","escenario1","escenario2","escenario3","mc_clv1","pan_clv1","mc_clv2","pan_cnv2","prd_clv2","pri_clv2","esc1_mcCLV1","esc1_panCLV1","esc1_mcCLV1.1","esc2_mcCLV2","esc2_panCNV2","esc2_prdCLV2","esc2_priCLV2","SQ","dsiSQ_E1","dsiSQ_E3","E1","dsiE1_E3"
41,5,14,"jal",17,1,1,1,3,1,14,5,2,3,3,4,3,3,3,1,3,0,0,0,1,1,0,1,1,0.578,0.991,2,0.584
42,5,14,"jal",17,1,1,1,3,1,14,5,2,3,3,4,3,3,3,1,3,0,0,0,1,1,0,1,1,0.578,0.991,2,0.584
43,5,14,"jal",17,1,1,1,3,1,14,5,2,3,3,4,3,3,3,1,3,0,0,0,1,1,0,1,1,0.578,0.991,2,0.584
44,5,14,"jal",17,1,1,1,3,1,14,5,2,3,3,4,3,3,3,1,3,0,0,0,1,1,0,1,1,0.578,0.991,2,0.584
45,5,14,"jal",17,1,1,1,3,1,14,5,2,3,3,4,3,3,3,1,3,0,0,0,1,1,0,1,1,0.578,0.991,2,0.584
46,5,14,"jal",17,1,1,1,3,1,14,5,2,3,3,4,3,3,3,1,3,0,0,0,1,1,0,1,1,0.578,0.991,2,0.584
47,5,14,"jal",17,1,1,1,3,1,14,5,2,3,3,4,3,3,3,1,3,0,0,0,1,1,0,1,1,0.578,0.991,2,0.584
48,6,14,"jal",12,5,18,18,4,18,14,6,8,3,4,4,3,2,3,3,4,0,0,0,0,1,1,0,18,0.352,0.605,8,0.455
50,6,14,"jal",12,5,18,18,4,18,14,6,8,3,4,4,3,2,3,3,4,0,0,0,0,1,1,0,18,0.352,0.605,8,0.455
51,6,14,"jal",12,5,18,18,4,18,14,6,8,3,4,4,3,2,3,3,4,0,0,0,0,1,1,0,18,0.352,0.605,8,0.455
52,6,14,"jal",12,5,18,18,4,18,14,6,8,3,4,4,3,2,3,3,4,0,0,0,0,1,1,0,18,0.352,0.605,8,0.455
53,6,14,"jal",12,5,18,18,4,18,14,6,8,3,4,4,3,2,3,3,4,0,0,0,0,1,1,0,18,0.352,0.605,8,0.455
54,6,14,"jal",12,5,18,18,4,18,14,6,8,3,4,4,3,2,3,3,4,0,0,0,0,1,1,0,18,0.352,0.605,8,0.455
55,6,14,"jal",12,5,18,18,4,18,14,6,8,3,4,4,3,2,3,3,4,0,0,0,0,1,1,0,18,0.352,0.605,8,0.455
56,6,14,"jal",12,5,18,18,4,18,14,6,8,3,4,4,3,2,3,3,4,0,0,0,0,1,1,0,18,0.352,0.605,8,0.455
57,6,14,"jal",12,5,18,18,4,18,14,6,8,3,4,4,3,2,3,3,4,0,0,0,0,1,1,0,18,0.352,0.605,8,0.455
58,6,14,"jal",12,5,18,18,4,18,14,6,8,3,4,4,3,2,3,3,4,0,0,0,0,1,1,0,18,0.352,0.605,8,0.455
59,6,14,"jal",12,5,18,18,4,18,14,6,8,3,4,4,3,2,3,3,4,0,0,0,0,1,1,0,18,0.352,0.605,8,0.455
60,6,14,"jal",12,5,18,18,4,18,14,6,8,3,4,4,3,2,3,3,4,0,0,0,0,1,1,0,18,0.352,0.605,8,0.455
61,6,14,"jal",12,5,18,18,4,18,14,6,8,3,4,4,3,2,3,3,4,0,0,0,0,1,1,0,18,0.352,0.605,8,0.455
62,6,14,"jal",12,5,18,18,4,18,14,6,8,3,4,4,3,2,3,3,4,0,0,0,0,1,1,0,18,0.352,0.605,8,0.455
63,6,14,"jal",12,5,18,18,4,18,14,6,8,3,4,4,3,2,3,3,4,0,0,0,0,1,1,0,18,0.352,0.605,8,0.455
64,6,14,"jal",12,5,18,18,4,18,14,6,8,3,4,4,3,2,3,3,4,0,0,0,0,1,1,0,18,0.352,0.605,8,0.455
65,6,14,"jal",12,5,18,18,4,18,14,6,8,3,4,4,3,2,3,3,4,0,0,0,0,1,1,0,18,0.352,0.605,8,0.455
66,6,14,"jal",12,5,18,18,4,18,14,6,8,3,4,4,3,2,3,3,4,0,0,0,0,1,1,0,18,0.352,0.605,8,0.455
67,6,14,"jal",12,5,18,18,4,18,14,6,8,3,4,4,3,2,3,3,4,0,0,0,0,1,1,0,18,0.352,0.605,8,0.455
68,6,14,"jal",12,5,18,18,4,18,14,6,8,3,4,4,3,2,3,3,4,0,0,0,0,1,1,0,18,0.352,0.605,8,0.455
69,6,14,"jal",12,5,18,18,4,18,14,6,8,3,4,4,3,2,3,3,4,0,0,0,0,1,1,0,18,0.352,0.605,8,0.455
70,6,14,"jal",12,5,18,18,4,18,14,6,8,3,4,4,3,2,3,3,4,0,0,0,0,1,1,0,18,0.352,0.605,8,0.455
71,6,14,"jal",12,5,18,18,4,18,14,6,8,3,4,4,3,2,3,3,4,0,0,0,0,1,1,0,18,0.352,0.605,8,0.455
72,6,14,"jal",12,5,18,18,4,18,14,6,8,3,4,4,3,2,3,3,4,0,0,0,0,1,1,0,18,0.352,0.605,8,0.455
73,6,14,"jal",12,5,18,18,4,18,14,6,8,3,4,4,3,2,3,3,4,0,0,0,0,1,1,0,18,0.352,0.605,8,0.455
74,6,14,"jal",12,5,18,18,4,18,14,6,8,3,4,4,3,2,3,3,4,0,0,0,0,1,1,0,18,0.352,0.605,8,0.455
75,6,14,"jal",12,5,18,18,4,18,14,6,8,3,4,4,3,2,3,3,4,0,0,0,0,1,1,0,18,0.352,0.605,8,0.455
76,6,14,"jal",12,5,18,18,4,18,14,6,8,3,4,4,3,2,3,3,4,0,0,0,0,1,1,0,18,0.352,0.605,8,0.455
77,6,14,"jal",12,5,18,18,4,18,14,6,8,3,4,4,3,2,3,3,4,0,0,0,0,1,1,0,18,0.352,0.605,8,0.455
78,6,14,"jal",12,5,18,18,4,18,14,6,8,3,4,4,3,2,3,3,4,0,0,0,0,1,1,0,18,0.352,0.605,8,0.455
79,6,14,"jal",12,5,18,18,4,18,14,6,8,3,4,4,3,2,3,3,4,0,0,0,0,1,1,0,18,0.352,0.605,8,0.455
80,6,14,"jal",12,5,18,18,4,18,14,6,8,3,4,4,3,2,3,3,4,0,0,0,0,1,1,0,18,0.352,0.605,8,0.455
81,6,14,"jal",12,5,18,18,4,18,14,6,8,3,4,4,3,2,3,3,4,0,0,0,0,1,1,0,18,0.352,0.605,8,0.455
82,6,14,"jal",12,5,18,18,4,18,14,6,8,3,4,4,3,2,3,3,4,0,0,0,0,1,1,0,18,0.352,0.605,8,0.455
83,6,14,"jal",12,5,18,18,4,18,14,6,8,3,4,4,3,2,3,3,4,0,0,0,0,1,1,0,18,0.352,0.605,8,0.455
84,6,14,"jal",12,5,18,18,4,18,14,6,8,3,4,4,3,2,3,3,4,0,0,0,0,1,1,0,18,0.352,0.605,8,0.455
85,6,14,"jal",12,5,18,18,4,18,14,6,8,3,4,4,3,2,3,3,4,0,0,0,0,1,1,0,18,0.352,0.605,8,0.455
86,6,14,"jal",12,5,18,18,4,18,14,6,8,3,4,4,3,2,3,3,4,0,0,0,0,1,1,0,18,0.352,0.605,8,0.455
87,6,14,"jal",12,5,18,18,4,18,14,6,8,3,4,4,3,2,3,3,4,0,0,0,0,1,1,0,18,0.352,0.605,8,0.455
88,6,14,"jal",12,5,18,18,4,18,14,6,8,3,4,4,3,2,3,3,4,0,0,0,0,1,1,0,18,0.352,0.605,8,0.455
89,6,14,"jal",12,5,18,18,4,18,14,6,8,3,4,4,3,2,3,3,4,0,0,0,0,1,1,0,18,0.352,0.605,8,0.455
90,6,14,"jal",12,5,18,18,4,18,14,6,8,3,4,4,3,2,3,3,4,0,0,0,0,1,1,0,18,0.352,0.605,8,0.455
91,6,14,"jal",12,5,18,18,4,18,14,6,8,3,4,4,3,2,3,3,4,0,0,0,0,1,1,0,18,0.352,0.605,8,0.455
92,6,14,"jal",12,5,18,18,4,18,14,6,8,3,4,4,3,2,3,3,4,0,0,0,0,1,1,0,18,0.352,0.605,8,0.455
93,6,14,"jal",12,5,18,18,4,18,14,6,8,3,4,4,3,2,3,3,4,0,0,0,0,1,1,0,18,0.352,0.605,8,0.455
94,7,14,"jal",17,1,1,1,3,1,14,7,2,3,3,4,3,3,3,1,3,0,0,0,1,1,0,1,1,0.578,0.991,2,0.584
95,7,14,"jal",17,1,1,1,3,1,14,7,2,3,3,4,3,3,3,1,3,0,0,0,1,1,0,1,1,0.578,0.991,2,0.584
