"seccion","munn.x","edon.x","edo","disfed1979","disfed1997","disfed2006","disfed2018","disloc2016","cab","disloc2013","X","edon.y","munn.y","escenario1","escenario2","escenario3","panal_cnv1","pri_clv1","mc_clv2","panal_cnv2","pan_clv2","pan_cnv2","pri_clv2","esc1_panalCNV1","esc1_priCLV1","esc2_mcCLV2","esc2_panalCNV2","esc2_panCLV2","esc2_panCNV2","esc2_priCLV2","SQ","dsiSQ_E1","dsiSQ_E3","E1","dsiE1_E3"
34,2,8,"cua",7,5,5,5,11,"meoqui",10,32,8,2,1,1,1,1,1,1,1,3,1,1,1,1,1,1,0,1,1,10,0.531,0.531,1,1
35,2,8,"cua",7,5,5,5,11,"meoqui",10,33,8,2,1,1,1,1,1,1,1,3,1,1,1,1,1,1,0,1,1,10,0.531,0.531,1,1
36,2,8,"cua",7,5,5,5,11,"meoqui",10,34,8,2,1,1,1,1,1,1,1,3,1,1,1,1,1,1,0,1,1,10,0.531,0.531,1,1
37,2,8,"cua",7,5,5,5,11,"meoqui",10,35,8,2,1,1,1,1,1,1,1,3,1,1,1,1,1,1,0,1,1,10,0.531,0.531,1,1
38,3,8,"cua",2,9,5,9,20,"camargo",22,36,8,3,3,2,2,3,2,2,2,8,2,2,1,0,1,1,0,1,1,12,0.734,0.885,3,0.83
39,3,8,"cua",2,9,5,9,20,"camargo",22,37,8,3,3,2,2,3,2,2,2,8,2,2,1,0,1,1,0,1,1,12,0.734,0.885,3,0.83
40,3,8,"cua",2,9,5,9,20,"camargo",22,38,8,3,3,2,2,3,2,2,2,8,2,2,1,0,1,1,0,1,1,12,0.734,0.885,3,0.83
41,3,8,"cua",2,9,5,9,20,"camargo",22,39,8,3,3,2,2,3,2,2,2,8,2,2,1,0,1,1,0,1,1,12,0.734,0.885,3,0.83
42,3,8,"cua",2,9,5,9,20,"camargo",22,40,8,3,3,2,2,3,2,2,2,8,2,2,1,0,1,1,0,1,1,12,0.734,0.885,3,0.83
43,3,8,"cua",2,9,5,9,20,"camargo",22,41,8,3,3,2,2,3,2,2,2,8,2,2,1,0,1,1,0,1,1,12,0.734,0.885,3,0.83
44,3,8,"cua",2,9,5,9,20,"camargo",22,42,8,3,3,2,2,3,2,2,2,8,2,2,1,0,1,1,0,1,1,12,0.734,0.885,3,0.83
45,3,8,"cua",2,9,5,9,20,"camargo",22,43,8,3,3,2,2,3,2,2,2,8,2,2,1,0,1,1,0,1,1,12,0.734,0.885,3,0.83
46,3,8,"cua",2,9,5,9,20,"camargo",22,44,8,3,3,2,2,3,2,2,2,8,2,2,1,0,1,1,0,1,1,12,0.734,0.885,3,0.83
47,3,8,"cua",2,9,5,9,20,"camargo",22,45,8,3,3,2,2,3,2,2,2,8,2,2,1,0,1,1,0,1,1,12,0.734,0.885,3,0.83
48,3,8,"cua",2,9,5,9,20,"camargo",22,46,8,3,3,2,2,3,2,2,2,8,2,2,1,0,1,1,0,1,1,12,0.734,0.885,3,0.83
49,3,8,"cua",2,9,5,9,20,"camargo",22,47,8,3,3,2,2,3,2,2,2,8,2,2,1,0,1,1,0,1,1,12,0.734,0.885,3,0.83
50,3,8,"cua",2,9,5,9,20,"camargo",22,48,8,3,3,2,2,3,2,2,2,8,2,2,1,0,1,1,0,1,1,12,0.734,0.885,3,0.83
51,3,8,"cua",2,9,5,9,20,"camargo",22,49,8,3,3,2,2,3,2,2,2,8,2,2,1,0,1,1,0,1,1,12,0.734,0.885,3,0.83
52,3,8,"cua",2,9,5,9,20,"camargo",22,50,8,3,3,2,2,3,2,2,2,8,2,2,1,0,1,1,0,1,1,12,0.734,0.885,3,0.83
53,3,8,"cua",2,9,5,9,20,"camargo",22,51,8,3,3,2,2,3,2,2,2,8,2,2,1,0,1,1,0,1,1,12,0.734,0.885,3,0.83
54,3,8,"cua",2,9,5,9,20,"camargo",22,52,8,3,3,2,2,3,2,2,2,8,2,2,1,0,1,1,0,1,1,12,0.734,0.885,3,0.83
55,3,8,"cua",2,9,5,9,20,"camargo",22,53,8,3,3,2,2,3,2,2,2,8,2,2,1,0,1,1,0,1,1,12,0.734,0.885,3,0.83
56,4,8,"cua",7,5,5,5,11,"meoqui",10,54,8,4,1,1,1,1,1,1,1,3,1,1,1,1,1,1,0,1,1,10,0.531,0.531,1,1
57,4,8,"cua",7,5,5,5,11,"meoqui",10,55,8,4,1,1,1,1,1,1,1,3,1,1,1,1,1,1,0,1,1,10,0.531,0.531,1,1
58,4,8,"cua",7,5,5,5,11,"meoqui",10,56,8,4,1,1,1,1,1,1,1,3,1,1,1,1,1,1,0,1,1,10,0.531,0.531,1,1
59,4,8,"cua",7,5,5,5,11,"meoqui",10,57,8,4,1,1,1,1,1,1,1,3,1,1,1,1,1,1,0,1,1,10,0.531,0.531,1,1
60,5,8,"cua",9,1,1,2,1,"nuevo casas grandes",1,58,8,5,4,3,3,1,3,3,3,3,3,3,0,0,1,1,1,1,1,1,0.509,0.509,4,1
61,5,8,"cua",9,1,1,2,1,"nuevo casas grandes",1,59,8,5,4,3,3,1,3,3,3,3,3,3,0,0,1,1,1,1,1,1,0.509,0.509,4,1
62,5,8,"cua",9,1,1,2,1,"nuevo casas grandes",1,60,8,5,4,3,3,1,3,3,3,3,3,3,0,0,1,1,1,1,1,1,0.509,0.509,4,1
63,5,8,"cua",9,1,1,2,1,"nuevo casas grandes",1,61,8,5,4,3,3,1,3,3,3,3,3,3,0,0,1,1,1,1,1,1,0.509,0.509,4,1
64,5,8,"cua",9,1,1,2,1,"nuevo casas grandes",1,62,8,5,4,3,3,1,3,3,3,3,3,3,0,0,1,1,1,1,1,1,0.509,0.509,4,1
65,5,8,"cua",9,1,1,2,1,"nuevo casas grandes",1,63,8,5,4,3,3,1,3,3,3,3,3,3,0,0,1,1,1,1,1,1,0.509,0.509,4,1
66,5,8,"cua",9,1,1,2,1,"nuevo casas grandes",1,64,8,5,4,3,3,1,3,3,3,3,3,3,0,0,1,1,1,1,1,1,0.509,0.509,4,1
67,5,8,"cua",9,1,1,2,1,"nuevo casas grandes",1,65,8,5,4,3,3,1,3,3,3,3,3,3,0,0,1,1,1,1,1,1,0.509,0.509,4,1
68,5,8,"cua",9,1,1,2,1,"nuevo casas grandes",1,66,8,5,4,3,3,1,3,3,3,3,3,3,0,0,1,1,1,1,1,1,0.509,0.509,4,1
69,5,8,"cua",9,1,1,2,1,"nuevo casas grandes",1,67,8,5,4,3,3,1,3,3,3,3,3,3,0,0,1,1,1,1,1,1,0.509,0.509,4,1
70,5,8,"cua",9,1,1,2,1,"nuevo casas grandes",1,68,8,5,4,3,3,1,3,3,3,3,3,3,0,0,1,1,1,1,1,1,0.509,0.509,4,1
71,5,8,"cua",9,1,1,2,1,"nuevo casas grandes",1,69,8,5,4,3,3,1,3,3,3,3,3,3,0,0,1,1,1,1,1,1,0.509,0.509,4,1
72,5,8,"cua",9,1,1,2,1,"nuevo casas grandes",1,70,8,5,4,3,3,1,3,3,3,3,3,3,0,0,1,1,1,1,1,1,0.509,0.509,4,1
73,5,8,"cua",9,1,1,2,1,"nuevo casas grandes",1,71,8,5,4,3,3,1,3,3,3,3,3,3,0,0,1,1,1,1,1,1,0.509,0.509,4,1
74,5,8,"cua",9,1,1,2,1,"nuevo casas grandes",1,72,8,5,4,3,3,1,3,3,3,3,3,3,0,0,1,1,1,1,1,1,0.509,0.509,4,1
75,5,8,"cua",9,1,1,2,1,"nuevo casas grandes",1,73,8,5,4,3,3,1,3,3,3,3,3,3,0,0,1,1,1,1,1,1,0.509,0.509,4,1
76,5,8,"cua",9,1,1,2,1,"nuevo casas grandes",1,74,8,5,4,3,3,1,3,3,3,3,3,3,0,0,1,1,1,1,1,1,0.509,0.509,4,1
78,5,8,"cua",9,1,1,2,1,"nuevo casas grandes",1,75,8,5,4,3,3,1,3,3,3,3,3,3,0,0,1,1,1,1,1,1,0.509,0.509,4,1
79,5,8,"cua",9,1,1,2,1,"nuevo casas grandes",1,76,8,5,4,3,3,1,3,3,3,3,3,3,0,0,1,1,1,1,1,1,0.509,0.509,4,1
80,5,8,"cua",9,1,1,2,1,"nuevo casas grandes",1,77,8,5,4,3,3,1,3,3,3,3,3,3,0,0,1,1,1,1,1,1,0.509,0.509,4,1
81,5,8,"cua",9,1,1,2,1,"nuevo casas grandes",1,78,8,5,4,3,3,1,3,3,3,3,3,3,0,0,1,1,1,1,1,1,0.509,0.509,4,1
