"seccion","munn.x","edon.x","edo","disfed1994","disfed1997","disfed2006","disfed2018","disloc2018","disloc2012","X","edon.y","munn.y","escenario1","escenario2","escenario3","pan_clv1","pan_clv2","esc1_panCLV1","esc2_panCLV2","E1","dsiE1_E3"
125,2,27,"tab",3,2,2,2,4,19,124,27,2,9,4,4,4,4,0,1,9,0.529
126,2,27,"tab",3,2,2,2,2,19,125,27,2,9,2,2,2,2,0,1,10,0.286
127,2,27,"tab",3,2,2,2,4,19,126,27,2,9,4,4,4,4,0,1,9,0.529
128,2,27,"tab",3,2,2,2,2,19,127,27,2,9,2,2,2,2,0,1,10,0.286
129,2,27,"tab",3,2,2,2,4,19,128,27,2,9,4,4,4,4,0,1,9,0.529
130,2,27,"tab",3,2,2,2,4,19,129,27,2,9,4,4,4,4,0,1,9,0.529
131,2,27,"tab",3,2,2,2,4,19,130,27,2,9,4,4,4,4,0,1,9,0.529
132,2,27,"tab",3,2,2,2,4,19,131,27,2,9,4,4,4,4,0,1,9,0.529
133,2,27,"tab",3,2,2,2,4,19,132,27,2,9,4,4,4,4,0,1,9,0.529
134,2,27,"tab",3,2,2,2,4,19,133,27,2,9,4,4,4,4,0,1,9,0.529
135,2,27,"tab",3,2,2,2,2,19,134,27,2,9,2,2,2,2,0,1,10,0.286
136,2,27,"tab",3,2,2,2,4,19,135,27,2,9,4,4,4,4,0,1,9,0.529
137,2,27,"tab",3,2,2,2,4,2,136,27,2,11,4,4,4,4,0,1,9,0.529
138,2,27,"tab",3,2,2,2,4,2,137,27,2,11,4,4,4,4,0,1,9,0.529
139,2,27,"tab",3,2,2,2,4,2,138,27,2,11,4,4,4,4,0,1,9,0.529
140,2,27,"tab",3,2,2,2,4,19,139,27,2,11,4,4,4,4,0,1,9,0.529
141,2,27,"tab",3,2,2,2,2,19,140,27,2,9,2,2,2,2,0,1,10,0.286
142,2,27,"tab",3,2,2,2,2,19,141,27,2,9,2,2,2,2,0,1,10,0.286
143,2,27,"tab",3,2,2,2,2,19,142,27,2,9,2,2,2,2,0,1,10,0.286
144,2,27,"tab",3,2,2,2,4,19,143,27,2,9,4,4,4,4,0,1,9,0.529
145,2,27,"tab",3,2,2,2,4,19,144,27,2,11,4,4,4,4,0,1,9,0.529
146,2,27,"tab",3,2,2,2,4,19,145,27,2,11,4,4,4,4,0,1,9,0.529
147,2,27,"tab",3,2,2,2,4,2,146,27,2,11,4,4,4,4,0,1,9,0.529
148,2,27,"tab",3,2,2,2,4,19,147,27,2,11,4,4,4,4,0,1,9,0.529
149,2,27,"tab",3,2,2,2,4,2,148,27,2,11,4,4,4,4,0,1,9,0.529
150,2,27,"tab",3,2,3,2,4,2,149,27,2,11,4,4,4,4,0,1,9,0.529
151,2,27,"tab",3,2,2,2,4,2,150,27,2,11,4,4,4,4,0,1,9,0.529
152,2,27,"tab",3,2,2,2,4,2,151,27,2,11,4,4,4,4,0,1,9,0.529
153,2,27,"tab",3,2,2,2,4,19,152,27,2,11,4,4,4,4,0,1,9,0.529
154,2,27,"tab",3,2,2,2,4,19,153,27,2,11,4,4,4,4,0,1,9,0.529
155,2,27,"tab",3,2,2,2,2,19,154,27,2,9,2,2,2,2,0,1,10,0.286
156,2,27,"tab",3,2,2,2,2,19,155,27,2,9,2,2,2,2,0,1,10,0.286
157,2,27,"tab",3,2,2,2,2,19,156,27,2,9,2,2,2,2,0,1,10,0.286
158,2,27,"tab",3,2,2,2,2,19,157,27,2,9,2,2,2,2,0,1,10,0.286
159,2,27,"tab",3,2,2,2,2,19,158,27,2,9,2,2,2,2,0,1,10,0.286
160,2,27,"tab",3,2,3,2,3,2,159,27,2,11,3,3,3,3,0,1,11,0.609
161,2,27,"tab",3,2,2,2,3,2,160,27,2,8,3,3,3,3,0,1,11,0.609
162,2,27,"tab",3,2,3,2,3,2,161,27,2,11,3,3,3,3,0,1,11,0.609
163,2,27,"tab",3,2,2,2,2,19,162,27,2,10,2,2,2,2,0,1,10,0.286
164,2,27,"tab",3,2,3,2,3,2,163,27,2,11,3,3,3,3,0,1,11,0.609
165,2,27,"tab",3,2,3,2,3,2,164,27,2,8,3,3,3,3,0,1,11,0.609
166,2,27,"tab",3,2,3,2,3,2,165,27,2,8,3,3,3,3,0,1,11,0.609
167,2,27,"tab",3,2,2,2,2,19,166,27,2,8,2,2,2,2,0,1,10,0.286
168,3,27,"tab",2,1,5,5,21,3,167,27,3,16,21,21,21,21,0,1,16,0.387
169,3,27,"tab",2,1,5,5,21,3,168,27,3,16,21,21,21,21,0,1,16,0.387
170,3,27,"tab",2,1,5,5,21,3,169,27,3,16,21,21,21,21,0,1,16,0.387
