"seccion","munn.x","edon.x","edo","disfed1979","disfed1997","disfed2006","disfed2018","disloc2018","disloc2015","X","edon.y","munn.y","escenario1","escenario2","escenario3","mc_clv1","morena_clv1","morena_iee1","panal_clv1","pes_clv1","pri_clv1","pt_clv1","pvem_clv1","mc_clv2","panal_clv2","pes_clv2","pri_clv2","pt_clv2","pvem_clv2","esc1_morCLV1","esc1_morIEE1","esc1_panalCLV1","esc1_pesCLV1","esc1_mcCLV1","esc1_priCLV1","esc1_ptCLV1","esc1_pvemCLV1","esc2_mcCLV2","esc2_panalCLV2","esc2_pesCLV2","esc2_priCLV2","esc2_ptCLV2","esc2_pvemCLV2","SQ","dsiSQ_E3"
26,1,6,"col",1,1,1,1,2,2,26,6,1,16,16,12,6,6,3,10,6,9,6,6,6,10,6,9,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.5
27,1,6,"col",1,1,1,1,2,2,27,6,1,16,16,12,6,6,3,10,6,7,6,6,6,10,6,7,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.5
28,1,6,"col",1,1,1,1,2,2,28,6,1,16,16,12,8,8,3,10,8,7,8,8,8,10,8,7,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.5
29,1,6,"col",1,1,1,1,2,2,29,6,1,16,16,12,8,8,3,10,8,7,8,8,8,10,8,7,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.5
30,1,6,"col",1,1,1,1,2,2,30,6,1,16,16,12,8,8,3,8,8,7,8,8,8,8,8,7,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.5
31,1,6,"col",1,1,1,1,2,2,31,6,1,16,16,12,8,8,2,8,8,7,8,8,8,8,8,7,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.5
32,1,6,"col",1,1,1,1,1,2,32,6,1,16,16,9,8,8,2,8,8,7,8,8,8,8,8,7,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.308
33,1,6,"col",1,1,1,1,1,2,33,6,1,13,13,9,9,9,2,8,9,7,9,9,9,8,9,7,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.308
34,1,6,"col",1,1,1,1,1,2,34,6,1,13,13,9,9,9,2,9,9,7,9,9,9,9,9,7,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.308
35,1,6,"col",1,1,1,1,1,2,35,6,1,13,13,9,9,9,2,8,9,6,9,9,9,8,9,6,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.308
36,1,6,"col",1,1,1,1,1,1,36,6,1,13,13,9,9,9,2,8,9,6,9,9,9,8,9,6,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.308
37,1,6,"col",1,1,1,1,3,1,37,6,1,13,13,10,9,9,1,9,9,6,9,9,9,9,9,6,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.353
38,1,6,"col",1,1,1,1,2,2,38,6,1,16,16,12,6,6,3,10,6,9,6,6,6,10,6,9,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.5
39,1,6,"col",1,1,1,1,2,2,39,6,1,16,16,12,6,6,3,10,6,9,6,6,6,10,6,9,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.5
40,1,6,"col",1,1,1,1,2,2,40,6,1,16,16,12,6,6,3,10,6,9,6,6,6,10,6,9,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.5
41,1,6,"col",1,1,1,1,2,2,41,6,1,16,16,12,8,8,3,10,8,7,8,8,8,10,8,7,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.5
42,1,6,"col",1,1,1,1,1,2,42,6,1,16,16,9,8,8,3,8,8,9,8,8,8,8,8,9,8,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.308
43,1,6,"col",1,1,1,1,1,2,43,6,1,16,16,9,8,8,3,8,8,8,8,8,8,8,8,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.308
44,1,6,"col",1,1,1,1,1,2,44,6,1,13,13,9,8,8,2,8,8,8,8,8,8,8,8,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.308
45,1,6,"col",1,1,1,1,1,2,45,6,1,13,13,9,8,8,2,8,8,8,8,8,8,8,8,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.308
46,1,6,"col",1,1,1,1,1,2,46,6,1,13,13,9,9,9,2,8,9,7,9,9,9,8,9,7,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.308
47,1,6,"col",1,1,1,1,2,2,47,6,1,16,16,12,6,6,3,10,6,9,6,6,6,10,6,9,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.5
48,1,6,"col",1,1,1,1,2,2,48,6,1,16,16,12,6,6,3,10,6,9,6,6,6,10,6,9,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.5
49,1,6,"col",1,1,1,1,2,5,49,6,1,16,16,12,8,8,3,10,8,9,8,8,8,10,8,9,8,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.5
50,1,6,"col",1,1,1,1,1,3,50,6,1,16,16,9,8,8,3,8,8,9,8,8,8,8,8,9,8,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.308
51,1,6,"col",1,1,1,1,1,2,51,6,1,16,16,9,8,8,3,8,8,8,8,8,8,8,8,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.308
52,1,6,"col",1,1,1,1,1,2,52,6,1,13,13,9,8,8,2,8,8,8,8,8,8,8,8,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.308
53,1,6,"col",1,1,1,1,1,2,53,6,1,13,13,9,9,9,2,8,9,8,9,9,9,8,9,8,9,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.308
54,1,6,"col",1,1,1,1,2,5,54,6,1,16,16,12,6,6,4,1,6,9,6,6,6,1,6,9,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.5
55,1,6,"col",1,1,1,1,2,5,55,6,1,16,16,12,6,6,3,1,6,9,6,6,6,1,6,9,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.5
56,1,6,"col",1,1,1,1,2,5,56,6,1,16,16,12,8,8,3,1,8,9,8,8,8,1,8,9,8,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.5
57,1,6,"col",1,1,1,1,1,3,57,6,1,16,16,9,8,8,3,8,8,8,8,8,8,8,8,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.308
58,1,6,"col",1,1,1,1,1,2,58,6,1,13,13,9,8,8,3,8,8,8,8,8,8,8,8,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.308
59,1,6,"col",1,1,1,1,1,2,59,6,1,13,13,9,8,8,3,8,8,8,8,8,8,8,8,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.308
60,1,6,"col",1,1,1,1,1,1,60,6,1,13,13,9,8,8,3,8,8,8,8,8,8,8,8,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.308
61,1,6,"col",1,1,1,1,3,3,61,6,1,13,13,10,8,8,1,9,8,8,8,8,8,9,8,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.353
62,1,6,"col",1,1,1,1,3,3,62,6,1,13,13,10,7,7,1,9,7,8,7,7,7,9,7,8,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.353
63,1,6,"col",1,1,1,1,2,5,63,6,1,14,14,12,6,6,4,1,6,9,6,6,6,1,6,9,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.5
64,1,6,"col",1,1,1,1,2,5,64,6,1,16,16,12,6,6,4,1,6,9,6,6,6,1,6,9,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.5
65,1,6,"col",1,1,1,1,2,5,65,6,1,16,16,12,6,6,4,1,6,9,6,6,6,1,6,9,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.5
66,1,6,"col",1,1,1,1,2,5,66,6,1,16,16,12,8,8,3,1,8,9,8,8,8,1,8,9,8,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.5
67,1,6,"col",1,1,1,1,2,5,67,6,1,16,16,12,8,8,3,1,8,9,8,8,8,1,8,9,8,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.5
68,1,6,"col",1,1,1,1,1,3,68,6,1,14,14,9,8,8,3,1,8,9,8,8,8,1,8,9,8,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.308
69,1,6,"col",1,1,1,1,1,3,69,6,1,14,14,9,8,8,3,8,8,8,8,8,8,8,8,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.308
70,1,6,"col",1,1,1,1,1,3,70,6,1,14,14,9,8,8,3,8,8,8,8,8,8,8,8,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.308
71,1,6,"col",1,1,1,1,1,3,71,6,1,14,14,9,8,8,3,8,8,8,8,8,8,8,8,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.308
72,1,6,"col",1,1,1,1,1,3,72,6,1,14,14,9,8,8,3,8,8,8,8,8,8,8,8,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.308
73,1,6,"col",1,1,1,1,2,5,73,6,1,14,14,12,6,6,4,1,6,9,6,6,6,1,6,9,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.5
74,1,6,"col",1,1,1,1,2,5,74,6,1,16,16,12,6,6,4,1,6,9,6,6,6,1,6,9,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.5
75,1,6,"col",1,1,1,1,3,5,75,6,1,14,14,10,6,6,4,1,6,9,6,6,6,1,6,9,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.353
76,1,6,"col",1,1,1,1,3,5,76,6,1,14,14,10,6,6,4,1,6,9,6,6,6,1,6,9,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.353
