"seccion","munn.x","edon.x","edo","disfed1979","disfed1997","disfed2006","disfed2018","disloc2018","disloc2012","edon.y","munn.y","escenario1","escenario2","escenario3","mc_clv1","pan_clv1","mc_clv2","pan_cnv2","prd_clv2","pri_clv2","esc1_mcCLV1","esc1_panCLV1","esc1_mcCLV1.1","esc2_mcCLV2","esc2_panCNV2","esc2_prdCLV2","esc2_priCLV2","SQ","dsiSQ_E1"
1,1,14,"jal",5,3,3,20,2,3,14,1,3,1,2,8,1,1,1,1,2,0,0,0,1,1,1,0,3,0.256
2,1,14,"jal",5,3,3,20,2,3,14,1,3,1,2,8,1,1,1,1,2,0,0,0,1,1,1,0,3,0.256
3,1,14,"jal",5,3,3,20,2,3,14,1,3,1,2,8,1,1,1,1,2,0,0,0,1,1,1,0,3,0.256
4,1,14,"jal",5,3,3,20,2,3,14,1,3,1,2,8,1,1,1,1,2,0,0,0,1,1,1,0,3,0.256
5,1,14,"jal",5,3,3,20,2,3,14,1,3,1,2,8,1,1,1,1,2,0,0,0,1,1,1,0,3,0.256
6,1,14,"jal",5,3,3,20,2,3,14,1,3,1,2,8,1,1,1,1,2,0,0,0,1,1,1,0,3,0.256
7,1,14,"jal",5,3,3,20,2,3,14,1,3,1,2,8,1,1,1,1,2,0,0,0,1,1,1,0,3,0.256
8,1,14,"jal",5,3,3,20,2,3,14,1,3,1,2,8,1,1,1,1,2,0,0,0,1,1,1,0,3,0.256
9,1,14,"jal",5,3,3,20,2,3,14,1,3,1,2,8,1,1,1,1,2,0,0,0,1,1,1,0,3,0.256
10,1,14,"jal",5,3,3,20,2,3,14,1,3,1,2,8,1,1,1,1,2,0,0,0,1,1,1,0,3,0.256
11,1,14,"jal",5,3,3,20,2,3,14,1,3,1,2,8,1,1,1,1,2,0,0,0,1,1,1,0,3,0.256
12,1,14,"jal",5,3,3,20,2,3,14,1,3,1,2,8,1,1,1,1,2,0,0,0,1,1,1,0,3,0.256
13,2,14,"jal",9,17,17,17,4,17,14,2,8,4,4,2,4,2,4,2,4,0,0,0,0,1,0,1,18,0.352
14,2,14,"jal",9,17,17,17,4,17,14,2,8,4,4,2,4,2,4,2,4,0,0,0,0,1,0,1,18,0.352
15,2,14,"jal",9,17,17,17,4,17,14,2,8,4,4,2,4,2,4,2,4,0,0,0,0,1,0,1,18,0.352
16,2,14,"jal",9,17,17,17,4,17,14,2,8,4,4,2,4,2,4,2,4,0,0,0,0,1,0,1,18,0.352
17,2,14,"jal",9,17,17,17,4,17,14,2,8,4,4,2,4,2,4,2,4,0,0,0,0,1,0,1,18,0.352
18,2,14,"jal",9,17,17,17,4,17,14,2,8,4,4,2,4,2,4,2,4,0,0,0,0,1,0,1,18,0.352
19,2,14,"jal",9,17,17,17,4,17,14,2,8,4,4,2,4,2,4,2,4,0,0,0,0,1,0,1,18,0.352
20,2,14,"jal",9,17,17,17,4,17,14,2,8,4,4,2,4,2,4,2,4,0,0,0,0,1,0,1,18,0.352
21,2,14,"jal",9,17,17,17,4,17,14,2,8,4,4,2,4,2,4,2,4,0,0,0,0,1,0,1,18,0.352
22,2,14,"jal",9,17,17,17,4,17,14,2,8,4,4,2,4,2,4,2,4,0,0,0,0,1,0,1,18,0.352
23,2,14,"jal",9,17,17,17,4,17,14,2,8,4,4,2,4,2,4,2,4,0,0,0,0,1,0,1,18,0.352
24,3,14,"jal",17,1,1,1,3,1,14,3,8,3,3,4,3,3,3,1,3,0,0,0,1,1,0,1,18,0.352
25,3,14,"jal",17,1,1,1,3,1,14,3,8,3,3,4,3,3,3,1,3,0,0,0,1,1,0,1,18,0.352
26,3,14,"jal",17,1,1,1,3,1,14,3,8,3,3,4,3,3,3,1,3,0,0,0,1,1,0,1,18,0.352
27,3,14,"jal",17,1,1,1,3,1,14,3,8,3,3,4,3,3,3,1,3,0,0,0,1,1,0,1,18,0.352
28,3,14,"jal",17,1,1,1,3,1,14,3,8,3,3,4,3,3,3,1,3,0,0,0,1,1,0,1,18,0.352
29,3,14,"jal",17,1,1,1,3,1,14,3,8,3,3,4,3,3,3,1,3,0,0,0,1,1,0,1,18,0.352
30,3,14,"jal",17,1,1,1,3,1,14,3,8,3,3,4,3,3,3,1,3,0,0,0,1,1,0,1,18,0.352
31,3,14,"jal",17,1,1,1,3,1,14,3,8,3,3,4,3,3,3,1,3,0,0,0,1,1,0,1,18,0.352
32,3,14,"jal",17,1,1,1,3,1,14,3,8,3,3,4,3,3,3,1,3,0,0,0,1,1,0,1,18,0.352
33,3,14,"jal",17,1,1,1,3,1,14,3,8,3,3,4,3,3,3,1,3,0,0,0,1,1,0,1,18,0.352
34,3,14,"jal",17,1,1,1,3,1,14,3,8,3,3,4,3,3,3,1,3,0,0,0,1,1,0,1,18,0.352
35,3,14,"jal",17,1,1,1,3,1,14,3,8,3,3,4,3,3,3,1,3,0,0,0,1,1,0,1,18,0.352
36,4,14,"jal",9,17,19,19,5,19,14,4,4,5,5,3,5,4,5,20,5,0,0,0,0,1,0,1,18,0.293
37,4,14,"jal",9,17,19,19,5,19,14,4,4,5,5,3,5,4,5,20,5,0,0,0,0,1,0,1,18,0.293
38,4,14,"jal",9,17,19,19,5,19,14,4,4,5,5,3,5,4,5,20,5,0,0,0,0,1,0,1,18,0.293
39,4,14,"jal",9,17,19,19,5,19,14,4,4,5,5,3,5,4,5,20,5,0,0,0,0,1,0,1,18,0.293
40,5,14,"jal",17,1,1,1,3,1,14,5,2,3,3,4,3,3,3,1,3,0,0,0,1,1,0,1,1,0.578
41,5,14,"jal",17,1,1,1,3,1,14,5,2,3,3,4,3,3,3,1,3,0,0,0,1,1,0,1,1,0.578
42,5,14,"jal",17,1,1,1,3,1,14,5,2,3,3,4,3,3,3,1,3,0,0,0,1,1,0,1,1,0.578
43,5,14,"jal",17,1,1,1,3,1,14,5,2,3,3,4,3,3,3,1,3,0,0,0,1,1,0,1,1,0.578
44,5,14,"jal",17,1,1,1,3,1,14,5,2,3,3,4,3,3,3,1,3,0,0,0,1,1,0,1,1,0.578
45,5,14,"jal",17,1,1,1,3,1,14,5,2,3,3,4,3,3,3,1,3,0,0,0,1,1,0,1,1,0.578
46,5,14,"jal",17,1,1,1,3,1,14,5,2,3,3,4,3,3,3,1,3,0,0,0,1,1,0,1,1,0.578
47,5,14,"jal",17,1,1,1,3,1,14,5,2,3,3,4,3,3,3,1,3,0,0,0,1,1,0,1,1,0.578
48,6,14,"jal",12,5,18,18,4,18,14,6,8,3,4,4,3,2,3,3,4,0,0,0,0,1,1,0,18,0.352
50,6,14,"jal",12,5,18,18,4,18,14,6,8,3,4,4,3,2,3,3,4,0,0,0,0,1,1,0,18,0.352
51,6,14,"jal",12,5,18,18,4,18,14,6,8,3,4,4,3,2,3,3,4,0,0,0,0,1,1,0,18,0.352
52,6,14,"jal",12,5,18,18,4,18,14,6,8,3,4,4,3,2,3,3,4,0,0,0,0,1,1,0,18,0.352
53,6,14,"jal",12,5,18,18,4,18,14,6,8,3,4,4,3,2,3,3,4,0,0,0,0,1,1,0,18,0.352
54,6,14,"jal",12,5,18,18,4,18,14,6,8,3,4,4,3,2,3,3,4,0,0,0,0,1,1,0,18,0.352
55,6,14,"jal",12,5,18,18,4,18,14,6,8,3,4,4,3,2,3,3,4,0,0,0,0,1,1,0,18,0.352
56,6,14,"jal",12,5,18,18,4,18,14,6,8,3,4,4,3,2,3,3,4,0,0,0,0,1,1,0,18,0.352
57,6,14,"jal",12,5,18,18,4,18,14,6,8,3,4,4,3,2,3,3,4,0,0,0,0,1,1,0,18,0.352
58,6,14,"jal",12,5,18,18,4,18,14,6,8,3,4,4,3,2,3,3,4,0,0,0,0,1,1,0,18,0.352
59,6,14,"jal",12,5,18,18,4,18,14,6,8,3,4,4,3,2,3,3,4,0,0,0,0,1,1,0,18,0.352
60,6,14,"jal",12,5,18,18,4,18,14,6,8,3,4,4,3,2,3,3,4,0,0,0,0,1,1,0,18,0.352
61,6,14,"jal",12,5,18,18,4,18,14,6,8,3,4,4,3,2,3,3,4,0,0,0,0,1,1,0,18,0.352
62,6,14,"jal",12,5,18,18,4,18,14,6,8,3,4,4,3,2,3,3,4,0,0,0,0,1,1,0,18,0.352
63,6,14,"jal",12,5,18,18,4,18,14,6,8,3,4,4,3,2,3,3,4,0,0,0,0,1,1,0,18,0.352
64,6,14,"jal",12,5,18,18,4,18,14,6,8,3,4,4,3,2,3,3,4,0,0,0,0,1,1,0,18,0.352
65,6,14,"jal",12,5,18,18,4,18,14,6,8,3,4,4,3,2,3,3,4,0,0,0,0,1,1,0,18,0.352
66,6,14,"jal",12,5,18,18,4,18,14,6,8,3,4,4,3,2,3,3,4,0,0,0,0,1,1,0,18,0.352
67,6,14,"jal",12,5,18,18,4,18,14,6,8,3,4,4,3,2,3,3,4,0,0,0,0,1,1,0,18,0.352
68,6,14,"jal",12,5,18,18,4,18,14,6,8,3,4,4,3,2,3,3,4,0,0,0,0,1,1,0,18,0.352
69,6,14,"jal",12,5,18,18,4,18,14,6,8,3,4,4,3,2,3,3,4,0,0,0,0,1,1,0,18,0.352
70,6,14,"jal",12,5,18,18,4,18,14,6,8,3,4,4,3,2,3,3,4,0,0,0,0,1,1,0,18,0.352
71,6,14,"jal",12,5,18,18,4,18,14,6,8,3,4,4,3,2,3,3,4,0,0,0,0,1,1,0,18,0.352
72,6,14,"jal",12,5,18,18,4,18,14,6,8,3,4,4,3,2,3,3,4,0,0,0,0,1,1,0,18,0.352
73,6,14,"jal",12,5,18,18,4,18,14,6,8,3,4,4,3,2,3,3,4,0,0,0,0,1,1,0,18,0.352
74,6,14,"jal",12,5,18,18,4,18,14,6,8,3,4,4,3,2,3,3,4,0,0,0,0,1,1,0,18,0.352
75,6,14,"jal",12,5,18,18,4,18,14,6,8,3,4,4,3,2,3,3,4,0,0,0,0,1,1,0,18,0.352
76,6,14,"jal",12,5,18,18,4,18,14,6,8,3,4,4,3,2,3,3,4,0,0,0,0,1,1,0,18,0.352
77,6,14,"jal",12,5,18,18,4,18,14,6,8,3,4,4,3,2,3,3,4,0,0,0,0,1,1,0,18,0.352
