"seccion","munn.x","edon.x","edo","disfed1979","disfed1997","disfed2006","disfed2018","disloc2016","disloc2013","cab","X","edon.y","munn.y","escenario1","escenario2","escenario3","pan_clv1","pan_clv2","esc1_panCLV1","esc2_panCLV2","SQ","dsiSQ_E1"
56,5,32,"zac",2,3,1,1,2,3,"zacatecas",56,32,5,15,15,14,10,14,0,0,3,0.429
57,5,32,"zac",2,3,1,1,2,3,"zacatecas",57,32,5,15,15,14,10,14,0,0,3,0.429
58,5,32,"zac",2,3,1,1,2,3,"zacatecas",58,32,5,15,15,14,10,14,0,0,3,0.429
59,5,32,"zac",2,3,1,1,2,3,"zacatecas",59,32,5,15,15,14,10,14,0,0,3,0.429
60,5,32,"zac",2,3,1,1,2,3,"zacatecas",60,32,5,15,15,14,10,14,0,0,3,0.429
61,6,32,"zac",4,2,3,1,16,12,"rio grande",61,32,6,16,16,17,14,17,0,0,12,1
62,6,32,"zac",4,2,3,1,16,12,"rio grande",62,32,6,16,16,17,14,17,0,0,12,1
63,6,32,"zac",4,2,3,1,16,12,"rio grande",63,32,6,16,16,17,14,17,0,0,12,1
64,6,32,"zac",4,2,3,1,16,12,"rio grande",64,32,6,16,16,17,14,17,0,0,12,1
65,6,32,"zac",4,2,3,1,16,12,"rio grande",65,32,6,16,16,17,14,17,0,0,12,1
66,6,32,"zac",4,2,3,1,16,12,"rio grande",66,32,6,16,16,17,14,17,0,0,12,1
67,6,32,"zac",4,2,3,1,16,12,"rio grande",67,32,6,16,16,17,14,17,0,0,12,1
68,6,32,"zac",4,2,3,1,16,12,"rio grande",68,32,6,16,16,17,14,17,0,0,12,1
69,6,32,"zac",4,2,3,1,16,12,"rio grande",69,32,6,16,16,17,14,17,0,0,12,1
70,6,32,"zac",4,2,3,1,16,12,"rio grande",70,32,6,16,16,17,14,17,0,0,12,1
71,6,32,"zac",4,2,3,1,16,12,"rio grande",71,32,6,16,16,17,14,17,0,0,12,1
73,7,32,"zac",4,1,3,3,12,18,"villa de cos",72,32,7,18,18,15,14,15,0,0,18,0.457
74,7,32,"zac",4,1,3,3,12,18,"villa de cos",73,32,7,18,18,15,14,15,0,0,18,0.457
75,7,32,"zac",4,1,3,3,12,18,"villa de cos",74,32,7,18,18,15,14,15,0,0,18,0.457
76,7,32,"zac",4,1,3,3,12,18,"villa de cos",75,32,7,18,18,15,14,15,0,0,18,0.457
77,7,32,"zac",4,1,3,3,12,18,"villa de cos",76,32,7,18,18,15,14,15,0,0,18,0.457
78,7,32,"zac",4,1,3,3,12,18,"villa de cos",77,32,7,18,18,15,14,15,0,0,18,0.457
79,7,32,"zac",4,1,3,3,12,18,"villa de cos",78,32,7,18,18,15,14,15,0,0,18,0.457
80,7,32,"zac",4,1,3,3,12,18,"villa de cos",79,32,7,18,18,15,14,15,0,0,18,0.457
82,7,32,"zac",4,1,3,3,12,18,"villa de cos",80,32,7,18,18,15,14,15,0,0,18,0.457
83,7,32,"zac",4,1,3,3,12,18,"villa de cos",81,32,7,18,18,15,14,15,0,0,18,0.457
84,7,32,"zac",4,1,3,3,12,18,"villa de cos",82,32,7,18,18,15,14,15,0,0,18,0.457
85,7,32,"zac",4,1,3,3,12,18,"villa de cos",83,32,7,18,18,15,14,15,0,0,18,0.457
86,7,32,"zac",4,1,3,3,12,18,"villa de cos",84,32,7,18,18,15,14,15,0,0,18,0.457
87,7,32,"zac",4,1,3,3,12,18,"villa de cos",85,32,7,18,18,15,14,15,0,0,18,0.457
88,7,32,"zac",4,1,3,3,12,18,"villa de cos",86,32,7,18,18,15,14,15,0,0,18,0.457
89,7,32,"zac",4,1,3,3,12,18,"villa de cos",87,32,7,18,18,15,14,15,0,0,18,0.457
90,7,32,"zac",4,1,3,3,12,18,"villa de cos",88,32,7,18,18,15,14,15,0,0,18,0.457
91,7,32,"zac",4,1,3,3,12,18,"villa de cos",89,32,7,18,18,15,14,15,0,0,18,0.457
92,7,32,"zac",4,1,3,3,12,18,"villa de cos",90,32,7,18,18,15,14,15,0,0,18,0.457
93,7,32,"zac",4,1,3,3,12,18,"villa de cos",91,32,7,18,18,15,14,15,0,0,18,0.457
94,7,32,"zac",4,1,3,3,12,18,"villa de cos",92,32,7,18,18,15,14,15,0,0,18,0.457
95,7,32,"zac",4,1,3,3,12,18,"villa de cos",93,32,7,18,18,15,14,15,0,0,18,0.457
96,7,32,"zac",4,1,3,3,12,18,"villa de cos",94,32,7,18,18,15,14,15,0,0,18,0.457
97,7,32,"zac",4,1,3,3,12,18,"villa de cos",95,32,7,18,18,15,14,15,0,0,18,0.457
98,7,32,"zac",4,1,3,3,12,18,"villa de cos",96,32,7,18,18,15,14,15,0,0,18,0.457
99,7,32,"zac",4,1,3,3,12,18,"villa de cos",97,32,7,18,18,15,14,15,0,0,18,0.457
101,7,32,"zac",4,1,3,3,12,18,"villa de cos",98,32,7,18,18,15,14,15,0,0,18,0.457
102,7,32,"zac",4,1,3,3,12,18,"villa de cos",99,32,7,18,18,15,14,15,0,0,18,0.457
103,8,32,"zac",5,3,2,2,11,6,"villanueva",100,32,8,2,2,6,4,6,0,0,15,0.218
104,8,32,"zac",5,3,2,2,11,6,"villanueva",101,32,8,2,2,6,4,6,0,0,15,0.218
105,8,32,"zac",5,3,2,2,11,6,"villanueva",102,32,8,2,2,6,4,6,0,0,15,0.218
106,8,32,"zac",5,3,2,2,11,6,"villanueva",103,32,8,2,2,6,4,6,0,0,15,0.218
107,8,32,"zac",5,3,2,2,11,6,"villanueva",104,32,8,2,2,6,4,6,0,0,15,0.218
108,8,32,"zac",5,3,2,2,11,6,"villanueva",105,32,8,2,2,6,4,6,0,0,15,0.218
109,8,32,"zac",5,3,2,2,11,6,"villanueva",106,32,8,2,2,6,4,6,0,0,15,0.218
110,8,32,"zac",5,3,2,2,11,6,"villanueva",107,32,8,2,2,6,4,6,0,0,15,0.218
111,8,32,"zac",5,3,2,2,11,6,"villanueva",108,32,8,2,2,6,4,6,0,0,15,0.218
112,8,32,"zac",5,3,2,2,11,6,"villanueva",109,32,8,2,2,6,4,6,0,0,15,0.218
113,8,32,"zac",5,3,2,2,11,6,"villanueva",110,32,8,2,2,6,4,6,0,0,15,0.218
114,9,32,"zac",2,2,1,1,17,16,"chalchihuites",111,32,9,14,14,18,15,18,0,0,7,0.659
115,9,32,"zac",2,2,1,1,17,16,"chalchihuites",112,32,9,14,14,18,15,18,0,0,7,0.659
116,9,32,"zac",2,2,1,1,17,16,"chalchihuites",113,32,9,14,14,18,15,18,0,0,7,0.659
117,9,32,"zac",2,2,1,1,17,16,"chalchihuites",114,32,9,14,14,18,15,18,0,0,7,0.659
118,9,32,"zac",2,2,1,1,17,16,"chalchihuites",115,32,9,14,14,18,15,18,0,0,7,0.659
119,9,32,"zac",2,2,1,1,17,16,"chalchihuites",116,32,9,14,14,18,15,18,0,0,7,0.659
120,9,32,"zac",2,2,1,1,17,16,"chalchihuites",117,32,9,14,14,18,15,18,0,0,7,0.659
121,9,32,"zac",2,2,1,1,17,16,"chalchihuites",118,32,9,14,14,18,15,18,0,0,7,0.659
122,9,32,"zac",2,2,1,1,17,16,"chalchihuites",119,32,9,14,14,18,15,18,0,0,7,0.659
123,9,32,"zac",2,2,1,1,17,16,"chalchihuites",120,32,9,14,14,18,15,18,0,0,7,0.659
124,9,32,"zac",2,2,1,1,17,16,"chalchihuites",121,32,9,14,14,18,15,18,0,0,7,0.659
125,9,32,"zac",2,2,1,1,17,16,"chalchihuites",122,32,9,14,14,18,15,18,0,0,7,0.659
126,9,32,"zac",2,2,1,1,17,16,"chalchihuites",123,32,9,14,14,18,15,18,0,0,7,0.659
127,9,32,"zac",2,2,1,1,17,16,"chalchihuites",124,32,9,14,14,18,15,18,0,0,7,0.659
128,9,32,"zac",2,2,1,1,17,16,"chalchihuites",125,32,9,14,14,18,15,18,0,0,7,0.659
129,9,32,"zac",2,2,1,1,17,16,"chalchihuites",126,32,9,14,14,18,15,18,0,0,7,0.659
130,9,32,"zac",2,2,1,1,17,16,"chalchihuites",127,32,9,14,14,18,15,18,0,0,7,0.659
131,9,32,"zac",2,2,1,1,17,16,"chalchihuites",128,32,9,14,14,18,15,18,0,0,7,0.659
132,9,32,"zac",2,2,1,1,17,16,"chalchihuites",129,32,9,14,14,18,15,18,0,0,7,0.659
133,9,32,"zac",2,2,1,1,17,16,"chalchihuites",130,32,9,14,14,18,15,18,0,0,7,0.659
134,9,32,"zac",2,2,1,1,17,16,"chalchihuites",131,32,9,14,14,18,15,18,0,0,7,0.659
135,10,32,"zac",2,1,1,1,7,11,"fresnillo",132,32,10,8,8,12,11,12,0,0,18,0.257
136,10,32,"zac",2,1,1,1,7,11,"fresnillo",133,32,10,8,8,12,11,12,0,0,18,0.257
137,10,32,"zac",2,1,1,1,5,11,"fresnillo",134,32,10,8,8,10,11,10,0,0,18,0.257
138,10,32,"zac",2,1,1,1,5,8,"fresnillo",135,32,10,8,8,10,11,10,0,0,18,0.257
139,10,32,"zac",2,1,1,1,5,8,"fresnillo",136,32,10,8,8,10,11,10,0,0,18,0.257
140,10,32,"zac",2,1,1,1,5,8,"fresnillo",137,32,10,9,9,10,12,10,0,0,8,0.421
141,10,32,"zac",2,1,1,1,5,8,"fresnillo",138,32,10,9,9,10,11,10,0,0,8,0.421
142,10,32,"zac",2,1,1,1,5,8,"fresnillo",139,32,10,9,9,10,11,10,0,0,8,0.421
143,10,32,"zac",2,1,1,1,5,8,"fresnillo",140,32,10,8,8,10,11,10,0,0,18,0.257
144,10,32,"zac",2,1,1,1,5,8,"fresnillo",141,32,10,8,8,10,11,10,0,0,18,0.257
145,10,32,"zac",2,1,1,1,5,8,"fresnillo",142,32,10,8,8,10,11,10,0,0,18,0.257
146,10,32,"zac",2,1,1,1,5,11,"fresnillo",143,32,10,8,8,10,11,10,0,0,18,0.257
147,10,32,"zac",2,1,1,1,5,11,"fresnillo",144,32,10,8,8,10,11,10,0,0,18,0.257
148,10,32,"zac",2,1,1,1,7,11,"fresnillo",145,32,10,7,7,12,11,12,0,0,11,0.331
149,10,32,"zac",2,1,1,1,6,11,"fresnillo",146,32,10,7,7,11,11,11,0,0,11,0.331
150,10,32,"zac",2,1,1,1,6,11,"fresnillo",147,32,10,8,8,11,11,11,0,0,18,0.257
151,10,32,"zac",2,1,1,1,6,11,"fresnillo",148,32,10,8,8,11,11,11,0,0,18,0.257
152,10,32,"zac",2,1,1,1,6,8,"fresnillo",149,32,10,8,8,11,11,11,0,0,18,0.257
153,10,32,"zac",2,1,1,1,5,8,"fresnillo",150,32,10,8,8,10,11,10,0,0,18,0.257
154,10,32,"zac",2,1,1,1,5,8,"fresnillo",151,32,10,9,9,10,12,10,0,0,8,0.421
155,10,32,"zac",2,1,1,1,5,8,"fresnillo",152,32,10,9,9,10,12,10,0,0,8,0.421
156,10,32,"zac",2,1,1,1,6,8,"fresnillo",153,32,10,9,9,11,12,11,0,0,8,0.421
157,10,32,"zac",2,1,1,1,5,8,"fresnillo",154,32,10,9,9,10,12,10,0,0,8,0.421
158,10,32,"zac",2,1,1,1,6,8,"fresnillo",155,32,10,9,9,11,12,11,0,0,8,0.421
159,10,32,"zac",2,1,1,1,6,11,"fresnillo",156,32,10,8,8,11,11,11,0,0,18,0.257
160,10,32,"zac",2,1,1,1,6,11,"fresnillo",157,32,10,8,8,11,11,11,0,0,18,0.257
161,10,32,"zac",2,1,1,1,6,11,"fresnillo",158,32,10,8,8,11,11,11,0,0,18,0.257
162,10,32,"zac",2,1,1,1,6,11,"fresnillo",159,32,10,7,7,11,11,11,0,0,11,0.331
163,10,32,"zac",2,1,1,1,7,11,"fresnillo",160,32,10,7,7,12,11,12,0,0,11,0.331
164,10,32,"zac",2,1,1,1,6,11,"fresnillo",161,32,10,7,7,11,11,11,0,0,11,0.331
165,10,32,"zac",2,1,1,1,6,11,"fresnillo",162,32,10,9,9,11,11,11,0,0,8,0.421
166,10,32,"zac",2,1,1,1,6,11,"fresnillo",163,32,10,9,9,11,12,11,0,0,8,0.421
167,10,32,"zac",2,1,1,1,6,8,"fresnillo",164,32,10,9,9,11,12,11,0,0,8,0.421
168,10,32,"zac",2,1,1,1,6,8,"fresnillo",165,32,10,9,9,11,12,11,0,0,8,0.421
169,10,32,"zac",2,1,1,1,6,8,"fresnillo",166,32,10,9,9,11,12,11,0,0,8,0.421
