"seccion","munn.x","edon.x","edo","disfed1979","disfed1997","disfed2006","disfed2018","disloc2018","disloc2012","cab","X","edon.y","munn.y","escenario1","escenario2","escenario3_jge","escenario3","mc_clv1","pan_iee1","pri_clv1","pan_clv2","prd_clv2","prd_cnv2","esc1_priCLV1","esc1_panIEE1","esc1_mcCLV1","esc2_panCLV2","esc2_prdCLV2","esc2_prdCNV2","SQ","dsiSQ_E1"
173,6,17,"mor",2,3,3,3,7,15,"cuautla",173,17,6,12,12,12,12,1,7,4,6,12,12,0,0,0,0,1,1,14,0.482
174,6,17,"mor",2,3,3,3,7,15,"cuautla",174,17,6,12,12,12,12,1,7,4,6,12,12,0,0,0,0,1,1,14,0.482
175,6,17,"mor",2,3,3,3,7,15,"cuautla",175,17,6,12,12,12,12,1,7,4,6,12,12,0,0,0,0,1,1,14,0.482
176,6,17,"mor",2,3,3,3,7,15,"cuautla",176,17,6,12,12,12,11,1,7,4,6,12,11,0,0,0,0,1,0,14,0.482
177,6,17,"mor",2,3,3,3,7,15,"cuautla",177,17,6,11,11,12,11,1,7,3,6,12,11,0,0,0,0,0,1,17,0.589
178,6,17,"mor",2,3,3,3,7,15,"cuautla",178,17,6,12,12,12,12,1,7,4,6,12,12,0,0,0,0,1,1,14,0.482
179,6,17,"mor",2,3,3,3,7,15,"cuautla",179,17,6,12,12,12,12,1,7,4,6,12,12,0,0,0,0,1,1,14,0.482
180,6,17,"mor",2,3,3,3,7,15,"cuautla",180,17,6,12,12,12,12,1,7,3,6,12,12,0,0,0,0,1,1,14,0.482
181,6,17,"mor",2,3,3,3,4,14,"yecapixtla",181,17,6,12,12,11,12,2,8,4,5,11,12,0,0,0,0,0,1,14,0.482
182,6,17,"mor",2,3,3,3,7,14,"cuautla",182,17,6,12,12,12,12,2,8,4,6,12,12,0,0,0,0,1,1,14,0.482
183,6,17,"mor",2,3,3,3,7,14,"cuautla",183,17,6,12,12,12,12,2,8,4,6,12,12,0,0,0,0,1,1,14,0.482
184,6,17,"mor",2,3,3,3,7,14,"cuautla",184,17,6,12,12,12,12,2,8,4,6,12,12,0,0,0,0,1,1,14,0.482
185,6,17,"mor",2,3,3,3,7,15,"cuautla",185,17,6,12,12,12,12,2,8,4,6,12,12,0,0,0,0,1,1,14,0.482
186,6,17,"mor",2,3,3,3,7,15,"cuautla",186,17,6,12,12,12,12,2,8,4,6,12,12,0,0,0,0,1,1,14,0.482
187,6,17,"mor",2,3,3,3,7,15,"cuautla",187,17,6,11,11,12,11,1,7,3,6,12,11,0,0,0,0,0,1,17,0.589
188,7,17,"mor",1,1,1,1,2,1,"cuernavaca",188,17,7,10,10,9,9,5,3,10,8,9,9,1,0,0,0,0,0,4,0.342
189,7,17,"mor",1,1,1,1,1,1,"cuernavaca",189,17,7,10,10,8,8,5,3,10,8,8,8,1,0,0,0,0,0,4,0.342
190,7,17,"mor",1,1,1,1,1,1,"cuernavaca",190,17,7,8,8,8,8,5,3,10,8,8,8,0,0,0,1,1,1,2,0.33
191,7,17,"mor",1,1,1,1,1,1,"cuernavaca",191,17,7,8,8,8,8,5,3,6,8,8,8,0,0,0,1,1,1,2,0.33
192,7,17,"mor",1,1,1,1,1,1,"cuernavaca",192,17,7,8,8,8,8,6,3,6,8,8,8,0,0,0,1,1,1,2,0.33
193,7,17,"mor",1,1,1,1,1,1,"cuernavaca",193,17,7,8,8,8,8,5,3,6,8,8,8,0,0,0,1,1,1,2,0.33
194,7,17,"mor",1,1,1,1,1,2,"cuernavaca",194,17,7,8,8,8,8,5,3,6,8,8,8,0,0,0,1,1,1,2,0.33
195,7,17,"mor",1,1,1,1,1,2,"cuernavaca",195,17,7,8,8,8,8,5,3,6,8,8,8,0,0,0,1,1,1,2,0.33
196,7,17,"mor",1,1,1,1,1,2,"cuernavaca",196,17,7,8,8,8,8,5,3,8,8,8,8,1,0,0,1,1,1,2,0.33
197,7,17,"mor",1,1,1,1,1,2,"cuernavaca",197,17,7,8,8,8,8,5,2,8,8,8,8,1,0,0,1,1,1,2,0.33
198,7,17,"mor",1,1,1,1,1,2,"cuernavaca",198,17,7,8,8,8,8,6,2,8,8,8,8,1,0,0,1,1,1,2,0.33
199,7,17,"mor",1,1,1,1,1,2,"cuernavaca",199,17,7,8,8,8,8,6,2,6,8,8,8,0,0,0,1,1,1,2,0.33
200,7,17,"mor",1,1,1,1,1,1,"cuernavaca",200,17,7,8,8,8,8,6,3,6,8,8,8,0,0,0,1,1,1,2,0.33
201,7,17,"mor",1,1,1,1,1,1,"cuernavaca",201,17,7,8,8,8,8,6,3,6,8,8,8,0,0,0,1,1,1,2,0.33
202,7,17,"mor",1,1,1,1,1,1,"cuernavaca",202,17,7,8,8,8,8,5,3,6,8,8,8,0,0,0,1,1,1,2,0.33
203,7,17,"mor",1,1,1,1,1,1,"cuernavaca",203,17,7,8,8,8,8,5,3,6,8,8,8,0,0,0,1,1,1,2,0.33
204,7,17,"mor",1,1,1,1,1,1,"cuernavaca",204,17,7,8,8,8,8,5,3,10,8,8,8,0,0,0,1,1,1,2,0.33
205,7,17,"mor",1,1,1,1,1,1,"cuernavaca",205,17,7,10,10,8,8,5,3,10,8,8,8,1,0,0,0,0,0,4,0.342
206,7,17,"mor",1,1,1,1,2,1,"cuernavaca",206,17,7,10,10,9,9,5,3,10,8,9,9,1,0,0,0,0,0,4,0.342
207,7,17,"mor",1,1,1,1,2,1,"cuernavaca",207,17,7,10,10,9,9,5,3,10,10,9,9,1,0,0,1,0,0,4,0.342
208,7,17,"mor",1,1,1,1,2,1,"cuernavaca",208,17,7,10,10,9,9,5,3,10,10,9,9,1,0,0,1,0,0,4,0.342
209,7,17,"mor",1,1,1,1,2,1,"cuernavaca",209,17,7,10,10,9,9,5,3,10,10,9,9,1,0,0,1,0,0,4,0.342
210,7,17,"mor",1,1,1,1,2,1,"cuernavaca",210,17,7,10,10,9,9,5,3,10,10,9,9,1,0,0,1,0,0,4,0.342
211,7,17,"mor",1,1,1,1,2,1,"cuernavaca",211,17,7,10,10,9,9,5,3,10,8,9,9,1,0,0,0,0,0,4,0.342
212,7,17,"mor",1,1,1,1,1,1,"cuernavaca",212,17,7,10,10,8,8,5,3,10,8,8,8,1,0,0,0,0,0,4,0.342
213,7,17,"mor",1,1,1,1,1,1,"cuernavaca",213,17,7,8,8,8,8,5,3,10,8,8,8,0,0,0,1,1,1,2,0.33
214,7,17,"mor",1,1,1,1,1,1,"cuernavaca",214,17,7,8,8,8,8,5,3,10,8,8,8,0,0,0,1,1,1,2,0.33
215,7,17,"mor",1,1,1,1,1,1,"cuernavaca",215,17,7,8,8,8,8,6,3,6,8,8,8,0,0,0,1,1,1,2,0.33
216,7,17,"mor",1,1,1,1,1,1,"cuernavaca",216,17,7,8,8,8,8,6,2,6,8,8,8,0,0,0,1,1,1,2,0.33
217,7,17,"mor",1,1,1,1,1,1,"cuernavaca",217,17,7,8,8,8,8,6,2,6,8,8,8,0,0,0,1,1,1,2,0.33
218,7,17,"mor",1,1,1,1,1,1,"cuernavaca",218,17,7,8,8,8,8,6,2,6,8,8,8,0,0,0,1,1,1,2,0.33
219,7,17,"mor",1,1,1,1,1,2,"cuernavaca",219,17,7,8,8,8,8,6,2,6,8,8,8,0,0,0,1,1,1,2,0.33
220,7,17,"mor",1,1,1,1,1,2,"cuernavaca",220,17,7,8,8,8,8,6,2,8,8,8,8,1,0,0,1,1,1,2,0.33
221,7,17,"mor",1,1,1,1,1,2,"cuernavaca",221,17,7,8,8,8,8,6,2,8,8,8,8,1,0,0,1,1,1,2,0.33
222,7,17,"mor",1,1,1,1,1,2,"cuernavaca",222,17,7,8,8,8,8,5,2,8,8,8,8,1,0,0,1,1,1,2,0.33
223,7,17,"mor",1,1,1,1,1,2,"cuernavaca",223,17,7,8,8,8,8,5,2,8,8,8,8,1,0,0,1,1,1,2,0.33
224,7,17,"mor",1,1,1,1,1,2,"cuernavaca",224,17,7,8,8,8,8,6,2,8,8,8,8,1,0,0,1,1,1,2,0.33
225,7,17,"mor",1,1,1,1,1,2,"cuernavaca",225,17,7,8,8,8,8,5,2,8,8,8,8,1,0,0,1,1,1,2,0.33
226,7,17,"mor",1,1,1,1,1,2,"cuernavaca",226,17,7,8,8,8,8,5,2,8,8,8,8,1,0,0,1,1,1,2,0.33
227,7,17,"mor",1,1,1,1,1,2,"cuernavaca",227,17,7,8,8,8,8,6,2,8,8,8,8,1,0,0,1,1,1,2,0.33
228,7,17,"mor",1,1,1,1,1,2,"cuernavaca",228,17,7,8,8,8,8,6,2,6,8,8,8,0,0,0,1,1,1,2,0.33
229,7,17,"mor",1,1,1,1,1,2,"cuernavaca",229,17,7,8,8,8,8,6,2,6,8,8,8,0,0,0,1,1,1,2,0.33
230,7,17,"mor",1,1,1,1,1,2,"cuernavaca",230,17,7,8,8,8,8,6,2,6,8,8,8,0,0,0,1,1,1,2,0.33
231,7,17,"mor",1,1,1,1,1,1,"cuernavaca",231,17,7,8,8,8,8,6,2,6,8,8,8,0,0,0,1,1,1,2,0.33
232,7,17,"mor",1,1,1,1,1,1,"cuernavaca",232,17,7,8,8,8,8,5,2,6,8,8,8,0,0,0,1,1,1,2,0.33
233,7,17,"mor",1,1,1,1,1,1,"cuernavaca",233,17,7,8,8,8,8,5,2,6,8,8,8,0,0,0,1,1,1,2,0.33
234,7,17,"mor",1,1,1,1,1,1,"cuernavaca",234,17,7,8,8,8,8,5,3,6,8,8,8,0,0,0,1,1,1,2,0.33
235,7,17,"mor",1,1,1,1,1,1,"cuernavaca",235,17,7,8,8,8,8,5,3,10,8,8,8,0,0,0,1,1,1,2,0.33
236,7,17,"mor",1,1,1,1,1,1,"cuernavaca",236,17,7,8,8,8,8,5,3,10,8,8,8,0,0,0,1,1,1,2,0.33
237,7,17,"mor",1,1,1,1,1,1,"cuernavaca",237,17,7,8,8,8,8,5,3,10,8,8,8,0,0,0,1,1,1,2,0.33
238,7,17,"mor",1,1,1,1,2,1,"cuernavaca",238,17,7,10,10,9,9,5,3,10,8,9,9,1,0,0,0,0,0,4,0.342
239,7,17,"mor",1,1,1,1,2,1,"cuernavaca",239,17,7,10,10,9,9,5,3,10,10,9,9,1,0,0,1,0,0,4,0.342
240,7,17,"mor",1,1,1,1,2,1,"cuernavaca",240,17,7,10,10,9,9,5,3,10,10,9,9,1,0,0,1,0,0,4,0.342
241,7,17,"mor",1,1,1,1,2,1,"cuernavaca",241,17,7,10,10,9,9,5,3,10,10,9,9,1,0,0,1,0,0,4,0.342
242,7,17,"mor",1,1,1,1,2,1,"cuernavaca",242,17,7,10,10,9,9,5,3,10,10,9,9,1,0,0,1,0,0,4,0.342
243,7,17,"mor",1,1,1,1,2,1,"cuernavaca",243,17,7,10,10,9,9,5,3,10,10,9,9,1,0,0,1,0,0,4,0.342
244,7,17,"mor",1,1,1,1,2,3,"cuernavaca",244,17,7,10,10,9,9,5,2,10,10,9,9,1,0,0,1,0,0,4,0.342
245,7,17,"mor",1,1,1,1,1,3,"cuernavaca",245,17,7,8,8,8,8,5,2,10,8,8,8,0,0,0,1,1,1,2,0.33
246,7,17,"mor",1,1,1,1,1,3,"cuernavaca",246,17,7,8,8,8,8,6,2,10,8,8,8,0,0,0,1,1,1,2,0.33
247,7,17,"mor",1,1,1,1,1,3,"cuernavaca",247,17,7,8,8,8,8,6,2,6,8,8,8,0,0,0,1,1,1,2,0.33
248,7,17,"mor",1,1,1,1,1,3,"cuernavaca",248,17,7,8,8,8,8,6,2,6,8,8,8,0,0,0,1,1,1,2,0.33
249,7,17,"mor",1,1,1,1,1,3,"cuernavaca",249,17,7,8,8,8,8,6,2,6,8,8,8,0,0,0,1,1,1,2,0.33
250,7,17,"mor",1,1,1,1,1,3,"cuernavaca",250,17,7,8,8,8,8,6,2,6,8,8,8,0,0,0,1,1,1,2,0.33
251,7,17,"mor",1,1,1,1,1,2,"cuernavaca",251,17,7,8,8,8,8,6,2,6,8,8,8,0,0,0,1,1,1,2,0.33
252,7,17,"mor",1,1,1,1,1,2,"cuernavaca",252,17,7,8,8,8,8,6,2,8,8,8,8,1,0,0,1,1,1,2,0.33
253,7,17,"mor",1,1,1,1,1,2,"cuernavaca",253,17,7,8,8,8,8,5,2,6,8,8,8,0,0,0,1,1,1,2,0.33
254,7,17,"mor",1,1,1,1,1,2,"cuernavaca",254,17,7,8,8,8,8,6,2,6,8,8,8,0,0,0,1,1,1,2,0.33
255,7,17,"mor",1,1,1,1,1,2,"cuernavaca",255,17,7,8,8,8,8,6,2,6,8,8,8,0,0,0,1,1,1,2,0.33
256,7,17,"mor",1,1,1,1,3,2,"tepoztlán",256,17,7,9,9,10,10,6,2,6,9,10,10,0,0,0,1,0,0,4,0.171
257,7,17,"mor",1,1,1,1,3,2,"tepoztlán",257,17,7,9,9,10,10,6,2,8,9,10,10,0,0,0,1,0,0,4,0.171
258,7,17,"mor",1,1,1,1,3,2,"tepoztlán",258,17,7,9,9,10,10,6,2,6,9,10,10,0,0,0,1,0,0,4,0.171
259,7,17,"mor",1,1,1,1,3,2,"tepoztlán",259,17,7,9,9,10,10,6,2,6,9,10,10,0,0,0,1,0,0,4,0.171
260,7,17,"mor",1,1,1,1,3,2,"tepoztlán",260,17,7,9,9,10,10,6,2,6,9,10,10,0,0,0,1,0,0,4,0.171
261,7,17,"mor",1,1,1,1,3,2,"tepoztlán",261,17,7,9,9,10,10,6,2,6,9,10,10,0,0,0,1,0,0,4,0.171
262,7,17,"mor",1,1,1,1,1,2,"cuernavaca",262,17,7,8,8,8,8,6,2,6,8,8,8,0,0,0,1,1,1,2,0.33
263,7,17,"mor",1,1,1,1,1,2,"cuernavaca",263,17,7,8,8,8,8,6,2,6,8,8,8,0,0,0,1,1,1,2,0.33
264,7,17,"mor",1,1,1,1,1,2,"cuernavaca",264,17,7,8,8,8,8,4,2,6,8,8,8,0,0,0,1,1,1,2,0.33
265,7,17,"mor",1,1,1,1,1,2,"cuernavaca",265,17,7,8,8,8,8,6,2,6,8,8,8,0,0,0,1,1,1,2,0.33
266,7,17,"mor",1,1,1,1,1,3,"cuernavaca",266,17,7,8,8,8,8,6,2,6,8,8,8,0,0,0,1,1,1,2,0.33
267,7,17,"mor",1,1,1,1,1,3,"cuernavaca",267,17,7,8,8,8,8,6,2,6,8,8,8,0,0,0,1,1,1,2,0.33
268,7,17,"mor",1,1,1,1,1,3,"cuernavaca",268,17,7,8,8,8,8,6,2,6,8,8,8,0,0,0,1,1,1,2,0.33
269,7,17,"mor",1,1,1,1,1,3,"cuernavaca",269,17,7,8,8,8,8,6,2,10,8,8,8,0,0,0,1,1,1,2,0.33
270,7,17,"mor",1,1,1,1,1,3,"cuernavaca",270,17,7,8,8,8,8,6,2,10,8,8,8,0,0,0,1,1,1,2,0.33
271,7,17,"mor",1,1,1,1,2,3,"cuernavaca",271,17,7,10,10,9,9,6,2,10,10,9,9,1,0,0,1,0,0,4,0.342
272,7,17,"mor",1,1,1,1,2,1,"cuernavaca",272,17,7,10,10,9,9,5,3,10,10,9,9,1,0,0,1,0,0,4,0.342
273,7,17,"mor",1,1,1,1,2,3,"cuernavaca",273,17,7,10,10,9,9,5,3,10,10,9,9,1,0,0,1,0,0,4,0.342
274,7,17,"mor",1,1,1,1,2,3,"cuernavaca",274,17,7,10,10,9,9,5,2,10,10,9,9,1,0,0,1,0,0,4,0.342
275,7,17,"mor",1,1,1,1,2,3,"cuernavaca",275,17,7,10,10,9,9,5,2,10,10,9,9,1,0,0,1,0,0,4,0.342
276,7,17,"mor",1,1,1,1,2,3,"cuernavaca",276,17,7,10,10,9,9,5,2,10,10,9,9,1,0,0,1,0,0,4,0.342
277,7,17,"mor",1,1,1,1,2,3,"cuernavaca",277,17,7,10,10,9,9,4,2,10,10,9,9,1,0,0,1,0,0,4,0.342
278,7,17,"mor",1,1,1,1,1,3,"cuernavaca",278,17,7,8,8,8,8,6,2,10,8,8,8,0,0,0,1,1,1,2,0.33
279,7,17,"mor",1,1,1,1,1,3,"cuernavaca",279,17,7,8,8,8,8,6,2,6,8,8,8,0,0,0,1,1,1,2,0.33
280,7,17,"mor",1,1,1,1,1,3,"cuernavaca",280,17,7,8,8,8,8,4,2,6,8,8,8,0,0,0,1,1,1,2,0.33
281,7,17,"mor",1,1,1,1,1,2,"cuernavaca",281,17,7,8,8,8,8,6,2,6,8,8,8,0,0,0,1,1,1,2,0.33
282,7,17,"mor",1,1,1,1,3,2,"tepoztlán",282,17,7,9,9,10,10,6,2,6,9,10,10,0,0,0,1,0,0,4,0.171
283,7,17,"mor",1,1,1,1,3,2,"tepoztlán",283,17,7,9,9,10,10,6,2,6,9,10,10,0,0,0,1,0,0,4,0.171
284,7,17,"mor",1,1,1,1,3,2,"tepoztlán",284,17,7,9,9,10,10,6,2,6,9,10,10,0,0,0,1,0,0,4,0.171
285,7,17,"mor",1,1,1,1,3,2,"tepoztlán",285,17,7,9,9,10,10,6,2,6,9,10,10,0,0,0,1,0,0,4,0.171
286,7,17,"mor",1,1,1,1,3,2,"tepoztlán",286,17,7,9,9,10,10,6,2,6,9,10,10,0,0,0,1,0,0,4,0.171
287,7,17,"mor",1,1,1,1,3,2,"tepoztlán",287,17,7,9,9,10,10,6,2,6,9,10,10,0,0,0,1,0,0,4,0.171
288,7,17,"mor",1,1,1,1,3,2,"tepoztlán",288,17,7,9,9,10,10,6,2,6,9,10,10,0,0,0,1,0,0,4,0.171
289,7,17,"mor",1,1,1,1,1,2,"cuernavaca",289,17,7,8,8,8,8,6,2,6,8,8,8,0,0,0,1,1,1,2,0.33
290,7,17,"mor",1,1,1,1,1,2,"cuernavaca",290,17,7,8,8,8,8,6,2,6,8,8,8,0,0,0,1,1,1,2,0.33
291,7,17,"mor",1,1,1,1,1,2,"cuernavaca",291,17,7,8,8,8,8,4,2,6,8,8,8,0,0,0,1,1,1,2,0.33
292,7,17,"mor",1,1,1,1,1,3,"cuernavaca",292,17,7,8,8,8,8,4,2,6,8,8,8,0,0,0,1,1,1,2,0.33
293,7,17,"mor",1,1,1,1,1,3,"cuernavaca",293,17,7,8,8,8,8,4,2,6,8,8,8,0,0,0,1,1,1,2,0.33
294,7,17,"mor",1,1,1,1,2,3,"cuernavaca",294,17,7,10,10,9,9,5,2,10,10,9,9,1,0,0,1,0,0,4,0.342
295,7,17,"mor",1,1,1,1,2,3,"cuernavaca",295,17,7,10,10,9,9,5,2,10,10,9,9,1,0,0,1,0,0,4,0.342
296,7,17,"mor",1,1,1,1,2,3,"cuernavaca",296,17,7,10,10,9,9,5,2,10,10,9,9,1,0,0,1,0,0,4,0.342
297,7,17,"mor",1,1,1,1,2,3,"cuernavaca",297,17,7,10,10,9,9,5,2,10,10,9,9,1,0,0,1,0,0,4,0.342
298,7,17,"mor",1,1,1,1,2,3,"cuernavaca",298,17,7,10,10,9,9,5,2,10,10,9,9,1,0,0,1,0,0,4,0.342
299,7,17,"mor",1,1,1,1,2,3,"cuernavaca",299,17,7,10,10,9,9,5,2,10,10,9,9,1,0,0,1,0,0,4,0.342
300,7,17,"mor",1,1,1,1,2,3,"cuernavaca",300,17,7,10,10,9,9,5,2,10,10,9,9,1,0,0,1,0,0,4,0.342
301,7,17,"mor",1,1,1,1,2,3,"cuernavaca",301,17,7,10,10,9,9,4,2,10,10,9,9,1,0,0,1,0,0,4,0.342
302,7,17,"mor",1,1,1,1,1,3,"cuernavaca",302,17,7,8,8,8,8,4,2,6,10,8,8,0,0,0,0,1,1,2,0.33
303,7,17,"mor",1,1,1,1,1,3,"cuernavaca",303,17,7,8,8,8,8,4,2,6,10,8,8,0,0,0,0,1,1,2,0.33
304,7,17,"mor",1,1,1,1,1,3,"cuernavaca",304,17,7,8,8,8,8,4,2,6,10,8,8,0,0,0,0,1,1,2,0.33
305,7,17,"mor",1,1,1,1,3,2,"tepoztlán",305,17,7,9,9,10,10,6,2,6,9,10,10,0,0,0,1,0,0,4,0.171
306,7,17,"mor",1,1,1,1,3,2,"tepoztlán",306,17,7,9,9,10,10,6,2,6,9,10,10,0,0,0,1,0,0,4,0.171
307,7,17,"mor",1,1,1,1,3,2,"tepoztlán",307,17,7,9,9,10,10,6,2,6,9,10,10,0,0,0,1,0,0,4,0.171
308,7,17,"mor",1,1,1,1,3,2,"tepoztlán",308,17,7,9,9,10,10,6,2,6,9,10,10,0,0,0,1,0,0,4,0.171
309,7,17,"mor",1,1,1,1,3,2,"tepoztlán",309,17,7,9,9,10,10,6,2,6,9,10,10,0,0,0,1,0,0,4,0.171
310,7,17,"mor",1,1,1,1,3,2,"tepoztlán",310,17,7,9,9,10,10,6,2,6,9,10,10,0,0,0,1,0,0,4,0.171
311,7,17,"mor",1,1,1,1,2,3,"cuernavaca",311,17,7,8,8,9,9,4,2,6,10,9,9,0,0,0,0,0,0,2,0.33
312,7,17,"mor",1,1,1,1,2,3,"cuernavaca",312,17,7,8,8,9,9,4,2,6,10,9,9,0,0,0,0,0,0,2,0.33
313,7,17,"mor",1,1,1,1,2,3,"cuernavaca",313,17,7,10,10,9,9,5,2,10,10,9,9,1,0,0,1,0,0,4,0.342
314,7,17,"mor",1,1,1,1,2,3,"cuernavaca",314,17,7,10,10,9,9,5,3,10,10,9,9,1,0,0,1,0,0,4,0.342
315,7,17,"mor",1,1,1,1,2,3,"cuernavaca",315,17,7,10,10,9,9,5,3,10,10,9,9,1,0,0,1,0,0,4,0.342
316,7,17,"mor",1,1,1,1,2,1,"cuernavaca",316,17,7,10,10,9,9,5,3,10,10,9,9,1,0,0,1,0,0,4,0.342
317,7,17,"mor",1,1,1,1,2,1,"cuernavaca",317,17,7,10,10,9,9,5,3,10,10,9,9,1,0,0,1,0,0,4,0.342
318,7,17,"mor",1,1,1,1,2,3,"cuernavaca",318,17,7,10,10,9,9,5,3,10,10,9,9,1,0,0,1,0,0,4,0.342
319,7,17,"mor",1,1,1,1,2,3,"cuernavaca",319,17,7,10,10,9,9,5,3,10,10,9,9,1,0,0,1,0,0,4,0.342
320,7,17,"mor",1,1,1,1,2,1,"cuernavaca",320,17,7,10,10,9,9,5,3,10,10,9,9,1,0,0,1,0,0,4,0.342
321,7,17,"mor",1,1,1,1,2,3,"cuernavaca",321,17,7,10,10,9,9,5,3,10,10,9,9,1,0,0,1,0,0,4,0.342
322,7,17,"mor",1,1,1,1,2,3,"cuernavaca",322,17,7,10,10,9,9,5,3,10,10,9,9,1,0,0,1,0,0,4,0.342
323,7,17,"mor",1,1,1,1,2,3,"cuernavaca",323,17,7,10,10,9,9,4,2,10,10,9,9,1,0,0,1,0,0,4,0.342
324,7,17,"mor",1,1,1,1,2,3,"cuernavaca",324,17,7,10,10,9,9,4,2,10,10,9,9,1,0,0,1,0,0,4,0.342
325,7,17,"mor",1,1,1,1,2,3,"cuernavaca",325,17,7,10,10,9,9,4,2,10,10,9,9,1,0,0,1,0,0,4,0.342
326,7,17,"mor",1,1,1,1,2,3,"cuernavaca",326,17,7,10,10,9,9,4,2,10,10,9,9,1,0,0,1,0,0,4,0.342
327,7,17,"mor",1,1,1,1,2,4,"cuernavaca",327,17,7,10,10,9,9,4,2,6,10,9,9,0,0,0,1,0,0,4,0.342
328,7,17,"mor",1,1,1,1,2,4,"cuernavaca",328,17,7,9,9,9,9,3,2,6,10,9,9,0,0,0,0,1,1,4,0.171
329,7,17,"mor",1,1,1,1,2,4,"cuernavaca",329,17,7,9,9,9,9,3,2,6,10,9,9,0,0,0,0,1,1,4,0.171
330,7,17,"mor",1,1,1,1,2,4,"cuernavaca",330,17,7,9,9,9,9,3,2,6,10,9,9,0,0,0,0,1,1,4,0.171
331,7,17,"mor",1,1,1,1,3,4,"tepoztlán",331,17,7,9,9,10,10,3,2,6,10,10,10,0,0,0,0,0,0,4,0.171
332,7,17,"mor",1,1,1,1,3,4,"tepoztlán",332,17,7,9,9,10,10,6,1,6,9,10,10,0,0,0,1,0,0,4,0.171
333,7,17,"mor",1,1,1,1,3,4,"tepoztlán",333,17,7,9,9,10,10,6,1,6,9,10,10,0,0,0,1,0,0,4,0.171
334,7,17,"mor",1,1,1,1,3,4,"tepoztlán",334,17,7,9,9,10,10,6,1,6,9,10,10,0,0,0,1,0,0,4,0.171
335,7,17,"mor",1,1,1,1,3,4,"tepoztlán",335,17,7,9,9,10,10,6,1,9,9,10,10,1,0,0,1,0,0,4,0.171
336,7,17,"mor",1,1,1,1,3,4,"tepoztlán",336,17,7,9,9,10,10,6,1,9,9,10,10,1,0,0,1,0,0,4,0.171
337,7,17,"mor",1,1,1,1,3,4,"tepoztlán",337,17,7,9,9,10,10,6,1,9,9,10,10,1,0,0,1,0,0,4,0.171
338,7,17,"mor",1,1,1,1,3,4,"tepoztlán",338,17,7,9,9,10,10,6,1,9,9,10,10,1,0,0,1,0,0,4,0.171
339,7,17,"mor",1,1,1,1,3,4,"tepoztlán",339,17,7,9,9,10,10,6,1,9,9,10,10,1,0,0,1,0,0,4,0.171
340,7,17,"mor",1,1,1,1,3,4,"tepoztlán",340,17,7,9,9,10,10,6,1,9,9,10,10,1,0,0,1,0,0,4,0.171
341,7,17,"mor",1,1,1,1,3,4,"tepoztlán",341,17,7,9,9,10,10,3,1,9,9,10,10,1,0,0,1,0,0,4,0.171
342,7,17,"mor",1,1,1,1,3,4,"tepoztlán",342,17,7,9,9,10,10,6,1,6,9,10,10,0,0,0,1,0,0,4,0.171
343,7,17,"mor",1,1,1,1,2,4,"cuernavaca",343,17,7,9,9,9,9,3,1,6,10,9,9,0,0,0,0,1,1,4,0.171
344,7,17,"mor",1,1,1,1,2,4,"cuernavaca",344,17,7,9,9,9,9,3,1,6,10,9,9,0,0,0,0,1,1,4,0.171
345,7,17,"mor",1,1,1,1,2,4,"cuernavaca",345,17,7,10,10,9,9,4,2,6,10,9,9,0,0,0,1,0,0,4,0.342
346,7,17,"mor",1,1,1,1,2,3,"cuernavaca",346,17,7,10,10,9,9,4,1,10,10,9,9,1,0,0,1,0,0,4,0.342
347,7,17,"mor",1,1,1,1,2,3,"cuernavaca",347,17,7,10,10,9,9,4,1,10,10,9,9,1,0,0,1,0,0,4,0.342
348,7,17,"mor",1,1,1,1,2,4,"cuernavaca",348,17,7,10,10,9,9,5,2,10,10,9,9,1,0,0,1,0,0,4,0.342
349,7,17,"mor",1,1,1,1,2,3,"cuernavaca",349,17,7,10,10,9,9,5,3,10,10,9,9,1,0,0,1,0,0,4,0.342
350,7,17,"mor",1,1,1,1,2,4,"cuernavaca",350,17,7,10,10,9,9,5,3,10,10,9,9,1,0,0,1,0,0,4,0.342
351,7,17,"mor",1,1,1,1,2,4,"cuernavaca",351,17,7,10,10,9,9,5,3,10,10,9,9,1,0,0,1,0,0,4,0.342
352,7,17,"mor",1,1,1,1,2,4,"cuernavaca",352,17,7,10,10,9,9,4,1,10,10,9,9,1,0,0,1,0,0,4,0.342
353,7,17,"mor",1,1,1,1,2,4,"cuernavaca",353,17,7,10,10,9,9,4,1,10,10,9,9,1,0,0,1,0,0,4,0.342
354,7,17,"mor",1,1,1,1,2,4,"cuernavaca",354,17,7,10,10,9,9,4,1,10,10,9,9,1,0,0,1,0,0,4,0.342
355,7,17,"mor",1,1,1,1,2,4,"cuernavaca",355,17,7,10,10,9,9,3,1,9,10,9,9,0,0,0,1,0,0,4,0.342
356,7,17,"mor",1,1,1,1,2,4,"cuernavaca",356,17,7,10,10,9,9,3,1,9,10,9,9,0,0,0,1,0,0,4,0.342
357,7,17,"mor",1,1,1,1,2,4,"cuernavaca",357,17,7,9,9,9,9,3,1,9,10,9,9,1,0,0,0,1,1,4,0.171
358,7,17,"mor",1,1,1,1,2,4,"cuernavaca",358,17,7,9,9,9,9,3,1,9,10,9,9,1,0,0,0,1,1,4,0.171
